keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0005214019396127464
alien planet,1.2640374393662539e-05
android cyborg,4.123886337644432e-06
anime,0.03134323460134598
anime colors,0.0004600129922557179
anime epic,0.0
armor daedric,7.372218476079843e-06
art,0.0015870889883354265
art artgerm,0.0009746058819153026
art city,0.0005327813017078134
art hyperrealistic,6.20225628421646e-05
art josan,0.0006244734297654599
art lifelike,0.0
art punk,0.0008768256992648466
art realistic,0.0
art sharp,0.00041248801190136225
art smooth,0.000493061871234035
art style,0.0
art thorough,0.0004883421159784896
art trending,1.7886368395999197e-05
artistic,0.0004538840270763444
artistic painting,0.00046428021947294337
artstation,0.013018571563534692
artstation cinematic,5.901303897572803e-05
artstation galaxy,0.0
artstation hyperrealism,0.004124138468252431
artwork,0.00047008429598453826
atmospheric lighting,0.0006354516287150182
avant garde,0.00010646549445516226
azores,0.0
azores islands,0.0
beautiful landscape,0.0
beneath cherry,0.0
bjork,0.00023559971885362977
black,0.0013981020381551644
body manga,0.004434507803852654
body portrait,6.671209285559465e-06
body shot,6.816791177171541e-06
bonsai,0.001597517306711978
bonsai tree,0.0005063704746919801
bull looking,6.036186029133735e-06
bull modeled,0.0
butterfly volumetric,0.0005125051319282139
camera,0.0010418758355695645
candle butterfly,0.0004857262266683881
candle volumetric,0.0005365615039044192
canvas,0.0021822888787593254
castle,5.057658790858243e-06
castle enclosed,4.934242280107836e-06
cat,117542361652.4673
century,0.0007702993638813467
century modern,0.00035983919631744085
character portrait,0.0005410901691730186
chris foss,4.724658089709538e-06
churches domes,0.0
cinematic,4.60972360949412e-05
cinematic composition,0.004832395129482171
cinematic deviantart,0.000522205851626408
city,0.00044323731368510347
cloud fashion,0.0
clouds,0.0033509794038281172
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.0001326119879491202
collage canvas,0.0011650376942106745
colors,0.0
colossal,4.381008381289751e-06
colossal goddess,2.99988262736791e-06
comprehensive art,0.0005893551406933034
concept art,22401675160.413143
contemporary art,0.0004885807837812276
cute fluffy,3.3950549978838925e-05
cyberpunk,0.0006056328412704154
cyborg,2.657571380706849e-06
cyborg body,7.116046995215456e-06
cyborg bull,0.0
daedric armor,1.5684666762622488e-05
dark,0.0
dark uncanny,0.0020818111564316296
detailed painting,0.00034570592738877734
detailed portrait,0.0005524203081060559
detailed ultra,0.0014343295936472217
details intricate,0.001126760424615205
detective pikachu,0.0003561926335670807
deviantart,0.008971805990240993
deviantart hyperrealistic,0.0
deviantart realistic,0.003881575084587202
digital art,0.0003379480571729254
digital painting,117542361652.48521
digital render,8.363930688149677e-06
divine,0.0
dog,0.0
donald,0.001088946686284777
dragon,0.0005962840387214271
dramatic lighting,2.7333779191987365e-05
drawing,0.0003671128781850142
dunmer nerevarine,0.0
einstein,0.0014091698511382257
elf,8.122013402000834e-07
elson,1.8411405104997606e-05
emo,3.0440031536954567e-06
emo punk,0.0004726757564192734
engine,0.0
entries sony,4.116837639874348e-06
fantasy art,0.0004146229982269832
fantasy painting,1.1149447189333687e-05
fantasy style,1.535320535594497e-06
faroe azores,0.0
fashion clouds,0.0005609514827622823
fiction,0.00022606175969043366
fiction film,0.002902341676574901
fifth element,0.0006444276117454102
film,0.036948010818417115
film neuromancer,0.0005662196320588901
flamingos,0.0004109527828944194
flowers,0.001415477137188194
fluffy,9.54792621036456e-06
footage,1.3894403991839478e-05
forest,0.0
frazetta,0.00047891636791685954
frazetta fantasy,8.503033140904859e-06
frazetta giger,0.0005026902164854743
futuristic,0.0
garden,0.0005958483600216536
garden intricate,0.0004117619138580525
giant,0.0
giant digital,2.5333359663908318e-06
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,0.00041566878147516524
goddess,0.0005084304705507088
goddess creative,0.0006001737262021102
goddess wearing,0.0
gordon,0.0005364814822188573
goth,0.0012638678919442347
goth emo,0.00041674825709560456
goths,0.0
goths loitering,0.0
gundam,22401675160.388855
gundam unreal,0.0004232883598229137
gustav klimt,0.000677302339924496
hd,0.0
hd goth,0.0008543751852047813
hd painting,0.0
hd unreal,0.0006059140903276497
heavy detailed,0.0
high quality,0.0014291016482293009
hills slavic,0.0
himalayan,0.0
himalayan rocksalt,1.2906904112917127e-06
houses,0.0
houses built,0.0
hyper detailed,0.0005361918480270207
illustrated,0.000535037059836212
illustration,0.0006503844615118969
illustration art,0.0005389137614955504
imposing cyborg,3.4243164168004163e-06
intricate details,0.001230542936009178
intricate hyper,0.000525696191914765
intricate royo,0.0005810026251053408
intricate volumetric,0.0005353079283984541
josan,0.00047704759945113356
josan gonzalez,0.00344495835513772
knight,0.0
kylie,0.0
kylie minogue,0.0
lamp,1.555758592567177e-05
landscape,1.392433304310481e-05
landscape colourful,1.3591414116125349e-05
lantern candle,0.0005284126466566241
length portrait,0.0004416331830677401
lifelike photorealistic,0.0005058723667205592
lighting,0.0005048409810937492
lighting hd,0.0004928225658921336
lightning intricate,0.0010436925569959176
log houses,0.0
looking camera,2.9315100789367064e-06
low clouds,0.0005523439588768618
madeira faroe,0.00010056888104807687
male dunmer,0.0
manga,0.0005905344254721955
manga illustration,0.0004161122929628895
marble hourglass,0.000531627387786284
matte,0.00045561227383542367
matte painting,0.010986369464730956
media collage,0.0
mid century,0.001039065179187339
minogue,0.0
mixed media,1.1031485612322427e-05
modern,2.2083352034886487e-06
modern art,0.0003917477147734899
movie,0.001707640185939901
movie poster,0.0011348996265436945
natural scene,0.00020599115352726456
nerevarine,0.0
neuromancer,0.00048225609732309714
