keyphrase,mean_abs_shap
abandoned,0.0016787714961684205
alchemical creatures,0.0024281841244988348
alien,0.004714583492490776
alien planet,0.00032775015401028616
android cyborg,0.0002058719935630771
anime,0.00824840856017288
anime colors,0.0011636956289672324
anime epic,0.0037844934750632143
armor daedric,0.0014094102988179648
art,0.009463624948057381
art artgerm,0.008534073630628393
art city,0.0011993010713630952
art hyperrealistic,0.0022696850554466694
art josan,3.0183370683275855e-05
art lifelike,0.0030815558550977046
art punk,0.0018752382263385623
art realistic,0.00033461617106391557
art sharp,0.002170090281508488
art smooth,0.007147771574391628
art style,0.00126871789160062
art thorough,0.00014662151246342363
art trending,0.0019212536916325153
artistic,0.0017539023396908977
artistic painting,0.00043592035503068027
artstation,0.01069994805705272
artstation cinematic,0.0026293108161554706
artstation galaxy,2.135483489959409e-05
artstation hyperrealism,0.007152195365743471
artwork,0.0058094056566383775
atmospheric lighting,0.0007895188044197502
avant garde,0.0027222152461439486
azores,0.00011687774378989063
azores islands,0.0007607477198983488
beautiful landscape,6.300741233871425e-05
beneath cherry,0.0
bjork,0.0007966555809119856
black,0.0021504421233397917
blinders photography,0.004931109038029648
body manga,0.007368010063705972
body portrait,0.0013107613458314539
body shot,0.00017567403101249388
bonsai,0.002163956357911086
bonsai tree,0.0028726405381931464
bosch,0.0025009492898259494
bull looking,1.6148476451995508e-05
bull modeled,0.0003249444171261622
butterfly volumetric,0.002038488869679691
camera,0.021409050696984244
candle butterfly,0.0021522789572764856
candle volumetric,0.0019542219360937996
canvas,0.008935630427105547
castle,0.0006494493011584473
cat,0.003145313962787851
century modern,0.001188248394929056
character portrait,0.0045196657878859405
cinematic,0.005642202256206977
cinematic composition,0.012557447815521306
cinematic deviantart,0.0075458343028813
city,0.001514103608105702
clouds,0.00910718995362114
clouds madeira,0.0003083821084149684
collage canvas,0.0030154328491684883
colossal,0.0025724714469410586
colossal goddess,0.0019452690910278544
comic book,0.0020967624135412965
comprehensive art,0.005712618383210688
concept art,0.03193522657760518
contemporary art,0.0017559821805456053
creatures surreal,0.0028304262938787348
cute fluffy,0.003212178027535052
cyberpunk,0.005610397918086766
cyberpunk art,0.0002938769420826517
cyborg,0.0014113122286581203
cyborg body,0.0
cyborg bull,0.0004662250837293035
daedric armor,0.0
dark,0.003525373412506369
dark uncanny,0.003939182497316025
design,0.0019114295044891801
detailed painting,0.003915509838336647
detailed portrait,0.002835358017582633
detailed ultra,0.0030214880946476275
details intricate,0.0032728355017413325
detective pikachu,2.3639133889516815e-05
deviantart,0.0040703732074282364
deviantart hyperrealistic,0.0039518948933218966
deviantart realistic,0.002888428152999548
digital,0.0007471110593356881
digital art,0.004042815492220803
digital painting,0.018971840102839775
digital render,0.0010420514878710424
divine,0.00010142195260171285
divine pink,5.282073770418652e-05
donald,0.0033798666507455673
dragon,0.004778185359719779
dramatic lighting,0.004193039304823893
drawing,0.003065543053717788
dunmer nerevarine,0.0004984663786681724
earth,0.00516834845123703
einstein,0.0017221286646297324
einstein portrait,0.0013012965650328642
elf,0.0010077464929250186
elson,0.012499448325690223
emo punk,0.002861257652581571
engine,0.003176581404547228
entries sony,0.0001349188953979307
fantasy art,0.003816347686456468
fantasy painting,0.004379209021107145
fantasy style,0.0020259315381844422
faroe azores,0.00016445849951572802
fashion clouds,0.0034224693231866216
fiction,0.0023088946950250776
fiction film,0.009514870998200716
fiery alchemical,0.002016174386728992
fifth element,0.0026361238450728396
film,0.015116007010626114
film neuromancer,0.0017850339295351102
fine artistic,2.431303501066189e-06
flamingos,0.0
fluffy,0.0012824603289287645
forest,0.0007144302637603615
frazetta,0.00306779885522694
frazetta giger,0.0015745777788626852
futuristic,0.0002603630691845073
garden,0.001625240841231303
garden intricate,0.0020290384300801862
giant digital,0.0019819025989979075
glamorous sophisticated,0.005225431573647511
goddess,0.0030936929348103722
goddess wearing,0.0001737563677918828
gonzalez,0.0014395082073234038
gordon,0.0001810663159386605
goth,0.00534673377274656
goth emo,0.0019192382605015559
goths,0.00445554789898135
goths loitering,0.0004340142111385752
greek man,1.4766264616142353e-05
gundam,0.0026064853757775367
gundam unreal,0.001888472547905939
gustav klimt,0.00044014177865676565
hd,0.003645109950715446
hd goth,0.009183550725385103
hd painting,0.0014617492816528014
hd unreal,0.002298266718856925
headshot edwardian,0.004395477328107705
heavy detailed,0.010268732456664948
high quality,0.005090021447609783
himalayan,0.0019716277462315346
himalayan rocksalt,0.0020698083753791963
houses,0.002551517201073487
houses built,4.8683406310493905e-05
hyper detailed,0.0038388841931417325
illustration,0.0026556899732079905
illustration art,0.005479894225650223
imposing cyborg,0.00044293746308863495
intricate details,0.009011205303716775
intricate hyper,0.002751324610206745
intricate royo,0.0023866239856229787
intricate volumetric,0.00254989383559311
josan,0.0015394356620611162
josan gonzalez,0.0014860222591767814
klimt,0.0006075617914553349
lamp,0.0019686897549760912
landscape,0.004450013910900332
landscape colourful,0.00021253151345673274
lantern candle,0.0019887344022722292
length portrait,0.004463649849730414
lifelike photorealistic,0.003302923554501771
lighting,0.0021850686299347524
lightning intricate,0.005176405631787607
log houses,0.0004876810659814891
looking camera,0.0005780194567294305
low clouds,0.0008061135597033264
madeira faroe,0.0014963252690896067
male dunmer,0.00032219234625785914
manga,0.0037300982531172505
manga illustration,0.0010098254611663891
marble hourglass,0.0001326132732517582
matte,0.007375561076685999
matte painting,0.007875405529161326
media collage,0.0017685660814200862
mid century,0.003663738105857248
modern art,0.002247011401177745
movie,0.0038434541885465734
movie poster,0.004036460540763209
mysterious,4.537796715393329e-05
mysterious ufo,4.955993839961521e-05
natural scene,0.007383693475163682
nerevarine,0.0001412783461852761
neuromancer,0.0021496751364268067
oblivion skyrim,0.00017851971015315772
octane render,0.001532625492155106
oil,0.0008770324267581851
oil painting,0.012120350271189727
overcast thunder,0.0022832522748793965
pablo picasso,0.0018609083768744961
painted pablo,0.0022837477127954945
painting,0.015762054221038668
painting aesthetic,0.0016022494179965142
painting artstation,0.002910137527486009
painting beautiful,0.006600894316530056
painting character,0.0046531093511981364
painting deviantart,0.011480634038524208
painting lurid,0.0005537297203330056
painting lush,0.0022176608251442045
painting peter,0.00785833882682967
painting ronny,0.0013066515365233221
painting sargent,0.004361266377199077
painting stalenhag,0.002354255951521508
painting unreal,0.0018148994350427369
peter,0.008676465977226645
peter elson,0.003685425321962941
photo,0.0027806463081419676
photo realistic,0.001185805853077466
photograph,0.004625200758595014
photograph divine,2.170452990882527e-05
photography,0.006825368756810381
photography awards,0.0033054400176416305
photorealistic,0.008930249552355822
photorealistic digital,0.003184140450299866
photorealistic highly,0.0014648212250240626
phyics entries,0.0005205545464718825
picasso,0.0021493600063811524
picasso hair,0.0020460039078245857
pikachu hannah,0.0013504365898813807
pink bonsai,0.002654586181269959
pink flamingos,0.0004300289411436677
pixar,0.0015726689330256619
portrait,0.015890176459120404
portrait ancient,0.0001701752452417439
portrait extremely,0.006809449665699816
portrait intricate,3.905189424557651e-05
portrait male,2.7008753556908685e-05
portrait painted,0.0027627278846749904
portrait painting,0.007589744507434438
portrait photograph,0.0014989322860892152
portrait sabouts,0.002258676997086356
portrait scifi,0.002059784573749578
punk art,0.0016549736779342477
punk portrait,0.0026474485053476905
puppy,0.0025801622164884717
puppy sitting,0.002156987981536351
realistic photo,0.004045055027435365
realistic render,6.746141663255754e-05
render hyperrealist,0.0011782068291006915
robot,0.0007552723051812678
rocksalt lamp,0.0017272592857005848
room,0.0015841885451899763
rpg portrait,0.00210252825230973
runway,0.006537496964061795
saitama,0.0009689985859054123
saitama anime,0.00011285271929887484
salvador dali,0.0007350611126961904
scariest looking,0.0048478454762351745
scene,0.005414672563643088
scene science,0.004139624092142888
science,0.0022380336689112137
science fiction,0.0037339355469369413
screenshot,0.0015646389108339455
shade talking,0.0005258051682087233
sitting snowy,0.002767524128835666
sky,0.0019746197808448705
skyrim elegant,0.0011218323416747828
snowy,0.002192911889494565
sony,0.0006236661094771162
sony world,1.4150476631630917e-05
space,0.0022122624996806523
starmaker,0.0013732685394567228
starmaker matte,0.0003413219020020621
stars,0.003447908813989273
statue,0.003871128811921965
steampunk,0.0011850986207267251
steampunk butterfly,0.0018982747141382556
studio ghibli,0.0007797496446638997
style contemporary,0.0029891675519494944
style portrait,0.009147334980946591
surreal,0.00262582388104053
surreal concept,0.0018278539814496285
surreal dark,0.0022505087808317296
surrealism,0.01176341464304885
surrealism surreal,0.0028059386298818993
thanos style,3.9132368663439985e-07
tracing artstation,0.0010159459220736723
traits painting,0.004061771807197046
trending artstation,0.006186231452702344
ufo,0.0018113835183939987
ufo ignoring,6.178138258220364e-05
ultra realistic,0.0038379647287692577
uncanny,0.0028484038911180797
uncanny painting,0.00484105853449809
unreal engine,0.005258524086029156
vallejo frazetta,0.0023007932847693927
vivec portrait,0.000874669115535224
volumetric lighting,0.002659080311491047
wallpaper,0.0017498501401318753
wallpaper illustration,0.0013038888605777451
wizard,0.002286991623623314
woman,0.0031576926207865165
world photography,0.0033424711971222158
zdzislaw beksinski,0.0004970020150667939
