keyphrase,mean_abs_shap
abandoned,0.001567873102830481
alien,0.00137877887465989
alien planet,3.342807580140753e-05
android cyborg,0.0004799780617945857
anime,0.02371750616078026
anime colors,0.0006975670254815695
anime epic,3.887109635597773e-05
armor daedric,0.0008572820105431887
art,0.009844923458220325
art artgerm,0.002293686561512698
art city,0.0008000137108512445
art hyperrealistic,0.00013098829466925394
art josan,0.0007314014933319428
art lifelike,0.0011686441029933733
art punk,0.0005596180720439631
art realistic,0.00035507512580412926
art sharp,0.001791953353529059
art smooth,0.0009042155647091012
art style,0.0016218537235209145
art thorough,0.0006681768603648668
art trending,0.0009224919529271141
artistic,0.0014070696477804243
artistic painting,0.0014685235273443082
artstation,0.02212831019596872
artstation cinematic,0.00021329158432151766
artstation galaxy,0.0013488613864446437
artstation hyperrealism,0.0025013212244895987
artwork,0.0022311103215481285
atmospheric lighting,0.0008326723241662527
avant garde,0.0009934451375799831
azores,3.9058699617327935e-05
azores islands,4.048813576561171e-06
beautiful landscape,3.8300430311386685e-05
beneath cherry,0.00013969157349728948
bjork,0.0015896968510483677
black,0.0018801587253304136
body manga,0.0006472551532142989
body portrait,0.000884309592587823
body shot,0.0006713499824904096
bonsai,0.0022305478228656726
bonsai tree,0.001556849823959137
bull looking,0.0006540642373788563
bull modeled,0.0006465418259587862
butterfly volumetric,3.260615652200974e-05
camera,0.004046882891527097
candle butterfly,4.03887811987496e-06
candle volumetric,0.0009812213856639795
canvas,0.021662024378112665
castle,0.0014724329992438473
castle enclosed,2.2773818790326322e-05
cat,0.0013102891646168567
century,0.0016437277160004883
century modern,0.0011583565423065416
character portrait,0.0015155386292962608
chris foss,0.0008289656516764129
churches domes,5.02013839628031e-05
cinematic,0.0014052477123120224
cinematic composition,0.004289787222291498
cinematic deviantart,0.0012377262045752018
city,0.0012822290330057426
cloud fashion,0.0
clouds,0.005466971057133353
clouds covered,7.040835217765827e-05
clouds girl,2.2638263284115683e-05
clouds madeira,0.00019327801972080164
collage canvas,0.00024589570201643835
colors,0.0013550114571183563
colossal,0.0
colossal goddess,9.160892743887382e-06
comprehensive art,0.0010876615421629534
concept art,0.015888067627808426
contemporary art,0.0008762937919920284
cute fluffy,0.0006530658041550245
cyberpunk,0.0033261304135261006
cyborg,0.0019191568468814276
cyborg body,0.0005343806816144878
cyborg bull,0.0006303922460478846
daedric armor,0.0008216045571084323
dark,0.0020489640901349363
dark uncanny,0.0017521345498060547
detailed painting,0.0011011447100184493
detailed portrait,0.0008490962776608296
detailed ultra,0.0024477404990752307
details intricate,0.0010392400667681777
detective pikachu,0.0006949381937318181
deviantart,0.004315087803518149
deviantart hyperrealistic,1.7379406080625793e-06
deviantart realistic,0.0045179102892648326
digital art,0.001917667803751836
digital painting,0.019643549362580694
digital render,2.6022959366405036e-05
divine,0.00034595475185610834
dog,0.0007513225174045552
donald,0.0018978826762874668
dragon,0.0009088581889899834
dramatic lighting,0.0015807472393358831
drawing,0.0017894850992536727
dunmer nerevarine,0.0008442758328513129
einstein,0.0022200949143093528
elf,0.00022210172604623707
elson,0.0013181444645607862
emo,0.00025456361444481314
emo punk,0.00019094309135692745
engine,0.001161664272737102
entries sony,0.0006930723198761277
fantasy art,0.0020855823099302354
fantasy painting,0.0004493210795493897
fantasy style,0.000751103357387595
faroe azores,0.0003840715197221369
fashion clouds,0.0014394198724260484
fiction,0.0005447432026012469
fiction film,0.0011722515436040526
fifth element,0.00043146149114032167
film,88580544581.70195
film neuromancer,1.705079984662505e-05
flamingos,7.203588021577684e-05
flowers,0.001992769814374951
fluffy,0.00045625241080222723
footage,0.0016436136437238684
forest,0.0005242978894140141
frazetta,2.454324076059198e-05
frazetta fantasy,0.0007992477993942094
frazetta giger,9.94674266257202e-05
futuristic,0.00029794342205712574
garden,0.0012258745325787425
garden intricate,0.0004022427222836446
giant,0.00011450975115311883
giant digital,7.013549561756198e-05
girl clouds,3.6787243128867505e-06
glamorous sophisticated,3.4538516202043296e-05
glimpse universe,0.00011638208048764578
goddess,0.0002577362146717931
goddess creative,0.0003681142411973048
goddess wearing,0.000269108148788854
gordon,0.0006470375243953845
goth,0.001297996851719773
goth emo,0.00020297576449131011
goths,0.0014548374731313876
goths loitering,0.00026674146108586727
gundam,0.0003622327663356379
gundam unreal,0.00021782040340397415
gustav klimt,0.001881571302949445
hd,0.0015025141869757601
hd goth,0.0012437154458233687
hd painting,0.0
