keyphrase,mean_abs_shap
abandoned,0.001220088671990087
alien,0.0015191279963551634
alien planet,0.00015113111319653853
android cyborg,0.0
anime,0.005621734136317691
anime colors,6.5550159932684e-05
anime epic,0.001530385476630819
armor daedric,0.001496441249026937
art,0.009373692411344644
art artgerm,0.003849875971628228
art city,0.00029382789595469355
art hyperrealistic,0.0008982272279656861
art josan,0.0011669567343367902
art lifelike,0.0010230006323313637
art punk,0.001434985253403121
art realistic,0.00019899405159075473
art sharp,0.0012794463059287047
art smooth,0.0040675813728181754
art style,0.0017742323942701946
art thorough,0.000793048286268144
art trending,0.0013478985834982553
artistic,0.00041799466281573224
artistic painting,0.0001852201377560557
artstation,0.015323769964595328
artstation cinematic,0.0008649994849021138
artstation galaxy,0.0002681438287624079
artstation hyperrealism,0.0024801687725971807
artwork,0.004322324063070484
atmospheric lighting,6.462781141319753e-05
avant garde,0.0008669760885723555
azores,0.0002635005996816833
azores islands,0.00011154892962290647
beautiful landscape,0.0009030079110881621
beneath cherry,0.00022471382045816316
bjork,0.0017893194275421724
black,0.0014894957719039615
body manga,0.003692302889042631
body portrait,71888168483.0178
body shot,5.151874686902662e-06
bonsai,0.0016061627259471138
bonsai tree,0.0010207790269982065
bull looking,0.0
bull modeled,0.0
butterfly volumetric,9.24448875962134e-05
camera,0.002037079456539633
candle butterfly,0.0003021996444331591
candle volumetric,0.001462104306972531
canvas,0.00690810726450071
castle,0.0014575244898822576
castle enclosed,0.0
cat,0.0008386791433071111
century,0.001353667936499683
century modern,0.0041623812595725325
character portrait,0.0018916615549325153
chris foss,0.0017021158725229505
churches domes,6.238559452359406e-05
cinematic,0.004056716904385028
cinematic composition,0.006863387016407859
cinematic deviantart,0.0005687241872112247
city,0.0011260407844996601
cloud fashion,0.0
clouds,0.0039336433590691534
clouds covered,0.00023813979463366793
clouds girl,2.2846846342579513e-05
clouds madeira,0.0012657387339991568
collage canvas,0.0011712173732405407
colors,0.0017098856371580123
colossal,0.000943776094509679
colossal goddess,0.0011496577684420501
comprehensive art,0.002370013931620824
concept art,0.018950504439021413
contemporary art,0.0008508990189322542
cute fluffy,0.001382965340792961
cyberpunk,0.005278811156633531
cyborg,0.0028193332508380567
cyborg body,3.125480398364173e-06
cyborg bull,2.515790063739966e-06
daedric armor,0.001005133804046286
dark,0.001413636884689356
dark uncanny,0.0026710875088024845
detailed painting,0.002095826742533625
detailed portrait,0.0013969197546933626
detailed ultra,0.0016152461871000595
details intricate,0.0020924956842155785
detective pikachu,0.0019344194486788872
deviantart,0.002660041945478023
deviantart hyperrealistic,0.000653023953402937
deviantart realistic,0.0037844904759313795
digital art,0.0012335078100686129
digital painting,0.01746116969966344
digital render,0.00017677732930983868
divine,0.0004251663629397805
dog,0.0018142393220628634
donald,0.001977828305832913
dragon,0.0010225159173436794
dramatic lighting,0.0013586868199512985
drawing,0.0008792648786583884
dunmer nerevarine,0.0009489396235730538
einstein,0.0024682938696597586
elf,0.0015516634864959763
elson,0.0007068204099008763
emo,0.0012431391529947478
emo punk,0.0017219936153455653
engine,0.00031607992754081865
entries sony,0.0010888510221355185
fantasy art,0.0012337771075637625
fantasy painting,0.0012998676783649876
fantasy style,0.0021287881346739998
faroe azores,0.0001460262481166268
fashion clouds,0.001385015982117082
fiction,0.00016301105012718307
fiction film,0.002373686967790778
fifth element,6.350309800955485e-05
film,0.01790118088133238
film neuromancer,0.0001046681676678571
flamingos,0.00035191303362909596
flowers,0.0023472204997987177
fluffy,0.00028261776996788414
footage,0.0013787753575597408
forest,0.0006023125735138054
frazetta,0.00014685983052998246
frazetta fantasy,0.000454315343543709
frazetta giger,0.0011240006691294933
futuristic,0.0013503663163901565
garden,0.001588756539045456
garden intricate,0.0010443815164836937
giant,0.00017681336584587535
giant digital,0.00017187068631151708
girl clouds,1.871355105753775e-05
glamorous sophisticated,5.6801598780398013e-05
glimpse universe,0.0007059056720966621
goddess,0.001623056355680687
goddess creative,0.0009765403123250365
goddess wearing,0.0006129492681288865
gordon,0.001194312137259802
goth,0.002225110419054009
goth emo,0.0014473936732618195
goths,0.0010923916925026464
goths loitering,0.000196083850952965
gundam,0.0012456267632957312
gundam unreal,0.00036200699603359675
gustav klimt,0.0009828387203690018
hd,0.003117558950882055
hd goth,0.002394156311003352
hd painting,0.0003428547534204434
hd unreal,0.0010949084035758777
heavy detailed,0.001134736181617771
high quality,0.003802036693704753
hills slavic,1.875333759321803e-05
himalayan,4.9728316732553897e-05
himalayan rocksalt,3.267786034339642e-05
houses,9.116019608316749e-05
houses built,3.39324666764584e-05
hyper detailed,0.00184897193748413
illustrated,0.0002501038527004646
illustration,0.0009628853510864447
illustration art,0.0034135134474856097
imposing cyborg,0.0
intricate details,0.0022672231594302534
intricate hyper,0.001579525837726683
intricate royo,0.0009431634405758556
intricate volumetric,0.002732834089736119
