keyphrase,adjusted_mean_shap
skyrim elegant,40117178266.174545
digital painting,29385590413.135315
painting artstation,29385590413.118366
cat,29385590413.11815
rpg portrait,29385590413.117928
film,22145136145.442978
body portrait,17972042120.755
concept art,5600418790.11998
gundam,5600418790.098267
painting,0.030949562212332346
anime,0.017232720864654123
artstation,0.015292649945287826
canvas,0.009922012737119524
art,0.0075673324514894
matte painting,0.007444583416584776
cinematic composition,0.00713575429592565
camera,0.007133722220155075
portrait,0.0068616217270502
surrealism,0.005928301916468251
oil painting,0.005904229973210275
style portrait,0.005708542457751325
clouds,0.0054646959434129
painting deviantart,0.005268866803133774
earth,0.005168348451237
deviantart,0.0050043272366663
blinders photography,0.0049311090380296
scariest looking,0.0048478454762351
headshot edwardian,0.0043954773281077
artstation hyperrealism,0.0040644559577706
realistic photo,0.0040450550274353
body manga,0.004035518977453825
painting sargent,0.004002436381094725
fiction film,0.003990787796542575
art artgerm,0.003913060511421099
painting beautiful,0.0039103134459594745
trending artstation,0.0038707707499940247
deviantart realistic,0.0037681010006957
photorealistic,0.00376383405022055
photography,0.0037436836291002504
cyberpunk,0.003705243082379175
elson,0.003635706151314174
portrait painting,0.0036100085503839503
peter,0.0035685351612451
manga,0.003537661387322525
photo,0.003492862733593275
intricate details,0.003473768528880125
hd goth,0.0034189494168541
scene science,0.0034134994216065747
high quality,0.0033670353253813247
unreal engine,0.003226246438560575
photograph,0.00322362249245135
artwork,0.003208231084310325
art smooth,0.0031531575957882
heavy detailed,0.0031129667617373503
josan gonzalez,0.0031006516579427748
lightning intricate,0.002994808945156475
illustration art,0.0029129678554514
movie,0.0029029403749050503
uncanny,0.002848403891118
creatures surreal,0.0028304262938787
painting peter,0.00279975922657715
ufo,0.0027971438392047753
cinematic,0.0027875660272497103
sitting snowy,0.0027675241288356
length portrait,0.002752569360892675
natural scene,0.0027366020111742
scene,0.002667240895752375
dark uncanny,0.002611053928089
matte,0.002567701666893175
runway,0.0025441568784468002
goth,0.0025334272338661
bosch,0.0025009492898259
mid century,0.0024788365503050002
cinematic deviantart,0.002468622636573525
comprehensive art,0.0024399122494218996
alchemical creatures,0.0024281841244988
traits painting,0.0023905243713187503
movie poster,0.002330404826952125
stars,0.0022767322975026
landscape,0.002253175504336401
surreal dark,0.0022505087808317
saitama anime,0.00224208945085895
portrait extremely,0.0022368161925662502
painting character,0.002233904534308175
snowy,0.0021929118894945
puppy sitting,0.0021569879815363
detailed ultra,0.0021297010936175
character portrait,0.0021169890353219
comic book,0.0020967624135412
donald,0.002086131079787625
hd,0.0020662957721432748
alien,0.002033473075779575
fiery alchemical,0.0020161743867289
peter elson,0.0019895479538143248
sky,0.0019746197808448
einstein,0.001954921824934225
overcast thunder,0.0019404307550090249
ultra realistic,0.0019236294783780998
flowers,0.0019184891504539
design,0.0019114295044891
statue,0.001900525252479675
bonsai,0.0018995460533589
surreal,0.001889968116118425
fantasy art,0.0018875825255443002
digital art,0.001882984790803525
details intricate,0.001882832919335025
hyper detailed,0.001864775346011825
detailed painting,0.001864546804569325
dragon,0.0018264608761936502
dramatic lighting,0.0017899517858256967
painting ronny,0.0017611365320029
goths,0.0017506942661538
dark,0.001746993596832625
black,0.0017295496646822749
century modern,0.0017172063482813501
modern art,0.0017082550905542998
fashion clouds,0.0017019641651229499
lighting,0.0016798407010893501
space,0.0016691004734094251
intricate volumetric,0.001645351652373775
woman,0.0016320006515259501
illustration,0.001589682277681425
room,0.0015841885451899
cyborg,0.0015381149744395518
fantasy painting,0.0015348868065526585
drawing,0.00152535147745365
intricate hyper,0.0015101218630542749
uncanny painting,0.0014930544958872125
lifelike photorealistic,0.001491758402597825
bonsai tree,0.0014891599659605749
screenshot,0.001486319252595125
photorealistic highly,0.001464821225024
punk portrait,0.001455558674882575
gonzalez,0.0014395082073234
art sharp,0.00141349448821685
detailed portrait,0.001408448589510675
wallpaper,0.0014028218931375
surrealism surreal,0.00140023845487265
collage canvas,0.001399395904658975
surreal concept,0.0013904065659393252
portrait painted,0.0013833692961425002
goddess,0.001370728993928325
josan,0.001370661748343525
style contemporary,0.0013641374517945396
octane render,0.001360518999518325
photography awards,0.0013484199722065
photorealistic digital,0.00134223193980685
world photography,0.0013406927447931751
anime epic,0.0013384375120124945
glamorous sophisticated,0.0013291929221574854
cute fluffy,0.0013205399306154347
art lifelike,0.001318300147605575
emo punk,0.0013117175289257751
einstein portrait,0.0013012965650328
garden,0.00125893006821925
century,0.0012558983387937668
science fiction,0.0012520209648072
picasso,0.001245202689594525
candle volumetric,0.001233527283158625
fantasy style,0.0012268395876953487
art punk,0.001186666812762575
volumetric lighting,0.0011743568781928501
portrait scifi,0.001172554987882725
avant garde,0.0011722754916878
puppy,0.0011685945533261776
art style,0.0011662010023479
engine,0.001163581401206275
zdzislaw beksinski,0.0011524862205886499
deviantart hyperrealistic,0.0011516641968331907
portrait sabouts,0.001127706046309925
abandoned,0.0011166833177472
bjork,0.001102817894588975
city,0.001091402684824025
steampunk,0.0010747175236748
low clouds,0.00107461008815035
hd unreal,0.00106655386090695
punk art,0.0010646314521557498
art trending,0.0010523826491134498
painted pablo,0.0010496568747369126
pink bonsai,0.0010472090100275
pikachu hannah,0.0010351316383619775
saitama,0.001033752535614
colors,0.0010216323647587666
pixar,0.00101972045896095
picasso hair,0.0010159727119404653
footage,0.0010120944684251132
artistic,0.0010082126693407999
intricate royo,0.00100678859033055
goth emo,0.00099658898883755
gustav klimt,0.000995463535474875
contemporary art,0.00099293894381275
garden intricate,0.0009718561456763251
starmaker,0.0009551958571079173
vallejo frazetta,0.0009445101507666749
fifth element,0.0009438790114920137
armor daedric,0.0009426264442159949
artstation cinematic,0.000941653731088682
frazetta,0.0009295295736085481
manga illustration,0.00092590217676725
pablo picasso,0.00092442731966305
painting aesthetic,0.0009188913524371
portrait photograph,0.000910143951941
castle,0.0008961161122688147
studio ghibli,0.00089431228280195
colossal,0.0008801571374579725
oil,0.0008770324267581
painting lurid,0.000875054125474
wallpaper illustration,0.0008660385127812499
painting chris,0.0008580807245048334
dog,0.0008551872798224333
chris foss,0.0008452687274296699
painting stalenhag,0.0008428797739867
photo realistic,0.000841430229298325
art hyperrealistic,0.0008402307852308911
frazetta giger,0.00082518402277578
painted,0.0008206929586867893
fiction,0.000810677676860925
tracing artstation,0.0007871361878574749
sony,0.000778101738579525
colossal goddess,0.0007767719087102638
painting lush,0.00077549760409455
media collage,0.0007697700970830414
neuromancer,0.00076085755191965
detective pikachu,0.0007522973524667791
wizard,0.0007519420934063003
digital,0.0007471110593356
himalayan,0.0007405380465034134
science,0.00073723667295285
candle butterfly,0.0007360609266244189
salvador dali,0.0007350611126961
gundam unreal,0.0007228970767915499
art city,0.0007064809949691499
elf,0.000695580976701825
knight,0.0006918661185981333
lantern candle,0.0006890588365994225
robot,0.0006807405223782979
houses,0.0006805809310059804
butterfly volumetric,0.0006690112614315057
himalayan rocksalt,0.000666575306794022
lamp,0.0006577767135625165
steampunk butterfly,0.0006526928730622018
goddess creative,0.0006482760932414667
rocksalt lamp,0.0006414590121754788
gordon,0.000639724364953125
artistic painting,0.00063848605990095
art josan,0.0006382537570293189
film neuromancer,0.0006182431322770812
klimt,0.0006075617914553
madeira faroe,0.0006056338986910031
anime colors,0.000596706451659271
painting unreal,0.0005944943401650629
oblivion skyrim,0.0005814963769883851
atmospheric lighting,0.0005805676421785243
dunmer nerevarine,0.0005729204587731
giant digital,0.0005566105292233382
art thorough,0.000524047193768675
male dunmer,0.000520527286171425
fluffy,0.0005077196089772662
emo,0.0005002489235310651
phyics entries,0.0004984597234364251
entries sony,0.0004802397687623436
render hyperrealist,0.00047795309966085003
futuristic,0.000477168201907925
clouds madeira,0.000475002712520975
surreal glimpse,0.00046893302465133327
daedric armor,0.0004606057569793056
forest,0.00046026018167202496
lighting hd,0.0004514206785209999
hd painting,0.0004511510087683
ufo ignoring,0.00043868607253390096
vivec portrait,0.00043642865918245
frazetta fantasy,0.0004206887253596016
illustrated,0.0004185735354119001
portrait male,0.0004178377259696401
sony world,0.00041563800364308645
glimpse universe,0.00041265217801976663
artstation galaxy,0.00040959001252664854
marble hourglass,0.00040915544237518387
steampunk himalayan,0.0003543700644161928
modern,0.0003489924796946295
mixed media,0.0003240031339895075
digital render,0.0003133039268088387
nerevarine,0.0003124759406918
pink flamingos,0.00031239310512821386
photograph divine,0.00030948492459773134
cyberpunk art,0.0002938769420826
looking camera,0.00029285982285777304
imposing cyborg,0.0002847994146271751
