keyphrase,mean_abs_shap
abandoned,0.0
alien,1.7910982518667305e-06
alien planet,0.00013034109454211715
android cyborg,1.0054824801982046e-06
anime,0.0005077390748667318
anime colors,4.413339345375152e-06
anime epic,0.00011293335391711783
armor daedric,0.0
art,0.005690203906968832
art artgerm,0.003313046701165834
art city,0.00013530694350764085
art hyperrealistic,0.00012670715554663765
art josan,1.888100575598779e-05
art lifelike,0.00014900872020838228
art punk,0.0008360579299751644
art realistic,0.00015370787432106086
art sharp,0.0043060514704522665
art smooth,0.00013827655822709162
art style,4.60437792098971e-05
art thorough,0.002754602891672731
art trending,0.0
artistic,0.0
artistic painting,1.7000149747502975e-06
artstation,2529272075566.65
artstation cinematic,6.260955474646071e-08
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.008233607895813186
atmospheric lighting,0.00011346679430264014
avant garde,0.00020130021659465976
azores,0.0
azores islands,0.0
beautiful landscape,1468479356.3414576
beneath cherry,0.0
bjork,0.00012219162926185387
black,0.00023940402807417558
body manga,0.0
body portrait,1.6132627875014656e-06
body shot,1.3411942947337552e-06
bonsai,0.0010901893606119397
bonsai tree,0.00013004103043830345
bull looking,1.43213975353774e-06
bull modeled,6.65257177416036e-07
butterfly volumetric,1.7333148669322175e-06
camera,6.985762297923e-05
candle butterfly,0.0
candle volumetric,0.0004254057666531833
canvas,0.0017807880848356105
castle,0.00013968357914219355
castle enclosed,0.00013202318663596378
cat,0.00010933348186821061
century,0.0
century modern,0.0017917374360916596
character portrait,0.005770189529843239
chris foss,0.0001300727570534005
churches domes,0.00014343075653379186
cinematic,9.057791893457119e-05
cinematic composition,0.00019403017649319624
cinematic deviantart,1.0391576306939408e-06
city,0.00033441023008964736
cloud fashion,0.00017824471590246454
clouds,0.0005538468293049222
clouds covered,0.0
clouds girl,0.00020929621195603157
clouds madeira,1.9257022291681547e-06
collage canvas,0.00011196981922580117
colors,4.5174483396135655e-06
colossal,9.010437244648305e-05
colossal goddess,0.00014148759535083955
comprehensive art,1.087983412781417e-05
concept art,0.00014366882305868838
contemporary art,0.00010270960292693288
cute fluffy,9.679044420910296e-05
cyberpunk,0.0035144471189122715
cyborg,5.6405415572234536e-05
cyborg body,5.168715997056984e-07
cyborg bull,1.2906015550441518e-06
daedric armor,0.0
dark,0.000522080007354355
dark uncanny,0.0
detailed painting,0.0012540447057360646
detailed portrait,0.0001219794820896038
detailed ultra,0.0024061695967113827
details intricate,9.941734249584817e-05
detective pikachu,0.0
deviantart,0.00012181153614555572
deviantart hyperrealistic,0.0001131564537542387
deviantart realistic,0.0013435626471478275
digital art,0.002751439365317759
digital painting,2529272075566.646
digital render,0.00028455092002115123
divine,0.0
dog,0.00017188837582937818
donald,0.00027961141277596253
dragon,0.0
dramatic lighting,0.00011376695749608205
drawing,0.0028389808108919973
dunmer nerevarine,0.0
einstein,0.0023436725716394916
elf,2.290106143561774e-06
elson,0.0001411353633007829
emo,0.00010689690841487227
emo punk,0.00010420788085076229
engine,8.497678706410062e-07
entries sony,0.00047816258259766875
fantasy art,0.0007985024902519493
fantasy painting,0.00025100589624802626
fantasy style,0.00013376296267823747
faroe azores,0.0
fashion clouds,0.00011161459154087098
fiction,1.645170807905763e-05
fiction film,0.004020811670914712
fifth element,0.0011601289408767546
film,0.002121379073471057
film neuromancer,0.0010106813788868902
flamingos,0.0
flowers,0.0002346064098614536
fluffy,0.00015359170847822814
footage,0.0
forest,0.0001431061833439866
frazetta,0.0003596921660906875
frazetta fantasy,0.0
frazetta giger,0.0017729890365265773
futuristic,0.00015030733208556938
garden,0.0
garden intricate,0.0016527100029970826
giant,9.664582105207357e-05
giant digital,0.00016018586562431363
girl clouds,0.0001618126190491305
glamorous sophisticated,1468479356.3256366
glimpse universe,0.0020995008583286996
goddess,0.0010293346887114553
goddess creative,2529272075566.6465
goddess wearing,0.0007575553097873603
gordon,0.002787287221656402
goth,0.002490110352734357
goth emo,0.00011368469647600524
goths,1.1262890846190404e-07
goths loitering,1.6220989707201321e-06
gundam,0.0
gundam unreal,3.015677475621736e-06
gustav klimt,0.0029121507075190395
hd,0.0009833516193344027
hd goth,0.00012620584149737192
hd painting,0.0008694895841349809
hd unreal,0.00012176426658036875
heavy detailed,0.00018520401041106235
high quality,9.085008242702106e-05
hills slavic,0.0001257480253867393
himalayan,0.00010148227676543849
himalayan rocksalt,7.408809897422381e-05
houses,0.0005826727854388792
houses built,0.00010680966442009708
hyper detailed,0.00011951455217584352
illustrated,0.00021583590776855946
illustration,0.00019915864562220138
illustration art,0.002125114253850935
imposing cyborg,0.0
intricate details,2.0876716157117885e-06
intricate hyper,0.00026220414709777416
intricate royo,0.0005823433316719565
intricate volumetric,0.00019598203678173543
josan,0.003023814465050435
josan gonzalez,0.0024337487491526187
knight,0.0015519379305213223
kylie,0.00016674712822605518
kylie minogue,9.027967936642506e-05
lamp,0.0001245082635875104
landscape,0.0011935623948242226
landscape colourful,0.0007745070440668022
lantern candle,0.00012789768246454597
length portrait,9.969608869542053e-05
lifelike photorealistic,0.00013816820512123012
lighting,0.000127773564395983
lighting hd,0.00014870259871907813
lightning intricate,0.000542455723874781
log houses,0.00011231624102124701
looking camera,3.329524705324338e-06
low clouds,0.0
madeira faroe,8.042685362325531e-07
male dunmer,7.686863002143457e-07
manga,0.00011431525351015648
manga illustration,0.0
marble hourglass,0.0
matte,0.00011201546827709626
matte painting,0.00013863508509868736
media collage,0.00013004684978665796
mid century,1.4892214988090517e-06
minogue,0.0001174212187003231
mixed media,8.532592766125765e-05
modern,9.316283606945294e-05
modern art,0.0006859951715792511
movie,2.774690394618134e-07
movie poster,0.0
natural scene,0.00012919158844122765
nerevarine,0.0004134148858456051
neuromancer,0.0
oblivion skyrim,8.480038551726484e-07
octane render,0.0008930922942998792
oil painting,0.0001086547994574269
overcast thunder,2.7372641883995583e-06
pablo picasso,0.00012005504522032687
painted,0.00010480399050915256
painted pablo,0.00018481320852937552
painting,2529272075566.651
painting aesthetic,0.0
painting artstation,0.00027171965896431114
painting beautiful,0.00017353130384886533
painting character,0.0001371754768998148
painting chris,0.00010060382903029801
painting deviantart,0.0
painting lurid,0.0
painting lush,0.00011291531338040069
painting peter,9.896728276155518e-05
painting ronny,2.6942578955834215e-06
painting sargent,0.0
painting stalenhag,0.0
painting unreal,0.0007619990278350272
peter,9.748154205611357e-05
peter elson,0.00013108148911418423
photo,0.0001467472564309331
photo realistic,0.0005060689885152403
photograph,0.0
photograph divine,1.8526726049771402e-06
photography,0.002084486363233591
photography awards,4.750698627035517e-06
photorealistic,0.00014364586443170335
photorealistic digital,0.00012627480213674397
phyics entries,9.993898502225509e-05
picasso,0.00022527068778810128
picasso hair,0.00014526935206900753
pikachu hannah,0.0
pink bonsai,0.0013110709508155445
pink flamingos,0.0
pixar,0.0
pixie cut,0.00015087109350710677
portrait,0.01913009665262028
portrait extremely,0.00012001157728155918
portrait intricate,8.065953552799295e-05
portrait male,0.0
portrait painted,0.00040450059526826526
portrait painting,0.0001387791483323594
portrait photograph,0.0
portrait sabouts,0.00012217892494477623
portrait scifi,0.00011677743027477268
punk art,0.00010618922424435763
punk portrait,0.00011700217698000864
puppy,0.0
render hyperrealist,0.0
robot,0.00010314184125721587
rocksalt lamp,0.0003153063093401853
rpg portrait,0.00010005791186509527
runway,0.003539703897618205
saitama,0.00010354981523447238
saitama anime,0.00012164652815543563
scene,0.0001030897668460065
scene science,0.00011078710187603236
science,6.040029878650182e-05
science fiction,0.0001169467247894099
screenshot,0.0
shade talking,6.89662042799041e-07
skyrim elegant,0.00043612603309211667
sony,0.001158658808738507
sony world,0.0004981790739490482
space,0.0019398470413777506
starmaker,0.0004066879310240682
starmaker matte,0.0001272705610937841
stars,0.001387686347235157
statue,0.0002197044661934275
steampunk,1.2819159823886219e-05
steampunk butterfly,0.0
steampunk himalayan,0.00015705820228750352
studio ghibli,0.0
style contemporary,0.00010845841125275558
style portrait,0.00046291899167095297
surreal,0.0015591548265714282
surreal concept,0.00015155029850202548
surreal glimpse,0.0012145748936779998
surrealism,9.77298148988799e-05
surrealism surreal,0.00013462724768900045
tall castle,9.04245618435425e-05
tracing artstation,5.375864424017276e-05
traits painting,0.00010147299600856658
trending artstation,0.0017117382720889987
ufo,0.0001328554262026336
ufo ignoring,0.00011516567973417055
ultra realistic,0.0004446032726736871
uncanny painting,0.00036809477351518156
unreal engine,0.0014453236695465353
vallejo frazetta,0.00010497873120819559
vivec portrait,1.4905613183804607e-07
volumetric lighting,0.0003139535735369508
wallpaper,0.0003157062008714247
wallpaper illustration,0.00011797294684612871
wearing cloud,0.0001482227629294796
wizard,0.00013190313284192298
woman,0.0
wooden churches,0.00013000936587157156
world photography,0.00012888367563246005
zdzislaw beksinski,0.0
