keyphrase,mean_abs_shap
abandoned,0.0004892156935314041
alchemical creatures,0.0
alien,0.0009930107596716237
alien planet,0.002686871627107277
android cyborg,0.0015243826286683903
anime,0.002408473149600946
anime colors,0.0016362258211763067
anime epic,0.0034792992231236076
armor daedric,2.931790742709944e-05
art,0.015745068394676386
art artgerm,0.005625403001154324
art city,0.0013959506649898017
art hyperrealistic,0.003970175751062623
art josan,0.004433075622070701
art lifelike,0.000427218888266256
art punk,0.001331563713788891
art realistic,0.0009173984403903771
art sharp,0.008315665119168895
art smooth,0.006943693048903311
art style,0.0011374901544832108
art thorough,104584879574.97137
art trending,0.002573642187563575
artistic,0.002536461006631831
artistic painting,0.001291939101615735
artstation,0.009576546089166924
artstation cinematic,0.0025358432389267975
artstation galaxy,0.0026262459532936946
artstation hyperrealism,0.001507616907984353
artwork,0.010102535301723054
atmospheric lighting,0.003515963903356991
avant garde,0.0005205383369102467
azores,0.0015241146869880067
azores islands,0.0010525267540401676
beautiful landscape,0.002182482684326818
beneath cherry,0.0008143986717945974
bjork,0.002291198503619686
black,0.0035174940089059696
blinders photography,0.0012354005918834272
body manga,0.0022015759642062915
body portrait,0.0010258079120242182
body shot,0.0015176588868609355
bonsai,0.0018003675895852643
bonsai tree,0.0016184941318250357
bosch,0.0017054710934310986
bull looking,0.0011982918938567703
bull modeled,0.0016312230804823669
butterfly volumetric,0.0006444568569501215
camera,0.0022854012016139077
candle butterfly,0.0010405460319890744
candle volumetric,0.0043073045476648255
canvas,0.007057235326678992
castle,0.0031095809247227674
cat,0.002461780921144892
century modern,0.006420386798566253
character portrait,0.0007550445981885582
cinematic,0.004735539267417646
cinematic composition,0.002805836625144836
cinematic deviantart,0.004016000593832768
city,0.004416716141219675
clouds,0.0029883386880120515
clouds madeira,0.002005303645233863
collage canvas,0.0010228096608951398
colossal,0.0022276600327607843
colossal goddess,0.0014979724949655867
comic book,0.00022263323513549923
comprehensive art,0.0018153856491842646
concept art,0.011673638903679812
contemporary art,0.0015039126045276277
creatures surreal,0.0005006455572378629
cute fluffy,0.001162633965128344
cyberpunk,104584879574.97397
cyberpunk art,0.0013588226568617575
cyborg,0.003352230903831789
cyborg body,0.0013727192516219
cyborg bull,0.001178173045591237
daedric armor,0.0011052650992749266
