keyphrase,mean_abs_shap
abandoned,9.081216857785027e-05
alien,0.0013427585440641255
alien planet,0.0013424345025535825
android cyborg,0.0
anime,0.003496709818080078
anime colors,0.0008369696726676665
anime epic,0.0008127850654898149
armor daedric,0.00014959859957857545
art,0.015587900165531991
art artgerm,0.0027790701600311917
art city,9.962937851700559e-05
art hyperrealistic,0.002886299351549324
art josan,0.001101187129460848
art lifelike,0.0007196536364382508
art punk,0.0006860319644118189
art realistic,0.0006751336452334616
art sharp,0.006490894046781034
art smooth,0.002524871645799352
art style,0.0025501391422435857
art thorough,0.005424662235276943
art trending,0.0004621578349698652
artistic,0.00017269468535006336
artistic painting,9.671242041590559e-05
artstation,0.0196940188096129
artstation cinematic,0.0008453763165035235
artstation galaxy,0.0006012826661418136
artstation hyperrealism,0.00010924690571107613
artwork,0.01336709887773922
atmospheric lighting,6.640701239437505e-05
avant garde,0.001302566735169046
azores,0.0005766923075193902
azores islands,0.000536470658403519
beautiful landscape,0.015891156981980025
beneath cherry,0.001341684198113957
bjork,0.0003142428026049229
black,0.00393466332913317
body manga,3.0893567780376335e-05
body portrait,0.0007877790637357969
body shot,2.4364399288530675e-05
bonsai,0.0020216226839120085
bonsai tree,0.00031224083257837455
bull looking,0.0
bull modeled,1.4385895776415545e-05
butterfly volumetric,1.2598197802572192e-05
camera,0.000871998539833499
candle butterfly,5.01620663941881e-05
candle volumetric,0.0010301182353894482
canvas,0.003281325623388773
castle,0.0007939151813674414
castle enclosed,8.372071627368857e-06
cat,0.0007086162385866391
century,0.00025381070324464837
century modern,0.0045589254079106325
character portrait,0.005268196261815648
chris foss,5.12195934357366e-05
churches domes,1.4563033002606198e-05
cinematic,0.0028401847333752598
cinematic composition,0.0014865048790036535
cinematic deviantart,0.00020160942800395945
city,0.0017089068620311347
cloud fashion,0.00012495339824657707
clouds,0.0033873081751883043
clouds covered,0.0008302115723763974
clouds girl,0.00021538504158547463
clouds madeira,0.0006706700974867464
collage canvas,0.0006415358594735175
colors,0.0001687763879475674
colossal,0.0007325849294875025
colossal goddess,0.0007941965135243856
comprehensive art,0.0012438604190350916
concept art,0.003956291747294672
contemporary art,0.0005434451739122875
cute fluffy,0.00141603265400348
cyberpunk,0.006396289664679623
cyborg,0.0005796050248360082
cyborg body,1.949995024877144e-05
cyborg bull,4.485142603438601e-05
daedric armor,0.0004046272910030756
dark,0.0016728188044261333
dark uncanny,0.0011832646437839518
detailed painting,0.005101326484616537
detailed portrait,0.000796858150239113
detailed ultra,0.00632761431796061
details intricate,0.0007934695673915377
detective pikachu,0.000884255482103544
deviantart,0.0012537135107437347
deviantart hyperrealistic,0.0007878118220659673
deviantart realistic,0.0018626141185894792
digital art,0.0037833157523337914
digital painting,0.0025376383670104004
digital render,0.0019709297935201243
divine,0.0006847253414093985
dog,0.0016581965071857327
donald,0.001735912771005727
dragon,0.0004954823974412661
dramatic lighting,0.0013423773797621352
drawing,0.004261118846303233
dunmer nerevarine,4.099206406977475e-05
einstein,0.003168627836371612
elf,0.001020691494379694
elson,0.0015209569024672487
emo,0.0002217010329291312
emo punk,0.0017430591625929898
engine,0.0011055837613182463
entries sony,0.0007009175503743463
fantasy art,0.0031890568987693593
fantasy painting,0.0014788237478786563
fantasy style,0.0003740060001713652
faroe azores,0.0007500968476419884
fashion clouds,0.00017757980665063106
fiction,0.0002791982735128643
fiction film,0.006595353051976733
fifth element,0.0008262392279465463
film,0.005527287093514391
film neuromancer,0.0005242270880826141
flamingos,0.0008225167918554653
flowers,0.0016102793263840275
fluffy,0.0006520519212005455
footage,0.0011916263115807995
forest,0.001782377717612324
frazetta,0.0015823927609880512
frazetta fantasy,0.0002036117932605911
frazetta giger,0.0020492459318701404
futuristic,0.00014342999604616288
garden,0.0006922083748242003
garden intricate,0.0032632880539255923
giant,0.00023098911836676116
giant digital,0.0006266086884310455
girl clouds,9.820927628451878e-05
glamorous sophisticated,0.002740760999786947
glimpse universe,0.0028540408106762427
goddess,0.003693916106582639
