keyphrase,mean_abs_shap
abandoned,0.001016800365377324
alien,0.0026377831210060917
alien planet,0.0012210863036090991
android cyborg,4.984752118844342e-07
anime,0.004387307477704431
anime colors,300109952943.74445
anime epic,0.00037247908886722824
armor daedric,0.0
art,0.017283299909331893
art artgerm,0.002007547403605504
art city,0.0014757124857618057
art hyperrealistic,0.0007608139649214126
art josan,0.0011526636831976863
art lifelike,0.0020538845180360274
art punk,1.5744361363240553e-05
art realistic,0.0009601059444850904
art sharp,0.004224072363722687
art smooth,0.0013108331701342432
art style,0.003759284563862546
art thorough,0.0028626375368638267
art trending,0.00204525439343534
artistic,0.0009178025988712464
artistic painting,0.0006227106871150262
artstation,0.009755428149950432
artstation cinematic,0.001052173728730404
artstation galaxy,0.0015905153143959167
artstation hyperrealism,0.00023406040707879715
artwork,0.006978884047434275
atmospheric lighting,0.0004623044379854838
avant garde,0.0009371491944774265
azores,0.0005750437005776587
azores islands,2.7539597786192527e-05
beautiful landscape,0.002097721972259249
beneath cherry,0.0012114175892043199
bjork,0.0004948072930179648
black,0.0018829649179435178
body manga,0.0008978218941529794
body portrait,0.0017142901716837278
body shot,0.0
bonsai,0.00211611555878425
bonsai tree,5.728019240305495e-05
bull looking,0.0
bull modeled,3.1330084144038167e-06
butterfly volumetric,0.00016365849213497688
camera,0.00039561138855024263
candle butterfly,0.0003531140197875863
candle volumetric,0.00119437775914753
canvas,0.0023384841920207028
castle,0.0016632530649941146
castle enclosed,0.0008862872659655851
cat,0.0013117082814505905
century,0.0008557468447244761
century modern,0.004701761742089186
character portrait,0.002183968585500295
chris foss,0.00019177501102945595
churches domes,0.0008593520477897679
cinematic,0.002885026242331743
cinematic composition,0.0039682565720335315
cinematic deviantart,0.0004643902462463482
city,0.003126965191912913
cloud fashion,2.8316984881301996e-05
clouds,0.0021340298097046336
clouds covered,0.0002627835330657107
clouds girl,0.000883846537264297
clouds madeira,0.00011262333952001683
collage canvas,1.0562547918239002e-05
colors,0.0003557615831291109
colossal,0.0008676603321251118
colossal goddess,9350391156.841726
comprehensive art,0.0012988889468699204
concept art,0.009890928339596976
contemporary art,3.255613362563587e-05
cute fluffy,0.0025453572465490987
cyberpunk,0.005396834645501403
cyborg,0.002175483358155851
cyborg body,0.0
cyborg bull,1.9298245931755534e-06
daedric armor,0.0004260700529252403
dark,0.0012305472126268922
dark uncanny,0.002768500800084761
detailed painting,0.003387500085447677
detailed portrait,0.0007213838298380307
detailed ultra,0.007066681174592823
details intricate,0.0011162721276167793
detective pikachu,0.0012525159694378202
deviantart,0.0013691244478562764
deviantart hyperrealistic,0.0005140573637842412
deviantart realistic,0.0018572593690757454
digital art,0.00311114205124998
digital painting,139893210374.5533
digital render,0.001463168868229315
divine,0.0002079705176288383
dog,0.002139070185728766
donald,0.001021723839936634
dragon,0.00042539887596209833
dramatic lighting,0.0010885349139559707
drawing,0.0030354595294901313
dunmer nerevarine,0.0007253079058254666
einstein,0.0033938175796387185
elf,0.0007236841415331026
elson,0.005127459780314873
emo,0.0002651771885516634
emo punk,0.0009021408480557737
engine,0.00032681927506196675
entries sony,0.0007098891730738505
fantasy art,0.002494173096360585
fantasy painting,0.0037061894351707687
fantasy style,0.0001463548298812041
faroe azores,4.991826196969672e-05
fashion clouds,0.000879463737009645
fiction,0.0002637746473952096
fiction film,0.0021534481287758082
fifth element,0.0016606086889823888
film,0.002537221986384683
film neuromancer,0.00042071202436275363
flamingos,1.3345489211811972e-05
flowers,0.003320040637597174
fluffy,0.00016967430123859557
footage,0.001275364696631094
forest,0.0009053788051008307
frazetta,0.0013179815311597017
frazetta fantasy,0.0008447265905656974
frazetta giger,0.0015191407850159472
futuristic,0.001525368048260853
garden,0.001201082044353546
garden intricate,0.001559954096188036
giant,0.0014633690061477457
giant digital,0.0007389943625889018
girl clouds,0.001091666032204038
glamorous sophisticated,0.0020663010149137317
glimpse universe,0.0015483789258205006
goddess,0.0014658472494609178
goddess creative,0.0011686594344551768
goddess wearing,0.0010785709987315485
gordon,0.0031721373337563665
goth,0.002833362891185018
goth emo,0.0010818665693324942
goths,0.0009459284886175289
goths loitering,0.00149563257928303
gundam,0.001979243954660986
gundam unreal,0.0004411367926105427
gustav klimt,0.006757065220234286
hd,0.0015348907517245384
hd goth,0.0010467766279648703
hd painting,0.001824301814453397
hd unreal,0.00074685574897801
heavy detailed,0.0014223692995796997
high quality,0.0012379571054734566
hills slavic,0.0006928479660507695
himalayan,0.00017552708221780695
himalayan rocksalt,0.00012516899716419187
houses,0.0015705802832677463
houses built,0.0012113149389908612
hyper detailed,0.001507492390992364
illustrated,0.0015914801689217591
illustration,0.0015375914551833947
illustration art,0.005009667300983796
imposing cyborg,0.0
intricate details,0.001394416117847818
intricate hyper,0.0006355332446148247
intricate royo,1.2721560214025557e-05
intricate volumetric,0.0016090097724744611
josan,0.002612536424703906
josan gonzalez,0.0022661456579820727
knight,0.0021675600564707467
kylie,0.000984100826459056
kylie minogue,0.001111004410589607
lamp,4.3377721329265593e-05
landscape,0.00448277347754735
landscape colourful,0.0009161825781234086
lantern candle,0.00013839902439064628
length portrait,0.0017177138281208521
lifelike photorealistic,0.000905005984678574
lighting,0.0014313015591599395
lighting hd,0.000385632636149044
lightning intricate,0.002219569483670258
log houses,0.0013280050152526706
looking camera,7.082089013068167e-06
low clouds,2.9353493415690286e-05
madeira faroe,0.0003666112487001543
male dunmer,0.0007783501469632465
manga,0.002882467008112757
manga illustration,0.0007692945861482721
marble hourglass,0.0012842800740778006
matte,0.0008436311798790794
matte painting,0.0017580281401558054
media collage,1.6533824178092045e-05
mid century,0.0013886577026627487
minogue,0.0010036153798375846
mixed media,0.000120032409828751
modern,0.0010616764229532008
modern art,0.00334138123993868
movie,0.0015713404835011966
movie poster,0.0008799604265076344
natural scene,0.0009387833015920266
nerevarine,0.0006102939161809105
neuromancer,0.0005343982174094208
oblivion skyrim,0.0
octane render,0.0032194743496580156
oil painting,0.0031925771636360026
overcast thunder,4.2593876146998245e-05
pablo picasso,0.0014589098355472785
painted,139893210374.5531
painted pablo,0.0007078635365409413
painting,0.01998185737623916
painting aesthetic,0.0
painting artstation,0.002027895720604069
painting beautiful,0.0018758910732247635
painting character,9350391156.841915
painting chris,0.0001939869343361009
painting deviantart,0.001334225486844428
painting lurid,0.002603904726317508
painting lush,0.0
painting peter,0.0026514676708239665
painting ronny,0.0010883095400056203
painting sargent,0.001146860660411671
painting stalenhag,0.0010342561342972483
painting unreal,0.00010503189641593672
peter,0.001054139829787604
peter elson,0.0011245830173044764
photo,0.0026691626734714675
photo realistic,0.004491583237910168
photograph,0.0007043483539790992
photograph divine,0.000974758330334641
photography,0.004786399033386932
photography awards,0.0007473971133706686
photorealistic,0.0022114535358355586
photorealistic digital,0.0019443079009034952
phyics entries,0.0009998431998144946
picasso,0.0014658711579056383
picasso hair,0.0007930728954297551
pikachu hannah,0.0011306492776688504
pink bonsai,0.0015135097338446807
pink flamingos,7.319599395695865e-06
pixar,7.874959984108028e-05
pixie cut,4.6294951177123116e-05
portrait,0.015103973979892117
portrait extremely,0.0007869665371578937
portrait intricate,0.0007450124819688181
portrait male,0.002484949190858996
portrait painted,0.0014558167756560047
portrait painting,0.001152729387341438
portrait photograph,0.00024986813732462583
portrait sabouts,0.0017564854401175447
portrait scifi,0.0015486264805321783
punk art,3.087648598703284e-05
punk portrait,0.0006666634471850982
puppy,0.00104180623656915
render hyperrealist,0.0013515198735211099
robot,0.0004188233971260277
rocksalt lamp,0.00024441495311855574
rpg portrait,0.0020786587192370117
runway,0.0026966595716375456
saitama,0.0013166608769499455
saitama anime,0.0009612548794245161
scene,0.0014738320130851172
scene science,0.0024097913437873433
science,0.0011522837356241135
science fiction,4.17752629491469e-05
screenshot,0.00015766367437772245
shade talking,0.0007972379051067229
skyrim elegant,0.0014409520432299826
sony,0.0013651499874680895
sony world,0.0006532501091685191
space,0.0037570062148893414
starmaker,0.0024653841800282563
starmaker matte,0.000870464637029585
stars,0.001705116618672216
statue,0.0008841415603513454
steampunk,0.002337960008955425
steampunk butterfly,0.0007407189002760073
steampunk himalayan,0.00024886352790643514
studio ghibli,0.0003850501625094177
style contemporary,3.438398946594376e-05
style portrait,0.0008657608464166103
surreal,0.0022468059221919827
surreal concept,0.0008752350097030746
surreal glimpse,0.0017435192929812237
surrealism,0.0013354347062788981
surrealism surreal,0.0011934244182800046
tall castle,0.0007699457539404183
tracing artstation,0.000789391469259532
traits painting,0.0008016041112554151
trending artstation,0.008653855458946971
ufo,0.0015958540920408195
ufo ignoring,0.0010232541303058958
ultra realistic,0.0019229225601185979
uncanny painting,0.002218598181858983
unreal engine,300109952943.7471
vallejo frazetta,0.0009428153028536579
vivec portrait,0.0
volumetric lighting,0.0011505800332738203
wallpaper,0.0007493781936138277
wallpaper illustration,0.00033947903831027445
wearing cloud,2.129885779990127e-05
wizard,0.00024504976766725296
woman,0.0012684058914577089
wooden churches,0.0007751960512109086
world photography,0.0013247342851957812
zdzislaw beksinski,3.906020886072009e-05
