keyphrase,adjusted_mean_shap
goddess creative,843090691855.5492
digital painting,667291321485.3025
painting,632318018891.6816
artstation,632318018891.6722
unreal engine,75027488235.94054
anime colors,75027488235.93674
painted,46631070124.851524
cyberpunk,26146219893.747314
art thorough,26146219893.745605
colossal goddess,2337597789.21104
painting character,2337597789.210754
beautiful landscape,367119839.0904072
glamorous sophisticated,367119839.08318067
portrait,0.0215890340179538
art,0.0135766180941272
artwork,0.009670531530677375
concept art,0.006416131953407475
art sharp,0.00583417075003115
detailed ultra,0.005508303160223875
fiction film,0.0049521579081182755
illustration art,0.0048228078366808255
runway,0.0047678504558002245
trending artstation,0.004764022625847025
gustav klimt,0.0046469709948743256
gordon,0.004481854371800575
digital art,0.004372747449983375
century modern,0.004368202846164375
einstein portrait,0.0040363019853142
elson,0.004020744856776775
photography,0.00399811109278365
detailed painting,0.003957839711573575
space,0.003926616465473975
canvas,0.003614458306730975
surreal,0.0035810337613910253
character portrait,0.0034943497438368752
starmaker,0.0034688448803778
drawing,0.003448680797988225
art artgerm,0.003431266816489175
film,0.0034099036567207
josan,0.0033742518223078997
josan gonzalez,0.0033182127981832496
landscape,0.0032938434645759995
painting peter,0.003110395491430114
deviantart realistic,0.0030968453602878503
modern art,0.0030439307744576996
photo realistic,0.003018096004154725
manga,0.002990426501137775
goth,0.00283676911974955
oil painting,0.0027999601369578502
art smooth,0.0027294186057659495
octane render,0.0027169290875264
anime,0.0027000573800630002
goddess,0.0026999333932520003
realistic render,0.0026978326603624
design,0.0026743131132655
surreal concept,0.002649875134532775
fantasy art,0.002648218286605575
cinematic,0.002637832040514768
photorealistic digital,0.0025057532045190747
photo,0.002504612037486325
portrait painted,0.002494031223909975
garden intricate,0.0024074198336337255
city,0.0023967496063133
black,0.00239363157101415
stars,0.0023858462315615252
einstein,0.002384942996504275
photorealistic,0.002345151400451825
knight,0.0023161274973593667
portrait painting,0.00228157234205865
clouds,0.00226588087555245
portrait male,0.0022073781893601502
glimpse universe,0.0021673068649417666
cinematic composition,0.0021136570631687503
natural scene,0.0020905743150379
deviantart,0.002079738095818925
lightning intricate,0.0020540481813757
gundam,0.002047369562049625
painting artstation,0.002045094434349075
detailed portrait,0.0020291632398394
matte painting,0.0020186815438369247
frazetta giger,0.002012235572193625
art hyperrealistic,0.001935999055769975
mid century,0.0019317079710954774
sony,0.001918538313156375
length portrait,0.0018826285482903802
donald,0.0018805575731395251
dark,0.001878147300240475
art style,0.0018732394099497743
pink bonsai,0.00186723734090305
ultra realistic,0.001864483780916175
picasso,0.00185283779877235
hd painting,0.0018408552659971498
painting beautiful,0.0017674937511395
bonsai,0.0017570737982233252
oil,0.0017475870382484
candle volumetric,0.0017393015772137
steampunk,0.0017246908276109215
flowers,0.0017216421246141666
illustration,0.001715346975363725
fantasy painting,0.0017146932655979
dark uncanny,0.00171303715671765
bosch,0.001705471093431
art josan,0.001676451860121272
photorealistic highly,0.001664554103083
high quality,0.0016463337164966552
digital render,0.0016380179376455249
headshot edwardian,0.0016249253229303
earth,0.0015956688060569
surreal glimpse,0.0015846805109011666
hd,0.0015731579206493252
cyborg,0.0015409311755989336
scariest looking,0.001534597236677
fine artistic,0.0015280235663233
thanos style,0.0015252814115557
scene,0.001518756096286125
painting sargent,0.0014853783498722
style portrait,0.00148520488173005
gonzalez,0.0014280443959681
castle,0.001426608187556575
illustrated,0.0014087180645851
skyrim elegant,0.0013970681341539501
intricate hyper,0.001388275332999225
lighting,0.001386101818025275
lifelike photorealistic,0.00137621392670585
realistic photo,0.0013613623161712
woman,0.0013605912583087498
cyberpunk art,0.0013588226568617
dramatic lighting,0.001352309787145775
emo punk,0.001350148227092825
heavy detailed,0.0013467269036841253
alien planet,0.00134518338195295
world photography,0.00134475626470365
wallpaper,0.001336764978946375
greek man,0.0013275823148783
hyper detailed,0.0013250130558659751
dog,0.0013230516895812335
intricate volumetric,0.0013097527906893501
cute fluffy,0.0013052035774724507
forest,0.0012969929410570251
rpg portrait,0.001294770428621775
portrait ancient,0.0012709015860715
art trending,0.00127026360399215
garden,0.001265765301403775
surrealism,0.0012636949737064702
fluffy,0.0012548428576245752
fifth element,0.0012502001744404499
portrait sabouts,0.00124671733196325
alien,0.0012438358807483917
engine,0.0012391780768625103
blinders photography,0.0012354005918834
starmaker matte,0.00122349744793825
ufo,0.001210998195108775
goths loitering,0.001205819755690005
artstation galaxy,0.001204510983457825
surrealism surreal,0.0011950726420267
anime epic,0.001194374182849425
media collage,0.0011905216479842979
cinematic deviantart,0.0011707598564283982
saitama,0.001154499006553675
digital,0.0011486760998644
cat,0.001147859730762525
room,0.0011172668134459
artstation cinematic,0.0011083639734288365
fashion clouds,0.001105196167272525
elf,0.0011042440769424404
comprehensive art,0.0010922537123042285
goths,0.0010870641295067404
matte,0.001079463851738625
houses,0.0010734653934623
movie,0.0010709129707060655
hd goth,0.0010706026493348
painting lurid,0.0010688953046541
volumetric lighting,0.001068144547547625
frazetta,0.0010666254878657
uncanny painting,0.0010618993141596
landscape colourful,0.001049037944500925
peter,0.0010487586524069534
tracing artstation,0.0010401351668232932
atmospheric lighting,0.0010395355370098188
picasso hair,0.0010366794747006499
details intricate,0.001034903142191062
portrait scifi,0.001026079578623725
salvador dali,0.0010162778364644
goth emo,0.001006816799660575
painting stalenhag,0.001004523490906925
puppy sitting,0.0009959062171925
colossal,0.0009795024167049459
painting deviantart,0.000974268887770475
madeira faroe,0.0009691930734637832
punk art,0.0009498467016810081
photograph divine,0.0009324869128654694
photograph,0.0009174526651026251
entries sony,0.0009144880980951751
artistic,0.00090673957271325
camera,0.0009057171882441824
movie poster,0.000905406843002475
render hyperrealist,0.0009013289979341
intricate details,0.000889536720037278
body portrait,0.0008823726025577754
wizard,0.0008788486768545999
intricate royo,0.0008696439339452063
pablo picasso,0.0008522337085260249
scene science,0.0008475923286353001
peter elson,0.0008453957997558001
portrait extremely,0.000842932146123425
beneath cherry,0.000841875114778175
saitama anime,0.0008409561295577999
art lifelike,0.000837441440737175
portrait photograph,0.0008348947734720999
manga illustration,0.0008334738177357251
footage,0.0008223303360705667
gundam unreal,0.0008116463017012346
sony world,0.00080669820754285
bjork,0.00080561005712605
film neuromancer,0.000801239773149375
sky,0.0007957427437654
himalayan,0.0007935968656711999
marble hourglass,0.00079207463880755
rocksalt lamp,0.0007900692686771
lamp,0.0007856538840058415
body manga,0.0007825728565348691
