keyphrase,mean_abs_shap
abandoned,0.0001771273202163046
alien,0.0002076693569470318
alien planet,9.807013241585316e-06
android cyborg,2.7983991366141967e-06
anime,0.0006680248484904915
anime colors,0.00017176064346898027
anime epic,0.0
armor daedric,0.0
art,0.0002604140894274377
art artgerm,0.0002589181221244635
art city,0.00022003384363311306
art hyperrealistic,0.0
art josan,0.0002767276794811104
art lifelike,0.00023624599558578116
art punk,0.00042375743150755937
art realistic,8.583983706541369e-05
art sharp,0.00015622778085561063
art smooth,0.00022659912933387406
art style,0.00021414277436402487
art thorough,0.00017333855191483505
art trending,7.779812325668119e-07
artistic,0.0
artistic painting,0.0
artstation,0.003289594014494733
artstation cinematic,0.00021924457956916269
artstation galaxy,0.0002096344850405099
artstation hyperrealism,0.00584929621068242
artwork,8.127353220587763e-06
atmospheric lighting,6.58793555119759e-06
avant garde,0.0002689305680308116
azores,6.209777207802339e-06
azores islands,0.0
beautiful landscape,1.302560074367093e-07
beneath cherry,0.00021942736424418992
bjork,0.00048144396696233243
black,0.0020003580057100503
body manga,0.0002134199766861845
body portrait,0.00022672733368587637
body shot,0.0
bonsai,0.004072659314560545
bonsai tree,0.0
bull looking,0.0
bull modeled,0.0
butterfly volumetric,4.655271315338741e-06
camera,0.00010826413405877968
candle butterfly,1.977052082189303e-06
candle volumetric,0.00022950410987851474
canvas,0.0006890908941513241
castle,0.003907519511592518
castle enclosed,0.0002955778102787896
cat,4.103999787627134e-07
century,0.00035368027412968243
century modern,0.00018749234954629887
character portrait,0.00027154468653401207
chris foss,0.00020717749894368198
churches domes,0.00023041527020064586
cinematic,0.0005443899047250118
cinematic composition,0.004687553981715049
cinematic deviantart,0.0
city,0.00031214178355452567
cloud fashion,0.0
clouds,0.0008874162077876989
clouds covered,3.1947660868794053e-05
clouds girl,3.2121628577279115e-06
clouds madeira,4.725139949833367e-07
collage canvas,0.00021209808985667283
colors,2.0389877748270525e-06
colossal,0.0
colossal goddess,6.1156560784528686e-06
comprehensive art,0.0017454025371021397
concept art,0.01095882708568105
contemporary art,0.0002783780269509458
cute fluffy,0.00015803055019763398
cyberpunk,0.0014052867412689524
cyborg,2.307973105061758e-06
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00027752690363787167
dark,0.0009905093966482072
dark uncanny,0.00018178954919101842
detailed painting,0.00023665036891376337
detailed portrait,0.00021067695911456153
detailed ultra,0.000994819989967883
details intricate,0.00011037475420009922
detective pikachu,0.0
deviantart,0.009240086874601663
deviantart hyperrealistic,0.0
deviantart realistic,0.008433506979422465
digital art,0.0006352783449379479
digital painting,0.0009485646203140868
digital render,7.549454488816842e-06
divine,0.0004534637088494751
dog,0.0
donald,0.0009144752039734879
dragon,0.0
dramatic lighting,0.0006685928421827708
drawing,3.120918688443286e-05
dunmer nerevarine,0.00020354561267074206
einstein,0.0011692281706766868
elf,0.0003284208369778148
elson,0.0002230521730244308
emo,3.4919569140864206e-06
emo punk,2.9498119806212677e-06
engine,0.0
entries sony,0.0003499456227484851
fantasy art,0.0001990822730581833
fantasy painting,0.0002284508601272069
fantasy style,2.626165859656273e-06
faroe azores,1.1105097991924561e-06
fashion clouds,0.00208732938190773
fiction,0.0002623021626372579
fiction film,0.002204588204140133
fifth element,0.0021646844793733484
film,0.02588511193482854
film neuromancer,0.00029902417924635235
flamingos,0.00020693066058408694
flowers,0.005966580427197119
fluffy,0.00021859042863026359
footage,0.0005132070939902135
forest,0.002121504164829626
frazetta,0.00024120531169523517
frazetta fantasy,1.2994471535732052e-06
frazetta giger,0.0002320753346522125
futuristic,0.00018720233605926058
garden,0.00021677532322553114
garden intricate,1.1094117929843e-05
giant,0.0
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,0.00029662471817005364
goddess,0.000966983994777978
goddess creative,0.0
goddess wearing,2.7244205196074646e-06
gordon,0.00020118986574473342
goth,2.2541021521667066e-06
goth emo,0.0
goths,0.00024177095599615638
goths loitering,0.0002024562250875142
gundam,0.00023280296182430664
gundam unreal,0.00021574478909173534
