keyphrase,mean_abs_shap
abandoned,0.0036177567865764
alchemical creatures,0.0013579884308974127
alien,0.0014929773054968216
alien planet,0.0004940456950799469
android cyborg,0.0016130080437654218
anime,0.004385059528005236
anime colors,0.00031447587128185264
anime epic,0.0008787945410489611
armor daedric,0.0022231639390957536
art,0.007869970359081144
art artgerm,0.0030725881681361923
art city,0.0009565209717843257
art hyperrealistic,0.0014486598649043514
art josan,0.0017428897393144112
art lifelike,0.0043274810783109395
art punk,0.0017328711513260927
art realistic,0.002308189387951616
art sharp,0.003957591120852742
art smooth,0.0029371564547619263
art style,0.0018138550775999662
art thorough,0.002385442607708955
art trending,0.0017784597705783217
artistic,0.0019475228069033349
artistic painting,0.0001804339184233185
artstation,0.011759253509133118
artstation cinematic,0.0018588259481065544
artstation galaxy,0.0008353393954169748
artstation hyperrealism,0.011063030816499817
artwork,0.000319512714599981
atmospheric lighting,0.006405167560856266
avant garde,0.0008053208139091272
azores,0.0015869597552057267
azores islands,0.002264992506147845
beautiful landscape,0.0003300319836300511
beneath cherry,0.0022292061147025652
bjork,0.004322603715722306
black,0.005969000284025738
blinders photography,0.0005044307801381738
body manga,0.006049849543055686
body portrait,0.00030847301036682776
body shot,0.0028251336044937347
bonsai,0.001480235848574011
bonsai tree,0.0026200468871476162
bosch,0.0017435488909524539
bull looking,0.0013387576347340037
bull modeled,0.002203544174145997
butterfly volumetric,0.002948063756777629
camera,0.0014821522056247787
candle butterfly,0.0019311288412560876
candle volumetric,0.0025905790628903747
canvas,0.014957676072608108
castle,0.005581935624608377
cat,0.004128559387833809
century modern,0.0011712288737323144
character portrait,0.0007029445920503975
cinematic,0.006482048753801417
cinematic composition,0.008781821442656521
cinematic deviantart,0.002518090704876113
city,0.006124942932848636
clouds,0.005953035387950924
clouds madeira,0.0015559254680618184
collage canvas,0.0023420289629077196
colossal,0.001208596016520493
colossal goddess,0.0017946983572279351
comic book,0.000668335905784092
comprehensive art,0.006245243263184486
concept art,0.01602583198181009
contemporary art,0.001984707012986945
creatures surreal,0.002134798791004727
cute fluffy,0.005588911706264853
cyberpunk,0.001250389951362753
cyberpunk art,7.131891761635607e-05
cyborg,0.0033565233427528176
cyborg body,0.00129934246307181
cyborg bull,0.0015735796396581284
daedric armor,0.00015517820814645416
dark,0.003848218620789578
dark uncanny,0.0018211106419609466
design,0.004070159081536748
detailed painting,0.0029430370480094986
detailed portrait,0.00464157202891191
detailed ultra,0.002307763251577754
details intricate,0.00026377362465012234
detective pikachu,0.0019162306029990078
deviantart,0.0035671323780333847
deviantart hyperrealistic,0.0014063459392625404
deviantart realistic,0.009525796731428633
digital,0.0009394931688692327
digital art,0.00734666657448708
digital painting,0.013798699531127131
digital render,0.00019230551474900274
divine,78017303077.37953
divine pink,851920892595.8201
donald,0.002928455215130181
dragon,0.003201235554264425
dramatic lighting,0.0015934547854155985
drawing,211949442926.06268
dunmer nerevarine,0.0003280010231990883
earth,0.0017931764234663304
einstein,0.0037697615026874866
einstein portrait,0.0021772213323832694
elf,0.0018484956339389499
elson,211949442926.06696
emo punk,0.0016757874154014205
engine,0.001075529517613424
entries sony,0.0017374733354926914
fantasy art,0.0012789859019135697
fantasy painting,0.0028087738896535822
fantasy style,0.0018772185733988138
faroe azores,78017303077.38068
fashion clouds,0.0037164435866021356
fiction,0.0006810397220983913
fiction film,0.0069345153710698715
fiery alchemical,0.0013778322002767122
fifth element,0.0031299156517522477
film,0.007545402010446872
film neuromancer,0.0
fine artistic,0.0003137115149656393
flamingos,0.002427587325457838
fluffy,0.0014344310480078357
forest,0.003835084402940927
frazetta,0.0005194769122469795
frazetta giger,0.001135008875695396
futuristic,0.0026488922362601286
garden,0.00045789351641732553
garden intricate,0.0036847899682427216
giant digital,0.00112810827603412
glamorous sophisticated,0.00176484879127638
goddess,0.004224757890090701
goddess wearing,0.0001568191445355964
gonzalez,0.0005078834624696703
gordon,0.0030223428923928206
goth,0.0015954586656945849
goth emo,0.0020227606340749078
goths,0.002306063780666688
goths loitering,0.0018756545731670787
greek man,0.00031746670616751886
gundam,0.004733054380941137
gundam unreal,0.0008823043998110416
gustav klimt,0.0018387890467100657
hd,0.002917674704652278
hd goth,0.00448015913545196
hd painting,0.002807845799794051
hd unreal,0.001277167171749323
headshot edwardian,0.0019523750499149145
heavy detailed,0.00970608304487015
high quality,0.006759867026412777
himalayan,0.003310682258122483
himalayan rocksalt,0.001804110441611032
houses,0.0019318639620421799
houses built,0.0009919715541313343
hyper detailed,0.0003957281757816123
illustration,0.0014751920444126944
illustration art,0.012024414089716747
imposing cyborg,0.0019062234191041744
intricate details,0.011125785017813116
intricate hyper,0.0035792133111108475
intricate royo,0.0009273271299882643
intricate volumetric,0.0029330531701508345
josan,0.0006060186587270305
josan gonzalez,0.003662066161949425
klimt,0.0034945728932131077
lamp,0.0020232448493783116
landscape,0.003911826118173134
landscape colourful,4.468863409010406e-05
lantern candle,0.0016657135727860808
length portrait,0.0037960017330842164
lifelike photorealistic,0.0018341881449281032
lighting,0.0025235925588000634
lightning intricate,0.004664326809425126
log houses,0.0007532301035603869
looking camera,0.0013524121543778433
low clouds,0.0036257442120767574
madeira faroe,0.0036127958232728906
male dunmer,7.652258454644514e-05
manga,0.0014830188581627579
manga illustration,0.005162660411657366
marble hourglass,0.001715990235437272
matte,0.0028267255158251773
matte painting,0.006479487701502561
media collage,0.0015432925616389267
mid century,0.006439416033114886
modern art,0.0018502127385196928
movie,0.002537160610632811
movie poster,0.0012828936320001686
mysterious,0.0015806583709476246
mysterious ufo,0.0015197035463199444
natural scene,0.01268325701769304
nerevarine,0.0001251577658107775
neuromancer,0.0008794355263349021
oblivion skyrim,0.00019683137073432877
octane render,0.0009480433942863801
oil,0.001836165592701139
oil painting,0.004735881757893039
overcast thunder,0.00492559332489959
pablo picasso,0.0028967853103194956
painted pablo,0.0013082390232948791
painting,0.012468478213107337
painting aesthetic,0.0014302993859702721
painting artstation,0.006216284009244522
painting beautiful,0.001869199152641081
painting character,0.0013988137724102723
painting deviantart,0.008578029304055098
painting lurid,0.00029532067724615023
painting lush,0.004085049235245354
painting peter,0.005061168038056764
painting ronny,0.003195977020768287
painting sargent,0.004520536568105924
painting stalenhag,0.006223289365945169
painting unreal,0.0014288710028722113
peter,0.0014476116662418608
peter elson,0.0013623497189611795
photo,0.005913840006811862
photo realistic,0.0036450678992799653
photograph,0.004492588275425143
photograph divine,0.0018988027558326343
photography,0.007759429397186392
photography awards,0.0049957941369842595
photorealistic,0.009845875113056771
photorealistic digital,0.0014412514347567208
photorealistic highly,0.003995536540285824
phyics entries,0.004046644515524104
picasso,0.0063117289583330145
picasso hair,0.002148364688729466
pikachu hannah,0.0021216605007965553
pink bonsai,0.001261207368466141
pink flamingos,0.001589250977066996
pixar,0.0029089938328804095
portrait,0.01759333265531754
portrait ancient,8.517920695311532e-05
portrait extremely,0.001289640557309927
portrait intricate,0.002765481697183197
portrait male,0.0014939766683206394
portrait painted,0.003979995415056328
portrait painting,0.0044242919528199995
portrait photograph,0.0021488428248363227
portrait sabouts,0.0034927251870806807
portrait scifi,0.002701579218281911
punk art,0.0016665254811901247
punk portrait,0.002848240880733643
puppy,0.00013505431742569148
puppy sitting,0.0007329281892075639
realistic photo,0.0019239985339974954
realistic render,0.0019571042593598304
render hyperrealist,0.0037306705409474354
robot,0.0016051967871620633
rocksalt lamp,0.0010412976782407143
room,0.0003824007371046032
rpg portrait,0.0024672343212460723
runway,0.008420790470830247
saitama,0.0015187012938071712
saitama anime,0.00154368096834994
salvador dali,0.0019015618721564902
scariest looking,0.0024040247383331818
scene,851920892595.8214
scene science,0.0004950506223556672
science,0.00034053739050419807
science fiction,0.0006223332081037686
screenshot,0.0004207072320841248
shade talking,0.0012296065307989073
sitting snowy,0.0013490146727572357
sky,0.003683600122797755
skyrim elegant,0.005474365636711119
snowy,0.00034232702800476487
sony,0.0022603551600916916
sony world,0.0012932234568087265
space,0.003390279315679035
starmaker,0.0020563279000003786
starmaker matte,0.0006616639716227227
stars,0.0022846278532078833
statue,0.0007645891541586652
steampunk,0.00455952381066161
steampunk butterfly,0.0017016685003129355
studio ghibli,0.0025242631547943736
style contemporary,0.002676872532283021
style portrait,0.0020415267652789462
surreal,0.008579035030638964
surreal concept,0.002649459248942716
surreal dark,0.0014369696566424305
surrealism,0.00903105389322767
surrealism surreal,0.0014514953360747183
thanos style,0.0007719463825791444
tracing artstation,0.0018675054795815364
traits painting,0.0017585429486637973
trending artstation,0.004429599146636171
ufo,0.0016333126342209067
ufo ignoring,0.005752055267030123
ultra realistic,0.0018956082348052267
uncanny,0.0018222810942051181
uncanny painting,0.00255480255689983
unreal engine,0.006662678273714932
vallejo frazetta,0.002538853538495041
vivec portrait,0.00015243333708130102
volumetric lighting,0.0016266350673495114
wallpaper,0.003370157616482887
wallpaper illustration,0.0017007257838197434
wizard,0.0055670941737449705
woman,0.0003810540845051505
world photography,0.002009312460372207
zdzislaw beksinski,0.0016383702051583709
