keyphrase,mean_abs_shap
abandoned,0.004380604518527808
alien,0.0008511824952691861
alien planet,0.00011072121233770341
android cyborg,0.0007786221469128511
anime,0.00319323691670565
anime colors,0.0007209299503706484
anime epic,0.0007228355210822722
armor daedric,0.00087138380091733
art,0.007446507932654756
art artgerm,0.0009647632493372884
art city,0.0008857311295721975
art hyperrealistic,0.0005829601189129517
art josan,4.4222408672437163e-05
art lifelike,0.0007178073079231372
art punk,0.0013377716719361926
art realistic,0.0021047782284429307
art sharp,0.0012450987667728284
art smooth,0.0026456527350747164
art style,0.0011297386365943245
art thorough,0.0014409222071018514
art trending,0.0006875703137813672
artistic,0.0009932198075986436
artistic painting,0.0007348265622663385
artstation,0.01575289958213516
artstation cinematic,0.0008935962850528362
artstation galaxy,0.0001394134940109479
artstation hyperrealism,0.00850522228562812
artwork,0.0019008260506241758
atmospheric lighting,0.00011862707981778036
avant garde,0.000957177917104255
azores,0.0008222492113686837
azores islands,0.0010157993933701552
beautiful landscape,6.73302800846778e-05
beneath cherry,4.836633589869495e-05
bjork,0.0016334494928259846
black,0.003830365635696748
body manga,0.001163274652244795
body portrait,0.0006901441008368149
body shot,0.0006891336012223991
bonsai,0.00566156777690663
bonsai tree,0.0001701021450547913
bull looking,0.0008762912982853097
bull modeled,0.0008534446906024527
butterfly volumetric,0.0006097529625268808
camera,0.005138109966424644
candle butterfly,0.0005378742231333072
candle volumetric,0.00025810942679949453
canvas,604204751072.9303
castle,0.004546669476344634
castle enclosed,8.274006600678174e-08
cat,0.0022462970898899947
century,0.0003654427354410572
century modern,0.002075342588601278
character portrait,0.001131304226307516
chris foss,0.0008295343059105908
churches domes,2.716401216766447e-06
cinematic,0.0014181935407895894
cinematic composition,0.006254326510652395
cinematic deviantart,0.0011775827626828836
city,0.0013862200192082952
cloud fashion,0.0
clouds,604204751072.9305
clouds covered,0.00024009459546117884
clouds girl,0.0
clouds madeira,0.0017538082614640964
collage canvas,0.0011320495014691134
colors,0.00030428855582860845
colossal,0.0007315706056642214
colossal goddess,0.0006164084088104889
comprehensive art,0.0037466893490475466
concept art,0.010271466281940377
contemporary art,0.0011776523323890468
cute fluffy,0.00048539980637737386
cyberpunk,0.003368314052493974
cyborg,0.0013492352685768821
cyborg body,0.0005425213319218839
cyborg bull,0.0005573855249092872
daedric armor,0.0007659476913706835
dark,0.015419621820575788
dark uncanny,0.0009309221073293734
detailed painting,0.0007722617612284901
detailed portrait,0.0015711312554588853
detailed ultra,0.00186232771335527
details intricate,0.0010472825380816026
detective pikachu,0.0003035032070917283
deviantart,0.010496969565338176
deviantart hyperrealistic,0.0007022062550109135
deviantart realistic,0.02073949307894426
digital art,0.004176660521790255
digital painting,0.0029124238076028773
digital render,7.472920787879498e-05
divine,0.0008828999259443237
dog,0.000814618193457669
donald,0.002005627957738991
dragon,0.0005850569099686834
dramatic lighting,0.0021598169525871807
drawing,0.0017289166588882936
dunmer nerevarine,0.0007113799284077442
einstein,0.002969591298200964
elf,0.002789484918345763
elson,0.001578021958408528
emo,0.0008958454315222249
emo punk,1.987422855775825e-05
engine,3.7684158248642665e-05
entries sony,0.0011211868152439868
fantasy art,0.00160584150471684
fantasy painting,0.002040146511474254
fantasy style,2.067771216371431e-05
faroe azores,0.0012373935975956484
fashion clouds,0.004491506940213092
fiction,0.00033397172098489805
fiction film,0.00020799981502758115
fifth element,0.003506286705990814
film,0.029680569305439858
film neuromancer,3.484342097708746e-05
flamingos,0.00012526077053760974
flowers,0.007675260354006309
fluffy,0.0003536141045363661
footage,0.00309483298552399
forest,0.004095988381796086
frazetta,0.0005140559740101064
frazetta fantasy,0.00010191643286794836
frazetta giger,0.0003637801268099919
futuristic,0.000759343049624482
garden,0.0007319844276654697
garden intricate,0.0015124951025713654
giant,0.0006030244090884831
giant digital,0.0006020718743149469
girl clouds,0.0
glamorous sophisticated,0.0010644028752092056
glimpse universe,0.0009395906817091727
goddess,0.001494365471693807
goddess creative,0.0006290164189510617
goddess wearing,0.0006849873076774294
gordon,0.0019256535294373946
goth,5.040640773307073e-05
goth emo,4.802432545881358e-05
goths,0.00010640863051535069
goths loitering,3.792767773036587e-05
gundam,0.0013268862687557872
gundam unreal,4.854596565865361e-06
gustav klimt,0.0026824186857483325
hd,0.0008276853097136412
hd goth,0.00030365955840311776
hd painting,0.00024193851808371653
hd unreal,0.00020977883516736824
heavy detailed,0.0017931520002048718
high quality,0.004265550376971498
hills slavic,0.0
himalayan,0.001010073043317641
himalayan rocksalt,1.6147869698526099e-06
houses,0.0023894856706737026
houses built,0.00015249177201417827
hyper detailed,0.0006146974818535043
illustrated,0.0004077630252095229
illustration,0.0003046471543411766
illustration art,0.007198036323857521
imposing cyborg,0.000599179602006327
intricate details,0.00216308465093684
intricate hyper,0.0009348084187395553
intricate royo,4.033416679336215e-05
intricate volumetric,0.0001778135343193164
josan,0.00035829110241516023
josan gonzalez,0.004170685651663014
knight,0.0032967008332245133
kylie,0.0005277636675472265
kylie minogue,0.0007206097083985292
lamp,5.023858766286481e-05
landscape,0.002655776703744339
landscape colourful,0.0005319492237449622
lantern candle,0.0008123341638700186
length portrait,0.004965225461371707
lifelike photorealistic,0.0006833690804729357
lighting,0.001220849747352861
lighting hd,4.3497197461106975e-05
lightning intricate,0.0021086882061576826
log houses,0.00015191318430985372
looking camera,0.0005974073576922161
low clouds,0.0008163697294676318
madeira faroe,0.002086586868349337
male dunmer,0.0008098127307514001
manga,0.005636221881419739
manga illustration,0.0008787772564587082
marble hourglass,0.00012424375767944697
matte,0.001379373603540841
matte painting,0.009304930632864134
media collage,0.000657510968617179
mid century,0.007582232195940423
minogue,0.0006519234237771517
mixed media,0.0006669896858121804
modern,0.0003919492848039611
modern art,0.0017721242815128134
movie,0.0024727331942681874
movie poster,0.0020128934406186457
natural scene,0.0038096742071619784
nerevarine,0.0009680900251207927
neuromancer,1.366660183774994e-05
oblivion skyrim,0.0009839160499645909
octane render,0.0015281417634688582
oil painting,0.003900308300204796
overcast thunder,0.0009271318169899304
pablo picasso,0.0004132874463768647
painted,0.0003597424724165984
painted pablo,0.0
painting,0.010247412693357084
painting aesthetic,0.00012222078097528423
painting artstation,0.001556187034308647
painting beautiful,0.0015394196763993334
painting character,0.0006604259291528865
painting chris,0.0009291664508566073
painting deviantart,0.0035635593016377707
painting lurid,0.0014718075511183423
painting lush,0.0
painting peter,0.0006392419117087545
painting ronny,0.001654256890863223
painting sargent,0.010682213777633174
painting stalenhag,0.002876593077238901
painting unreal,7.737981028736492e-05
peter,0.0008516544881501492
peter elson,0.002539604391661048
photo,0.008072051630563114
photo realistic,0.0030158219017725426
photograph,0.004691863695515765
photograph divine,0.0005736142015946496
photography,0.0063965500547833965
photography awards,0.001059207766092546
photorealistic,0.0043767183277339475
photorealistic digital,0.0006511718649833818
phyics entries,0.0010496596022275613
picasso,0.0032189434670007433
picasso hair,0.00020232779769242763
pikachu hannah,0.00018067105415399808
pink bonsai,0.0
pink flamingos,7.80596523232038e-05
pixar,0.0005849331725744679
pixie cut,0.0002786162853757627
portrait,0.011078574533007821
portrait extremely,0.0008032880349943181
portrait intricate,0.0006734526852281092
portrait male,0.0006850240649537906
portrait painted,0.0026431311346797512
portrait painting,0.0009288987302840675
portrait photograph,9.118951125407136e-05
portrait sabouts,0.001237444419308087
portrait scifi,0.0007639274737826572
punk art,0.0013141092060533967
punk portrait,9.897361871304422e-05
puppy,0.00161573873690018
render hyperrealist,0.0015229471415004353
robot,0.0004960398924861006
rocksalt lamp,0.0
rpg portrait,0.0010263158894518
runway,0.001420529235822017
saitama,0.0011342764641771288
saitama anime,0.002643052860698136
scene,0.0025099450276865245
scene science,4.976247046182086e-05
science,4.812575035439516e-05
science fiction,4.253858255721968e-05
screenshot,0.0007580035831070882
shade talking,0.00013749079478115272
skyrim elegant,0.001070493277481103
sony,0.0015485019258792245
sony world,0.0008855952758465842
space,0.001774231556975635
starmaker,0.0004979712645894606
starmaker matte,4.8704483266813035e-06
stars,0.00021525228174286575
statue,8.907299038042706e-05
steampunk,0.003433376650977667
steampunk butterfly,1.987558446243749e-05
steampunk himalayan,0.0009044057170232814
studio ghibli,0.0008478774993284775
style contemporary,0.0007179994279158374
style portrait,0.0009143057251247593
surreal,0.0027642396522065842
surreal concept,0.0016397311467059377
surreal glimpse,0.0007604285485335479
surrealism,0.010371894111433334
surrealism surreal,0.0009694590811388203
tall castle,4.740515425115812e-07
tracing artstation,0.00015445814483541735
traits painting,0.0006879316162449119
trending artstation,0.002131122799457649
ufo,0.006555069157302636
ufo ignoring,0.0009195819335294788
ultra realistic,0.001817261587939186
uncanny painting,0.001578199727560778
unreal engine,0.0032694196579502416
vallejo frazetta,0.0009592887216382301
vivec portrait,0.00014151340015929466
volumetric lighting,1.1330409060854793e-05
wallpaper,0.00045346517086990856
wallpaper illustration,0.00014453087706587067
wearing cloud,0.0
wizard,6.41799341750579e-05
woman,0.001048693887636959
wooden churches,8.722243024304528e-06
world photography,0.0019627275521321166
zdzislaw beksinski,0.0017951989188544806
