keyphrase,mean_abs_shap
abandoned,0.0019005958260406605
alien,0.0015399885033018823
alien planet,0.001095471199047454
android cyborg,6.3063211296522255e-06
anime,0.003068961267607911
anime colors,0.0010093386919211118
anime epic,0.0011598306100511365
armor daedric,0.00020955523998046526
art,0.006045594782470247
art artgerm,0.0013182998621632227
art city,3.388970482876906e-05
art hyperrealistic,0.0012925136989176303
art josan,0.0010863535935751937
art lifelike,9.779494634170081e-05
art punk,0.0010261138408196725
art realistic,0.0018025553457443615
art sharp,0.0015370783204022285
art smooth,0.0012567348763704521
art style,0.0007316458056325356
art thorough,0.0022461069250986586
art trending,0.002756368216053676
artistic,0.0014140178691687548
artistic painting,0.0010932874647458072
artstation,0.01357833354088719
artstation cinematic,0.00026887136899591413
artstation galaxy,6.7299092468533124e-06
artstation hyperrealism,0.0036290107311973043
artwork,0.002433308920164717
atmospheric lighting,0.0007787704362620468
avant garde,0.0002589369089254877
azores,0.001814119595288078
azores islands,0.0013041649769763256
beautiful landscape,47582637746.34965
beneath cherry,0.0008771104854390567
bjork,0.0014247702886367147
black,0.0032403809815687683
body manga,0.0017507236966570411
body portrait,0.0008087710446386694
body shot,1.0826470591937757e-05
bonsai,0.001249729060553788
bonsai tree,0.00026235999554210496
bull looking,5.23261151173601e-06
bull modeled,1.7514082458036434e-05
butterfly volumetric,0.00016884124532646184
camera,0.0019118191376313921
candle butterfly,0.0
candle volumetric,0.0003219785346076614
canvas,0.004462213647971807
castle,0.004053521346370508
castle enclosed,0.0
cat,0.0024397923742983186
century,0.0005208025516213002
century modern,0.0014361046826733355
character portrait,0.0014535734215192855
chris foss,0.000497439581211944
churches domes,1.4605042331329395e-05
cinematic,33192185283.182835
cinematic composition,0.0066887185919030315
cinematic deviantart,0.0012906993894739394
city,0.0015532685413657257
cloud fashion,0.0
clouds,0.0025655795867704717
clouds covered,0.0002612983724059674
clouds girl,3.157747640826667e-05
clouds madeira,0.0019127075418513555
collage canvas,0.0012648752312754987
colors,0.001434488234312349
colossal,0.0
colossal goddess,2.7283707147796397e-05
comprehensive art,0.004268158249981577
concept art,0.012337412161152889
contemporary art,0.0011262004970833085
cute fluffy,0.0012794558209240552
cyberpunk,0.0036686863557636794
cyborg,0.0006810775266934318
cyborg body,2.4336859517007862e-05
cyborg bull,1.957389113618617e-05
daedric armor,0.00013017857388204865
dark,0.0030215432875727176
dark uncanny,7.675515781924492e-05
detailed painting,0.0011860058968317104
detailed portrait,0.0009711002903390141
detailed ultra,0.0018736679389575388
details intricate,0.0013271832667489923
detective pikachu,0.0005941000183836804
deviantart,0.0040778487503842905
deviantart hyperrealistic,0.00012047765960287825
deviantart realistic,0.009201944819063876
digital art,0.003460843296074372
digital painting,0.013745196419525122
digital render,0.0011218092859663104
divine,0.00163833930671832
dog,0.0005746025746494966
donald,0.0009553378171109723
dragon,0.00037120948082049643
dramatic lighting,0.002885162322417132
drawing,0.0014123853288984323
dunmer nerevarine,0.0002464883987066552
einstein,0.0024988817059406238
elf,0.0010491756794661813
elson,0.002232282266382183
emo,0.001041405298109854
emo punk,0.0010553271751583481
engine,0.0013154645861425535
entries sony,0.002022758466649982
fantasy art,0.0016252424462438017
fantasy painting,0.003970452789697481
fantasy style,9.245936730775211e-06
faroe azores,0.0020782694579486558
fashion clouds,0.0015889607945554533
fiction,0.0007139189773557916
fiction film,0.0026075091990920315
fifth element,0.0028684602062124523
film,33192185283.200916
film neuromancer,1.5606267861852225e-05
flamingos,0.0
flowers,0.0024714806909675808
fluffy,0.00045176378280730416
footage,0.0025710280249928432
forest,0.006463956260227266
frazetta,0.0012193780646535387
frazetta fantasy,0.00045272851817487557
frazetta giger,0.0011943733258813509
futuristic,0.0013513153401119855
garden,0.001178958017396948
garden intricate,0.0022512073134212203
giant,0.0010989227929942462
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.0008931535454338232
glimpse universe,0.0012905835007796125
goddess,0.0019424804044531343
goddess creative,0.0
goddess wearing,0.0007770511404832259
gordon,0.0024010654039733244
goth,0.000889320138285825
goth emo,0.001004153297938087
goths,0.0013225953741588532
goths loitering,0.0012005869525511176
gundam,0.001955500660436748
gundam unreal,0.00016932633648654726
gustav klimt,0.0004652707798319953
hd,0.0018412154222570548
hd goth,0.0011155374574498371
hd painting,0.0017944157564216143
hd unreal,0.0012006491034538909
heavy detailed,0.000846150731643873
high quality,0.0037309347179871914
hills slavic,0.0
