keyphrase,adjusted_mean_shap
divine pink,851920892595.8201
scene,212980223148.95676
canvas,151051187768.2376
clouds,151051187768.235
elson,52987360731.517746
drawing,52987360731.516464
faroe azores,19504325769.345997
divine,19504325769.345627
tracing artstation,11895659436.587996
beautiful landscape,11895659436.587511
film,8298046320.816008
cinematic,8298046320.79782
concept art,0.012398384377646024
deviantart realistic,0.011975185402214749
portrait,0.01127408198468145
artstation,0.0110950201616625
illustration art,0.009938973123995276
painting,0.007901028989994726
digital painting,0.007851221094642251
artstation hyperrealism,0.0072616400110019
surrealism,0.007132052814779351
matte painting,0.00709291599558445
deviantart,0.0068455093920893
cinematic composition,0.0066031051317317
natural scene,0.006042088643318325
painting sargent,0.0058709659513885995
dark,0.005819973281396525
mid century,0.0055569662829534
art,0.00540562179090835
flowers,0.0053711071573902995
painting deviantart,0.005251791414180375
intricate details,0.004821112500477025
unreal engine,0.004592390056731525
photorealistic,0.0045237025521075004
castle,0.004522411489728975
photo,0.004475037150209475
photograph,0.004469419293916125
photography,0.004371405469848
ufo,0.004173017010507376
forest,0.004129133302448425
design,0.0040701590815367
high quality,0.0040663672557563
comprehensive art,0.004001373349828875
photorealistic highly,0.0039955365402858
digital art,0.00390486218432235
black,0.0037600262267502753
josan gonzalez,0.0037062462060908252
sky,0.0036836001227977
klimt,0.0034945728932131
painting stalenhag,0.0033515187837957748
surreal,0.003206872090403475
picasso,0.003192076059527825
heavy detailed,0.0031371588837855
bonsai,0.0031160480001487002
fiction film,0.0029886531473323503
fashion clouds,0.0029710601758195497
fifth element,0.0029173367608321746
length portrait,0.0028898219653645503
runway,0.002847159763246
steampunk,0.002838949638191475
anime,0.002828820640202275
manga,0.002759906350559475
oil painting,0.00269150454998165
landscape,0.00267343130376715
painting artstation,0.0026221731334463002
einstein,0.0026018656693763747
abandoned,0.002519021112840275
lightning intricate,0.0024738286984025
cyberpunk,0.002423169275222275
portrait painted,0.002413268492068925
space,0.00240947880952885
scariest looking,0.0024040247383331
city,0.0023441433192442503
photo realistic,0.0023131331619023303
body manga,0.00229431696716085
fantasy painting,0.002261956012738075
madeira faroe,0.002247626266729375
cat,0.002203764813000191
einstein portrait,0.0021772213323832
camera,0.002160086360934825
goddess,0.0021571469402538747
creatures surreal,0.0021347987910047
houses,0.00210264672830085
gundam,0.00206206106798945
footage,0.0020596893681689666
ufo ignoring,0.00200748680033545
trending artstation,0.001990290821388851
matte,0.001969481983063575
bjork,0.0019655668660368
realistic render,0.0019571042593598
headshot edwardian,0.0019523750499149
saitama anime,0.0019393652406874502
realistic photo,0.0019239985339974
salvador dali,0.0019015618721564
gordon,0.001887562922887025
cute fluffy,0.0018779494709409252
garden intricate,0.0018648966255412607
detailed portrait,0.00184862013345605
knight,0.0018421157619992665
oil,0.0018361655927011
atmospheric lighting,0.0018272882531217745
dramatic lighting,0.0018267567256506
painting peter,0.001824620507595575
portrait painting,0.001822704896083025
uncanny,0.0018222810942051
manga illustration,0.0018197118384930251
photography awards,0.0018147836884037248
skyrim elegant,0.0018147729540595
earth,0.0017931764234663
overcast thunder,0.0017752452273006
art smooth,0.0017665357988851998
portrait sabouts,0.0017639524774742499
detailed ultra,0.00175964472346455
bosch,0.0017435488909524
zdzislaw beksinski,0.001742497038573375
art sharp,0.001723998997220825
donald,0.001700974048488325
render hyperrealist,0.0016734373872456499
wallpaper,0.001629565686856049
movie,0.0016164287836544751
mysterious,0.0015806583709476
modern art,0.0015768975204718252
art realistic,0.0015753406998010536
world photography,0.00156306825988905
art thorough,0.0015614525729560251
peter elson,0.0015578642502773001
mysterious ufo,0.0015197035463199
pablo picasso,0.0015120906800308999
surreal concept,0.001510719225081775
elf,0.001503894267182125
studio ghibli,0.00148128052152265
hd goth,0.0014756304102725006
wizard,0.0014669507500044802
surreal dark,0.0014369696566424
phyics entries,0.0014233570196788
art artgerm,0.001403642350440225
hd,0.001397091339575261
sony,0.001387607323747375
low clouds,0.0013788179496734
fiery alchemical,0.0013778322002767
painting lush,0.0013683819040218974
alchemical creatures,0.0013579884308974
vallejo frazetta,0.0013547932317736
sitting snowy,0.0013490146727572
cyborg,0.0013472860277820155
