keyphrase,mean_abs_shap
abandoned,0.00020899614489732637
alien,4.361749011477846e-07
alien planet,8.417283619302404e-07
android cyborg,0.00020894308937433498
anime,0.00031192344683883636
anime colors,3.885729625517388e-06
anime epic,0.00016178508751885055
armor daedric,4.943062006901497e-06
art,0.00034677380691649443
art artgerm,0.00018300053925633176
art city,0.0
art hyperrealistic,0.0
art josan,2.485965075530423e-06
art lifelike,0.0002007185017284533
art punk,2.121864377037466e-06
art realistic,3.561161966710904e-06
art sharp,3.956557394813616e-06
art smooth,0.00022306365579893825
art style,0.00028315730865957655
art thorough,0.0001648438066300612
art trending,1.926066002553306e-06
artistic,0.0
artistic painting,0.0
artstation,0.0058761002717558335
artstation cinematic,0.00020761754490863406
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.0015752535895384389
atmospheric lighting,0.0
avant garde,1.1732374216835456e-06
azores,0.00021491301028058794
azores islands,9.734932213327405e-07
beautiful landscape,0.0
beneath cherry,0.00017183730532623683
bjork,0.0
black,0.002420550014320472
body manga,7.059903981337288e-06
body portrait,0.00020698414099478302
body shot,0.00013647925125187746
bonsai,0.002024839474821439
bonsai tree,0.00021101196682346207
bull looking,0.00014554057960027489
bull modeled,0.0002339207853116023
butterfly volumetric,0.0002619272448315521
camera,0.0019665229330361163
candle butterfly,0.0001972784106116597
candle volumetric,5.831064912845635e-07
canvas,0.0001626700120185043
castle,0.00010767054593679137
castle enclosed,0.0
cat,2.973366739457476e-06
century,0.00021672937646411466
century modern,0.001260214655063005
character portrait,0.0009339310962953078
chris foss,0.0
churches domes,0.0
cinematic,0.0001833164816928363
cinematic composition,0.0003826549412675638
cinematic deviantart,16349240335.528677
city,0.00020696055666170809
cloud fashion,0.0
clouds,1.942485843268604e-06
clouds covered,0.0
clouds girl,1.1658831441760089e-05
clouds madeira,0.00016231221381876395
collage canvas,0.0
colors,0.0006840148261849296
colossal,5.960177868733236e-05
colossal goddess,0.0
comprehensive art,0.0020691790247236385
concept art,0.00019813717426978066
contemporary art,3.577666106672099e-06
cute fluffy,0.00020716272758925338
cyberpunk,0.0017276357994679902
cyborg,0.0001818077743174938
cyborg body,0.00016317630330046546
cyborg bull,0.0001293381273317791
daedric armor,4.877856363304287e-07
dark,0.00019177560419899692
dark uncanny,0.0001716010025123227
detailed painting,0.00021147088006035335
detailed portrait,0.00021546125146619215
detailed ultra,0.0006473806664743229
details intricate,0.0005188874539794198
detective pikachu,0.00013603455988384078
deviantart,0.00027439886825129706
deviantart hyperrealistic,0.00017932679914623464
deviantart realistic,0.0001794936118996197
digital art,0.00022708295415677364
digital painting,0.00016002705160709143
digital render,0.0
divine,0.00022916122958332243
dog,0.000241656616151808
donald,0.0009520215914521375
dragon,0.00042456000730600415
dramatic lighting,0.00018902807547059957
drawing,0.004592915371220448
dunmer nerevarine,0.0006157375385975431
einstein,0.0
elf,0.00041563651228001863
elson,0.00016639013626224794
emo,0.0014702585821321818
emo punk,0.00016774432523959039
engine,0.00022718266382148203
entries sony,0.0001980531304642991
fantasy art,0.00021019877763342167
fantasy painting,0.00026906473816244844
fantasy style,0.000200842869421566
faroe azores,0.00022491035039621236
fashion clouds,0.0007105035461055631
fiction,6.273132263305996e-05
fiction film,16349240335.543655
fifth element,0.002671382160105755
film,0.005617961188972139
film neuromancer,2.7407015211958545e-06
flamingos,0.00020002677678290212
flowers,0.00015694906763392825
fluffy,0.00021021100195603036
footage,0.0
forest,0.001752284611988884
frazetta,6.367654686193671e-05
frazetta fantasy,0.00020310697743810457
frazetta giger,0.00015960265985004454
futuristic,0.0002287542992665004
garden,0.00019280981322693268
garden intricate,0.00020789475274395224
giant,7.021069312057525e-05
giant digital,0.0
girl clouds,1.8135393331573107e-05
glamorous sophisticated,0.0030329001608006855
glimpse universe,0.0004085588885119888
goddess,0.00025160409068795356
goddess creative,0.0008624099921805563
goddess wearing,8.119824712499909e-07
gordon,8.577368333634684e-08
goth,0.00022161746417158953
goth emo,0.00017427364640889724
goths,0.00017950339276572667
goths loitering,0.00022252716252619487
gundam,0.0
gundam unreal,0.0
gustav klimt,0.0001961703621192447
hd,0.0012068067645777205
hd goth,0.0001773930378558688
hd painting,0.00018234915711104352
hd unreal,0.0
heavy detailed,0.00011669234318310045
high quality,0.0004064702783657284
hills slavic,0.0
himalayan,0.00040274949673678445
himalayan rocksalt,0.0001803698678695983
houses,0.0050652675960449305
houses built,0.0
hyper detailed,0.00021418714860535422
illustrated,6.996881854601937e-05
illustration,0.00018746216233987275
illustration art,0.006546786862018849
imposing cyborg,0.0001708533451545881
intricate details,0.00017281890657158645
intricate hyper,0.0001824636565339782
intricate royo,0.00013860101913460693
intricate volumetric,0.0001559818637794762
josan,0.0009103645563719635
josan gonzalez,1.2461442248060155e-07
knight,0.0018082342343215677
kylie,0.00025778654366971794
kylie minogue,0.0003375270375970014
lamp,0.0001386117002934606
landscape,0.0001942692315962968
landscape colourful,0.0
lantern candle,0.0002254681528951145
length portrait,0.001282739382351099
lifelike photorealistic,0.0038379860029141965
lighting,0.0003829155967007563
lighting hd,0.0
lightning intricate,0.00034788086721198176
log houses,0.0
looking camera,0.00018135233099060455
low clouds,7.985837389338567e-07
madeira faroe,0.0
male dunmer,0.00022960992274179053
manga,0.002895273487690661
manga illustration,1.0761175769194178e-06
marble hourglass,0.00018662276082364484
matte,0.0018696574243696846
matte painting,0.00020468683146779382
media collage,1.9164067054829367e-06
mid century,0.0026699312069120205
minogue,0.00014887869758420605
mixed media,0.0
modern,0.0002413202476365564
modern art,0.0001998918099797215
movie,0.0
movie poster,0.00018662192373222845
natural scene,0.0037910365842689082
nerevarine,0.0001335977585265922
neuromancer,6.879103287629992e-06
oblivion skyrim,0.0024197382045474543
octane render,0.0007685625475151664
oil painting,0.0003042374941769994
overcast thunder,0.0
pablo picasso,1.6211589732982591e-06
painted,2.5442380509614128e-06
painted pablo,0.00020224631898700408
painting,0.02762346886621238
painting aesthetic,0.0
painting artstation,0.0016685165569719441
painting beautiful,0.00227004927796828
painting character,7.891473851724924e-06
painting chris,1.4782554434089299e-06
painting deviantart,5.90820738563678e-07
painting lurid,0.0
painting lush,0.0
painting peter,0.00022000970308714754
painting ronny,0.0002201323356257899
painting sargent,0.0001905771268657561
painting stalenhag,0.0045247316456154185
painting unreal,0.0
peter,0.00380849343843219
peter elson,0.00021513770104298873
photo,0.00024954331867648095
photo realistic,0.00042584206730272406
photograph,0.004886265230193084
photograph divine,0.00017908887467423624
photography,0.002545790385489927
photography awards,0.00018159789288682077
photorealistic,0.0002968176189328076
photorealistic digital,0.00016849400449344188
phyics entries,0.001099451437190874
picasso,0.0003491070521503744
picasso hair,0.00017733139939483315
pikachu hannah,0.0002405294683470136
pink bonsai,0.0010302834921559216
pink flamingos,0.00019365871495684634
pixar,8.258265823316481e-05
pixie cut,0.0
portrait,0.02680637846882731
portrait extremely,1.0070265774096873e-05
portrait intricate,0.0001455528132481925
portrait male,0.0001865785241279255
portrait painted,1.74954492997984e-05
portrait painting,0.00024689054689036187
