keyphrase,mean_abs_shap
abandoned,0.0029320774469309002
alchemical creatures,9.426477157290591e-05
alien,0.0024898173010085116
alien planet,0.0008232871512219931
android cyborg,0.001519233749562454
anime,0.005781069178797036
anime colors,0.001413526004082989
anime epic,0.003568287506885158
armor daedric,0.00044851709493456813
art,0.015231243253187345
art artgerm,0.004562662188058467
art city,0.0008353941015202182
art hyperrealistic,0.0013114209802740301
art josan,0.0052478247105582805
art lifelike,0.0003072767764613309
art punk,0.0012278569818576022
art realistic,0.0009645541626335376
art sharp,0.003621760630003101
art smooth,0.0039704305390076515
art style,0.007416940186256592
art thorough,204273513599.0259
art trending,0.001825241581996968
artistic,0.002895441679424914
artistic painting,0.0014174706901543127
artstation,0.01148526725396888
artstation cinematic,0.0006169338720266813
artstation galaxy,4.794763294548426e-05
artstation hyperrealism,0.0003388731091538541
artwork,0.00800653960420984
atmospheric lighting,0.005240972125957119
avant garde,0.0009420514904192006
azores,0.0018143623979570806
azores islands,0.00012734921291702233
beautiful landscape,0.0015367164816842212
beneath cherry,0.0014910236662113961
bjork,0.003277694652844416
black,0.004328623577096561
blinders photography,0.0011010080610590856
body manga,0.002278255710461909
body portrait,0.002532781792448753
body shot,0.002779981976879431
bonsai,0.0008430884287941821
bonsai tree,0.0002822456580256224
bosch,0.0017467251407289057
bull looking,0.001109647064863228
bull modeled,0.0021514063734535674
butterfly volumetric,0.00028249875427363325
camera,0.0022754357896733546
candle butterfly,0.0001905065281777966
candle volumetric,0.001248785741274878
canvas,0.0030975146816868233
castle,0.004520350974431212
cat,0.002360744281239887
century modern,0.0020598522343781957
character portrait,0.0024265124288857212
cinematic,0.006772543330589773
cinematic composition,0.0061848300656245836
cinematic deviantart,0.006029970898681354
city,0.004409604058756424
clouds,0.0041919562949841276
clouds madeira,0.0014211171811419796
collage canvas,0.0014440841099968911
colossal,0.001278111025076467
colossal goddess,0.00010288107983412559
comic book,0.0022976694221685063
comprehensive art,0.0024432245021781406
concept art,0.009670111051770075
contemporary art,0.0023650572959047354
creatures surreal,7.28631565479419e-05
cute fluffy,0.0018547155666966547
cyberpunk,0.008389385973841385
cyberpunk art,0.002245752153722036
cyborg,0.003312566150732196
cyborg body,0.0016031788418692195
cyborg bull,0.0013837808432082266
daedric armor,0.000678356982776672
dark,0.001431801989486219
dark uncanny,0.0007871981842463402
design,0.002348152089950311
detailed painting,0.0034783150552917374
detailed portrait,0.003988840621163011
detailed ultra,0.003221285942533054
details intricate,0.0031517298862832003
detective pikachu,0.0021202917107211805
deviantart,0.004148279059247741
deviantart hyperrealistic,0.00024471756096352746
deviantart realistic,0.0036698371290280747
digital,0.0013582104748970218
digital art,0.0060030297879986125
digital painting,0.003410519289324075
digital render,0.0001687034505899362
divine,0.0002515876632926341
divine pink,4.8611545385524786e-05
donald,0.009593719358249287
dragon,0.0017432160758863659
dramatic lighting,0.0005846027087959167
drawing,0.004654065363259224
dunmer nerevarine,0.0020885169022327008
earth,0.003577764742377074
einstein,0.0005411901151275521
einstein portrait,0.001725047705815306
elf,0.0014772048905652233
elson,0.0023723079261690344
emo punk,0.0011813161424948553
engine,0.0030654323646598204
entries sony,0.0012870569883401558
fantasy art,0.0027983811014833156
fantasy painting,0.0026763241689158005
fantasy style,0.001260787332178312
faroe azores,0.002908494582518546
fashion clouds,0.002489872006639729
fiction,0.001965626843901278
fiction film,0.012509889666143094
fiery alchemical,2.044694007515424e-05
fifth element,0.003579408099402391
film,0.004806154292939476
film neuromancer,0.0018159143134937714
fine artistic,0.0012717633358595164
flamingos,0.0
fluffy,0.0007514287747560252
forest,0.0028956029365128414
frazetta,0.0013587978970384048
frazetta giger,0.0008731586255798297
futuristic,0.0037864021723753387
garden,0.001038203104138156
garden intricate,0.00014655839388986878
giant digital,0.00020597273300425534
glamorous sophisticated,0.005162482130880148
goddess,0.001272894712944183
goddess wearing,0.0008511860536139313
gonzalez,0.0018579450052646628
gordon,0.0025232515802671705
goth,0.004752701391389663
goth emo,204273513599.02658
goths,0.0003753248749551168
goths loitering,0.0012576119885982372
greek man,0.001520850812999077
gundam,0.0009218014627082598
gundam unreal,0.0026917099822220064
gustav klimt,0.003669850625075744
hd,0.0030345314745768882
hd goth,0.004440348256801655
hd painting,0.0025394056305575005
hd unreal,0.0012315182310072882
headshot edwardian,0.0020534303775192977
heavy detailed,0.006509133893655034
high quality,0.0025562386378037024
himalayan,0.000659059153732897
himalayan rocksalt,0.00012795687606992378
houses,0.0026092177347370716
houses built,0.002758729053562992
hyper detailed,0.0021045011497475663
illustration,0.002138736387137949
illustration art,0.008969365078006504
imposing cyborg,0.0022122466475037973
intricate details,0.0023853526637932607
intricate hyper,0.002449676983020227
intricate royo,0.0016406171101273346
intricate volumetric,0.0011614664167933619
josan,0.004629292797013063
josan gonzalez,0.0020025956088701824
klimt,0.0018576035473935528
lamp,0.00010447979038824949
landscape,0.00439976616705483
landscape colourful,0.0007950029533845642
lantern candle,0.004011228930338624
length portrait,0.004097896373830253
lifelike photorealistic,0.0005881234709501894
lighting,0.004176373634478251
lightning intricate,0.005418741859574732
log houses,0.0027206201020056817
looking camera,0.0011103852711434286
low clouds,0.0013420457932207994
madeira faroe,0.0007645818455647854
male dunmer,0.0015163606119568854
manga,0.006175153053905586
manga illustration,0.0023832601011527094
marble hourglass,0.00035824625266480867
matte,0.002088432334053996
matte painting,0.007205614090501763
media collage,2.0967702257971187e-05
mid century,0.00440872294363787
modern art,0.00023054641503425803
movie,0.003950741183010655
movie poster,0.0005501723564617773
mysterious,0.0002746748202070867
mysterious ufo,0.0006040667490330615
natural scene,0.008200761767129307
nerevarine,0.0027249563511148943
neuromancer,0.0003459184568653473
oblivion skyrim,0.0032190605613252135
octane render,0.004512650710389954
oil,0.0007774373076321501
oil painting,0.004044968148586847
overcast thunder,9.760382525773123e-05
pablo picasso,0.0019648245162452345
painted pablo,2.8761876072387233e-05
painting,0.0192066098377732
painting aesthetic,0.0008212695135545351
painting artstation,0.004386279031914062
painting beautiful,0.004425466078594404
painting character,0.00010585720831083672
painting deviantart,0.003330961364316451
painting lurid,0.003295119672543563
painting lush,0.0061524026277410705
painting peter,0.008925995562334912
painting ronny,0.0029751749437110938
painting sargent,0.0025916588706925716
painting stalenhag,0.005834515017128501
painting unreal,0.0003397585985073902
peter,0.004764535126649666
peter elson,0.0032102941799498756
photo,0.007261923382985334
photo realistic,0.003720805564919635
photograph,0.007137908125192102
photograph divine,0.0006132335755905714
photography,0.008589870884341455
photography awards,0.0003109323063802367
photorealistic,0.010343525540161857
photorealistic digital,0.0008332719443693603
photorealistic highly,0.0029912292522462883
phyics entries,0.0012810515666635445
picasso,0.003026105673045943
picasso hair,0.00016299279489283584
pikachu hannah,0.002350436261782304
pink bonsai,0.004929981738563623
pink flamingos,0.0010635718496737286
pixar,0.003210384364236005
portrait,0.04364812460713089
portrait ancient,0.0021899090337147735
portrait extremely,0.0039626065262001724
portrait intricate,0.0024924209950631182
portrait male,0.0026556698166144933
portrait painted,0.002027742855664217
portrait painting,0.0004702961289539821
portrait photograph,0.0007184928197906161
portrait sabouts,0.000945647989315731
portrait scifi,0.008626994674887105
punk art,0.0014768500222045531
punk portrait,0.003558097835989748
puppy,0.003997406985881388
puppy sitting,0.0031045000665640083
realistic photo,0.0008400711736073667
realistic render,0.0012358430275160605
render hyperrealist,0.003505660646030263
robot,0.0009312769725845922
rocksalt lamp,0.0001861895546662785
room,0.002948475591110642
rpg portrait,0.00031147308402840694
runway,0.006663013434712573
saitama,0.0021083325958167294
saitama anime,0.0023362822519667637
salvador dali,0.0017868783949111097
scariest looking,0.0030955733051774787
scene,0.002968857568792339
scene science,0.0038185554454164233
science,2.4850708083501224e-05
science fiction,0.0012453229041477808
screenshot,0.0019113392011459473
shade talking,0.000576805896066641
sitting snowy,0.00144619322276146
sky,0.0013223070870079395
skyrim elegant,0.009179539760826035
snowy,0.00170816558438829
sony,0.00010289221390930813
sony world,0.002577857651056096
space,0.0013056681159596547
starmaker,0.0015883920978107687
starmaker matte,0.001235564308484052
stars,0.002950213732280263
statue,0.0036016208877419314
steampunk,0.0029612533545964473
steampunk butterfly,0.00031898031282981995
studio ghibli,0.0009314801765395393
style contemporary,0.0009495343162260105
style portrait,0.0005020975816786047
surreal,0.002282974940200086
surreal concept,0.0028554778232794125
surreal dark,4.18177716192164e-05
surrealism,0.000310620580244177
surrealism surreal,0.00024517389456838416
thanos style,2.5294520067883702e-05
tracing artstation,0.0011567394202244344
traits painting,0.00018413029276634886
trending artstation,0.005658997001237984
ufo,0.0004846065155111327
ufo ignoring,0.0014617753575317711
ultra realistic,0.0020757578317032277
uncanny,3.962662649407743e-05
uncanny painting,0.0024804931149659424
unreal engine,0.006332062686659472
vallejo frazetta,0.005031476373146651
vivec portrait,0.0016079179558809783
volumetric lighting,0.0030980174354021737
wallpaper,0.0010493992506372144
wallpaper illustration,0.002412919735860299
wizard,0.002384915396756237
woman,0.0026970519835103597
world photography,0.003064816998841351
zdzislaw beksinski,0.0003704925400341632
