keyphrase,mean_abs_shap
abandoned,0.001829557431102241
alien,0.0006167433800629673
alien planet,1.8649158229830958e-05
android cyborg,0.0005973342559195107
anime,0.003227541465010608
anime colors,0.0006927586634604772
anime epic,0.0004945548115426262
armor daedric,1.004225428229375e-05
art,0.01060892733187493
art artgerm,0.0016898313697196942
art city,0.0005216368257300591
art hyperrealistic,0.00042248461107333396
art josan,0.0007488825502640476
art lifelike,0.0006432725998461611
art punk,0.0006000000491812689
art realistic,0.000990022140508469
art sharp,0.0005238501519301252
art smooth,0.0016913131174537109
art style,0.0012042331522858268
art thorough,0.001188357188640081
art trending,0.0008881919953177937
artistic,0.001042442670063938
artistic painting,4.38058441665409e-05
artstation,0.007440075737379627
artstation cinematic,0.000681078019687523
artstation galaxy,8.474990061160402e-05
artstation hyperrealism,0.0005255535796432418
artwork,0.003763832982912764
atmospheric lighting,0.00012857101543873366
avant garde,0.0006892947766665983
azores,5.963756233752912e-05
azores islands,3.777238322878806e-05
beautiful landscape,0.0006566281005795329
beneath cherry,0.0010367545882324558
bjork,0.0002435664579205818
black,0.004378669448952878
body manga,0.0005299127416001839
body portrait,0.0012109544882006184
body shot,0.0005353373694045811
bonsai,0.0014542383871450066
bonsai tree,2.504799619748031e-05
bull looking,0.0005329369180778602
bull modeled,0.00047324533175452653
butterfly volumetric,0.0008115141783218388
camera,0.0055444714628287775
candle butterfly,0.0003725994312109751
candle volumetric,0.00024912371621937555
canvas,0.0014301550995502728
castle,0.0015674789750439225
castle enclosed,6.467528582415423e-05
cat,0.0013042369838216787
century,0.0005475129623442432
century modern,0.003224457667865621
character portrait,0.0019478569699760075
chris foss,0.00017152233763205406
churches domes,3.300889837689955e-06
cinematic,0.002432497857005328
cinematic composition,0.002898458170774241
cinematic deviantart,0.0007375205963852533
city,0.0014371350452102671
cloud fashion,0.00043524693449979767
clouds,0.0021581685251724518
clouds covered,0.0005047066304982329
clouds girl,0.0007328363729514401
clouds madeira,0.00010449137783109642
collage canvas,0.00045846312638763754
colors,0.0017643541127676553
colossal,9.850973657149621e-05
colossal goddess,0.000267354692713822
comprehensive art,0.003528120220039556
concept art,0.005236788321530394
contemporary art,0.0005718716752163885
cute fluffy,0.001984300124242112
cyberpunk,0.005197025970153124
cyborg,0.0015997880944905083
cyborg body,0.000452062801862098
cyborg bull,0.0005393243690743925
daedric armor,0.0004954497368125226
dark,0.001345671441791151
dark uncanny,198200799797.7117
detailed painting,0.0017425990852811182
detailed portrait,0.0016242150536026933
detailed ultra,0.0029315205989859897
details intricate,0.0013198515330707953
detective pikachu,0.00045043329587697475
deviantart,0.0018232813617674
deviantart hyperrealistic,0.00047735121746130807
deviantart realistic,0.0020750237040303263
digital art,0.0029525226299402033
digital painting,0.00270160389653939
digital render,5.223252266510323e-05
divine,0.00020069663267276578
dog,0.0015131634163635947
donald,0.002717957766533796
dragon,0.0010394487459780759
dramatic lighting,0.00016246916817996338
drawing,0.006369081105340982
dunmer nerevarine,0.0017952848550541567
einstein,0.00047708658377061425
elf,0.001796236687248444
elson,0.0007628494330006852
emo,0.0014749395372039835
emo punk,0.0005007062454885003
engine,0.0006924759760887053
entries sony,0.00026821352577248035
fantasy art,0.0013777930880541783
fantasy painting,0.0019068409366742969
fantasy style,0.00014957222533718302
faroe azores,0.0004188113978182526
fashion clouds,0.002286391059379159
fiction,0.0009538403245664677
fiction film,0.005126516674591829
fifth element,0.005027196482403035
film,0.006175829338889017
film neuromancer,0.0005663537621956603
flamingos,7.836152385827596e-05
flowers,0.0009724378178862798
fluffy,0.00017657728954878458
footage,0.0006294310179285011
forest,0.002798400951868884
frazetta,0.00219111939874178
frazetta fantasy,0.000614279617262881
frazetta giger,0.0015043971933948993
futuristic,0.0009545247076362817
garden,0.0005941987767104771
garden intricate,0.00034452340046961906
giant,0.0003331898774908811
giant digital,3.3121607784618926e-06
girl clouds,0.0005458406115423479
glamorous sophisticated,0.0036321433997135353
glimpse universe,0.0019045415845333354
goddess,198200799797.71255
goddess creative,0.0009041105716342819
goddess wearing,0.0004156551641752893
gordon,0.0011884230699417751
goth,0.0015744508693548008
goth emo,0.0005583883397007643
goths,0.0006195310947236701
goths loitering,0.0006370764651412756
gundam,0.00020480808265758437
gundam unreal,0.0004762330575936601
gustav klimt,0.0008341131251507973
hd,0.002417800181503675
