keyphrase,mean_abs_shap
abandoned,0.0018928049318608134
alien,0.001087888148167778
alien planet,0.0008277096426728263
android cyborg,0.00012068537503373547
anime,0.003588214734050423
anime colors,0.00044419965865177076
anime epic,0.0010604811177884143
armor daedric,0.0014624131415865724
art,0.010282717873739498
art artgerm,0.0019820283504318804
art city,0.00035541982671247674
art hyperrealistic,0.0010238385850951913
art josan,0.0005335268881097563
art lifelike,0.0011100585637445672
art punk,0.0010444583804983198
art realistic,0.0003279701372075402
art sharp,0.0011022677475569576
art smooth,0.003506244987800622
art style,0.0012115664245582465
art thorough,0.0009430690724970152
art trending,0.002009499751494863
artistic,0.0002493538645699569
artistic painting,4.5698545761974535e-05
artstation,0.006782390176314376
artstation cinematic,0.0002838198235533995
artstation galaxy,0.0
artstation hyperrealism,0.0017778569806395166
artwork,0.004883657326973707
atmospheric lighting,0.0003033480124344366
avant garde,0.00113236608484892
azores,0.0009346587388432133
azores islands,2.1649166845099726e-05
beautiful landscape,0.0013582656251735997
beneath cherry,0.0002572625223754929
bjork,0.000509210325256069
black,0.004580738941750246
body manga,0.0011207971935836899
body portrait,0.00012228084289577136
body shot,0.0001846031046778254
bonsai,0.003230355658765875
bonsai tree,0.00019774122903857207
bull looking,0.0001259913578439458
bull modeled,0.00016035444134760858
butterfly volumetric,0.00104721008802855
camera,0.0009987197772367562
candle butterfly,0.00014030343418261078
candle volumetric,0.00018855596629394848
canvas,0.0017427914740263699
castle,0.0020268931606690324
castle enclosed,0.00010848288349786093
cat,0.0011736347488147906
century,0.001226163222086002
century modern,0.003877539109153186
character portrait,0.0016000374284042152
chris foss,0.0012705127666208474
churches domes,0.000160970872590148
cinematic,0.0025776186662110883
cinematic composition,0.0021984907135099924
cinematic deviantart,0.0002494868824765882
city,0.0019666528846952512
cloud fashion,1.2232918215969665e-05
clouds,0.0028894450540100252
clouds covered,8.132335729614546e-05
clouds girl,0.00026236774700886856
clouds madeira,0.00018671421859526262
collage canvas,0.000787527932872678
colors,0.0020801587345891923
colossal,0.0002843707062933128
colossal goddess,0.00034982504829830693
comprehensive art,0.0025871669718533653
concept art,0.0037785608061431204
contemporary art,0.0009471530117362786
cute fluffy,0.0027281740392575238
cyberpunk,0.007353348460563294
cyborg,0.002837073267178593
cyborg body,0.0001015494533448543
cyborg bull,0.00010234967738656351
daedric armor,0.001208383640427228
dark,0.00014940080407823393
dark uncanny,0.0012092855121840517
detailed painting,0.0022649074827532168
detailed portrait,0.001952819827815084
detailed ultra,0.003466876910100596
details intricate,0.0008506390989323627
detective pikachu,0.0013062199367190666
deviantart,0.0017866891695090654
