keyphrase,adjusted_mean_shap
goth emo,51068378399.75718
art thorough,51068378399.75705
goddess,49550199949.42898
dark uncanny,49550199949.42847
fiction film,4087310083.8919497
cinematic deviantart,4087310083.883923
portrait,0.03715117012906985
painting,0.02547615923863665
art,0.0091174155664295
illustration art,0.0079284288263154
artstation,0.007895958359854625
photograph,0.007894056707137075
photography,0.006630841512988125
film,0.00570286739353025
cyberpunk,0.005666849051006375
scene science,0.005391120060038025
drawing,0.0050865244772314005
photorealistic,0.004738345932919051
painting stalenhag,0.00473742033836285
concept art,0.004720899338428275
natural scene,0.0046327472952021245
manga,0.00459689482774405
artwork,0.00455732087590865
photo,0.004433220076638475
trending artstation,0.004302494663610725
houses,0.0041919743292948
peter,0.00410579002771095
black,0.0039271454955299755
mid century,0.00389956501706105
earth,0.003577764742377
donald,0.003560257591483
fifth element,0.0034658261923847496
glamorous sophisticated,0.003417947228202375
portrait scifi,0.0034169423615308748
painting artstation,0.003370401365957925
anime,0.0032271872061741995
unreal engine,0.0031906920493842248
lighting,0.003166515955764225
lifelike photorealistic,0.0031539822383508504
puppy sitting,0.003104500066564
scariest looking,0.0030955733051774
forest,0.00305267657886705
matte painting,0.0030204650324754754
painting beautiful,0.0030187986690704497
skyrim elegant,0.003016138646068725
cinematic,0.0029914940838747
photorealistic highly,0.0029912292522462
room,0.0029484755911106
digital art,0.00294499925080695
cinematic composition,0.002916108472794025
heavy detailed,0.002863392835979975
octane render,0.0028540941361034746
knight,0.0028540010409783337
statue,0.00275290429489095
camera,0.0026962874906937004
length portrait,0.00265988953489715
comprehensive art,0.0026569226796986246
century modern,0.00260551591661495
detailed ultra,0.002566766029523425
art style,0.00252897426794
painting peter,0.002491725353384375
oblivion skyrim,0.0024162519827407502
design,0.0023481520899503
art smooth,0.0023477630750152003
clouds,0.002310378090002442
pink bonsai,0.002302209247348525
comic book,0.0022976694221685
cyberpunk art,0.002245752153722
runway,0.00222247301095645
hd,0.0021998534117024
portrait ancient,0.0021899090337147
ultra realistic,0.002173945585441825
landscape,0.0021441819015674
digital painting,0.0021413441107768
photo realistic,0.0021216803418835
vallejo frazetta,0.002114156791272275
art artgerm,0.0021043806118665248
goth,0.002070665489626
futuristic,0.00206848663029425
castle,0.0020555984140201997
headshot edwardian,0.0020534303775192
josan,0.0020467048439727
picasso,0.0020374596624702502
punk portrait,0.002015665143849057
deviantart,0.002008162114693825
city,0.002005088136330875
cyborg,0.001982808821679625
detailed portrait,0.001945334188511675
painting lush,0.0019368370622043867
scene,0.0019310930363589498
matte,0.001926423127467125
detailed painting,0.0019243231258465748
bonsai,0.0018881304873815752
puppy,0.001862158393216225
gonzalez,0.0018579450052646
klimt,0.0018576035473935
gustav klimt,0.001800095126091025
gordon,0.001793927391039234
salvador dali,0.0017868783949111
lightning intricate,0.0017823845793880503
fantasy painting,0.001779648424989475
deviantart realistic,0.001770666357219475
bosch,0.0017467251407289
fantasy art,0.00174321311096775
volumetric lighting,0.0017298620415927002
character portrait,0.0017270844808903
einstein portrait,0.0017250477058153
render hyperrealist,0.0017203948000673003
abandoned,0.0017158589886977999
snowy,0.0017081655843882
cute fluffy,0.0016935881144463502
high quality,0.0016894149110253248
oil painting,0.0016750250928928
steampunk,0.001662383146885025
movie,0.0016423512712997002
woman,0.001638204978760425
art josan,0.0016331800285018577
emo,0.001616169680131
canvas,0.0016082828168204498
fashion clouds,0.0015461215469186498
world photography,0.0015344092412710253
greek man,0.001520850812999
uncanny painting,0.0015120839428983501
colors,0.0015095092245138667
hd goth,0.0014854635323830502
painting ronny,0.001478342777732125
details intricate,0.0014602769930663999
surreal concept,0.001456704574054825
sitting snowy,0.0014461932227614
portrait extremely,0.001434649815477549
atmospheric lighting,0.00141822278845755
pixar,0.0013862144428970914
engine,0.001381729340106175
intricate hyper,0.001376522519110975
glimpse universe,0.0013666197741925333
digital,0.001358210474897
dunmer nerevarine,0.0013536206169152249
ufo,0.0013396653607062499
painting sargent,0.0013361020695947501
frazetta,0.0013259787573337341
sky,0.0013223070870079
anime epic,0.001321277130933725
art sharp,0.0013129587717212283
wallpaper,0.0012992830198830748
einstein,0.0012923247851994002
saitama,0.001288650499403
lantern candle,0.0012786909882974498
saitama anime,0.0012749177896553
fine artistic,0.0012717633358595
surreal glimpse,0.0012710429192143333
stars,0.001252002105790975
realistic render,0.001235843027516
faroe azores,0.001214737862544325
cat,0.0012103973451538894
elson,0.0012021158349006002
science fiction,0.0011959303736749
art trending,0.0011812148487029884
painting deviantart,0.0011785447298241658
houses built,0.001164756025316625
surreal,0.001159165963714525
log houses,0.0011276826839750499
peter elson,0.0011204030229333003
painting lurid,0.00112032811880575
studio ghibli,0.0011163471436481
intricate details,0.001105531047863975
blinders photography,0.001101008061059
nerevarine,0.001087791973205375
pikachu hannah,0.00107249482117705
portrait painted,0.0010519324245677247
portrait intricate,0.001049692518568625
alien,0.001048721251035062
elf,0.00104825271783515
artistic,0.001046809553514675
manga illustration,0.001028364984061005
hyper detailed,0.0010200228241294
body portrait,0.0010182503161349252
illustration,0.00101606713245585
fiction,0.001014713956868965
gundam unreal,0.00101292504504715
male dunmer,0.00101053452841335
bjork,0.001007617859005225
detective pikachu,0.0010032448758002
body manga,0.0009840063874067345
contemporary art,0.000971914912240968
modern,0.0009716180893126666
flowers,0.0009600250519016333
josan gonzalez,0.0009587630134270702
dragon,0.0009551895250796
pablo picasso,0.0009397246782434495
sony world,0.0009385811516172001
hd unreal,0.00093806409277935
frazetta giger,0.0009367779416158751
rpg portrait,0.00092357326346495
garden,0.0009219198908025749
himalayan,0.0009124079429158999
body shot,0.0009091004255533749
phyics entries,0.00089303321450715
beautiful landscape,0.0008879025518592999
intricate volumetric,0.0008860349278625749
space,0.0008858041693177
starmaker,0.0008796528741712749
dog,0.0008787904979390333
wizard,0.0008686200676057999
hd painting,0.0008605182308389751
goddess creative,0.0008478012900754667
portrait male,0.0008469961371553806
gundam,0.0008465851124576499
realistic photo,0.0008400711736073
intricate royo,0.0008362513968461001
pixie cut,0.0008092784256375
style contemporary,0.0008090062602685429
portrait painting,0.000802814788835725
style portrait,0.0007849860032973751
landscape colourful,0.0007824942103842999
dark,0.0007796624598885999
emo punk,0.0007790178494600751
oil,0.0007774373076321
photorealistic digital,0.000764536261790325
imposing cyborg,0.0007611119158659
screenshot,0.0007592602588973743
azores,0.0007558929273545573
bull modeled,0.0007547317329668
punk art,0.000752208066470575
modern art,0.0007452799671893
beneath cherry,0.0007392195205363251
tracing artstation,0.000722785033713975
art punk,0.0007186093189785344
illustrated,0.0006975911368004398
wallpaper illustration,0.0006941082361528
dramatic lighting,0.0006936249689113751
avant garde,0.0006912213973390708
art hyperrealistic,0.0006894360441106
robot,0.000687966164256
vivec portrait,0.000672973315203125
collage canvas,0.00067251879231425
century,0.0006634685202981
artstation hyperrealism,0.0006605709173591249
anime colors,0.0006385925139551294
film neuromancer,0.0006382399427958739
entries sony,0.0006315603825994001
android cyborg,0.000611549117472475
marble hourglass,0.00061017037734355
portrait photograph,0.0006042805587863
mysterious ufo,0.000604066749033
butterfly volumetric,0.00060078756636385
daedric armor,0.0005956695364131576
fantasy style,0.000593846171940325
goths loitering,0.000587018554658125
low clouds,0.0005869381767448284
movie poster,0.000580831230516625
cyborg body,0.0005799918500941
surrealism,0.00057668130614435
steampunk himalayan,0.0005730281693716333
art realistic,0.0005715269005790277
art lifelike,0.000565331610445075
photograph divine,0.0005529785658718
cyborg bull,0.000538698254250175
painted,0.0005261325639435538
rocksalt lamp,0.0005195428661888
madeira faroe,0.0005056335117672826
sony,0.00050328933469375
looking camera,0.0005023568302468751
ufo ignoring,0.0004992343351636821
shade talking,0.0004909070402231501
deviantart hyperrealistic,0.0004821513809123
armor daedric,0.0004814788882025488
chris foss,0.00048067836808426663
bull looking,0.00047852898009627506
painting chris,0.00047528369190624075
portrait sabouts,0.0004735754571439
clouds madeira,0.00046865874784670004
himalayan rocksalt,0.00046528077846325
media collage,0.00046349501809401356
garden intricate,0.000457145032745975
painting aesthetic,0.0004539574369475884
artstation cinematic,0.000447362315044
surrealism surreal,0.000446831006954375
colossal,0.0004301483116571321
art city,0.00042811268849065
lamp,0.000422870874895225
candle volumetric,0.0004217621325698211
minogue,0.00041815714226753337
alien planet,0.0004176219201216153
artistic painting,0.00037674377002070385
kylie minogue,0.0003761235080160666
pink flamingos,0.0003732333968923
goths,0.00035575455431735
picasso hair,0.0003519141750025757
frazetta fantasy,0.0003476143748659334
goddess wearing,0.00034756642022853746
footage,0.0003434712783897667
clouds girl,0.00033562098380065337
kylie,0.0003316148088643
steampunk butterfly,0.000318643032769425
starmaker matte,0.00031430335239214464
fluffy,0.0003071435845212455
neuromancer,0.0003051700538936575
divine,0.00030453142753595003
girl clouds,0.0002818502413947244
mysterious,0.000274674820207
digital render,0.0002670099862947758
photography awards,0.000249456507234275
mixed media,0.00024322002895233333
painted pablo,0.00023454000689182347
candle butterfly,0.0002251719510457
clouds covered,0.00019534332926478184
giant,0.00018410966138012507
colossal goddess,0.00018001520521155
bonsai tree,0.0001790117125212451
zdzislaw beksinski,0.00017459749116218638
traits painting,0.00017439086467276965
cloud fashion,0.00014915995090522321
painting character,0.00014472985964675625
wearing cloud,0.000141348845194125
painting unreal,9.749480847505621e-05
alchemical creatures,9.426477157290593e-05
flamingos,9.279293734898957e-05
lighting hd,9.180743979699999e-05
creatures surreal,7.28631565479419e-05
giant digital,6.976092756910392e-05
science,6.835893923951587e-05
wooden churches,5.9428240957447714e-05
castle enclosed,5.7719389773984736e-05
churches domes,5.4757254142596654e-05
divine pink,4.861154538552479e-05
tall castle,4.8210137556095726e-05
azores islands,4.693606405305513e-05
hills slavic,4.343462285029082e-05
surreal dark,4.18177716192164e-05
uncanny,3.962662649407743e-05
overcast thunder,3.827607469183522e-05
artstation galaxy,3.317438338927207e-05
thanos style,2.5294520067883705e-05
fiery alchemical,2.044694007515424e-05
