keyphrase,mean_abs_shap
abandoned,0.0006406945277487646
alien,0.0
alien planet,1.1239046733025103e-06
android cyborg,0.0
anime,0.004708994014633709
anime colors,0.0
anime epic,0.00027087260888651984
armor daedric,0.00020739605351728388
art,0.00020591816218702098
art artgerm,0.0002167926954388666
art city,0.0004286862381815237
art hyperrealistic,0.00019386400472242444
art josan,0.0015136667509607392
art lifelike,0.0
art punk,0.0003700297070599458
art realistic,0.00019322499967263984
art sharp,0.00022938914531404683
art smooth,0.00021510984276127578
art style,0.0009266471371173566
art thorough,2.658181651291537e-07
art trending,1.3342406579381606e-06
artistic,0.0002293785650347504
artistic painting,0.000294382063606034
artstation,0.0002559246397453179
artstation cinematic,1.9009510820425768e-05
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.006228852129591588
atmospheric lighting,3.834330623953672e-05
avant garde,0.0
azores,0.0002494725118899222
azores islands,3.49189427303174e-06
beautiful landscape,0.0
beneath cherry,0.00013319134929867948
bjork,0.0
black,0.004317839931595543
body manga,0.0
body portrait,0.00019602630957371722
body shot,1.7673421876880525e-06
bonsai,0.00018151202450535173
bonsai tree,0.0002429032876606865
bull looking,0.0
bull modeled,0.0
butterfly volumetric,3.31324976834353e-06
camera,0.0019116753620965934
candle butterfly,6.437522191857204e-07
candle volumetric,0.0001497370872474269
canvas,0.0002450519378832233
castle,4.7912906954577275e-05
castle enclosed,0.0
cat,0.0
century,0.00036862172463396174
century modern,0.002326450958008638
character portrait,0.0009640191018997532
chris foss,0.00040815886801686557
churches domes,1.4540626881983024e-06
cinematic,0.0002547567609462778
cinematic composition,0.0019743694954568068
cinematic deviantart,1.86671032346725e-06
city,0.00021336976887314778
cloud fashion,8.492688293286242e-06
clouds,0.00027123189565874826
clouds covered,1.4452791111892934e-05
clouds girl,0.0
clouds madeira,0.00023601619840686
collage canvas,0.00022788383001433858
colors,2.9909502557395503e-06
colossal,0.0002959219788240591
colossal goddess,0.000200093058301875
comprehensive art,0.0
concept art,0.003767044619708142
contemporary art,0.00021089068598948823
cute fluffy,0.00022507323739739892
cyberpunk,1.981252110303294e-06
cyborg,0.0
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00022068674551815393
dark,0.00030106158675824923
dark uncanny,0.000967358866350659
detailed painting,0.00037659427731220283
detailed portrait,0.00024466324805964455
detailed ultra,0.0002373781628539594
details intricate,0.0
detective pikachu,2.3733997489390617e-06
deviantart,0.00016715649222169763
deviantart hyperrealistic,0.00025508650223741633
deviantart realistic,1.0192037562838682e-05
digital art,0.0002943015700972851
digital painting,0.009852758406507622
digital render,0.0
divine,0.0005631229439213028
dog,3.6679281810171597e-06
donald,0.0007237291045460949
dragon,0.0002308253234718178
dramatic lighting,0.0
drawing,0.003435225317074492
dunmer nerevarine,0.000259158682610163
einstein,0.0018628961488339794
elf,0.00019172386832688203
elson,0.0011842804223734975
emo,0.000689146952311847
emo punk,0.00020149287425438137
engine,0.0
entries sony,0.00017919587087380012
fantasy art,0.0005289812281438514
fantasy painting,0.0
fantasy style,0.0
faroe azores,0.0006382254404996203
fashion clouds,0.0012081790844120086
fiction,0.00024104707503031381
fiction film,0.003739556265912302
fifth element,0.0
film,0.02064941863595354
film neuromancer,0.0
flamingos,0.0
flowers,1.2069640327282745e-05
fluffy,0.0002157680492594291
footage,0.0007489985059979299
forest,2.3059158071948554e-06
frazetta,0.0001812978369682876
frazetta fantasy,0.0
frazetta giger,0.00018697919261184253
futuristic,0.00020449029187460626
garden,0.00019714995793606715
garden intricate,0.0002058101133627667
giant,0.0001063113864262278
giant digital,0.00018360695556556407
girl clouds,0.0
glamorous sophisticated,0.0031796540977684384
glimpse universe,0.0003719065116971625
goddess,0.004081048106918515
goddess creative,0.0001685317641853509
goddess wearing,0.0005866974016809767
gordon,0.0002444674669600253
goth,0.00018071227767503347
goth emo,0.00021980424611216533
goths,8.941696572308987e-06
goths loitering,0.00010932936620049545
gundam,0.0002231798920586503
gundam unreal,0.0
gustav klimt,0.0024463956081592704
hd,0.0024616508878012064
hd goth,0.00022327128056579484
hd painting,2.982944959393824e-06
hd unreal,0.00021488845802390943
heavy detailed,0.0
high quality,0.00019384800842111398
hills slavic,0.0
himalayan,1.4273497061874482e-06
himalayan rocksalt,0.0005172805032058389
houses,0.0037492971285204664
houses built,2.1131724026015745e-05
hyper detailed,0.00020818772764552446
illustrated,0.0001155766643314169
illustration,0.0002475794389230605
illustration art,0.01262335728884588
imposing cyborg,0.0
intricate details,1.9458894575590304e-06
intricate hyper,0.00022718551215166342
intricate royo,0.0002674489983037512
intricate volumetric,0.00032312037306978387
josan,1.7270797946068367e-05
josan gonzalez,0.0001989198489432456
knight,0.001412912925584426
kylie,0.0002072639818184356
kylie minogue,0.00021854910885294132
lamp,9.740763869274266e-07
landscape,0.0006831776348702259
landscape colourful,3.523980454614547e-05
lantern candle,1.394586193732381e-06
length portrait,0.0001682852615028288
lifelike photorealistic,0.002308070106006695
lighting,3.5123965854213987e-06
lighting hd,1.197167184986936e-06
lightning intricate,8.684565589706911e-07
log houses,1.641415265469552e-05
looking camera,0.0
low clouds,0.00024550885181035226
madeira faroe,0.0
male dunmer,0.00027541006907894484
manga,0.0032332206734813473
manga illustration,0.001872547499935225
marble hourglass,7.26685517316816e-07
matte,0.0034842119565226103
matte painting,0.0010699828914644608
media collage,0.00024160777695412435
mid century,0.0033870738392014015
minogue,0.00018785650596649917
mixed media,1.8468991607144433e-06
modern,0.00020485818138045466
modern art,0.0001629802995627366
movie,0.002607437942133568
movie poster,0.0002986043975317668
natural scene,0.0045305767771828785
nerevarine,0.000186510758080675
neuromancer,0.0
oblivion skyrim,0.00019726334039860312
octane render,0.00024389713005142856
oil painting,0.0002527959716145211
overcast thunder,2.789391720960437e-07
pablo picasso,0.0
painted,0.0
painted pablo,0.0002391390568747138
painting,0.022709069514591767
painting aesthetic,0.00016530748205239118
painting artstation,0.0018349344885501915
painting beautiful,0.0004998082982698023
painting character,0.0001834639590927217
painting chris,0.00024864293971016416
painting deviantart,5.004955487165063e-06
painting lurid,0.00021013096644492238
painting lush,0.0
painting peter,1.1881849220746065e-06
painting ronny,0.00022019388804372418
painting sargent,0.003515997600426692
painting stalenhag,0.0007790783362916547
painting unreal,7.403347302567502e-07
peter,0.0009319603521601545
peter elson,3.4590249931618656e-06
photo,4.76274794361747e-05
photo realistic,0.00017950568478449774
photograph,0.0042117777768762585
photograph divine,0.0006527829155122364
photography,0.0024544984935116303
photography awards,0.00022864151646397756
photorealistic,0.0003056675053361935
photorealistic digital,0.0002056755704448972
phyics entries,0.00023954117540407426
picasso,0.002021262434793341
picasso hair,0.00019344463929906835
pikachu hannah,0.0
pink bonsai,0.0
pink flamingos,2.6988691399219315e-06
pixar,0.0
pixie cut,0.00026195404325619415
portrait,0.008865665406161584
portrait extremely,0.00023216375212071808
portrait intricate,0.0002982988520905619
portrait male,0.0001612447971951954
portrait painted,4.631504067918236e-06
portrait painting,0.00017128493518961518
portrait photograph,0.00015492298304339982
portrait sabouts,0.0
portrait scifi,0.00029221136180302093
punk art,0.0003004485071765549
punk portrait,4.981935407047619e-06
puppy,0.0
render hyperrealist,0.0
robot,8.915971759655134e-06
rocksalt lamp,0.0
rpg portrait,0.000191421859963831
runway,3.968512128805506e-07
saitama,0.0002707938621803549
saitama anime,0.0004096115881353573
scene,0.0010987616799282198
scene science,0.0020238647532899562
science,0.0002324865088704812
science fiction,0.00017690518538109374
screenshot,0.00017370340233727665
shade talking,0.0
skyrim elegant,0.0002331598599046214
sony,0.00015074356286284282
sony world,0.0002006849878918535
space,0.0
starmaker,0.00021529057276425243
starmaker matte,0.0002366795559721886
stars,0.00023847642490800459
statue,0.0
steampunk,0.00023687439791252894
steampunk butterfly,0.0
steampunk himalayan,1.5088012015888718e-05
studio ghibli,0.0
style contemporary,0.00026696755442651046
style portrait,0.00016695656907897747
surreal,0.00025048740942483944
surreal concept,0.00017187880330812812
surreal glimpse,0.00023124793002865252
surrealism,0.0002267148284981193
surrealism surreal,0.000265631263268673
tall castle,0.0
tracing artstation,0.00017390002605160477
traits painting,0.0002142221039143919
trending artstation,3.245375395369363e-05
ufo,0.000527777000272506
ufo ignoring,0.00019991384182988824
ultra realistic,0.0008440015122024004
uncanny painting,0.0001649542633653941
unreal engine,0.009754257858069097
vallejo frazetta,0.0002436458837315886
vivec portrait,0.0002861229466673096
volumetric lighting,0.0
wallpaper,0.00044109719094682557
wallpaper illustration,0.00013301947202976034
wearing cloud,1.1015427325687697e-05
wizard,0.0
woman,0.0003698590659906663
wooden churches,0.0
world photography,0.0003999811932666612
zdzislaw beksinski,0.00024105932899365625
