keyphrase,mean_abs_shap
abandoned,0.003850462757880394
alchemical creatures,0.00031021530339998544
alien,0.001231024527288059
alien planet,0.0029209658528176275
android cyborg,0.0007777044675669031
anime,0.006564906801080999
anime colors,0.0
anime epic,0.0013930345717921577
armor daedric,0.00045671133581884105
art,0.013846085743550972
art artgerm,0.004741787408062473
art city,0.0005487594987239027
art hyperrealistic,0.001581554210881742
art josan,0.0021740338221942273
art lifelike,0.0015221909766060316
art punk,0.00115082028382456
art realistic,0.002718769842422509
art sharp,0.0026380910459329592
art smooth,0.004076615451849228
art style,0.0037085247103192114
art thorough,0.00047753836409329057
art trending,0.0012288330138721546
artistic,0.0004736844294201014
artistic painting,0.0013610025187017493
artstation,0.00703363906614239
artstation cinematic,0.0022706660509269816
artstation galaxy,0.00040397748103126443
artstation hyperrealism,0.00012032532461381478
artwork,0.00924441971103192
atmospheric lighting,0.0024855068975822877
avant garde,0.0008815717621978861
azores,0.0011025701802236945
azores islands,0.0
beautiful landscape,0.00255524936576425
beneath cherry,0.00207736497904473
bjork,0.0016001146862649768
black,0.006559209582937943
blinders photography,0.0014334399120422019
body manga,0.0003704537344655686
body portrait,0.001550294864531525
body shot,0.001076423099935801
bonsai,0.001679071886382586
bonsai tree,0.0026195190007629984
bosch,0.0006427540814343663
bull looking,5.180165256901992e-05
bull modeled,0.0005775311950425087
butterfly volumetric,0.001374313217955228
camera,0.0014745435535652143
candle butterfly,0.0009790131103321572
candle volumetric,0.002866429008679971
canvas,0.004163547135196823
castle,0.0013651496122755492
cat,0.003969554813462204
century modern,0.0053212313694476245
character portrait,0.002833726390741407
cinematic,0.0057880384306407155
cinematic composition,0.00835545724467143
cinematic deviantart,0.0028393438048258646
city,0.0018758106016428702
clouds,0.004056023144770415
clouds madeira,0.000429389066832834
collage canvas,0.0013813152297773403
colossal,0.0009433026092163927
colossal goddess,0.00023022783027662643
comic book,0.00026698495899835935
comprehensive art,0.00308309923141287
concept art,0.00540713759762856
contemporary art,0.001317750885214092
creatures surreal,0.0002393231759401872
cute fluffy,0.0009053340834703707
cyberpunk,0.0018164963036788274
cyberpunk art,0.00021952882881387664
cyborg,0.0005860746766064281
cyborg body,0.00047719756488283404
cyborg bull,1.1552421361344833e-05
daedric armor,6.0179843536250705e-05
dark,0.0011637270205488311
dark uncanny,0.002258803088032171
design,0.0034744544296441437
detailed painting,0.004489460752081661
detailed portrait,0.003141708497631984
detailed ultra,0.005419945821532954
details intricate,0.001330165764626467
detective pikachu,0.0007652652000981227
deviantart,0.0024876636615905443
deviantart hyperrealistic,0.002471355700631109
deviantart realistic,0.0032501776026344783
digital,0.0028773473398013916
digital art,0.0032571165209347355
digital painting,0.004596272629677558
digital render,0.0007549501079966651
divine,0.0015564215969484233
divine pink,0.001153197014162263
donald,0.0020334940136995426
dragon,0.0018877500320572493
dramatic lighting,0.0017455387551923922
drawing,0.003877644796558612
dunmer nerevarine,0.001413506609466102
earth,0.002717467156190807
einstein,0.0015423682013705241
einstein portrait,0.004688152962550947
elf,0.0011025613382514307
elson,0.0036513784969206143
emo punk,0.0021687386882402225
engine,0.0029828247138800187
entries sony,0.000436258371560656
fantasy art,0.006055251930745296
fantasy painting,0.0013097454805279089
fantasy style,0.00016717608747049808
faroe azores,0.0018100520590232378
fashion clouds,0.0026083592680896293
fiction,0.0003989176393052628
fiction film,0.00795050876127441
fiery alchemical,1.8341706356880846e-05
fifth element,0.002639972443829644
film,0.009322799985053214
film neuromancer,0.00026597683556759294
fine artistic,0.0005057249607892415
flamingos,0.0011157152024920593
fluffy,0.0008844124504926331
forest,0.0019408353098914015
frazetta,0.0011222518444868393
frazetta giger,0.0004758337747897805
futuristic,0.0008203275280019333
garden,0.0017320269390296496
garden intricate,0.0019842785783065553
giant digital,0.0015531176326323138
glamorous sophisticated,0.00484172841204974
goddess,0.0008751031573543595
goddess wearing,0.0006628466858991401
gonzalez,0.0013638709918916447
gordon,0.004697392681869275
goth,0.0015402446107804426
goth emo,0.001016455384090419
goths,0.0008451925211284783
goths loitering,0.0013654331984954875
greek man,0.0003619888534675748
gundam,0.003226759321835138
gundam unreal,0.002869510636812381
gustav klimt,0.004805150942134509
hd,0.0035127887357173544
hd goth,0.002827473078035718
hd painting,0.000932470526953308
hd unreal,0.0014274370520324488
headshot edwardian,0.002166217287609759
heavy detailed,0.00435079138947753
high quality,0.0019613866566883325
himalayan,0.00035459118867655763
himalayan rocksalt,0.0006108198550717604
houses,0.0016570994250028706
houses built,0.0016962535557047027
hyper detailed,0.004102573118115746
illustration,0.002171103112932381
illustration art,0.008197032554326522
imposing cyborg,0.0013202170865899885
intricate details,0.0013497011460338415
intricate hyper,0.0034948954076245127
intricate royo,0.00022364558347862947
intricate volumetric,0.0025907013071728544
josan,0.002011052760867377
josan gonzalez,0.0011533880436977789
klimt,0.00037045643656641146
lamp,0.0009439256150716648
landscape,0.004089568836469187
landscape colourful,0.0024140231233121465
lantern candle,0.002089756102540726
length portrait,0.0005122902704886622
lifelike photorealistic,0.004582550967545566
lighting,0.005154806929192719
lightning intricate,0.002958171486064666
log houses,0.0015539356043261312
looking camera,0.0
low clouds,0.002031878189793752
madeira faroe,0.0009466974212168418
male dunmer,0.0009143375555276275
manga,0.004257910551134716
manga illustration,0.001675018619126739
marble hourglass,0.001309320029869892
matte,0.002693825035809082
matte painting,0.008347513507727567
media collage,0.0008344679453219054
mid century,0.010167326197539114
modern art,0.0024005847179375834
movie,0.004836649554990234
movie poster,0.0011658733569922773
mysterious,0.0003658102000470395
mysterious ufo,0.0003332529451551502
natural scene,0.01030945237367321
nerevarine,0.0017691257957259533
neuromancer,0.0013599633224696428
oblivion skyrim,0.00023126978825397708
octane render,0.0042095837366751794
oil,0.001863135701105667
oil painting,0.003850284707780141
overcast thunder,0.0011008071468327166
pablo picasso,0.001879151026019799
painted pablo,0.001083207405250857
painting,0.01943554383920176
painting aesthetic,0.00024764666096992785
painting artstation,0.005148300417231646
painting beautiful,0.0036605831619476404
painting character,0.0019340184341004054
painting deviantart,0.0009867109547200064
painting lurid,0.001076864442862688
painting lush,0.008880745138806203
painting peter,0.005822976000868573
painting ronny,0.003153954047868958
painting sargent,0.004275592929930096
painting stalenhag,0.0021742715184280025
painting unreal,0.00021092249681394952
peter,0.003941901980402931
peter elson,0.0020238486739778466
photo,0.004786499387232075
photo realistic,0.0008265459371702091
photograph,0.009645459341480844
photograph divine,0.0016254369640592331
photography,0.005445304170118771
photography awards,0.00011308284484034934
photorealistic,0.010172599618774803
photorealistic digital,0.001352468223160072
photorealistic highly,0.0014419782308109238
phyics entries,0.0003085972454839941
picasso,0.009636904106504546
picasso hair,0.002999832288667233
pikachu hannah,0.0010425646829337071
pink bonsai,0.003050123187143076
pink flamingos,0.0013676691021887967
pixar,0.002484306581924666
portrait,0.02204018125570964
portrait ancient,8.555024562668804e-05
portrait extremely,0.0011304778333713107
portrait intricate,0.0031596227827034155
portrait male,0.00372194395005191
portrait painted,0.0033812742377323833
portrait painting,0.004896307479699694
portrait photograph,0.002931669067242296
portrait sabouts,0.0012722821571280933
portrait scifi,0.0014976733407415321
punk art,0.0007894898427210222
punk portrait,0.0011078161308830207
puppy,0.00020590370479408817
puppy sitting,0.00047020694978587563
realistic photo,0.001817453413578063
realistic render,0.0020488300170235737
render hyperrealist,0.0010568208753944108
robot,0.0019690772517683306
rocksalt lamp,0.00023734669602290873
room,0.001685972551597681
rpg portrait,0.0012840423545305774
runway,0.005085710707991716
saitama,0.003200522013360332
saitama anime,0.0008912183985259411
salvador dali,0.002117785241625003
scariest looking,0.002862319221899425
scene,0.0034330908058867985
scene science,0.002933921956753564
science,0.002064211811602831
science fiction,0.0001448168862451017
screenshot,5.477944140908794e-05
shade talking,0.00018090776215744375
sitting snowy,0.00046483630485325895
sky,0.0006184953508876352
skyrim elegant,0.005211961081042199
snowy,0.0005433328224938739
sony,0.00022375487061584157
sony world,0.0005137384484531913
space,0.0009555771834407851
starmaker,0.0005779647489880964
starmaker matte,0.0010637459426758758
stars,0.0037775611478502594
statue,0.0017963029952536816
steampunk,0.0018455567914071947
steampunk butterfly,0.0017516132439911129
studio ghibli,0.00046538024539075583
style contemporary,0.002466545526974135
style portrait,0.0029390031681204624
surreal,0.003021137646171468
surreal concept,0.003346823881019094
surreal dark,0.0004442901418189869
surrealism,0.0019087709743094308
surrealism surreal,0.004049244587360023
thanos style,0.00015875236372086906
tracing artstation,0.0020372141068535354
traits painting,0.0015183630745544809
trending artstation,0.002922766843145405
ufo,0.0039108578950945655
ufo ignoring,0.0016920257707590054
ultra realistic,0.003319599950949124
uncanny,0.00016436917719743775
uncanny painting,0.0011126053860503057
unreal engine,0.017077733190567546
vallejo frazetta,0.0024016608402418218
vivec portrait,0.0010074281159470984
volumetric lighting,0.0018346047972606781
wallpaper,0.0013646099355634645
wallpaper illustration,0.0021526983178194337
wizard,0.0028528088710168716
woman,0.0025239332343545634
world photography,0.0026222003867356135
zdzislaw beksinski,0.0007242497568653286
