keyphrase,mean_abs_shap
abandoned,0.0018653263362442306
alien,0.0020015979662734414
alien planet,0.0005827295101578428
android cyborg,0.0006753630060265635
anime,0.006644821748216379
anime colors,0.0005524195980016285
anime epic,0.0
armor daedric,2.333366776387984e-05
art,0.004982742111693027
art artgerm,0.0015142532096743561
art city,0.0006633469881704046
art hyperrealistic,0.0006264105075014406
art josan,0.002754610957690561
art lifelike,4.6478500402167055e-05
art punk,0.0005033579623143055
art realistic,0.0014994554795017946
art sharp,0.0016658917213531836
art smooth,0.0009006891850244031
art style,0.003841953184853348
art thorough,0.0024814214062410084
art trending,0.0010900671103007645
artistic,0.0007742637304334906
artistic painting,0.000855242511600839
artstation,0.004235189634494656
artstation cinematic,0.00010712536911840167
artstation galaxy,0.0008793012936593688
artstation hyperrealism,1.9964222912266652e-05
artwork,0.010194120859950315
atmospheric lighting,0.0001154832691631345
avant garde,0.00014664261801275373
azores,0.00020806232116783008
azores islands,6.605357322636325e-05
beautiful landscape,0.0008381118937146468
beneath cherry,0.0003857897603988837
bjork,0.00018185824900606354
black,0.006096186386428073
body manga,0.0004961611711640702
body portrait,0.00011877377036236196
body shot,0.0010057493957751102
bonsai,0.00042750622876871634
bonsai tree,0.0013035532595588003
bull looking,0.0005530092952811524
bull modeled,0.0005958185269554878
butterfly volumetric,0.0005004380086770803
camera,0.0029302724091430795
candle butterfly,0.000583099130244275
candle volumetric,0.000579664857690338
canvas,0.001526403653726878
castle,0.0012584785108605712
castle enclosed,0.0005660057446586806
cat,0.0020315288226790797
century,0.0007534689130394429
century modern,0.004188912773392259
character portrait,0.0012209803825476285
chris foss,0.00019274986094769623
churches domes,0.00038521191953032953
cinematic,0.0021677804841634123
cinematic composition,0.005363936520487275
cinematic deviantart,0.000676306266013929
city,0.0028906493029896775
cloud fashion,0.00026033168917836426
clouds,0.0013145574839455228
clouds covered,3.321178215118248e-05
clouds girl,0.00026549447041814564
clouds madeira,0.00017394386576942894
collage canvas,0.0006373532642053643
colors,0.0010532668356523051
colossal,0.00042570369254909423
colossal goddess,0.00023682806369214562
comprehensive art,0.0010696394290420639
concept art,0.006658204130552521
contemporary art,0.0005976673854692174
cute fluffy,0.0008303001733647754
cyberpunk,0.0009663412285037842
cyborg,0.0009674880949907022
cyborg body,0.0005541830760734601
cyborg bull,0.0006045661066201555
daedric armor,4.3498072958891074e-05
dark,0.0008791328988778085
dark uncanny,0.001904610156025382
detailed painting,0.001379138392798518
detailed portrait,0.0007393327342621374
detailed ultra,0.000989795915218702
details intricate,0.0004492603292816538
detective pikachu,0.0006288124138411821
deviantart,0.0016983467046160713
deviantart hyperrealistic,0.0
deviantart realistic,0.0007470786435140067
digital art,0.002380730694968476
digital painting,0.01223204999551407
digital render,0.0004499951833562012
divine,0.00047593595499378737
dog,0.0015098243839407036
donald,0.0015509868810503098
dragon,0.0011922961706643492
dramatic lighting,0.00023447095985622222
drawing,0.004884380174044818
dunmer nerevarine,8.35362431811545e-06
einstein,0.0025186529333717446
elf,0.0006205405882219272
elson,0.003707501323246412
emo,0.0012993909183651997
emo punk,0.0004995229906635677
engine,0.0012501955386057053
entries sony,0.00046105743147179223
fantasy art,0.003155411466354751
fantasy painting,0.0023179121588306367
fantasy style,0.0005536322234785445
faroe azores,0.0012476727209125241
fashion clouds,0.0010494435672991891
fiction,0.00026476469912427005
fiction film,0.005925008443521728
fifth element,0.001153016567399889
film,0.020043225535408948
film neuromancer,3.115372743171107e-05
flamingos,2.454119693367112e-05
flowers,0.0007625700123063824
fluffy,0.0004383521046599222
footage,0.0022325404429093215
forest,0.0007237560617858851
frazetta,0.001784232938255575
frazetta fantasy,4.0947208002549164e-05
frazetta giger,0.00043468048213531096
futuristic,0.0002175489208820862
garden,0.0012527990888552556
garden intricate,0.0005654428473824542
giant,0.000504719406170668
giant digital,0.00014210666441065057
girl clouds,0.00020654995330173962
glamorous sophisticated,0.004540330748392428
glimpse universe,0.0008394622190405426
goddess,0.00505642989123212
goddess creative,0.0
goddess wearing,0.0013925798887873281
gordon,0.002161171690622508
goth,0.0006799636616195327
goth emo,0.0005376386258586724
goths,0.00019819742011224406
goths loitering,0.00037638239197500506
gundam,0.0011343122291495396
gundam unreal,0.0006542016394099901
gustav klimt,0.004031083778564355
hd,0.003380249964811387
hd goth,0.0005397965358761542
hd painting,0.0001766400855147129
hd unreal,36684622411.54774
heavy detailed,0.0007984901927958727
high quality,0.0027919092326302284
hills slavic,0.0005197746894905145
himalayan,0.0004327381961934743
himalayan rocksalt,0.00039622481962073004
houses,0.005561607492101691
