keyphrase,mean_abs_shap
abandoned,0.003772145840884326
alien,0.0018220802583864847
alien planet,0.0007366639999343898
android cyborg,0.00026396327343998466
anime,0.003393184408232333
anime colors,0.0008765199544846935
anime epic,0.0009519333098271991
armor daedric,5.7842704113567344e-05
art,0.006342430212745264
art artgerm,0.0014741820063383787
art city,0.0003745818549797654
art hyperrealistic,0.0006697597234274643
art josan,0.0021673523876099944
art lifelike,0.00035262067750547533
art punk,0.0008147205368512873
art realistic,0.001392153643652977
art sharp,0.0014972233982283396
art smooth,0.0011455139255193458
art style,0.00294106542644854
art thorough,0.001095462190702435
art trending,0.0016733107923558347
artistic,0.0012520514268454617
artistic painting,0.0022799621667923447
artstation,0.002300912800358038
artstation cinematic,0.0006103319253361652
artstation galaxy,0.000426398754014003
artstation hyperrealism,0.001295157959349409
artwork,0.014319422533619132
atmospheric lighting,0.0
avant garde,0.00046964165450993965
azores,3.0380632938343468e-05
azores islands,0.00015250534680180252
beautiful landscape,0.0008038789613407151
beneath cherry,0.0004939994668143186
bjork,0.0003856211048427612
black,0.006721904181472574
body manga,9.126629510807157e-05
body portrait,0.0009480909478943988
body shot,0.00016711662626470576
bonsai,0.0009348713953092413
bonsai tree,0.0011448802642625314
bull looking,0.0001291825148531856
bull modeled,0.0003742222397351314
butterfly volumetric,0.0011932323305745647
camera,0.0006249568955020052
candle butterfly,0.000712682615735553
candle volumetric,0.0006918285664802415
canvas,0.0025138993712655448
castle,0.0013215865833460958
castle enclosed,0.0001774749241750974
cat,0.0023305672701027084
century,0.002038674831186077
century modern,0.00279375591316533
character portrait,0.0019083564716801701
chris foss,0.0009701863250465013
churches domes,0.00019237117304888698
cinematic,0.0034323895050096284
cinematic composition,0.0045262072981385815
cinematic deviantart,0.00031584650415464864
city,0.0009077692343470425
cloud fashion,0.00027770272652675304
clouds,0.0015195477036692218
clouds covered,0.0
clouds girl,0.0003119328650340863
clouds madeira,0.00013219469383392153
collage canvas,0.0007381757455249198
colors,0.0007137936470859069
colossal,0.0005734383544306525
colossal goddess,0.0008502468651734315
comprehensive art,0.0009313999757412795
concept art,0.0028501024346454388
contemporary art,0.0005572684595290502
cute fluffy,0.0011477465771395402
cyberpunk,0.0020155502611428995
cyborg,0.0005281037806065689
cyborg body,0.00032279086682335316
cyborg bull,0.0003834171802290397
daedric armor,0.0
dark,0.00138445836364821
dark uncanny,0.002976019010007024
detailed painting,0.001860077466811734
detailed portrait,0.0010210508519680659
detailed ultra,0.0028325595757982443
details intricate,0.00024206941633751438
detective pikachu,0.001368030653897084
deviantart,0.0021040391734614746
deviantart hyperrealistic,0.0009598484820905949
deviantart realistic,0.0005630813509752367
digital art,0.002018453248975838
digital painting,0.00435131219914353
digital render,0.0008841509673904115
divine,0.001046679782033363
dog,0.0006442971778325076
donald,0.0018671075561328132
dragon,0.001022643697298657
dramatic lighting,0.0011927677606604053
drawing,0.005843883072529233
dunmer nerevarine,0.0008557960055122864
einstein,0.004169000802418742
elf,0.00045117591273893245
elson,0.0023385466240368703
emo,0.0016958937310430592
emo punk,0.001112275878473444
engine,0.00015512824310834404
entries sony,0.0010196191102560344
fantasy art,0.0036894454750148803
fantasy painting,0.0015135822379209237
fantasy style,0.000749891850384388
faroe azores,0.0008620603614342595
fashion clouds,0.0011460986396155653
fiction,0.0002288821700501731
fiction film,0.0046843018777483645
fifth element,0.0010887293974363534
film,0.012570192277286424
film neuromancer,0.0
flamingos,0.0007681208099802784
flowers,0.0003307856805110422
fluffy,0.001234652179559528
footage,0.0019413589721044354
forest,0.0028936326428883265
frazetta,0.001481596014066753
frazetta fantasy,0.00012206537916234905
frazetta giger,0.0007965520494891879
futuristic,0.0007728683606620961
garden,0.00044167112963249076
garden intricate,0.0010968803311196425
giant,6.795212815203486e-05
giant digital,0.0006638374194172196
girl clouds,0.00025155398255749767
glamorous sophisticated,0.0019666485606719903
glimpse universe,0.0005907347590497471
goddess,0.0005259382455155506
goddess creative,0.0
goddess wearing,0.0008505443527947553
gordon,0.002384402211755494
goth,0.001237701696135278
goth emo,0.0012883962179629233
goths,1.7201604562666422e-05
goths loitering,0.0004393392616908378
gundam,0.0017020727380763442
gundam unreal,0.0010530298925104464
gustav klimt,0.007999496609341333
hd,0.0021281797381831045
hd goth,0.0007897986420083504
hd painting,0.00014700195178640228
hd unreal,0.0015600965117893507
heavy detailed,0.0008230504490074976
high quality,0.002124975637724684
hills slavic,0.00010513712493492178
himalayan,0.000869149950121054
himalayan rocksalt,0.00028817663087455763
houses,0.0019465975206209188
houses built,0.0009487560041180438
hyper detailed,0.0009901290867269164
illustrated,0.0013575306383731642
illustration,0.0027078903345574053
illustration art,0.0037583691397732807
imposing cyborg,0.00018796997709135446
intricate details,0.0002652810912528903
intricate hyper,0.0016608649981518044
intricate royo,0.0011425304772518074
intricate volumetric,0.0009861783029114
josan,0.001980443592172412
josan gonzalez,0.0014565644260282303
knight,0.0021708105561736527
kylie,0.0004464235328706356
kylie minogue,0.0005473282622011453
lamp,0.00017690667063489357
landscape,0.0035288939819282774
landscape colourful,0.0003723089643483507
lantern candle,0.0007079724319209068
length portrait,0.0018737683935465574
lifelike photorealistic,0.00226014508723414
lighting,0.0019060661205185447
lighting hd,9.930214425003095e-06
lightning intricate,0.00036573360025895065
log houses,0.0008718001710048287
looking camera,0.00029708687443988027
low clouds,0.0014628098389449624
madeira faroe,0.00011824169871990383
male dunmer,0.0007796342977214349
manga,0.004835173660695465
manga illustration,0.002089655333019851
marble hourglass,0.0009421918476665716
matte,0.001702658396986727
matte painting,0.002684509877902776
media collage,0.0006879429391991419
mid century,0.004687517678623126
minogue,0.00047107734622538606
mixed media,0.000638534788886242
modern,0.0005193810204458009
modern art,0.001371915474525111
movie,0.004379828648551282
movie poster,0.0013428022019323156
natural scene,0.005320706659701815
nerevarine,0.0010377747796236488
neuromancer,8.80006417596848e-05
oblivion skyrim,2.425282813409268e-05
octane render,0.0018159459010790126
oil painting,0.002454668902152524
overcast thunder,0.0011458758069854615
pablo picasso,0.0017660702072950475
painted,0.0005541691486690196
painted pablo,5.8462232765898194e-05
painting,0.013102416732626855
painting aesthetic,0.0018385994240429297
painting artstation,0.002812398943053547
painting beautiful,0.0025254287187636334
painting character,0.0006341260678939021
painting chris,0.0009355621903413534
painting deviantart,0.0023741007549602927
painting lurid,0.0013539363128652385
painting lush,0.0008324600145956833
painting peter,0.0008849218391509079
painting ronny,0.0010941109872998477
painting sargent,0.0036106939345439196
painting stalenhag,0.002083219855658953
painting unreal,0.0009343176754920462
peter,0.0023332353793067873
peter elson,0.0024904697641040074
photo,0.0019310941245729693
photo realistic,0.0010491799598105768
photograph,0.006110401463183814
photograph divine,0.0015263865580872552
photography,0.00832506754523707
photography awards,0.00012367973360919324
photorealistic,0.0035831008204895436
photorealistic digital,0.0010299227934811798
phyics entries,5.977920808241786e-05
picasso,0.004582478606776168
picasso hair,0.0002057778977729712
pikachu hannah,0.0011481576258378081
pink bonsai,0.001326233996873517
pink flamingos,0.0008482882049511249
pixar,0.0003523205657005689
pixie cut,0.0012897403627916454
portrait,0.015185763825509116
portrait extremely,0.0007823378335753198
portrait intricate,0.001464021417624348
portrait male,0.0008790872409687363
portrait painted,0.0010140486672198634
portrait painting,0.0012150043802661601
portrait photograph,0.0012866187979939648
portrait sabouts,0.0
portrait scifi,0.0017251016948931406
punk art,0.0010726204946947086
punk portrait,0.0006020400083689018
puppy,0.00028087309327125986
render hyperrealist,0.0013057791168209778
robot,0.00058139391859332
rocksalt lamp,0.00018042196388771904
rpg portrait,0.0010336639227439643
runway,0.0005512252931672557
