keyphrase,adjusted_mean_shap
peter,9978117065.285494
vallejo frazetta,9978117065.284435
wizard,9171155602.88805
hd unreal,9171155602.887733
painting,0.0196693210531209
portrait,0.017764215712089623
film,0.015646409108425498
unreal engine,0.013632933286784124
artwork,0.0099967038085482
illustration art,0.008428891245703875
digital painting,0.007758098307710649
photograph,0.006438629775396675
art,0.006344294057544025
natural scene,0.0060485219553349494
mid century,0.006023487468336901
photography,0.005997028165976425
black,0.005923785020608475
fiction film,0.005574843837114175
anime,0.0053279767430408
cinematic composition,0.005054992639688474
manga,0.004925467149630375
gustav klimt,0.004820531734549825
picasso,0.004791209949145675
einstein portrait,0.0046881529625509
concept art,0.004670622195633625
drawing,0.00451028334005175
painting sargent,0.004460409242194274
movie,0.004318391242261826
matte painting,0.0043002250119789
photorealistic,0.00418472943538595
century modern,0.0036575877535034254
glamorous sophisticated,0.0036320904547206
design,0.0034744544296441
artstation,0.0034564165351850503
fantasy art,0.0033572725250646247
houses,0.003228650391561425
painting artstation,0.003022675411845325
matte,0.00298147672590335
lifelike photorealistic,0.00294782196862525
cinematic,0.0029107412951899754
digital,0.0028773473398013
hd,0.0028707173316282254
scariest looking,0.0028623192218994
art style,0.0028545476146845748
scene,0.0027673471631535747
elson,0.0027204267166443
earth,0.0027174671561908
landscape,0.0026521242388593
scene science,0.00263760087363505
goddess,0.0026346298502551
painting lush,0.002555672877565
abandoned,0.0025321573656893748
einstein,0.0025232295214987002
oil painting,0.00240298996761095
gordon,0.002371858512801775
detailed ultra,0.002369919868850925
knight,0.0023420950183391
painting beautiful,0.0022146662660966
lighting,0.0022123789104434304
photo,0.0021780219922775436
headshot edwardian,0.0021662172876097
art josan,0.002152415979613825
salvador dali,0.002117785241625
canvas,0.0021122255245180754
cat,0.0020829127265609747
realistic render,0.0020488300170235
dark uncanny,0.00202669778010375
detailed painting,0.002026317722251
digital art,0.001987650508744025
art artgerm,0.0019867538298784498
octane render,0.001983376576268
manga illustration,0.001933403766503825
woman,0.00191387274942825
trending artstation,0.0018717371196608234
oil,0.0018631357011056
ultra realistic,0.0018586423608870752
painting peter,0.0018433963499536687
ufo,0.0018252029448679497
realistic photo,0.001817453413578
clouds,0.00179034005701095
high quality,0.00176802988386605
skyrim elegant,0.0017588103322492
camera,0.001735362055076675
character portrait,0.0017317705867172
portrait painting,0.001716953099126725
intricate volumetric,0.001712328131015225
illustration,0.001699044253909875
room,0.0016859725515976
hyper detailed,0.001665375140606375
style portrait,0.0016463269906231751
footage,0.0016409659736705334
world photography,0.0016197078033201
deviantart,0.001614301507972375
art smooth,0.001584482101288525
intricate hyper,0.0015778398301660502
gundam,0.0015715810452798752
donald,0.00154382938885715
art sharp,0.0015076488277070749
fashion clouds,0.00150302013985405
runway,0.001502511572077095
heavy detailed,0.0014930830078201751
city,0.001471899726963125
art realistic,0.0014509009913124251
surreal concept,0.0014452623908478499
photorealistic highly,0.0014419782308109
blinders photography,0.0014334399120422
painting stalenhag,0.001403261892592325
forest,0.0013901324825931738
surrealism surreal,0.001388758950667325
peter elson,0.0013810830610071654
stars,0.00136429828162025
gonzalez,0.0013638709918916
bonsai tree,0.0013277139530612
josan,0.0013020948414770171
portrait painted,0.0012999830068543296
steampunk,0.00129702466980705
painting ronny,0.0012967352641674499
detailed portrait,0.0012866888329804002
fantasy painting,0.00128530996931985
comprehensive art,0.001271034659049
portrait intricate,0.00126851907309985
portrait scifi,0.001267095778736875
alien,0.00126367568798695
pink bonsai,0.00126206073701325
pablo picasso,0.001257015162898125
portrait photograph,0.0012547469393169
emo,0.0012281438672399666
fifth element,0.001220429602166425
modern art,0.0012185265483967
surreal,0.0012158898520361
portrait male,0.0012072406524383699
cyberpunk,0.001200092261358901
artistic painting,0.0011976473151752
photograph divine,0.0011930277209699748
wallpaper,0.001179263297275
painting deviantart,0.0011717487140582663
divine pink,0.0011531970141622
uncanny painting,0.00114718972395335
gundam unreal,0.00114418554218315
deviantart realistic,0.0011426324086716098
frazetta,0.0011423446584443
faroe azores,0.001139502645467375
rpg portrait,0.0011212494597755
engine,0.0010970371238985
hd goth,0.00109508488412145
movie poster,0.0010876838777795
style contemporary,0.001085852798986175
dragon,0.001083378805872975
candle volumetric,0.00107191488002445
illustrated,0.0010665973462954334
alien planet,0.0010603708168957506
century,0.0010535884896197667
beautiful landscape,0.001049310055204875
saitama,0.00104601305458695
volumetric lighting,0.001038258402097975
art thorough,0.0010136719448004324
picasso hair,0.00100758111357675
art trending,0.0009983862892966346
castle,0.0009982819033591442
emo punk,0.00099550760790785
lightning intricate,0.0009701928610386176
surrealism,0.0009640240117217001
garden intricate,0.0009631029675428
cinematic deviantart,0.0009583408213294418
houses built,0.0009454540840624539
low clouds,0.0009379632490997
dark,0.00093209496745825
pixar,0.000930119617482475
deviantart hyperrealistic,0.00092157267123975
length portrait,0.0009144534208062501
divine,0.0009105400694741749
goth,0.0009096555615525251
garden,0.0009059117788633
lantern candle,0.000903232889453983
log houses,0.0008946697548501239
ufo ignoring,0.00089320247867855
saitama anime,0.0008759954977834001
josan gonzalez,0.00087486449518465
goddess wearing,0.0008731670822905
landscape colourful,0.0008418726149129113
statue,0.000839126826147
wallpaper illustration,0.0008229280757869999
science,0.0008059847177192749
bonsai,0.000805740383741425
dramatic lighting,0.000793194368927225
photo realistic,0.0007916750826047
nerevarine,0.000777750489678475
cute fluffy,0.00077711351784295
beneath cherry,0.0007725863888891
art hyperrealistic,0.000767897111633225
butterfly volumetric,0.0007678242017437609
pixie cut,0.0007656503197894667
goth emo,0.000765573618506
artstation cinematic,0.0007517832140504564
photorealistic digital,0.0007465531407149001
painting lurid,0.000746190755922
collage canvas,0.0007461820173804501
pikachu hannah,0.00073557398212035
render hyperrealist,0.0007353658849631249
dog,0.0007192631633180724
painting aesthetic,0.0007186701633841749
tracing artstation,0.0007129846679432999
art punk,0.000709732122512475
body portrait,0.00070329647309045
painting character,0.0007020721728023913
robot,0.0006969685467987888
fluffy,0.00069329619599285
detective pikachu,0.0006911204168962848
zdzislaw beksinski,0.0006877678744694
artistic,0.0006823445379334
contemporary art,0.0006708943540504
punk art,0.0006607414420354
atmospheric lighting,0.0006598333682462092
anime epic,0.0006539601226264249
space,0.000649127519487775
bosch,0.0006427540814343
traits painting,0.0006412611156284333
giant digital,0.0006356671680063999
dunmer nerevarine,0.0006342037304766288
sky,0.0006184953508876
glimpse universe,0.0006007011632624333
sony world,0.0005970818463579999
media collage,0.000594109523946775
elf,0.00059150042688475
colors,0.0005900171443313131
marble hourglass,0.0005807801703586733
goths loitering,0.0005726210545904
overcast thunder,0.0005717483450788617
candle butterfly,0.0005688596521327464
punk portrait,0.0005666149887406619
body shot,0.000562764116040822
colossal,0.000559591658754975
portrait extremely,0.0005573402781110851
pink flamingos,0.0005546640440699305
starmaker matte,0.0005469268581557
snowy,0.0005433328224938
bjork,0.0005418985100284
painting chris,0.0005408794335595334
vivec portrait,0.000540021932970975
intricate royo,0.0005354158611629749
entries sony,0.0005240326960405249
chris foss,0.0005236983513369666
digital render,0.0005222740646858
surreal glimpse,0.0005208710672243666
cyborg,0.0005204166380509
sony,0.0005072541875882251
intricate details,0.0005057713490827148
fine artistic,0.0005057249607892
details intricate,0.0005053738775613751
art city,0.000503843645013875
futuristic,0.000503808775355125
neuromancer,0.0005001002526197212
imposing cyborg,0.0004964722714882
male dunmer,0.000494303346432741
art lifelike,0.00048032253862839177
flamingos,0.0004770943023514677
frazetta giger,0.00047351137475647496
painted pablo,0.00047179365242832456
puppy sitting,0.0004702069497858
sitting snowy,0.0004648363048532
modern,0.0004561893741651
portrait sabouts,0.00045540669479107504
himalayan rocksalt,0.000453125452193175
surreal dark,0.0004442901418189
steampunk butterfly,0.00044237080922420255
kylie minogue,0.0004312868537397667
lamp,0.00043016491773155684
android cyborg,0.00042925768675832496
artstation galaxy,0.000427419382176125
painting unreal,0.0004247491702675892
himalayan,0.00041447667117427186
azores,0.00039762141155491083
minogue,0.0003956677111867667
bull modeled,0.00038689299043325
