keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0006811050809758964
alien planet,0.00018614280351331592
android cyborg,1.8266310545428026e-06
anime,0.00033691628176149677
anime colors,0.00026674579309094603
anime epic,4.1002726868776055e-06
armor daedric,0.0
art,0.00035808356142528683
art artgerm,0.0017487481383870658
art city,0.0
art hyperrealistic,0.00022623836298694137
art josan,0.0
art lifelike,1.1154604406825519e-05
art punk,0.00019139196895788687
art realistic,6.030800118722125e-05
art sharp,0.00023417707075998643
art smooth,0.00029460127476603747
art style,0.0
art thorough,0.0
art trending,0.00024270647987923916
artistic,0.00017932749359198503
artistic painting,0.0003482530816264596
artstation,0.00034611708546139545
artstation cinematic,0.00026437350978308807
artstation galaxy,2.655847093363265e-06
artstation hyperrealism,0.0031738533076463124
artwork,0.006742480445059237
atmospheric lighting,0.0002224013659720392
avant garde,0.0002573927892566006
azores,0.0002553442059030427
azores islands,0.0005171769315673902
beautiful landscape,0.00024826163371066175
beneath cherry,1.838117689490404e-05
bjork,0.00023720221797461812
black,0.0007091528299483405
body manga,0.00021274965958427634
body portrait,0.00025331218282613233
body shot,0.00023986138530096272
bonsai,0.002078218812974697
bonsai tree,5.172691613986654e-06
bull looking,0.0
bull modeled,0.00014668540045175313
butterfly volumetric,1.8841478950672685e-06
camera,7.52746064478243e-07
candle butterfly,0.0
candle volumetric,2.9605436172548743e-06
canvas,0.005027638306428087
castle,0.00019547907784467662
castle enclosed,0.0002160170575517741
cat,0.0
century,5.571811163945867e-06
century modern,0.0002460995311777012
character portrait,0.0031968016378433645
chris foss,0.0
churches domes,0.0002272935619409901
cinematic,0.0005557937905822144
cinematic composition,0.0028608651405628645
cinematic deviantart,0.0004197172962964564
city,0.00018448718845560512
cloud fashion,0.0
clouds,0.0010454294968535104
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.00024284286898887676
collage canvas,0.000266818611722359
colors,0.0
colossal,0.00029546669473851876
colossal goddess,0.0003826682613967637
comprehensive art,1.0769927951466337e-05
concept art,0.0002808794098040536
contemporary art,0.00018695385678378138
cute fluffy,0.0
cyberpunk,0.0004442609119643184
cyborg,9.398777521800269e-07
cyborg body,0.00010988882523970553
cyborg bull,0.0
daedric armor,0.0
dark,0.002398828763791524
dark uncanny,0.002016137997622608
detailed painting,0.0005224061823020243
detailed portrait,8.165662241413543e-06
detailed ultra,0.00033360413667231115
details intricate,9.433955449620128e-05
detective pikachu,0.0003741155135369325
deviantart,0.004888635584264376
deviantart hyperrealistic,1.8731950840631265e-06
deviantart realistic,0.0022609056925737008
digital art,0.0010945346068909375
digital painting,0.00020593296028766322
digital render,0.0002644734467270803
divine,1.4658631480486614e-06
dog,0.0002512480278575867
donald,0.001383518933285851
dragon,0.0007561454310015241
dramatic lighting,0.00034963129825349817
drawing,0.0002547499187763216
dunmer nerevarine,0.00020668437304064617
einstein,0.004527500306380259
elf,0.00043999836338629657
elson,0.0002476087873752605
emo,0.0001822780243204616
emo punk,0.00024499861473079824
engine,0.00020106251771855166
entries sony,0.00027618848149743233
fantasy art,0.0014453992288986134
fantasy painting,0.00021810323158529606
fantasy style,0.00025387559180094547
faroe azores,0.00018144164638379364
fashion clouds,0.0
fiction,3.065521826585776e-06
fiction film,0.0009306113082779966
fifth element,0.001435518748378981
film,0.02868145005619004
film neuromancer,0.0
flamingos,0.0
flowers,0.0031081269407696645
fluffy,0.0
footage,0.0006428032198563905
forest,0.0005203067059219163
frazetta,0.0002512766423846899
frazetta fantasy,0.0
frazetta giger,4.85340190802071e-06
futuristic,0.00027621658645112104
garden,0.00023475130043850432
garden intricate,0.0
giant,0.00021478692510642242
giant digital,0.00030718210671736257
girl clouds,1.2168859774635964e-06
glamorous sophisticated,0.0
glimpse universe,0.0
goddess,0.0015830320968489363
goddess creative,0.0
goddess wearing,0.0
gordon,0.0006353729248662675
goth,0.00021910060918713443
goth emo,0.00024363817688886574
goths,1.0363002978383711e-05
goths loitering,0.0
gundam,0.000444933101781299
gundam unreal,0.0
gustav klimt,0.0
hd,0.0
hd goth,0.00024589994406321443
hd painting,0.0004843581263944075
hd unreal,2.3365661445124776e-06
heavy detailed,0.0002092631909169115
high quality,0.0011241694682735588
hills slavic,0.00017882358804718787
himalayan,0.0013140546570864049
himalayan rocksalt,0.000292731855645983
houses,0.0002586466029048713
houses built,0.00024698394268164953
hyper detailed,0.00023698657440472868
illustrated,0.0
illustration,2.30081240836029e-06
illustration art,0.00037068275738840124
imposing cyborg,4.681342061785978e-06
intricate details,0.0014723381250275796
intricate hyper,0.00022612107382402372
intricate royo,0.0002846800244061847
intricate volumetric,0.0002484590342069205
josan,0.0
josan gonzalez,6.413299180928908e-06
knight,5.726767630127104e-05
kylie,3.4673818074363374e-06
kylie minogue,0.0
lamp,0.00025589842447204113
landscape,0.004652230110360382
landscape colourful,0.0002840639660209602
lantern candle,1.2338728557829982e-06
length portrait,0.0
lifelike photorealistic,0.00023803721708241823
lighting,0.000316852372220442
lighting hd,0.00023827141190497968
lightning intricate,7.026589112498177e-05
log houses,0.00020557593763697977
looking camera,9.60963619479668e-05
low clouds,0.0
madeira faroe,0.00023623474690722765
male dunmer,0.0002502032118942826
manga,0.003560396845332533
manga illustration,0.0002499721830867959
marble hourglass,3.4145578186303365e-07
matte,2.239126623468854e-06
matte painting,0.00639268594968051
media collage,0.0002630754131901749
mid century,2.7517002457968545e-06
minogue,0.0
mixed media,0.00023421071869187215
modern,0.0
modern art,0.0003778204877963628
movie,0.0009547803382221515
movie poster,0.0
natural scene,0.0009783013767496187
nerevarine,0.0011652598880704818
neuromancer,0.0003551564233966375
oblivion skyrim,1.8071063612369839e-06
octane render,0.0002491661632675799
oil painting,0.00028114479766515484
overcast thunder,0.00019439610961762612
pablo picasso,0.00024885013001534035
painted,0.0006905881104797662
painted pablo,0.00023535456838551168
painting,0.03554494628347218
painting aesthetic,0.0
painting artstation,0.004249944386416838
