keyphrase,mean_abs_shap
abandoned,0.001095065043457692
alchemical creatures,0.0007414262571053846
alien,0.0021355577691168632
alien planet,0.0006479049307360715
android cyborg,0.0002341088468961112
anime,0.005533993804251798
anime colors,0.0025957805719733396
anime epic,0.0011513351370130334
armor daedric,0.0011411571019207894
art,0.012267043945084525
art artgerm,0.004598933259293683
art city,0.0025004647713111746
art hyperrealistic,1.6952221815353035e-05
art josan,0.0011118162903581144
art lifelike,0.001333556893626312
art punk,1.9966092673330468e-05
art realistic,0.0021432563741248987
art sharp,0.0017941295560737834
art smooth,0.0029177474815819562
art style,0.001026878601425004
art thorough,0.00192598056932002
art trending,0.002319990618126693
artistic,0.0015576775680742107
artistic painting,0.0019422571387521395
artstation,0.007826755752236063
artstation cinematic,0.0021427605106933293
artstation galaxy,0.0003959008940621987
artstation hyperrealism,0.009702040103602967
artwork,0.009874512921857464
atmospheric lighting,0.001430085015280006
avant garde,0.0031079386140381244
azores,0.0021511257032590333
azores islands,0.001675989738960332
beautiful landscape,0.0004503653307830319
beneath cherry,0.0
bjork,0.0013116690820622224
black,0.0031884898463193823
blinders photography,0.0013401347949159488
body manga,0.0025376846180972753
body portrait,0.0012167612584924347
body shot,0.000266960642193804
bonsai,0.0020688110709421973
bonsai tree,0.0006051187554302437
bosch,0.0010605608169980923
bull looking,0.0
bull modeled,0.0010613391133799728
butterfly volumetric,0.0019605995570001447
camera,0.0015457426815840634
candle butterfly,0.0008028611175500306
candle volumetric,206153635867.57895
canvas,0.0065968512664280245
castle,0.0024194576014740636
cat,0.0016373263079950524
century modern,0.002322730257338244
character portrait,0.0027622082221758163
cinematic,0.004782309005301205
cinematic composition,0.008455788522688799
cinematic deviantart,0.002295407362316403
city,0.0031588189501630527
clouds,0.006568923696419123
clouds madeira,0.001639578843268764
collage canvas,0.0004651006995240598
colossal,0.0026325863581618657
colossal goddess,0.0010906556222452185
comic book,0.0008724630005748043
comprehensive art,0.002900423797361801
concept art,0.011923303161024012
contemporary art,0.00019654721312306215
creatures surreal,0.001003122121350888
cute fluffy,0.001737990928197027
cyberpunk,0.0030626185015000785
cyberpunk art,0.0002983944205632678
cyborg,0.0003558726123708836
cyborg body,2.129400013231686e-05
cyborg bull,2.020073678271284e-05
daedric armor,0.0008463285041186102
dark,0.00207974982414309
dark uncanny,0.0007299953283639419
design,0.0024316764454273155
detailed painting,0.0032113877526512248
detailed portrait,0.0023051757894554954
detailed ultra,0.004838471728680773
details intricate,0.001136182377109181
detective pikachu,0.0010782174372635216
deviantart,0.0031757472590078425
deviantart hyperrealistic,0.0008891346794022351
deviantart realistic,0.0072685788945023476
digital,0.0007177374442751027
digital art,0.0072852004309842235
digital painting,0.007650892618750694
digital render,0.00044719109043513605
divine,0.0003382659618181455
divine pink,0.00027122314742334416
donald,0.0042493010620164315
dragon,0.004787822209225124
dramatic lighting,0.0028847823868015715
drawing,0.0005432365174920224
dunmer nerevarine,2.094581881979884e-05
earth,0.0033309967252016194
einstein,0.003235226174251263
einstein portrait,0.003705701789680458
elf,0.004172734725928026
elson,0.0020464447068320366
emo punk,0.00040425507560829877
engine,0.0013712601759515138
entries sony,0.00122623881626231
fantasy art,0.008605227212245043
fantasy painting,0.0025488959197883404
fantasy style,0.00038055596668186263
faroe azores,0.0015175049166017464
fashion clouds,0.0024603027205756245
fiction,0.0011653164721517665
fiction film,0.0070049299211297645
fiery alchemical,0.00032119119025609644
fifth element,0.002626549050802585
film,0.015233171170563352
film neuromancer,0.0014521293579021657
fine artistic,0.00182039809254799
flamingos,0.00015036904539330174
fluffy,0.0012807098298667295
forest,0.001270264820677417
frazetta,0.00160754372542479
frazetta giger,0.00148471711537284
futuristic,0.0015901493290645318
garden,0.002429488495057802
garden intricate,0.0023482628692816036
giant digital,0.002312531159263704
glamorous sophisticated,0.0009768394852734566
goddess,0.0018130340680998643
goddess wearing,0.0005855291176948938
gonzalez,0.0029178903528036962
gordon,0.004117426281585808
goth,0.00019277956893197688
goth emo,0.000109577170457156
goths,0.001365762400795705
goths loitering,0.0002163296032546224
greek man,0.0016903276187525834
gundam,0.0049626178347544556
gundam unreal,0.0011415165085670671
gustav klimt,0.0037524505397960213
hd,0.0016997179210058607
hd goth,0.0027938631551277793
hd painting,0.0034991703044738296
hd unreal,0.001731544738381198
headshot edwardian,0.002538516104648848
heavy detailed,0.004643003299586764
high quality,0.005353089257341289
himalayan,0.005059941376093349
himalayan rocksalt,0.0015104616451840926
houses,0.00016254062722195544
houses built,0.0005189346006607906
hyper detailed,0.0032442690189506745
illustration,0.005043889096998894
illustration art,0.0072298638579861366
imposing cyborg,7.387389059736945e-05
intricate details,0.003770008128492554
intricate hyper,0.003070840260816927
intricate royo,0.0020688295340147455
intricate volumetric,0.001441419360157092
josan,0.0012795230205730796
josan gonzalez,0.0001157066432631685
klimt,0.0009485217105589255
lamp,0.0015056208165482184
landscape,0.005116852241824677
landscape colourful,0.0005172017498873195
lantern candle,0.0016663298718664747
length portrait,0.0007447284554451813
lifelike photorealistic,0.0021776749071378784
lighting,0.003782288427513219
lightning intricate,0.0025839426263945114
log houses,6.400671638085191e-05
looking camera,0.0004955997991816593
low clouds,0.0023195743100104145
madeira faroe,0.0020134531813846093
male dunmer,5.0151198943872696e-05
manga,0.004584543223519452
manga illustration,0.0013679045845324054
marble hourglass,0.0019031189470234443
matte,0.00660770323829281
matte painting,0.002502153679458991
media collage,0.0008633241715540673
mid century,0.004336751061611488
modern art,0.001454090678840172
movie,0.0053143511228911575
movie poster,0.0028243170986008968
mysterious,0.00010310873199108834
mysterious ufo,0.0003056224324388811
natural scene,0.0067792081014190495
nerevarine,0.00016001788566449827
neuromancer,0.002362248627754254
oblivion skyrim,7.532265497109344e-05
octane render,0.0004508945529081421
oil,6.894018055375919e-05
oil painting,0.005855535516086081
overcast thunder,0.0010160487845757254
pablo picasso,0.001090348415428893
painted pablo,0.0014994253788460819
painting,0.023375189332768463
painting aesthetic,0.0021604122352494224
painting artstation,0.0037719006908304336
painting beautiful,0.0029974361593152286
painting character,0.0028686258325698
painting deviantart,0.0014035472134373067
painting lurid,0.002909366790310743
painting lush,0.0028549083026238077
painting peter,206153635867.5917
painting ronny,0.0008307546322860208
painting sargent,0.008562979093566068
painting stalenhag,0.0002365974331425974
painting unreal,0.0004259697883826978
peter,0.004386466021867807
peter elson,0.0064613494086462045
photo,0.0033699984947301565
photo realistic,0.002877032918065207
photograph,0.002645366281963316
photograph divine,0.0002894911035595226
photography,0.006822559318679747
photography awards,0.0015134719348821146
photorealistic,0.010550036063196603
photorealistic digital,0.0020922830148553543
photorealistic highly,0.003647809469471122
phyics entries,0.003484754593887487
picasso,0.003998021913152738
