keyphrase,mean_abs_shap
abandoned,0.0006777221966198721
alien,0.0009117289552135966
alien planet,0.0005979535562771595
android cyborg,0.000914672220740298
anime,0.002890538564239489
anime colors,0.0002168825402477106
anime epic,0.0008629167225274765
armor daedric,0.0007160498929458016
art,0.006241947159534221
art artgerm,0.0023397839594843273
art city,0.0007905637732963981
art hyperrealistic,3.505798218786239e-05
art josan,1.146507947389574e-05
art lifelike,1.3998433249832122e-05
art punk,1.2165522353514724e-05
art realistic,0.0013032002337675813
art sharp,0.001367613500415842
art smooth,0.0016874844623906479
art style,0.002432615353627342
art thorough,0.0
art trending,0.0014754480251115809
artistic,0.0007201840955551278
artistic painting,0.0017754924675851577
artstation,0.005614550818692369
artstation cinematic,0.0028950772661218696
artstation galaxy,0.00010794070546433282
artstation hyperrealism,0.00332458225702348
artwork,0.013178355517589635
atmospheric lighting,0.00022554233956877684
avant garde,0.0008727498565815818
azores,1.347788974130117e-05
azores islands,0.00019068643874301633
beautiful landscape,0.000984445124377071
beneath cherry,4.602913937625412e-06
bjork,0.0004058990387975821
black,0.0029486872687139883
body manga,1.0632622219487439e-05
body portrait,0.0008664288087857
body shot,0.0008518116976112476
bonsai,0.003419745293744597
bonsai tree,0.001166710459318227
bull looking,0.0010446781201602863
bull modeled,0.0007134552375363115
butterfly volumetric,0.000590463217188091
camera,0.0013341018767756645
candle butterfly,0.0004909649873026414
candle volumetric,0.0006374059301891929
canvas,0.004311027902069047
castle,0.0005487623487059585
castle enclosed,3.2523964151482496e-06
cat,0.0034059464377719016
century,0.001329160492863211
century modern,0.00141447520238889
character portrait,0.004111209382762314
chris foss,111171470470.49564
churches domes,0.0
cinematic,0.002483290561001513
cinematic composition,0.0047440152146427895
cinematic deviantart,0.0007893413156219341
city,0.0012797626012215823
cloud fashion,1.1049249714113968e-06
clouds,0.005099151568904294
clouds covered,0.0007501192035212959
clouds girl,6.547755015472369e-06
clouds madeira,0.000155187599680882
collage canvas,5.66232225595667e-07
colors,0.0004039886039600909
colossal,0.0011116100261753979
colossal goddess,0.0016114524711163187
comprehensive art,0.0011116057434553206
concept art,0.00383885907942125
contemporary art,1.2824334807785848e-05
cute fluffy,0.00042761005863632635
cyberpunk,0.006402442172464938
cyborg,0.0009143106012599979
cyborg body,0.0007221254547820443
cyborg bull,0.0008395860319012163
daedric armor,0.001131480391838046
dark,0.007552170177208301
dark uncanny,0.001502725841012502
detailed painting,0.0018743887257399057
detailed portrait,0.001051251526161571
detailed ultra,0.0018498795095203593
details intricate,0.0010843142187660748
detective pikachu,0.00113276664112272
deviantart,0.0070781890182085175
deviantart hyperrealistic,0.000719416015693644
deviantart realistic,0.0027337795286827473
digital art,0.0034281962542614484
digital painting,0.0030394888113479024
digital render,0.0007085645962539637
divine,0.00032750831483422353
dog,0.0020226085012623345
donald,0.0019373530158550514
dragon,0.0015995284677336053
dramatic lighting,0.0014804680270956547
drawing,0.0007935326877857782
dunmer nerevarine,0.0008254378347802394
einstein,0.006474636708722672
elf,0.0013130620928820112
elson,0.00013116727459870306
emo,0.0002568337444648081
emo punk,0.0006140340332997582
engine,0.001286275067109433
