keyphrase,mean_abs_shap
abandoned,0.0013665439345991414
alien,0.0005832002316463789
alien planet,0.0002580171138691273
android cyborg,0.00021373234379643382
anime,0.003197133115234281
anime colors,0.0008224195244336003
anime epic,0.00027810082932884685
armor daedric,4.8193285884096214e-06
art,0.006013711659287599
art artgerm,0.0015336986308229195
art city,0.000468179408154312
art hyperrealistic,1.9953104193783305e-05
art josan,0.00011164164044833381
art lifelike,0.0012179045592597742
art punk,0.0007181530318635995
art realistic,0.000988275970628453
art sharp,0.0019502619553318301
art smooth,0.0018338045439236774
art style,0.0012003164765934467
art thorough,0.0014944427344568357
art trending,0.0008807079431294294
artistic,0.002033792402155064
artistic painting,0.0019360680959194286
artstation,0.004246206662368677
artstation cinematic,0.0015935045426326067
artstation galaxy,5.425760339632906e-05
artstation hyperrealism,0.00258309815523635
artwork,0.00818459855603376
atmospheric lighting,5.349015178322675e-05
avant garde,0.0009101418929545214
azores,0.0009353192536610967
azores islands,0.0007358523672140301
beautiful landscape,0.0003375056932098173
beneath cherry,0.00126128580309326
bjork,0.0008542929052848137
black,0.0016112178162878403
body manga,0.00020326551479687
body portrait,0.0018650530329534106
body shot,0.00018263389936714816
bonsai,0.0006771638122700977
bonsai tree,0.0001061660706145822
bull looking,0.0002965211466187308
bull modeled,0.00021946387145848936
butterfly volumetric,0.0002369368544001904
camera,0.0005424856380392978
candle butterfly,4.677488938860575e-05
candle volumetric,0.001148345658216917
canvas,0.0027361051960955573
castle,0.0009676853425499589
castle enclosed,7.535920197498479e-06
cat,0.0022026385626884044
century,0.0006848499168029277
century modern,0.005051810528452022
character portrait,0.002407163420473099
chris foss,0.0
churches domes,1.193016160888673e-05
cinematic,0.002958044057911287
cinematic composition,0.005540582180201911
cinematic deviantart,0.00043378080319399594
city,0.00106528304965375
cloud fashion,0.00013728659472444997
clouds,0.0016961983619573917
clouds covered,0.0003734105460775682
clouds girl,4.260929638583664e-05
clouds madeira,0.0011163392086457487
collage canvas,0.0007416704829652429
colors,0.0006847450283846104
colossal,0.0005579748027765342
colossal goddess,0.00017101631885412774
comprehensive art,0.0013522470024543984
concept art,0.0032963886413982743
contemporary art,0.0007594566763067734
cute fluffy,0.0008512350332319301
cyberpunk,0.004330405283746586
cyborg,0.0007739362593179998
cyborg body,0.00017478967433701115
cyborg bull,0.00035465342670861546
daedric armor,0.0002919464260586367
dark,0.0021825845122460438
dark uncanny,0.002182415309822508
detailed painting,0.0011636401127260102
detailed portrait,0.0011836710183130907
detailed ultra,0.0019347307162020033
details intricate,0.0005538091717378437
detective pikachu,0.000991438851162499
deviantart,0.0022548132619604746
deviantart hyperrealistic,7.150338880105867e-05
deviantart realistic,0.002984470146760349
digital art,0.004020987252816496
digital painting,0.0021757072905992858
digital render,0.0002595915551530854
divine,0.00014940710651389688
dog,0.0011867335964975095
donald,0.0009030494913575648
dragon,0.0017339952580268342
dramatic lighting,0.0011080111416114022
drawing,0.00026435233971078406
dunmer nerevarine,0.0005999003764542201
einstein,0.009641625926797105
elf,0.003249648249222422
elson,0.0007359947501664345
emo,0.0008095264395187214
emo punk,0.001384201369347577
engine,0.0001290053798329596
entries sony,0.0009062562847301943
fantasy art,0.00397878140353017
fantasy painting,0.0018980227822796034
fantasy style,0.0013949461272351439
faroe azores,0.001020627425712531
fashion clouds,0.0011540707080116455
fiction,0.0007484951374343416
fiction film,1597897627.761609
fifth element,0.0023712546570362077
film,0.021763197980666463
film neuromancer,0.0008736130833068976
flamingos,6.875745040102838e-05
flowers,0.002651745320979242
fluffy,0.0008232007133022293
footage,0.0015995829668770793
forest,0.0009273510641501766
frazetta,0.0009534160794717371
frazetta fantasy,0.0003565330381617363
frazetta giger,0.0010699573025894375
futuristic,0.0007908531688603445
garden,0.00121015573935187
garden intricate,0.0009048171218106468
giant,0.00024716747162637653
giant digital,0.0002190491033664148
girl clouds,1.1744608359255173e-05
glamorous sophisticated,0.0009244877632103281
glimpse universe,0.001181948818915665
goddess,0.001869605332921878
goddess creative,0.00011712079304137152
goddess wearing,0.0007087976501173809
gordon,0.004208899651717398
goth,0.0011156171349531855
goth emo,0.0012765011804096655
