keyphrase,adjusted_mean_shap
painting peter,51538408966.8987
candle volumetric,51538408966.89518
footage,37057156823.49998
chris foss,37057156823.49854
portrait,27792867617.64123
painting lush,27792867617.624657
movie,12254308481.029171
madeira faroe,12254308481.025404
painting,399474406.97078127
fiction film,399474406.94276667
film,0.030008734656199326
portrait painted,0.012655940983242776
artwork,0.009494986860134974
scene,0.008028425633523576
art,0.006220196581332851
einstein,0.005969747279037775
steampunk,0.0056394339850886505
painting sargent,0.005430637929639675
cinematic composition,0.005400312764524026
manga,0.0052606452706526995
matte painting,0.0050193984946565
concept art,0.00483485757291185
artstation hyperrealism,0.0046958934558772245
canvas,0.004667905667755125
photorealistic,0.004660172530238191
artstation,0.00450840757968955
fantasy art,0.004460651304493774
painting artstation,0.004358752811300825
deviantart,0.00434934628086025
photography,0.00411129595874225
digital art,0.003957229636238225
deviantart realistic,0.00381193356562975
einstein portrait,0.0037057017896804
high quality,0.003689622665065825
illustration art,0.003678331645082875
landscape,0.0036714564809352253
peter elson,0.0036636735226082246
photorealistic highly,0.0036478094694711
runway,0.003641047777247825
clouds,0.0036024257810335254
cyberpunk,0.003559931717418925
surreal,0.003558806129359525
dark,0.0035533333193472003
flowers,0.0034128233297084335
natural scene,0.0033688544899055503
earth,0.0033309967252016
surrealism,0.003291882650826925
digital painting,0.0032680054202463248
character portrait,0.0031193456658136004
gordon,0.003102589244730725
ultra realistic,0.0029961017462634
anime,0.0029896454413716753
gonzalez,0.0029178903528036
stars,0.0028721125141626253
oil painting,0.0028649535952582
room,0.0028188313742535
picasso,0.0027384897622992252
sky,0.0027061081977303
cinematic,0.002694859353699025
matte,0.0026578752842825923
scariest looking,0.0025966109883588
art artgerm,0.0025552909969969503
headshot edwardian,0.0025385161046488
photo,0.0025172780969181
himalayan,0.002510251906020625
portrait male,0.002473347485454525
design,0.0024316764454273
space,0.0023552070976417005
mid century,0.002340423003486399
gundam,0.002296921642670875
elf,0.00229386085785465
unreal engine,0.002291952952979275
trending artstation,0.0022834509428522752
painting lurid,0.0022620850593789003
century modern,0.002258778879839175
fifth element,0.002249517934504875
detailed ultra,0.002239171522768825
dragon,0.0022193728414967497
photograph,0.002155506035340725
robot,0.002123309239621975
donald,0.002118305625628675
black,0.0021143869403173247
bonsai,0.0020609847474828
illustration,0.00204690728474144
salvador dali,0.0020059037869785
intricate details,0.0019734958046421502
lighting,0.0019711688910991
peter,0.0019323711438619501
statue,0.001896481079646775
uncanny,0.0018695207347191
saitama anime,0.001823658439055575
science fiction,0.001820703687492198
fine artistic,0.0018203980925479
cat,0.001811477827113825
goddess,0.001801492655831425
hd painting,0.0017943467480203501
artstation cinematic,0.0017239289573076752
detailed painting,0.001692955693354775
greek man,0.0016903276187525
art smooth,0.001683409440665525
portrait painting,0.001678732275467575
portrait intricate,0.0016530744488130753
painting beautiful,0.001640637449504075
realistic photo,0.0016236346742421
dark uncanny,0.0016078186192053751
gustav klimt,0.00159899584923355
portrait scifi,0.0015920141497222
heavy detailed,0.0015639212514326748
hyper detailed,0.0015268638153957
vallejo frazetta,0.0015201355928810998
artistic painting,0.00150051769597075
sony,0.0014841419748535998
rpg portrait,0.0014589101722600499
dramatic lighting,0.0014557232134404748
pikachu hannah,0.001455295411091625
hd goth,0.001438670050200575
city,0.00142208794737345
painted,0.001387313182856633
lightning intricate,0.0013853268806402704
phyics entries,0.0013824068132093
starmaker,0.001373043958824525
realistic render,0.0013728775046854
scene science,0.0013579698627688964
comprehensive art,0.0013437616178057165
blinders photography,0.0013401347949159
art sharp,0.0013365455206453
portrait sabouts,0.001335081863909125
surrealism surreal,0.0013127287927499252
style contemporary,0.001307023166999675
world photography,0.001293893727030625
avant garde,0.001287055788207675
zdzislaw beksinski,0.00127302078367825
fantasy painting,0.001258332353029
skyrim elegant,0.0012573397193742749
art trending,0.0012297132665616748
movie poster,0.001226397314573525
woman,0.0012037370698833602
garden,0.0011816159473272
intricate hyper,0.001169189862387775
art style,0.001164952607911425
portrait ancient,0.0011639197049244
dog,0.0011535300418724333
neuromancer,0.001149855523734475
colossal,0.001149409470463025
detailed portrait,0.0011370659990428285
photo realistic,0.001130935764403325
painting deviantart,0.0011306413482537751
art realistic,0.0011237601449269803
artistic,0.00112274538984405
screenshot,0.0011082235751775048
pablo picasso,0.001107653734519275
wallpaper,0.001103077291755825
pixar,0.001093616033247875
alien,0.0010778980092381
intricate royo,0.00107453429531625
bosch,0.001060560816998
sitting snowy,0.0010552676530668
body portrait,0.0010503888207644
photography awards,0.0010457225635343
wizard,0.001034139423420425
castle,0.0010328460926435998
length portrait,0.0010313516564464345
painting character,0.0010301881024847262
ufo,0.0010187666037846
modern art,0.001007997820112325
creatures surreal,0.0010031221213508
garden intricate,0.00099377544624605
knight,0.0009848517896203903
cinematic deviantart,0.00098456169435715
painting ronny,0.000975546802157
anime colors,0.000975457107436375
illustrated,0.0009652885682103667
klimt,0.0009485217105589
forest,0.0009481178372782
art city,0.000939801988190425
style portrait,0.000933928112475675
lifelike photorealistic,0.0009125887676089676
fashion clouds,0.0009059553900558205
nerevarine,0.00090466155374615
lantern candle,0.0009025510667492457
detective pikachu,0.000894134610771375
photorealistic digital,0.0008914540863502999
marble hourglass,0.0008894770911108908
comic book,0.0008724630005748
traits painting,0.000856889401533407
camera,0.0008557707356158196
art thorough,0.0008551058259442001
giant digital,0.0008442529788259249
fluffy,0.0008436543394288499
futuristic,0.000839937190979425
azores,0.0008388167631410753
colossal goddess,0.000813948168403075
frazetta,0.000813787604209875
sony world,0.00080821871371195
intricate volumetric,0.0008020682259845999
portrait extremely,0.0008004594724521753
elson,0.0007903038797430751
entries sony,0.0007890799260451251
studio ghibli,0.000788602866047075
clouds madeira,0.0007884871301459999
painted pablo,0.0007857370605586749
abandoned,0.0007848327936691251
