keyphrase,mean_abs_shap
abandoned,0.00031047180294445365
alien,0.0003077080478722193
alien planet,0.0
android cyborg,0.0
anime,0.0003558930699559482
anime colors,0.0
anime epic,0.00041523513848052356
armor daedric,1.4172673399907069e-05
art,0.0005382038651495807
art artgerm,0.000875474208242457
art city,0.0003624180047071542
art hyperrealistic,2.2909598790633766e-05
art josan,0.0
art lifelike,0.0005354567484038336
art punk,0.0018587655567648105
art realistic,7.089057830844603e-05
art sharp,0.0
art smooth,0.0002987563585477868
art style,3.1352933807740183e-06
art thorough,1.0896356035901535e-05
art trending,0.0
artistic,0.00041797569754270514
artistic painting,0.000390884627801855
artstation,0.00036913538690617673
artstation cinematic,0.0
artstation galaxy,0.0
artstation hyperrealism,0.0012518166046899802
artwork,6.877889907201109e-06
atmospheric lighting,0.0002942645638243616
avant garde,0.00039262637212843574
azores,0.0003527890934067841
azores islands,0.00032255135787658505
beautiful landscape,2.4940556755144203e-06
beneath cherry,5.783861743045988e-06
bjork,0.0002750457026935303
black,0.0006279783656582955
body manga,0.0004290879206931994
body portrait,0.0019630844099323475
body shot,0.0
bonsai,0.0021192799495406865
bonsai tree,0.0003229053888540373
bull looking,0.0
bull modeled,0.0
butterfly volumetric,2.053869849361313e-06
camera,0.0
candle butterfly,0.0
candle volumetric,0.0004310515502904423
canvas,4.1479190821118756e-07
castle,0.00032979855073569074
castle enclosed,0.00032511518578987796
cat,0.0
century,0.0012761916173982197
century modern,0.00013590962404394207
character portrait,0.0006864526217281302
chris foss,0.0
churches domes,0.0003408433541922615
cinematic,0.0003832889093288914
cinematic composition,0.002978099740408504
cinematic deviantart,0.0
city,0.00030943239715500127
cloud fashion,0.0004426932102276735
clouds,0.0009859376557739467
clouds covered,0.00031848500023282014
clouds girl,0.0003812851839151171
clouds madeira,0.0008332809715679425
collage canvas,0.0031469069866101483
colors,0.0
colossal,4.3864238103651676e-06
colossal goddess,0.0
comprehensive art,5.998461011535598e-05
concept art,0.00805841397004266
contemporary art,0.0012480672446594661
cute fluffy,0.00023487628943873835
cyberpunk,0.00040529898426201164
cyborg,2.818863537292239e-06
cyborg body,0.0
cyborg bull,0.0
daedric armor,1.1196995933953062e-05
dark,0.001708058135836427
dark uncanny,0.015462178805441306
detailed painting,0.00035336148576751216
detailed portrait,5.590478203758412e-06
detailed ultra,0.00031977057427578105
details intricate,0.00011236351967042238
detective pikachu,0.0007409215503352113
deviantart,0.00957108780368511
deviantart hyperrealistic,0.0003544377693852328
deviantart realistic,0.006926112290532792
digital art,0.00029383389800085186
