keyphrase,mean_abs_shap
abandoned,0.0011695727143992516
alchemical creatures,0.0005698129061450116
alien,0.0025237880020437236
alien planet,0.0011121863872829586
android cyborg,0.0012069546731842994
anime,0.003219665718768775
anime colors,0.0009733213474828592
anime epic,0.0026546057678586417
armor daedric,0.0013647935476262367
art,0.009492529024975431
art artgerm,0.0035393930509774823
art city,0.0015091894396976706
art hyperrealistic,0.0
art josan,0.0011441411448007933
art lifelike,0.0020665890235488805
art punk,0.0015590024007031095
art realistic,0.0014267901364420758
art sharp,0.0026611527366245586
art smooth,0.002790837693226269
art style,0.0023675649769743933
art thorough,0.00150981247269378
art trending,0.0007047533910589885
artistic,0.00023749501689062903
artistic painting,0.0025647650482525475
artstation,0.005908138915435981
artstation cinematic,0.0020880338305965234
artstation galaxy,0.0003901497845433822
artstation hyperrealism,0.004306717822929961
artwork,150134916937.92682
atmospheric lighting,0.0017499401111344354
avant garde,0.002316885968381433
azores,3.2684666126288895e-05
azores islands,0.0004398005475878565
beautiful landscape,0.0010645251384030644
beneath cherry,0.0013055252677279712
bjork,0.00299691434884039
black,0.003355779310422346
blinders photography,0.0014245460188986143
body manga,0.005124280890840544
body portrait,0.002321212115518099
body shot,0.001806274661623355
bonsai,0.001394158787462786
bonsai tree,0.00022955317344944292
bosch,0.0021123112196005257
bull looking,0.001069094472690878
bull modeled,0.002206795747203203
butterfly volumetric,0.0014308367099790233
camera,0.003682570385254943
candle butterfly,8.933935223297214e-05
candle volumetric,0.0001702006123419535
canvas,0.004556776606124033
castle,0.0022027742830936638
cat,0.0035646066197758956
century modern,0.0025626145252232724
character portrait,0.0026187463105864636
cinematic,0.0040701327266664524
cinematic composition,0.00698603109397407
cinematic deviantart,0.0005581160929206769
city,0.0032330802251317424
clouds,0.005929792694847162
clouds madeira,0.0005950304254155265
collage canvas,0.0008378278578240962
colossal,0.002640497678222335
colossal goddess,0.0011129683803866289
comic book,0.0025144258461989853
comprehensive art,0.006919394523160256
concept art,0.0165082742078301
contemporary art,0.0009101846293070309
creatures surreal,0.0013648609105685622
cute fluffy,0.0037317362303174936
cyberpunk,0.002925946739767356
cyberpunk art,0.0022373266490101707
cyborg,0.003909573751043891
cyborg body,0.0010388985634928996
cyborg bull,0.0014835890081335654
daedric armor,0.0004120688807613728
dark,0.0033816639877223384
dark uncanny,9.356751871642185e-05
design,0.0013248718297104495
detailed painting,0.0033146248044833254
detailed portrait,0.004041535434111962
detailed ultra,0.0017800619087240432
details intricate,0.0010525704981617684
detective pikachu,0.001005875781969968
deviantart,0.00352863699313612
deviantart hyperrealistic,0.0021755983216480953
deviantart realistic,0.0070282975961705975
digital,0.0013417079544413711
digital art,0.003377503325454349
digital painting,0.010781841822524781
digital render,0.0017600208344948126
divine,0.0018349913952882132
divine pink,0.0014874108541859947
donald,0.002765096195113668
dragon,0.002180833588822167
dramatic lighting,0.001376897521036714
drawing,0.0014468151094387505
dunmer nerevarine,0.0009781616469203317
earth,0.0010068104480063845
