keyphrase,mean_abs_shap
abandoned,0.0010321394728012424
alien,0.00028507281409272903
alien planet,4.581615049762932e-06
android cyborg,0.0
anime,0.005337348082957042
anime colors,0.0001847411043608115
anime epic,0.0007749997790613386
armor daedric,9.576542481053027e-05
art,0.0059273427539091594
art artgerm,0.002283060972735652
art city,0.0004830165158110003
art hyperrealistic,4.1192085379913095e-05
art josan,0.0005597603117154068
art lifelike,0.00016581617187139025
art punk,0.0013502688307969128
art realistic,0.0017714674586375323
art sharp,0.0014144277010093823
art smooth,0.001470738242300248
art style,0.001129429373183555
art thorough,0.0001569734597697309
art trending,0.0003752968200705024
artistic,8.988030887266697e-05
artistic painting,0.002409023339698419
artstation,0.0035832377093024488
artstation cinematic,0.0007312677046994831
artstation galaxy,4.456322584286052e-05
artstation hyperrealism,0.0013759190629074997
artwork,0.00396431121756785
atmospheric lighting,0.0004900130477136021
avant garde,0.0005690919217612731
azores,2.3493828505770354e-06
azores islands,0.0
beautiful landscape,5.888402908952554e-05
beneath cherry,0.001294837465007368
bjork,0.0012649868007666137
black,0.002235109811697133
body manga,0.0008783669636919142
body portrait,0.002296265311689189
body shot,2.113693158284972e-05
bonsai,0.0023416322995618776
bonsai tree,0.0
bull looking,2.7698926059712307e-08
bull modeled,1.5440238880202742e-06
butterfly volumetric,1.4946217954047263e-05
camera,0.001468101647972802
candle butterfly,0.0
candle volumetric,0.0007216787440984342
canvas,0.002511108497275482
castle,0.0012934055870551355
castle enclosed,0.0006581549239265613
cat,0.0018983834286103395
century,0.0025818181127396653
century modern,0.002200567473830487
character portrait,0.0008774344394816921
chris foss,0.0007598364658781068
churches domes,0.000703382544550635
cinematic,0.0010343285483555423
cinematic composition,0.0068337742080268465
cinematic deviantart,0.0013581744264483738
city,0.0010501176560983676
cloud fashion,0.0006531228707110807
clouds,0.003419929067213251
clouds covered,0.00018574262087602718
clouds girl,0.000637604595366093
clouds madeira,0.00021511482756388233
collage canvas,0.0023383662094102384
colors,0.0003521714090294919
colossal,0.0005594195569436432
colossal goddess,0.0006455253357658213
comprehensive art,0.000614656019625012
concept art,0.005139178727670641
contemporary art,0.0017775085413716425
cute fluffy,0.0013651660430274244
cyberpunk,0.0033403219683458157
cyborg,0.0018309628120255904
cyborg body,1.1695158881875366e-05
cyborg bull,2.595560533905428e-06
daedric armor,4.6823184182359585e-05
dark,0.0038001686267215592
dark uncanny,0.0014188366414577607
detailed painting,0.0015686552278194109
detailed portrait,0.0007615804809661654
detailed ultra,0.001075208550306842
details intricate,0.0011307935867635069
detective pikachu,0.0025894118054199033
deviantart,0.01460364915696429
deviantart hyperrealistic,0.0007346054131641102
deviantart realistic,0.007764726798345551
digital art,0.0017218533028141958
digital painting,0.004692808364322215
digital render,4.755531640885041e-05
divine,0.0003041676393454656
dog,0.0009237895522113894
donald,0.0028642943209346446
dragon,0.0003056771922477702
dramatic lighting,0.0019428351306802257
drawing,9.427363108577452e-05
dunmer nerevarine,0.000705743770142555
einstein,0.005041151576396846
elf,0.0016012879277478582
elson,0.000841588834818968
emo,0.00029798963598429444
emo punk,0.0005184483438179523
engine,0.0010612014629175907
entries sony,0.0005222126844376472
fantasy art,0.0017392726486442547
fantasy painting,0.0010076794484592396
fantasy style,0.00042897610747296024
faroe azores,1.7297773482633615e-05
fashion clouds,0.001483858632739023
fiction,0.00033399306544149834
fiction film,0.0015228874436841546
fifth element,0.001186871753110239
film,0.04760512116068563
film neuromancer,0.0003242894079064722
flamingos,0.00018452083531733833
flowers,0.0026958985959964718
fluffy,0.001007401204280249
footage,0.0015066028943627298
forest,0.001572579710274683
frazetta,0.000262315156022812
frazetta fantasy,0.0006275364697316371
frazetta giger,1.9921228678365724e-05
futuristic,0.00011275598862147893
garden,0.0014568127330305612
garden intricate,0.002827400944390503
giant,0.0007251690628663648
giant digital,0.000674839007944938
girl clouds,0.0005062534645678176
glamorous sophisticated,0.00026886101093978024
glimpse universe,0.0001821293424369597
goddess,0.0008306715096207549
goddess creative,0.0004362127760512042
goddess wearing,0.0007141576496947653
gordon,0.0038137570430651774
goth,0.001392156300453807
goth emo,0.0006039587885718199
goths,0.0007602433124584267
goths loitering,0.0006530884719392156
gundam,0.0022411590772705827
gundam unreal,1.5139824054416882e-05
gustav klimt,0.0009516280122707762
hd,0.0005362333115764119
hd goth,0.0009239065485464302
hd painting,0.0006316631007503016
hd unreal,0.00015653986093669203
heavy detailed,0.002155296570761652
high quality,0.0043436523753866176
hills slavic,0.0006174881781022495
himalayan,0.00032534034814143796
himalayan rocksalt,5.214622500275559e-05
houses,0.0011592434195480126
houses built,0.00058956566801802
