keyphrase,mean_abs_shap
abandoned,0.0003712252093120019
alien,0.0020650126277172213
alien planet,0.0011551925869044497
android cyborg,7.813205424361755e-05
anime,0.0040160511513413445
anime colors,0.00010083332047986602
anime epic,0.00108273015038422
armor daedric,7.323426017306862e-05
art,0.008163538138652898
art artgerm,0.0038246594623241605
art city,0.00022051456619155693
art hyperrealistic,0.0002150890311178908
art josan,0.000406679254903102
art lifelike,0.001933893755031405
art punk,0.0015587969365951201
art realistic,0.0009947509049402167
art sharp,0.0003367205101845757
art smooth,0.0024250608428320595
art style,0.000891588171915541
art thorough,0.0001698020622143736
art trending,0.001434942188545634
artistic,0.001527977584535241
artistic painting,0.0009424856725538395
artstation,0.004602334861630032
artstation cinematic,0.0013059515788928474
artstation galaxy,9.02550891670029e-05
artstation hyperrealism,0.0016355197366777951
artwork,0.0044380107582440865
atmospheric lighting,0.00017038732565110125
avant garde,0.00130435212656555
azores,0.0013728206177364445
azores islands,0.0010508781559119102
beautiful landscape,0.0012065793834470765
beneath cherry,0.0008479965331636388
bjork,0.0009445644290897223
black,0.002926752288001795
body manga,0.0011013615335206776
body portrait,0.0015880945044117341
body shot,0.00011952736914586701
bonsai,0.0019851479706526898
bonsai tree,8.44635929307366e-05
bull looking,7.14884755294912e-05
bull modeled,2.7418879015136115e-05
butterfly volumetric,0.0011359671348863494
camera,0.000848156162501866
candle butterfly,8.488459709847164e-05
candle volumetric,0.00011209553844813865
canvas,0.003208757045764965
castle,0.0006379820947220354
castle enclosed,0.0001130882601981007
cat,0.0013337248598555608
century,0.0016544777298421942
century modern,0.005769297619156419
character portrait,0.0014306706000435292
chris foss,0.0014944843229644455
churches domes,0.00019344330241839378
cinematic,0.002919487753971618
cinematic composition,0.003886204539581649
cinematic deviantart,0.002103270776793169
city,0.002990148893347253
cloud fashion,0.0006619305385462999
clouds,0.0022638808358325627
clouds covered,0.00027014069201357875
clouds girl,0.0008972158747064419
clouds madeira,0.0021785210179726187
collage canvas,0.0009984003990185036
colors,0.0003298115390782377
colossal,0.00011147170089511808
colossal goddess,5.17150929714653e-05
comprehensive art,0.0018020517509264884
concept art,0.018622707894776738
contemporary art,0.0011093994502321173
cute fluffy,0.0012056431782358108
cyberpunk,0.003175942380448821
cyborg,0.0011294286025869775
cyborg body,7.577760684929822e-05
cyborg bull,8.728376141596612e-05
daedric armor,0.0006568621697511927
dark,0.011318228625472763
dark uncanny,0.003639119806496572
detailed painting,0.0015559425089114367
detailed portrait,0.0012020776610398556
detailed ultra,0.0013493692104825103
details intricate,0.0008613151939968109
detective pikachu,0.002563351859520839
deviantart,0.0026477902007121233
deviantart hyperrealistic,0.0009506642197912924
deviantart realistic,0.006442702667469525
digital art,0.0027847154361701275
digital painting,0.01669499701375793
digital render,0.001336525125107657
divine,0.0010828250777365261
dog,0.00019570696370617487
donald,0.0007060392748475883
dragon,0.00037021716724184743
dramatic lighting,0.0017866416934573285
drawing,0.00043176956700069903
dunmer nerevarine,8.22897621117423e-05
einstein,0.004180602267694252
elf,0.0016764063241113051
elson,0.0010713321131711527
emo,0.0013782498214420596
emo punk,0.001090072629417084
engine,0.0014825638102499788
entries sony,0.0010683772758203528
fantasy art,0.002481627681978183
fantasy painting,0.001768444347004987
fantasy style,0.0010702961841616376
faroe azores,0.0013824845977953954
fashion clouds,0.0020429031653436294
fiction,0.00018020971988005405
fiction film,0.001718819522228057
fifth element,0.0017949741412941827
film,0.020494164280396462
film neuromancer,0.00021810967643849617
flamingos,0.0005667339424060788
flowers,0.0024061680222212246
fluffy,0.00019947801425565642
footage,0.0014417592134328722
forest,0.001826081057183482
frazetta,0.00021865738961838376
frazetta fantasy,0.0014715523596722762
frazetta giger,0.0008165613039020099
futuristic,0.0014806767320236182
garden,0.0011240929929266761
garden intricate,0.0014702287800045612
giant,0.0012635647598466335
giant digital,9.895586893320655e-05
girl clouds,0.0011440359596434646
glamorous sophisticated,0.0007722418597757789
glimpse universe,0.00035347866407513495
goddess,0.0002456941681355742
goddess creative,0.000156658087436329
goddess wearing,0.0009851920623496283
gordon,0.005397298875127314
goth,0.0016577865692663498
goth emo,0.0012445977993395336
goths,0.0016915781969311558
goths loitering,0.000889892314358281
gundam,0.0043945400099868965
gundam unreal,8.171786631096208e-05
