keyphrase,adjusted_mean_shap
artwork,37533729234.4838
pink flamingos,37533729234.481064
saitama anime,2429844067.1078453
modern art,2429844067.106326
painting,0.030939072615266627
film,0.024821267984912097
surrealism,0.012872542054920999
concept art,0.01208214370008
portrait,0.011373178077611776
portrait painting,0.008223391625904925
digital painting,0.0081181880128085
deviantart,0.007587791038624375
photo,0.007360979490848876
deviantart realistic,0.007040459838129551
art,0.006030403445671699
movie,0.005605573038741725
ufo,0.00532285734752115
cinematic composition,0.005171027395497725
einstein,0.0051672916836134255
dark uncanny,0.005153425693027981
dark,0.005052029843938224
portrait painted,0.004945418031682874
mid century,0.004919456805706975
peter elson,0.004834908532779375
manga,0.00460305643509215
runway,0.004020880545577075
gordon,0.00398467818849505
matte painting,0.0038932106925165
gundam,0.003839133388667125
high quality,0.003804812993087775
photography,0.0037370498378389502
painting deviantart,0.003725178283168475
natural scene,0.003707896025899675
landscape,0.0037027488931588503
trending artstation,0.0036304325840263753
painting sargent,0.003630111887451725
artstation,0.0036157117183185997
gonzalez,0.0035338527019435
einstein portrait,0.003304380182737
photorealistic,0.0032465956674375502
salvador dali,0.0032408128822443
anime,0.003232239505755725
surrealism surreal,0.003182633599379225
clouds,0.0031498850634166745
elson,0.0031070886028246084
heavy detailed,0.0031049424217286753
screenshot,0.003076332964383375
lightning intricate,0.0030597645116925746
hd goth,0.0029967535689120247
vallejo frazetta,0.002859958150927525
klimt,0.0027394881443349
fiction film,0.0027246175535371
century modern,0.0026670973105634753
lighting,0.0026533880625590252
art artgerm,0.002630646923569875
oil painting,0.0026159466980345196
illustration art,0.002602567198937154
uncanny painting,0.00258006604852955
canvas,0.002569264235268128
steampunk,0.0025596493245913
comic book,0.0025144258461989
cyberpunk,0.002461877518205975
unreal engine,0.0024162798726764
josan gonzalez,0.002363474992391125
comprehensive art,0.002349021725956739
painting peter,0.0023373764557592666
black,0.0022864049439448248
painting artstation,0.002278502027400325
cyberpunk art,0.0022373266490101
painting lurid,0.0021465721582831
ultra realistic,0.0021445851147154247
artstation hyperrealism,0.002142493306801225
garden intricate,0.0021284063481522
sky,0.002114350001642
bosch,0.0021123112196005
cinematic,0.002101809484580575
flowers,0.002060723159324
digital art,0.002044476490609825
body portrait,0.002042164085387775
goths,0.001972947546417299
bonsai,0.001960054751804425
scene science,0.001931396170599625
knight,0.0019285977469470667
goth,0.00191832933651885
photography awards,0.0019128938338482167
portrait male,0.0018995790922434498
fantasy art,0.001898248012827475
photorealistic highly,0.0018979316669376
city,0.0018956947929330498
body manga,0.0018832743271865247
intricate details,0.0018630132761850498
uncanny,0.0018504465705793
century,0.0018374958199932998
collage canvas,0.0018303753632157001
painting beautiful,0.0018274248828286251
pikachu hannah,0.0018266490682681499
donald,0.001826459036364
realistic photo,0.0017909356869272
punk portrait,0.0017879118579239
hd painting,0.001780917815487175
zdzislaw beksinski,0.001776712182598025
peter,0.0017484313373458662
art smooth,0.0017463482842265251
detective pikachu,0.00172489024931145
cyborg,0.0017181960072983728
cat,0.0016991787270604
detailed painting,0.0016981460067454
woman,0.001650430401965875
surreal concept,0.0016351615735029999
fashion clouds,0.0016349377262435752
cute fluffy,0.001634355435254825
surreal,0.0016055451849736999
hyper detailed,0.0016008687911991
art punk,0.001581708431214975
headshot edwardian,0.0015795616359284
artistic painting,0.001576789672076625
photograph,0.00156777163772685
scariest looking,0.0015316377197381
world photography,0.0015106302174585759
detailed portrait,0.0015026960135803894
camera,0.0014997070489323752
divine pink,0.0014874108541859
portrait scifi,0.001478048594472175
matte,0.0014547373085074
painting ronny,0.0014531217078061
skyrim elegant,0.0014466795576166252
blinders photography,0.0014245460188986
painting lush,0.001417402464351397
wallpaper,0.0014103322527203499
character portrait,0.0014033259929599
nerevarine,0.001396567712919675
bjork,0.0013703778203475248
scene,0.001367237986100675
creatures surreal,0.0013648609105685
room,0.0013613564279887
movie poster,0.0013600610053031
shade talking,0.0013499226545209749
digital,0.0013417079544413
madeira faroe,0.0013295233203727017
pixar,0.001325241944448725
design,0.0013248718297104
mysterious,0.0013135529894421
statue,0.0013073150673498998
sony,0.0013023164813868002
fifth element,0.001298256219266825
alien,0.00129539537293145
dramatic lighting,0.0012833522851761051
wizard,0.0012680244029863751
footage,0.0012663413318596
contemporary art,0.001261289966392525
stars,0.001253095914275356
portrait photograph,0.0012412828400317866
forest,0.0012395688313459
fantasy painting,0.0012353265111854025
anime epic,0.00123189270894615
garden,0.0012271783702087749
josan,0.001211505586405617
hd,0.0012084683944596
mysterious ufo,0.0012047083652343
emo punk,0.001198497184490525
engine,0.0011828001328886
art lifelike,0.0011754389247138248
photorealistic digital,0.0011668103245959364
space,0.001160305388079425
avant garde,0.001145739097209125
saitama,0.0011452925367201416
detailed ultra,0.00113110256094725
castle,0.001115990128901575
gustav klimt,0.001103464253314925
art sharp,0.0011030752369545751
art style,0.0010979294538635185
elf,0.0010953629802875546
sony world,0.00109047003590005
intricate royo,0.001088235803165675
portrait intricate,0.0010778048538440546
goddess,0.0010686461856467498
art realistic,0.0010659747695820365
deviantart hyperrealistic,0.001053826430997125
style contemporary,0.0010506274096249257
style portrait,0.0010371740062470002
entries sony,0.001034017092442025
artstation cinematic,0.0010313132785471752
earth,0.0010068104480063
cinematic deviantart,0.0010048903240405
intricate volumetric,0.0009935355209138
clouds madeira,0.0009554868106299501
hd unreal,0.000947944120634725
pablo picasso,0.000943484718165625
punk art,0.00093677827055365
goth emo,0.0009134298821297749
houses,0.000901092796310725
overcast thunder,0.000900766602918925
lifelike photorealistic,0.0008955745800591636
photograph divine,0.00089281243559241
picasso,0.000881324698470325
robot,0.0008806577016472249
beneath cherry,0.0008635357819104616
octane render,0.0008436854920720751
landscape colourful,0.0008414990907048494
snowy,0.0008314336820185
colossal,0.0008289438399678412
length portrait,0.0008261568778412593
fine artistic,0.000825660711073
tracing artstation,0.0008159627099531
frazetta fantasy,0.0008152830158075332
manga illustration,0.0008118057721976749
divine,0.0008068354876984949
details intricate,0.0007892606996480999
digital render,0.0007865332542302696
thanos style,0.0007860119208272
glamorous sophisticated,0.0007696332667749249
frazetta giger,0.0007552276242987664
photo realistic,0.0007544735119197499
chris foss,0.0007514402629475
goths loitering,0.0007481661060989751
ufo ignoring,0.000736316649490653
intricate hyper,0.0007286850593502593
portrait sabouts,0.00072735979886185
abandoned,0.0007208522998642
dragon,0.0007141819870779
fantasy style,0.0007053775578908499
illustrated,0.0007015495220993999
render hyperrealist,0.000698190693169475
wearing cloud,0.0006828234077344667
girl clouds,0.0006800338745774666
emo,0.0006762358366588332
atmospheric lighting,0.00067615126208085
frazetta,0.0006702316046608251
giant,0.0006629112742376333
painting chris,0.0006580030940422291
butterfly volumetric,0.0006459509831671772
art city,0.0006437846316017999
fiery alchemical,0.0006425929293768
painting aesthetic,0.0006424467524071322
rpg portrait,0.0006399924059349
clouds girl,0.0006387018846625
vivec portrait,0.0006354899784854163
science,0.0006351615327753249
art trending,0.00062874809991875
wallpaper illustration,0.000626490662418275
futuristic,0.0006230139043538
surreal dark,0.0006123957222036
illustration,0.0006084737103907751
giant digital,0.0005996350716623766
steampunk himalayan,0.0005872383893835
cloud fashion,0.0005859155398282666
goddess wearing,0.000583344444637925
beautiful landscape,0.0005831206516537599
painting stalenhag,0.0005828798859309832
fluffy,0.0005814281840067
log houses,0.0005710974745292935
alchemical creatures,0.000569812906145
artistic,0.0005683321519602917
alien planet,0.0005679901473092657
sitting snowy,0.0005648947975293
bull modeled,0.0005589396625265891
painting character,0.0005580990453316499
volumetric lighting,0.0005567769661871199
houses built,0.0005501381205961235
realistic render,0.0005498224234475
low clouds,0.0005490603933463584
lighting hd,0.0005489780098088
starmaker matte,0.0005486682503162486
looking camera,0.0005334361981890188
art josan,0.0005276451778548
flamingos,0.0005228796584155399
male dunmer,0.0005158749900571894
phyics entries,0.0004996424610093817
oil,0.0004964954910613
drawing,0.0004932145768812686
painted,0.0004921699397957333
body shot,0.0004867347405879874
studio ghibli,0.000480701751582875
faroe azores,0.0004745038647242584
himalayan,0.00046632645730500797
art thorough,0.0004618710876784004
marble hourglass,0.0004614053298412
traits painting,0.0004564738193087249
azores islands,0.00045330751534405
colossal goddess,0.00045255220228096634
dunmer nerevarine,0.0004415487947936356
azores,0.0004401609400299915
pixie cut,0.00041706408726466666
imposing cyborg,0.0004162923820219685
churches domes,0.00041255640038703333
tall castle,0.0004102282981031334
cyborg bull,0.0003933670825208429
armor daedric,0.0003869914765024265
painting unreal,0.00037911786661357506
modern,0.0003789470483778195
dog,0.0003731655053058
starmaker,0.0003679270471174537
castle enclosed,0.0003654527899714666
lamp,0.0003627763444433923
candle volumetric,0.0003587566112947
picasso hair,0.000348608930626491
painted pablo,0.0003479142745201
hills slavic,0.0003462220108156667
wooden churches,0.00033291175631110947
himalayan rocksalt,0.0003327331493257714
goddess creative,0.00033141874252343335
portrait extremely,0.0003249117077386537
gundam unreal,0.0003244355033131697
android cyborg,0.0003212716818569544
anime colors,0.00031472394308085
bull looking,0.0002851526617865877
daedric armor,0.0002817378076571782
cyborg body,0.00028159283230599344
fiction,0.000264584168867478
clouds covered,0.00025812277104076667
lantern candle,0.000254708111223425
puppy sitting,0.0002542681906841
rocksalt lamp,0.0002524465459021822
colors,0.00022732764936920003
media collage,0.00022556626395269723
puppy,0.00021795587801829998
surreal glimpse,0.00019863750985159997
science fiction,0.0001958635779168671
glimpse universe,0.00017853600217066664
bonsai tree,0.00015923053880853417
film neuromancer,0.00014951208913570462
neuromancer,0.00013213846326728222
artstation galaxy,0.00013124202488829087
minogue,0.00013079931378825037
portrait ancient,9.73486184231838e-05
steampunk butterfly,8.866672510226834e-05
kylie minogue,8.357851294315561e-05
art hyperrealistic,6.979767882208671e-05
kylie,6.759415856815733e-05
pink bonsai,5.687401166776227e-05
candle butterfly,4.355598733286095e-05
oblivion skyrim,1.443245848253903e-05
mixed media,3.834762895024619e-06
greek man,0.0
