keyphrase,mean_abs_shap
abandoned,0.001882402313764503
alien,0.00018647340299337537
alien planet,1.6461695391231848e-06
android cyborg,2.5880818982879806e-06
anime,0.006849002302632751
anime colors,7.547097832522221e-06
anime epic,0.00026404961971821417
armor daedric,3.2634838792151915e-06
art,0.0003438727828229443
art artgerm,0.00023248105531619838
art city,0.0003062062069167047
art hyperrealistic,0.0007965715776883064
art josan,0.00031654840678176034
art lifelike,0.0
art punk,0.0008397413142983937
art realistic,8.537174076204399e-07
art sharp,0.003205268451176087
art smooth,0.00023260673252522825
art style,0.0004071064042255668
art thorough,1.1894320780945616e-05
art trending,0.00027557132293799986
artistic,0.0002150789083384275
artistic painting,0.0002091828515466984
artstation,0.00022920594494384928
artstation cinematic,0.00027139880822260007
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.01424845124681328
atmospheric lighting,0.0
avant garde,0.0
azores,0.0002448367597100938
azores islands,0.00029576296462126994
beautiful landscape,1.3017440472080368e-06
beneath cherry,0.00012651636356127418
bjork,0.0
black,0.007880097280318564
body manga,0.0
body portrait,4.404744718397942e-06
body shot,0.0
bonsai,6.42750029817186e-06
bonsai tree,2.177447763498887e-06
bull looking,0.0
bull modeled,3.8660076398141705e-07
butterfly volumetric,4.067800117328478e-06
camera,5.814023897384695e-05
candle butterfly,2.07534400420318e-06
candle volumetric,0.0002128946836422084
canvas,0.0002208878727580051
castle,0.011873157935932223
castle enclosed,0.00022893019119783037
cat,0.00023274680539779342
century,0.001241923364796225
century modern,0.001453390858222674
character portrait,0.0016427468285668985
chris foss,6.833746226814749e-06
churches domes,0.00024497704185772373
cinematic,0.0002531921910446116
cinematic composition,0.0
cinematic deviantart,1.9915414425082044e-07
city,0.00024398512371664877
cloud fashion,0.0
clouds,0.0003054744611674031
clouds covered,0.0
clouds girl,0.00012345956647967306
clouds madeira,0.00024181539749184994
collage canvas,0.0006188919558972791
colors,6.27979352818429e-05
colossal,0.0
colossal goddess,0.0
comprehensive art,0.000615725170196949
concept art,0.0002999857277160905
contemporary art,0.0009037981020284013
cute fluffy,0.0
cyberpunk,0.0002547248862018742
cyborg,0.0002204674171914175
cyborg body,1.359250569511893e-06
cyborg bull,0.0
daedric armor,5.958926556824543e-07
dark,6.711726269838976e-05
dark uncanny,0.0002731048381884686
detailed painting,0.0003939226177572419
detailed portrait,0.00027174323225778437
detailed ultra,0.001021915067460004
details intricate,3.3105450155065105e-07
detective pikachu,0.0002662134137256794
deviantart,0.00022674705905016245
deviantart hyperrealistic,8.947986618156574e-06
deviantart realistic,4.42274854986039e-06
digital art,0.00022384765230301577
digital painting,0.00087394963911088
digital render,0.0
divine,0.00026550147116905735
dog,0.00025629977535088347
donald,0.00021549286031694137
dragon,4.638918219980017e-06
dramatic lighting,0.0
drawing,0.002225607203171189
dunmer nerevarine,3.3088155913966718e-06
einstein,0.0008440736349244794
elf,0.0016240877132025007
elson,0.00032451479382038825
emo,0.0005068939781832076
emo punk,0.00023039837168210058
engine,0.0002427805531520179
entries sony,0.0
fantasy art,4.524633472411091e-06
fantasy painting,0.0002529972441256249
fantasy style,0.0004270332538587683
faroe azores,0.00025102116544344343
fashion clouds,0.0034404947136602707
fiction,0.0002276209777759355
fiction film,0.0029269290878728297
fifth element,0.0017944323388533222
film,0.00663642481929669
film neuromancer,0.00032097612332262235
flamingos,0.0002568935193765261
flowers,2.9816586200610054e-06
fluffy,0.0002520200719278282
footage,0.0002607454860900594
forest,0.0014747479738066362
frazetta,0.0
frazetta fantasy,4.6384271561336476e-06
frazetta giger,0.000218348367899456
futuristic,0.0
garden,0.0025175334524848553
garden intricate,6.837396731433648e-05
giant,0.0
giant digital,0.0
girl clouds,8.393422136575776e-05
glamorous sophisticated,0.0016531845996317432
glimpse universe,0.0
goddess,0.0010864097034209296
goddess creative,0.0
goddess wearing,0.0002882376652503439
gordon,0.0006453910040355951
goth,0.0002970660816367708
goth emo,0.0002988470116872182
goths,0.0
goths loitering,0.000130195750014448
gundam,0.0006435880226604567
gundam unreal,2.4376695967122596e-06
gustav klimt,0.0012981266712213501
hd,0.00224036554699906
hd goth,0.0003042144908724515
hd painting,0.0002832069754385617
hd unreal,0.00043050005332575267
heavy detailed,0.0
high quality,0.0003103375481346379
hills slavic,0.00020332382421498233
himalayan,0.0002404129266099767
himalayan rocksalt,0.0003664318299497225
houses,0.010730847942818941
houses built,0.0002662040406572123
hyper detailed,0.00021488025852019652
illustrated,2.6150980352423572e-06
illustration,0.00028641743710723996
illustration art,0.013103021205690691
imposing cyborg,0.0
intricate details,0.00023696108937241818
intricate hyper,1.5075271743179519e-06
intricate royo,0.0002049596534265771
intricate volumetric,0.00030228565777144014
josan,0.0004841275379163891
josan gonzalez,0.004060149085446674
knight,0.0022377497857836316
kylie,0.00013311710813133543
kylie minogue,0.0
lamp,0.0003898019870655264
landscape,0.0007912874335752716
landscape colourful,1.1594218607333892e-06
lantern candle,4.628457888850633e-06
length portrait,0.0002375504760129998
lifelike photorealistic,0.0019584793486480427
lighting,5.013871553096224e-07
lighting hd,3.976039601725088e-06
lightning intricate,0.00022565638704553077
log houses,0.00024076537547909965
looking camera,2.0163938042069164e-06
low clouds,0.0003159181774830759
madeira faroe,0.00023355863488392967
male dunmer,5.067473627513959e-06
manga,0.0027773128745751446
manga illustration,0.002742256458824299
marble hourglass,0.00043116312579821357
matte,0.000254534315995652
matte painting,0.00028733892372782935
media collage,1.4670145310457474e-06
mid century,0.006268255215721513
minogue,0.0
mixed media,0.0
modern,0.0002998307442215302
modern art,0.0002624708528726227
movie,2.07364388979715e-06
movie poster,0.0003264017098329408
natural scene,0.00661744967818465
nerevarine,0.0
neuromancer,0.00022241717318584501
oblivion skyrim,0.0008308007795461143
octane render,0.0016398300086473301
oil painting,0.00023072593947342626
overcast thunder,0.00033739899380425
pablo picasso,0.0
painted,0.00030371167895131967
painted pablo,5.320680573801534e-06
painting,0.0018061140704240272
painting aesthetic,0.0
painting artstation,0.0019429624007839697
painting beautiful,0.0
painting character,6.931547334908529e-06
painting chris,0.00019766910931628132
painting deviantart,0.0
painting lurid,0.00026469012755139635
painting lush,3.009936904491465e-05
painting peter,0.00023551889561153366
painting ronny,0.00030794638117596066
painting sargent,0.0008673739739903899
painting stalenhag,0.0021310796728992295
painting unreal,0.0
peter,0.0032290604162209025
peter elson,0.00035156459350226373
photo,0.00025202793630181916
photo realistic,0.0002463308123264126
photograph,0.005298253612688839
photograph divine,0.0002495087706678831
photography,0.0014749877983939409
photography awards,1.0431355601966534e-06
photorealistic,0.0003643414812936944
photorealistic digital,3.883342523774669e-05
phyics entries,8.284082427563467e-07
picasso,0.0004471789479260461
picasso hair,8.766975115528981e-06
pikachu hannah,0.00024085209100639088
pink bonsai,0.00046874183022764954
pink flamingos,0.00026534650648567856
pixar,0.0005165236206293677
pixie cut,0.0
portrait,0.014112743568051166
portrait extremely,0.0
portrait intricate,0.00045106228732582184
portrait male,8.73847754894751e-06
portrait painted,0.0006377793307488252
portrait painting,4.98644177628693e-06
portrait photograph,0.0002637194531471744
portrait sabouts,0.0
portrait scifi,0.00021568991249772915
punk art,0.0009802175474263011
punk portrait,0.00029850434147298303
puppy,0.0
render hyperrealist,0.0
robot,0.0
rocksalt lamp,0.0001858756709072843
