keyphrase,mean_abs_shap
abandoned,0.006775295518017983
alchemical creatures,0.0001307177153071448
alien,0.003271531078830711
alien planet,0.00139446384968729
android cyborg,0.0007686794730549191
anime,0.005770423688723528
anime colors,0.0003211354325339581
anime epic,0.001093346659377019
armor daedric,0.0008352100775034648
art,0.015330384248825546
art artgerm,0.0028017094726053874
art city,0.0020889249977828327
art hyperrealistic,0.0035073181412703758
art josan,0.0019229709238395714
art lifelike,0.004857717334369747
art punk,0.003103182403773182
art realistic,0.001193203231210544
art sharp,0.004854532618080749
art smooth,0.006081824442270174
art style,0.003644181551311563
art thorough,0.0016182078618562786
art trending,0.003950915547681217
artistic,0.0029664330233912716
artistic painting,0.0038681566527468954
artstation,0.00805150723800026
artstation cinematic,0.0017560881327643683
artstation galaxy,0.0004967372155622647
artstation hyperrealism,0.0012994962885537176
artwork,0.01126903341029886
atmospheric lighting,0.0039119712655928795
avant garde,0.002242503238403634
azores,0.0018610042475911842
azores islands,0.00016169894779946854
beautiful landscape,0.0034185971658824113
beneath cherry,0.0014735266614777794
bjork,0.0006039917307306738
black,0.0074327161295878776
blinders photography,0.0007892031150748761
body manga,0.0008161665535744146
body portrait,0.002533282270393916
body shot,0.0006950997529807878
bonsai,0.0019817470355379813
bonsai tree,0.002119597052535751
bosch,0.0003998651754425341
bull looking,0.0
bull modeled,0.0005772673013259238
butterfly volumetric,0.001375227831660741
camera,0.0015909220974643936
candle butterfly,0.0017651340632361021
candle volumetric,0.0010375160923274196
canvas,0.0032468963776634495
castle,0.009763007177884649
cat,0.0003977384049066982
century modern,0.0032895787034570734
character portrait,0.0021196309336373436
cinematic,0.0038248140213477852
cinematic composition,0.004658273576949027
cinematic deviantart,0.0014321753939963043
city,0.0033536461756359646
clouds,0.0045752723700832635
clouds madeira,0.0019043581396888073
collage canvas,0.0025423301001027427
colossal,0.0013416071347164549
colossal goddess,0.00015662640203468556
comic book,0.0018978737209914744
comprehensive art,0.002932440648817669
concept art,0.008903288645878953
contemporary art,0.0016502566971906432
creatures surreal,0.0005409166816367623
cute fluffy,0.001954913563648287
cyberpunk,0.0017718248808402982
cyberpunk art,3.996822001073424e-05
cyborg,0.003011145126267779
cyborg body,0.0003915712407032765
cyborg bull,0.0
daedric armor,0.0010216757122584652
dark,0.0003339719947300825
dark uncanny,0.0014358977900606102
design,0.0024807179688028144
detailed painting,0.006292867501874889
detailed portrait,0.002445622643949677
detailed ultra,0.010135550974212634
details intricate,0.00028904210279291235
detective pikachu,0.0007145673170272986
deviantart,0.002992238154885776
deviantart hyperrealistic,0.0025654723635056423
deviantart realistic,0.0036663016373328387
digital,0.001383568780802501
digital art,0.004468180906443488
digital painting,0.004855136375630016
digital render,8.087125718992862e-05
divine,0.0013520871506429426
divine pink,0.001563967916464275
donald,0.0027886846687203226
dragon,0.0021321365893855796
dramatic lighting,0.0007751866334795143
