keyphrase,mean_abs_shap
abandoned,0.00769836066634094
alien,0.001096171118436295
alien planet,4.6959163906057294e-05
android cyborg,0.0
anime,0.008057270172748458
anime colors,0.00010728158620741818
anime epic,0.00035093722056497655
armor daedric,0.00046209669563527513
art,0.008980175563447884
art artgerm,0.0009670859294634142
art city,0.0014202319282703932
art hyperrealistic,0.000515342777601188
art josan,0.0021097449640552434
art lifelike,0.0012486998417676148
art punk,0.002075745307023641
art realistic,0.002513082014477299
art sharp,0.0015433642410330275
art smooth,0.0008444487180961726
art style,0.0024650732806771295
art thorough,0.0011902264682428563
art trending,0.001022344495165763
artistic,0.0007129577889393041
artistic painting,0.0013354432825189056
artstation,0.005147844347339894
artstation cinematic,0.000923279149643428
artstation galaxy,0.0005486141335512265
artstation hyperrealism,0.0012089182444588557
artwork,0.010636834112979845
atmospheric lighting,0.0005560157111177496
avant garde,0.00010839483697953104
azores,0.0005222846122292043
azores islands,0.0
beautiful landscape,0.000715183898242556
beneath cherry,0.0004129135915321005
bjork,0.00020582313702949625
black,0.006713582168613801
body manga,0.0
body portrait,0.000744030973619229
body shot,6.348263787421044e-06
bonsai,0.0009288758760181714
bonsai tree,2.4309705246767266e-05
bull looking,0.00012321062945915974
bull modeled,1.611680241293358e-05
butterfly volumetric,0.0001275559795258111
camera,0.0028382240738058567
candle butterfly,2.334387596042722e-05
candle volumetric,0.0009955424952727116
canvas,0.0009670558636793355
castle,0.00757233109282521
castle enclosed,0.0005591609643945196
cat,0.0007579683304607474
century,0.002083231278931336
century modern,0.003458402806245734
character portrait,0.002529525379629554
chris foss,0.00038548241955925586
churches domes,0.0004085403898066002
cinematic,0.0019606658773455242
cinematic composition,0.003113637905979316
cinematic deviantart,0.0005965242734499532
city,0.0017580553224182409
cloud fashion,3.903746992629699e-06
clouds,0.0018398016631052151
clouds covered,1.7910537461004677e-05
clouds girl,0.00022537700856206126
clouds madeira,0.0005476395822935156
collage canvas,0.002551778913817693
colors,0.0014583111359969306
colossal,0.00012163986192422267
colossal goddess,0.00018627081445659794
comprehensive art,0.002656006227218319
concept art,0.003859308652464016
contemporary art,0.0018874888290978434
cute fluffy,0.003690276740182763
cyberpunk,0.002447171199546187
cyborg,0.000897189071614033
cyborg body,4.698594197739135e-05
cyborg bull,4.343325288039857e-05
daedric armor,0.0006968896963252998
dark,0.00020687698884530256
dark uncanny,0.00014830108127561974
detailed painting,0.0022980687010009985
detailed portrait,0.00043189006091283395
detailed ultra,0.003574589130656885
details intricate,0.00033421753760631275
detective pikachu,0.0008599463302552144
deviantart,0.0022128803205650155
deviantart hyperrealistic,4.3837741870317535e-06
deviantart realistic,0.0014828159154911687
digital art,0.0024071905591717515
digital painting,0.0049280711591801005
digital render,4.872192165092422e-05
divine,0.0006607062257514589
dog,0.0004884298591717666
donald,0.0011829634086186964
