keyphrase,mean_abs_shap
abandoned,0.004232166070600548
alien,0.0005470217802741133
alien planet,0.00046970045385672453
android cyborg,0.0003277066866396635
anime,95764937345.04
anime colors,0.0009726550932781782
anime epic,0.0006189467417567051
armor daedric,0.00012037744861523155
art,0.013054286158993768
art artgerm,0.0016068555211057284
art city,0.0005721741441286113
art hyperrealistic,0.002216859095587806
art josan,0.0011484657466127302
art lifelike,0.0007424995325940404
art punk,0.00171528551545804
art realistic,0.0015539386818133104
art sharp,0.003923968913527178
art smooth,0.0035594364560202507
art style,0.0015786610683147697
art thorough,0.0014196621885719366
art trending,0.002027052668498474
artistic,0.0016813550540632303
artistic painting,0.0032717756059899767
artstation,0.0034379328194826977
artstation cinematic,0.00031197908215507803
artstation galaxy,6.77050942288372e-05
artstation hyperrealism,0.0017868693902683573
artwork,0.006818725015094933
atmospheric lighting,0.00103719133054784
avant garde,0.0003510273470833481
azores,0.0012029544817613962
azores islands,3.3472911997243598e-06
beautiful landscape,0.0010634158364638872
beneath cherry,0.0004013063219286905
bjork,0.0002799473820416522
black,0.0044318931065191365
body manga,0.0011147746575341396
body portrait,0.00021947484595858288
body shot,0.0002879178104603828
bonsai,0.0019672322358903565
bonsai tree,0.0009522531600524858
bull looking,0.0001903000397661995
bull modeled,0.00025685629053968765
butterfly volumetric,0.000996974874368426
camera,0.0004081886316095423
candle butterfly,0.001135331129698989
candle volumetric,0.0008300988220895636
canvas,0.0019418781804100812
castle,0.00621516609018263
castle enclosed,0.0009556815150903642
cat,0.000744986381248759
century,0.0015049951937520665
century modern,0.0037189063726044834
character portrait,0.0010739785614525003
chris foss,0.0007258543614320124
churches domes,0.0011065347622701155
cinematic,0.0012152880810969216
cinematic composition,0.0045229104218118136
cinematic deviantart,0.0007298010083383222
city,0.0015572059544088608
cloud fashion,0.00016157061518590145
clouds,0.0031944097286970593
clouds covered,2.163487969726916e-05
clouds girl,0.0007561034287986198
clouds madeira,0.00015198407052728407
collage canvas,0.0017835691786693966
colors,0.0008765677160347405
colossal,0.0005275737791529824
colossal goddess,0.0003250440261925623
comprehensive art,0.0025780074594423984
concept art,0.004442048286701177
contemporary art,0.0018322273142833652
cute fluffy,0.0026923338000322504
cyberpunk,0.0012201856813774097
cyborg,0.0011389901815332527
cyborg body,0.00028743299410873653
cyborg bull,0.0001972934731667106
daedric armor,0.00043003551198095074
dark,0.000715504152589019
dark uncanny,0.001570457136035259
detailed painting,0.0029922468900625784
detailed portrait,0.0008989503741205065
detailed ultra,0.005593403274232034
details intricate,0.00018442050271275331
detective pikachu,0.0012516434451843896
deviantart,0.002782227741219454
deviantart hyperrealistic,0.00014400253438881934
deviantart realistic,0.0017837051722574735
digital art,0.0024535460444582236
digital painting,0.003572086108255085
digital render,0.0005591418187530935
divine,0.00038183597821981745
dog,0.0008184236686465775
donald,0.0009847712903688158
dragon,0.0011877721463507008
dramatic lighting,0.0005525551421598246
drawing,0.003547645395829649
dunmer nerevarine,0.0006097445081564731
einstein,0.002841129020919387
elf,0.001781183947592671
elson,0.0016506760876425514
emo,0.001410736191195936
emo punk,0.0008937428667748467
engine,0.0008475938720036284
entries sony,0.0019919275802055907
fantasy art,0.002513121283644188
fantasy painting,0.0006902019476043113
fantasy style,0.0012969613215602304
faroe azores,0.000700863514874783
fashion clouds,0.0016435395944623943
fiction,0.00045457698903371223
fiction film,0.0027293549339251167
fifth element,0.0016353275712115672
film,0.008586293475799693
film neuromancer,0.0004977869345445844
flamingos,0.0002938753436882177
flowers,0.0015403264709642366
fluffy,0.0012390058751912858
footage,0.0003850947400799492
forest,0.008312486549239509
frazetta,0.001811815001325924
frazetta fantasy,0.0006878327795901274
frazetta giger,0.0010608553951811676
futuristic,0.0006923911876300613
garden,0.0020184528087875517
garden intricate,0.0015558815182157302
giant,0.00043055789483410057
