keyphrase,adjusted_mean_shap
mid century,23941234336.26646
anime,23941234336.265167
portrait,0.019656124984110176
illustration art,0.017665899598703825
artwork,0.010743260946296676
art,0.009427179688522474
film,0.00930573512550645
castle,0.00885591557420615
painting,0.006641240945410175
black,0.006614572171259801
natural scene,0.006149296291620449
houses,0.005871095760837
abandoned,0.00514705614218095
detailed ultra,0.005081364611640349
painting stalenhag,0.0048220315702404756
photograph,0.0047937961035245755
knight,0.004691002092746833
concept art,0.0043761578281899995
peter,0.0043505567775426
einstein portrait,0.0043165688223581
forest,0.0042310996259374255
photography,0.00422366592255715
artstation,0.0042166225874416
fiction film,0.00411010540613385
drawing,0.003983853374375525
manga illustration,0.003957331573923975
portrait painted,0.00379127235992845
painting artstation,0.003777045567391975
saitama anime,0.00370088110765935
earth,0.0036593084821328
octane render,0.0036064217500726
unreal engine,0.0035671875207062
digital painting,0.003557310820543975
garden,0.003505714809386825
art sharp,0.0033817835559541995
fashion clouds,0.003361396654805975
gustav klimt,0.003318001336538225
hd,0.0032819878581115
landscape,0.0032365286929604002
manga,0.003227879171829625
intricate hyper,0.003163849442771079
cinematic composition,0.003073705476185025
painting peter,0.0030177783119138754
photorealistic,0.002995235076217925
detailed painting,0.00299427642767385
century modern,0.002980069685132425
matte painting,0.00279710947690495
fifth element,0.002760385769873525
art smooth,0.0026795790872279
salvador dali,0.0026776221571383
josan gonzalez,0.0026717828515061253
gordon,0.0026444910030919747
skyrim elegant,0.0026170600652012004
photorealistic highly,0.0026111559281228
picasso,0.0025966370363819003
portrait painting,0.0025168132912657465
design,0.0024807179688028
clouds,0.0024787395557632
digital art,0.002388191290594075
photo,0.0023467674576975
screenshot,0.0023124739210772247
painting sargent,0.002282737929338425
comprehensive art,0.002195544876418775
artistic painting,0.0021711395982005497
trending artstation,0.002146096192734425
lifelike photorealistic,0.0021426394246704
einstein,0.00213462908472835
elf,0.002128046233503675
cute fluffy,0.0020843810259657753
runway,0.002079595783894897
oblivion skyrim,0.002075411532045825
glamorous sophisticated,0.002066834427352025
deviantart,0.00205352331893005
gundam unreal,0.002049890700220053
art style,0.0020237555761322
surrealism surreal,0.0020064704394709867
ultra realistic,0.0020043760851444
pink bonsai,0.0019922275511083253
portrait scifi,0.0019845159209129
hd unreal,0.001965502877294
art punk,0.0019334886351382499
heavy detailed,0.0019291793543482502
pixar,0.0019235684929058499
photo realistic,0.0019148064431087001
high quality,0.0019072196591111252
comic book,0.0018978737209914
klimt,0.0018910185398604
surreal,0.001884922811053925
collage canvas,0.0018741425371217
style portrait,0.0018492989829538998
oil painting,0.0018485790674619249
character portrait,0.001841470425821525
art trending,0.0018189710085707998
room,0.0018180370945119
cinematic,0.0018134900427086752
punk art,0.001790531000764425
movie,0.0017800157764237242
world photography,0.001776251825091275
art hyperrealistic,0.0017590228980368752
deviantart realistic,0.0017343113684077903
sitting snowy,0.0017310401502347
movie poster,0.001730922516939475
houses built,0.00172925425846015
city,0.0017282231440448749
art lifelike,0.0017122291771828248
headshot edwardian,0.0017104196661194
portrait ancient,0.0017041785812013
madeira faroe,0.001690704234385275
scariest looking,0.0016805824613837
illustration,0.001679720765527325
portrait male,0.0016765906524692953
length portrait,0.00167495206484075
elson,0.0016258257195591252
century,0.0016100499458265
lighting,0.0015943802978868524
canvas,0.0015941795736276751
contemporary art,0.001568442735650025
divine pink,0.0015639679164642
gundam,0.0015631713506220751
log houses,0.001515291215465625
nerevarine,0.0015032652403055
rpg portrait,0.0014806909707388
fine artistic,0.0014618408481598
painting lush,0.001455213835781883
frazetta,0.0014445934234352
puppy sitting,0.0014294224962348
painting beautiful,0.001424149685407975
cyberpunk,0.001423476661991375
art artgerm,0.001402032994622625
fantasy art,0.0013964039792054277
artistic,0.001393956193683025
saitama,0.0013843098662686
digital,0.0013835687808025
atmospheric lighting,0.001376294576814575
art josan,0.001374432510322275
matte,0.0013620412404575497
intricate volumetric,0.001361614463371575
garden intricate,0.001329958346371084
cyborg,0.001316947949151575
art realistic,0.0013152694112271552
greek man,0.0013003295792342
beautiful landscape,0.001299624661158977
donald,0.00129297805700615
snowy,0.0012899132354582
josan,0.0012853280451438499
alien,0.0012752993451335749
emo,0.0012745869230899665
scene,0.00126242440671405
camera,0.0012238687604633617
bonsai,0.0012210706619361182
painting lurid,0.001210921582859325
painting ronny,0.001208819531706125
