keyphrase,mean_abs_shap
abandoned,4.83275010029663e-07
alien,0.00021054143945718317
alien planet,0.0011739706551498206
android cyborg,0.0003527251201943499
anime,0.008607797011686949
anime colors,0.00020564178719948524
anime epic,0.00026216891494763975
armor daedric,0.0
art,0.002678772782369027
art artgerm,0.00030735175931770813
art city,0.0014920618022185718
art hyperrealistic,0.00020877208180998633
art josan,1.0868974417256405e-05
art lifelike,0.0002368865927680434
art punk,0.001095395196396448
art realistic,0.0
art sharp,0.0013646072110401724
art smooth,0.00034299102517274487
art style,0.00019867940539515324
art thorough,0.00024817787222546273
art trending,0.0002129017316515913
artistic,5.773562161496941e-05
artistic painting,9.291336320108277e-05
artstation,0.0033716977408096748
artstation cinematic,0.0
artstation galaxy,9.996319291122611e-07
artstation hyperrealism,0.000308301959471394
artwork,0.004350651126001008
atmospheric lighting,0.00012400750992326977
avant garde,0.0
azores,0.00588518498266217
azores islands,2.858442073214845e-06
beautiful landscape,1.5789081931499534e-06
beneath cherry,0.00021177897941293918
bjork,2.666300257289624e-05
black,0.00026563269210729825
body manga,3.2603346839706892e-06
body portrait,5.876441873637396e-05
body shot,0.00021430466709601516
bonsai,0.000214472426859773
bonsai tree,0.0002346915227835312
bull looking,0.00016781836021196803
bull modeled,0.0001798865002672934
butterfly volumetric,0.0002706098316722552
camera,0.0002191670017270993
candle butterfly,0.00016816032548743802
candle volumetric,0.00038685742300499605
canvas,0.0007011428586195904
castle,0.0011430686249340731
castle enclosed,0.0004075889926264859
cat,1.9775719377693295e-05
century,0.0
century modern,0.001739489004250237
character portrait,0.0031755417444035853
chris foss,6.986225776751316e-06
churches domes,0.00018610149958380953
cinematic,0.0003063220866002522
cinematic composition,0.0002080363003922198
cinematic deviantart,0.00028962377027853375
city,0.00022006500496019035
cloud fashion,1.206241248667551e-06
clouds,0.0010441735388536234
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.00020069760532698692
collage canvas,0.0028623989497836093
colors,1.9336221253191642e-06
colossal,0.00023556852533581176
colossal goddess,0.00017380345546222028
comprehensive art,0.0017407643980724109
concept art,0.00029850920226241
contemporary art,0.001483928863940172
cute fluffy,0.0
cyberpunk,0.00021200985292682748
cyborg,0.0007674392555644376
cyborg body,0.0002747484638296503
cyborg bull,0.00026383330567633504
daedric armor,0.0
dark,0.0002008353909230722
dark uncanny,8.446265997848815e-07
detailed painting,0.00021393056975404237
detailed portrait,0.0003552586493776944
detailed ultra,2.298943223549244e-06
details intricate,0.0006242334481437683
detective pikachu,0.0
deviantart,0.0031019622245680666
deviantart hyperrealistic,0.00018527699129205894
deviantart realistic,0.00021304246351133062
digital art,0.0008538345115157933
digital painting,0.0002485852929953306
digital render,0.0020371321816080104
divine,9.652237269308055e-07
dog,0.0
donald,0.0
dragon,3.570433016491315e-06
dramatic lighting,0.0002485915075326037
drawing,0.0
dunmer nerevarine,4.763025035811914e-06
einstein,6.107070540662112e-07
elf,0.0014969415332474808
elson,0.0033667114370228937
emo,0.0002665849279662807
emo punk,0.00027565728771496644
engine,0.00023787381526742832
entries sony,0.00022217355173909169
fantasy art,0.0006409387054008485
fantasy painting,0.0
fantasy style,0.00020507120050038702
faroe azores,0.0002913399523491126
fashion clouds,3.256528164780977e-06
fiction,0.00024234359156894366
fiction film,0.00028794375072057
fifth element,0.0
film,0.006201092496610677
film neuromancer,0.0
flamingos,0.0
flowers,0.0
fluffy,0.001164706108954694
footage,0.00024950310938306005
forest,0.00038927689978641614
frazetta,0.003964363592794222
frazetta fantasy,0.00020083745607610387
frazetta giger,0.004264622199299366
futuristic,0.0
garden,0.0
garden intricate,0.0002334724723463516
giant,0.00019524472206048057
giant digital,0.00024836156155095835
girl clouds,1.747487204793503e-06
glamorous sophisticated,0.0
glimpse universe,0.000342457236287697
goddess,0.00026041886940179323
goddess creative,0.0004203541959445825
goddess wearing,0.0
gordon,0.0002012578583267005
goth,0.0003900006874121768
goth emo,0.00021416176092117818
goths,0.0004942489457986582
goths loitering,7.857776721611373e-06
gundam,7.131536616981924e-06
gundam unreal,0.0
gustav klimt,0.00044199241257636597
hd,0.00024623214912952826
hd goth,0.00028124133480053235
hd painting,4.955069541205003e-06
hd unreal,0.0007173216831541266
heavy detailed,2.3416516063079896e-06
high quality,0.00016466686748959882
hills slavic,0.00020047264132790621
himalayan,3.2876204801027276e-06
himalayan rocksalt,0.0
houses,0.00022831160965559996
houses built,0.0002033064462912664
hyper detailed,0.00023571028602488548
illustrated,0.0002925037536010481
illustration,0.001873656169632715
illustration art,0.0036222236848676564
imposing cyborg,0.00023260912687747795
intricate details,0.001540996511811124
intricate hyper,0.00028536295663992797
intricate royo,0.00022582584297088713
intricate volumetric,4.8081187879425047e-05
josan,0.00024542127788206193
josan gonzalez,0.0009980634783790436
knight,2.3145613993951897e-06
kylie,2.03133274604703e-06
kylie minogue,0.0
lamp,5.596180565060356e-07
landscape,0.0005535788740833469
landscape colourful,0.0
lantern candle,0.00020027690254830553
length portrait,3.848675355450117e-06
lifelike photorealistic,0.0002537866242145966
lighting,0.0013627899498637823
lighting hd,0.0011128660333970003
lightning intricate,0.0
log houses,0.00025450205041690084
looking camera,0.00027012097172744346
low clouds,7.789025976685498e-06
madeira faroe,0.0003353797411107487
male dunmer,0.0
manga,0.0006844659918143495
manga illustration,0.00018811913061759876
marble hourglass,0.00022430769084406854
matte,0.004201153642730993
matte painting,0.021271903384683193
media collage,0.0004935758261660699
mid century,0.00020987835070920954
minogue,3.6713793237255656e-06
mixed media,0.0002184878234528913
modern,0.000134934743904793
modern art,0.0015421947603730922
movie,1.706115395050432e-06
movie poster,0.0004629107533771966
natural scene,0.0002457536571367693
nerevarine,0.0
neuromancer,0.0
oblivion skyrim,4.181957420251193e-06
octane render,0.0002517061617442819
oil painting,0.00041772576650008045
overcast thunder,9.5925637262317e-06
pablo picasso,0.00020952903401273162
painted,0.0002407421654679893
painted pablo,0.0001966214070299525
painting,0.010374280024138254
painting aesthetic,1.642271298116975e-06
painting artstation,0.00020343109959512187
painting beautiful,0.0026416199036275703
painting character,0.0003844922836156255
painting chris,2.0908762044950194e-06
painting deviantart,0.0018138033911799683
painting lurid,0.0
painting lush,6.907345783383671e-05
painting peter,0.00021975770263856292
painting ronny,0.0
painting sargent,0.00021529692318401133
painting stalenhag,0.0
painting unreal,2.5722723961032454e-06
peter,0.00020479376313943854
peter elson,0.00021225545876968685
photo,0.00030043393315173824
photo realistic,0.0
photograph,4.129494331445941e-06
photograph divine,6.374303043760127e-05
photography,4.0428719610852453e-05
photography awards,0.00020954918761398588
photorealistic,0.00042787203641000954
photorealistic digital,0.000230039531910031
phyics entries,0.00024047966758116126
picasso,0.0056000862683718115
picasso hair,0.00023817634203397242
pikachu hannah,0.0
pink bonsai,0.00026351116036098287
pink flamingos,0.0
pixar,1.1311786006478976e-06
pixie cut,7.290499322443022e-05
portrait,0.0009337744534116676
portrait extremely,6.047201190673228e-06
portrait intricate,4.071538030675462e-06
portrait male,0.0
portrait painted,0.0002575771169967591
portrait painting,0.00026613823734691834
portrait photograph,0.0018236857675073305
portrait sabouts,0.0
portrait scifi,0.0018489145642395749
punk art,0.0032852154128067803
punk portrait,0.00022505350334717773
puppy,0.0
render hyperrealist,2.2989802386586634e-06
robot,7.363384195584941e-06
rocksalt lamp,0.0
rpg portrait,0.0001847101922746227
runway,2.5460389027501783e-06
saitama,0.0001557396851203794
saitama anime,0.007465832389769718
scene,0.00045362593023434635
scene science,0.00021812573811475866
science,0.0002101484438445791
science fiction,0.00020794995632140095
screenshot,0.0
shade talking,0.0
skyrim elegant,0.003061973189680924
sony,0.0002721273419418198
sony world,0.0002465015639754274
space,1.299371758762655e-06
starmaker,0.0
starmaker matte,1.902081427099721e-06
stars,0.0
statue,0.00023286961909785238
steampunk,0.0005602219696889283
steampunk butterfly,0.0007169475375655598
steampunk himalayan,0.0
studio ghibli,0.00022425133909792145
style contemporary,0.00024173012360067546
style portrait,0.002214894735840447
surreal,0.03604110152132395
surreal concept,0.0012958975205496544
surreal glimpse,0.00035496117555892524
surrealism,0.00021583202402732072
surrealism surreal,0.00021030036730253297
tall castle,0.000251577635707613
tracing artstation,0.0
traits painting,1.0489361975353514e-05
trending artstation,0.0015990064621965315
ufo,0.00020391328490124117
ufo ignoring,0.0002103879791583021
ultra realistic,0.0002857336054469459
uncanny painting,0.0
unreal engine,0.005718994390606773
vallejo frazetta,0.0002170392667607904
vivec portrait,0.0
volumetric lighting,0.00038532027608664327
wallpaper,5.293960868183346e-07
wallpaper illustration,0.0
wearing cloud,3.79374879901565e-06
wizard,4.199858473037156e-06
woman,0.00023253841540301628
wooden churches,0.0002341167521484097
world photography,0.002492875126585502
zdzislaw beksinski,9.728530110499966e-05
