keyphrase,mean_abs_shap
abandoned,0.0008723228960414786
alchemical creatures,0.00022005902168235964
alien,0.002303400896969643
alien planet,0.0017207415929382244
android cyborg,0.00043406261459395
anime,0.0049675416906810425
anime colors,0.0017647281777763344
anime epic,0.0005274205819560187
armor daedric,2.8256425818674475e-05
art,0.012509347358583335
art artgerm,0.003467007827905833
art city,0.0021753676654298923
art hyperrealistic,0.0022826970766017234
art josan,8.567811756576768e-05
art lifelike,0.002598010143338566
art punk,0.0031340382498401334
art realistic,0.00025342082322151697
art sharp,0.0019003443085961692
art smooth,0.003941705227673565
art style,0.000582112423517014
art thorough,0.0024472047317256273
art trending,0.001624673409847243
artistic,0.0031004794096497618
artistic painting,2.6184354228614264e-05
artstation,0.007857952972797875
artstation cinematic,0.0014158757352768058
artstation galaxy,0.0002177727646635208
artstation hyperrealism,0.00020481752264807137
artwork,0.0038463304100409975
atmospheric lighting,0.0006358291275668812
avant garde,0.00027496757663701996
azores,0.0050765268254712595
azores islands,0.0021126456316150396
beautiful landscape,0.002440919167363437
beneath cherry,0.0005147829312839668
bjork,0.001585529906335991
black,0.0015798604178513596
blinders photography,4.69829767324647e-05
body manga,0.00400405993981122
body portrait,0.0023410015215055563
body shot,0.0003923802611517096
bonsai,0.002076483427176932
bonsai tree,0.0034635286317516094
bosch,0.002028461514551365
bull looking,0.0003195505990559618
bull modeled,0.0004661100447868913
butterfly volumetric,0.0016319173447333828
camera,0.0028323018340206305
candle butterfly,0.004266255844326151
candle volumetric,0.002014332665405919
canvas,0.0032597623556017124
castle,0.0037901840530928507
cat,0.004379585176750081
century modern,0.0033685953603793954
character portrait,0.0070773867287840094
cinematic,0.003226928345261945
cinematic composition,0.004871233429629016
cinematic deviantart,0.007668003466621511
city,0.003012336996077153
clouds,0.002342966410924952
clouds madeira,0.0018178778694190986
collage canvas,0.001905991901339469
colossal,0.0016163129084528162
colossal goddess,0.0026001679885959386
comic book,0.0009310033211028262
comprehensive art,0.008850084854774556
concept art,0.009180952438388554
contemporary art,0.0017321698645753941
creatures surreal,2.9999971652712972e-05
cute fluffy,0.0022938955422837884
cyberpunk,0.002856761323053842
cyberpunk art,0.0020711878824286357
cyborg,0.001765950609149218
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.000327468017886839
dark,0.0007765772293515781
dark uncanny,0.000634106714581485
design,0.0015470255626052823
detailed painting,0.0025015500565009796
detailed portrait,0.002707263387395681
detailed ultra,0.0037397851980139297
details intricate,0.00098436181265872
detective pikachu,0.0002984342200991656
deviantart,0.00395988127388993
deviantart hyperrealistic,0.0
deviantart realistic,0.0050525401814845985
digital,0.0025529628895558324
digital art,0.012995691312738438
digital painting,0.005381111472368294
digital render,0.002750168855036496
divine,0.003976937833232016
divine pink,0.001584525505425374
donald,0.001020112193311124
dragon,0.002744780254880812
dramatic lighting,0.0023202911416337494
drawing,0.0007200005775079939
dunmer nerevarine,0.002206537539235462
earth,0.002664582616512923
einstein,0.0007083685035080523
einstein portrait,0.0005914559545023725
elf,0.006747688192071851
elson,0.02898336602468492
emo punk,0.0015789696927975205
engine,0.0024763939605688
entries sony,0.0023896414990672767
fantasy art,0.00769688529508146
fantasy painting,0.0021369099794113764
fantasy style,0.0005158738815910837
faroe azores,0.003760988295915012
fashion clouds,0.0019210539956759948
fiction,0.003819267039848436
fiction film,0.0019475985858874614
fiery alchemical,0.00010434124191348283
fifth element,0.0014980605609591269
film,0.006071813560257787
film neuromancer,0.0003518816140636709
fine artistic,0.0
flamingos,0.002046079281747859
fluffy,0.007679482118076274
forest,0.0028393535901053302
frazetta,0.007696480332426921
frazetta giger,0.0022877570355885404
futuristic,0.002219223630764527
garden,0.0010306730030326314
garden intricate,0.002117161482192781
giant digital,0.0017488452931405237
glamorous sophisticated,0.0010072200888204441
goddess,0.005299078753912268
goddess wearing,0.0011858406087984301
gonzalez,0.00019030903407416967
gordon,0.006502050779219053
goth,0.0031143987951967067
goth emo,0.0014338582193700426
goths,0.005643786841153205
goths loitering,0.00011210580053103825
greek man,0.0001446827735239075
gundam,0.0028390890713113084
gundam unreal,0.0004621100792526616
gustav klimt,0.0009539254180699897
hd,0.0017428490614341452
hd goth,0.002366928770201201
hd painting,0.001079095484073442
hd unreal,0.003009603168143143
headshot edwardian,0.0006978182680863111
heavy detailed,0.00012059752452650826
high quality,0.003583082983702494
himalayan,2.4801866353308356e-05
himalayan rocksalt,0.0002943417294566804
houses,0.0021509499748989017
houses built,0.0013337496960296221
hyper detailed,0.001812882289184736
illustration,0.00373066671463571
illustration art,0.008497010036763146
imposing cyborg,2.259557894830618e-05
intricate details,0.006372930760217269
intricate hyper,0.0025264695261420947
intricate royo,0.0010462708788840217
intricate volumetric,0.001910773482271654
josan,0.00023865585361149437
josan gonzalez,0.001996077487218151
klimt,0.0012635712219028073
lamp,0.0
landscape,0.004864309085184152
landscape colourful,0.0018704575295254596
lantern candle,0.0027975925447911104
length portrait,0.00633528585610711
