keyphrase,mean_abs_shap
abandoned,0.0012211502198343506
alien,0.0008666291792100895
alien planet,0.0019317776150170032
android cyborg,2.5406661436208675e-05
anime,0.006711604381016759
anime colors,0.0006807583676109026
anime epic,0.000675906588098155
armor daedric,2.323057426386288e-05
art,0.009652308585261709
art artgerm,0.0013105897322121286
art city,0.0018668423332921238
art hyperrealistic,0.0006169085484308714
art josan,0.0010134068181551444
art lifelike,5.872416640525247e-05
art punk,0.0028475243100266165
art realistic,0.00016130896379918535
art sharp,0.002284318981228959
art smooth,0.0033849945457771987
art style,0.00209616686753532
art thorough,0.0007043292285729762
art trending,0.0004549963262340265
artistic,0.0006781064483791615
artistic painting,0.0007685490336161351
artstation,0.007888078905220712
artstation cinematic,0.00024002722891642962
artstation galaxy,0.000574020129982401
artstation hyperrealism,1.2714562674066258e-05
artwork,0.00520225416358632
atmospheric lighting,0.001033096020830105
avant garde,0.0008403235264075855
azores,0.004096108957467351
azores islands,5.836301936072188e-06
beautiful landscape,0.00042457435847346255
beneath cherry,8.330212348053196e-05
bjork,0.0002596126474516847
black,0.002395778032756082
body manga,0.000827428823824849
body portrait,0.0007400840182067165
body shot,4.19299764498208e-05
bonsai,0.0008500019738357147
bonsai tree,0.0008657675928420407
bull looking,2.764066028680185e-05
bull modeled,3.507754835340944e-05
butterfly volumetric,0.00014229809707892637
camera,0.001078335590077362
candle butterfly,9.772191690000737e-05
candle volumetric,0.0009554349568116899
canvas,0.0012941202912374412
castle,0.0035642700917881166
castle enclosed,0.0
cat,0.0012794766029820821
century,0.00016527632870879942
century modern,0.0023591441413945906
character portrait,0.0084451883937286
chris foss,0.0
churches domes,1.7879188821706405e-06
cinematic,0.003467624891561205
cinematic composition,0.002725093131827914
cinematic deviantart,0.00011249599027808025
city,0.0013580696024838147
cloud fashion,6.341360622184528e-05
clouds,0.003630726321113104
clouds covered,0.00010294584714626034
clouds girl,1.3558652054736636e-05
clouds madeira,0.0008062132044200668
collage canvas,0.0031828307216391263
colors,0.00099269702239151
colossal,0.000604504845770231
colossal goddess,0.0008472515114156036
comprehensive art,0.0022099614935139505
concept art,0.00844698046266149
contemporary art,0.0027585188835172903
cute fluffy,0.0017873143093035048
cyberpunk,0.0013050195086064132
cyborg,0.0013429855203364101
cyborg body,1.6882353188973458e-05
cyborg bull,1.2233859693934631e-05
daedric armor,1.2854233028854987e-05
dark,0.0017214950064646198
dark uncanny,3.236471542967348e-05
detailed painting,0.0015744395670385884
detailed portrait,0.0010698782666683634
detailed ultra,0.0012909584975608094
details intricate,0.0009403859508396781
detective pikachu,3.113982261072801e-05
deviantart,0.005030754995063007
deviantart hyperrealistic,0.0005499952661643432
deviantart realistic,0.0005293640069153664
digital art,0.0048937772660117805
digital painting,0.0025269967872947794
digital render,0.001993864601032501
divine,0.0006378633478593807
dog,0.000198481485116647
donald,0.0012847344767972513
dragon,0.002074400238626999
dramatic lighting,0.001130714177001427
drawing,0.001066075560474717
dunmer nerevarine,0.0005207438596974621
einstein,9.545954486840562e-05
elf,0.0051367679759586485
elson,0.002137112776165973
emo,0.0008955704329503232
emo punk,0.0002562536658390579
engine,0.0004448114143941422
entries sony,0.0008795951224786876
fantasy art,0.004247413010744385
fantasy painting,0.002142437819521675
fantasy style,3.920897769293217e-05
faroe azores,0.0023069073648883643
fashion clouds,0.00015496179892396839
fiction,0.000836050950173264
fiction film,0.0005847628764697649
fifth element,0.001087880983469846
film,0.009174355826996673
film neuromancer,0.0005734549757601512
flamingos,0.0007214998395880712
flowers,0.0016726322925764453
fluffy,0.0024823198433024476
footage,0.0005624863220509588
forest,0.0025039970310532663
frazetta,0.003946737068168377
frazetta fantasy,0.0009811277720335803
frazetta giger,0.0044196021933714125
futuristic,0.00014637121611188228
garden,0.0024888615864573378
garden intricate,0.0007607275697558791
giant,0.0008434016769373619
giant digital,0.0006856982288388027
girl clouds,1.0310329778811758e-05
glamorous sophisticated,0.0009112457053985891
glimpse universe,6.546491984104855e-05
goddess,0.001323271592200159
goddess creative,0.00097708490515769
goddess wearing,2.69536151123087e-06
gordon,0.002312033740449519
goth,0.0007082572045664187
goth emo,0.0003419969091707166
goths,0.0007438863623135834
goths loitering,0.0001138932766230873
gundam,0.001138353501979961
gundam unreal,2.044854324206487e-05
gustav klimt,0.0014351822032825738
hd,0.0003100974519593133
hd goth,0.00034645812293090196
hd painting,0.00013654065552784603
hd unreal,0.0006495899087787855
heavy detailed,0.0005044185184703811
high quality,0.0007424336927703626
hills slavic,0.0
himalayan,0.0005868869776818165
himalayan rocksalt,0.0006802957991272704
houses,0.0006353512281125126
houses built,0.0
hyper detailed,0.001357879901572992
illustrated,0.001417611169643167
illustration,0.00300287423955366
illustration art,0.009007233393289543
imposing cyborg,2.1328859623205354e-05
intricate details,0.0025609350564272187
intricate hyper,0.000939678964349576
intricate royo,0.00010566054946502551
intricate volumetric,0.0007100046593231001
josan,0.0009754145429079548
josan gonzalez,0.0019455314994565721
knight,0.0023250280338863406
kylie,0.0004888465328015803
kylie minogue,0.0008146817620273469
lamp,0.0006680628978661546
landscape,0.003235876896189587
landscape colourful,1.0297150046941224e-05
lantern candle,0.000380424982746267
length portrait,0.0012414602638307866
lifelike photorealistic,0.00048069052305826687
lighting,0.003936913839465693
lighting hd,0.002643935628469992
lightning intricate,0.00015962171376372855
log houses,0.0
looking camera,7.383002468761908e-06
low clouds,0.00022641259171079408
madeira faroe,0.00044488101580036763
male dunmer,0.0006638205681629376
manga,0.0011077975246863753
manga illustration,0.0007333654259888881
marble hourglass,0.0006805559945824511
matte,0.005396763002682718
matte painting,0.03429415875057419
media collage,0.0007731680881503001
mid century,0.0012164816113090851
minogue,0.0005292393190534977
mixed media,0.0005449727900243896
modern,0.0004947582042271365
modern art,0.004205162532806343
movie,0.0005831683589308138
movie poster,0.0014067712451276166
natural scene,0.001139053504728203
nerevarine,0.0005864963911150843
neuromancer,0.0006938044231019661
oblivion skyrim,0.0
octane render,0.0011386597446995193
oil painting,0.004082160100897984
overcast thunder,6.559600987085678e-05
pablo picasso,0.0005262821550208569
painted,0.0013398341572815507
painted pablo,5.881824315047029e-05
painting,0.03048977890372205
painting aesthetic,4.8856010231894326e-05
painting artstation,0.001652692177831596
painting beautiful,0.0041218514835110395
painting character,0.0010404960412745737
painting chris,2.292683266749723e-05
painting deviantart,0.0015881381277518848
painting lurid,0.0006435303756009819
painting lush,0.00011285744475169606
painting peter,0.0006374341017604713
painting ronny,0.001534691252300798
painting sargent,0.0011869269931273593
painting stalenhag,0.00014897433958541007
painting unreal,0.0008827022431630328
peter,0.0007824944666842194
peter elson,0.0008999349938777774
photo,0.0012408006216563436
photo realistic,0.00034967046373585365
photograph,0.0009392586604657557
photograph divine,0.0005495726560063096
photography,0.002713674509696614
photography awards,0.001514809781274356
photorealistic,0.002071585763089308
photorealistic digital,0.0006239296063279136
phyics entries,0.0007956027117065473
picasso,0.007727039082994091
picasso hair,0.00026459198505629
pikachu hannah,7.292663218807938e-05
pink bonsai,0.0005933283250813526
pink flamingos,0.000913485452343826
pixar,0.00023740410932363088
pixie cut,0.0006936164973247925
portrait,0.012361235083710042
portrait extremely,0.0008516547824707856
portrait intricate,0.0009024083936710973
portrait male,0.0005341300704918826
portrait painted,0.0016370553173695483
portrait painting,0.0009738795096749973
portrait photograph,0.0034982301799208393
portrait sabouts,0.0007856180133551254
portrait scifi,0.0017510874331086866
punk art,0.003629782476161614
punk portrait,0.0005899319052658859
puppy,0.0007942284544960908
render hyperrealist,0.000989765970471233
robot,0.0008292218477854235
rocksalt lamp,0.0004177258265902294
rpg portrait,0.0009445683021481266
runway,0.0008239805781240758
saitama,0.0011171668015781087
saitama anime,0.013199160261612235
scene,0.0033052663793147266
scene science,0.000751941551259776
science,0.0009318514388570828
science fiction,0.0006605729065107651
screenshot,0.0012227852725215508
shade talking,9.291248058968939e-05
skyrim elegant,0.005000163669373657
sony,0.0026841509056324386
sony world,0.0007787584764751439
space,0.0015311182771027946
starmaker,0.000723583394734163
starmaker matte,1.162673534843395e-05
stars,0.00043852617875085777
statue,0.00047730089669024235
steampunk,0.0009755710632846347
steampunk butterfly,0.0015926699016175856
steampunk himalayan,0.00053723494812313
studio ghibli,0.000889277337532751
style contemporary,0.0006113510610187303
style portrait,0.0027302993247116767
surreal,0.02733284751951859
surreal concept,0.0026700470921982087
surreal glimpse,1.7306892057670187e-05
surrealism,0.0011068063091852658
surrealism surreal,0.0006503472271207125
tall castle,3.3049013057210816e-06
tracing artstation,0.00022453352140051468
traits painting,0.0008477875791946369
trending artstation,0.0033565536492826077
ufo,0.001444486305370701
ufo ignoring,0.0005014897901149324
ultra realistic,0.0018785622864021243
uncanny painting,0.000610237526767652
unreal engine,0.007460338334968521
vallejo frazetta,0.0006921623851535186
vivec portrait,0.0006151040441908121
volumetric lighting,0.00204343466848077
wallpaper,0.0008069073992812744
wallpaper illustration,0.0005906388420912621
wearing cloud,3.144583277477714e-05
wizard,0.00029976872151055254
woman,0.0005035052005170861
wooden churches,2.1454113857788243e-06
world photography,0.003147434138632696
zdzislaw beksinski,0.00022810787831652356
