keyphrase,mean_abs_shap
abandoned,0.0014807004750489827
alien,0.000627694661890996
alien planet,0.0007206833934085056
android cyborg,0.0009790929182103211
anime,0.008369646057999326
anime colors,7.499250427364269e-05
anime epic,0.001232350293832298
armor daedric,0.0021189311195179824
art,0.008117107334369711
art artgerm,0.0020518156135836676
art city,0.0006107942890585508
art hyperrealistic,0.0013002461447761933
art josan,0.0013715387033252904
art lifelike,0.0008995862254458629
art punk,0.002431738222794486
art realistic,0.0005008029924349146
art sharp,0.0017380174957601384
art smooth,0.002074538093687393
art style,0.002043941819271448
art thorough,0.0002894925574699445
art trending,0.000508213375370668
artistic,0.0016245815559301241
artistic painting,0.001410584357973177
artstation,0.004447244153988045
artstation cinematic,0.000270072431053257
artstation galaxy,5.994548786169024e-05
artstation hyperrealism,0.00011594756761011282
artwork,0.006426113230640294
atmospheric lighting,0.0020460345195134283
avant garde,0.0001436028463788872
azores,0.0015801984812907136
azores islands,6.758609034076984e-05
beautiful landscape,0.0008298501268491816
beneath cherry,0.00026391330908047606
bjork,0.0026569152841602437
black,0.0013259535252450234
body manga,0.0016507210672411252
body portrait,0.0011803219358470962
body shot,0.0009293424475571998
bonsai,0.0011215921430503984
bonsai tree,0.0009764335354552911
bull looking,0.0008869637928592586
bull modeled,0.00127749005001907
butterfly volumetric,8.87370380186158e-05
camera,0.001390003610043236
candle butterfly,0.00019777139538644812
candle volumetric,9.927184256207487e-05
canvas,0.0017003758737361358
castle,0.0030398866284780503
castle enclosed,0.0008879444529360915
cat,0.0028424306417078582
century,0.0014453938700874397
century modern,0.0016822222353709627
character portrait,0.004018613343451252
chris foss,0.0010417169615851611
churches domes,0.0007196405806196427
cinematic,0.0027833484028911776
cinematic composition,0.0014228894389356347
cinematic deviantart,0.0001818590111411469
city,0.0014394711780162915
cloud fashion,0.0009029032882905497
clouds,0.002759514154616581
clouds covered,0.00019003654391217805
clouds girl,0.0008646853098390214
clouds madeira,0.0006175226319277047
collage canvas,0.0021738990193375337
colors,0.0004755055619375848
colossal,0.00012504997552212886
colossal goddess,0.00015052592208134662
comprehensive art,0.0021595443677508647
concept art,0.003199156674042615
contemporary art,0.0020709666994977722
cute fluffy,0.0012293063106134097
cyberpunk,0.002132822562614396
cyborg,0.001721094110954733
cyborg body,0.0009704850494620723
cyborg bull,0.0008783234801006447
daedric armor,0.0011014896637840004
dark,0.0003512661902081165
dark uncanny,0.0013997705920311006
detailed painting,0.000662257991915018
detailed portrait,0.0012598236801498863
detailed ultra,0.0012526106410120496
details intricate,0.0007319344272832257
detective pikachu,0.0009398508121198408
deviantart,0.004666299057770153
deviantart hyperrealistic,4.412327758718346e-05
deviantart realistic,0.0011876634722770253
digital art,0.004553727954691753
digital painting,0.00526549969698899
digital render,0.0008514337007567694
divine,0.00041136414660591296
dog,0.0007478768437527573
donald,0.0015358663317860365
dragon,0.0010376296133700164
dramatic lighting,0.0020162572600841725
drawing,0.0015346007816675765
dunmer nerevarine,0.0014083970032813527
einstein,0.0012905188622199838
elf,0.00709909622594543
elson,0.0059955399951333605
emo,0.0012187767586782508
emo punk,0.0011689795276095985
engine,0.0007198856202437271
entries sony,0.001529075842221614
fantasy art,0.0034432311142081223
fantasy painting,0.0016155032866172838
fantasy style,0.0006770080287208969
faroe azores,0.001819622784190787
fashion clouds,0.0010632097867156556
fiction,0.0005130743703510638
fiction film,0.0008251991525130937
fifth element,0.0005133654145839026
film,0.005910303962558167
film neuromancer,0.0
flamingos,0.000842221303802647
flowers,0.0022698944747269727
fluffy,0.0017783742823181592
footage,0.0011267983275833743
forest,0.0049304502998022874
frazetta,0.006279789601846341
frazetta fantasy,0.001306649827465371
frazetta giger,0.004491840240453555
futuristic,0.00011436293125409909
garden,0.0007636402073190034
garden intricate,0.0009162036435867774
giant,6.364601632063704e-05
giant digital,0.0001558663279995431
girl clouds,0.0009662989161660277
glamorous sophisticated,0.0010927128290814624
glimpse universe,0.0030154491263015702
goddess,0.0009342961558998278
goddess creative,0.00020789100026160314
goddess wearing,0.0008140479043448343
gordon,0.003163840144197529
goth,0.0018671257237667278
goth emo,0.0011385303799544275
goths,0.0009411925570353452
goths loitering,7.119382885032572e-05
gundam,0.0013834269972875792
gundam unreal,0.0007220859014540368
gustav klimt,0.0012803804199619665
hd,0.0020615860795006116
