keyphrase,adjusted_mean_shap
matte painting,0.022457792456597774
surreal,0.01966940197713695
painting,0.018585595271348676
portrait,0.0128600598250747
elson,0.010120682558251725
art,0.008239384015145925
unreal engine,0.00806734982972985
anime,0.007164147285345975
illustration art,0.007067606460778625
film,0.00683939146160575
saitama anime,0.0067365818296805
picasso,0.0066137148069712
artstation,0.005891243443204025
digital art,0.005824257761239376
oil painting,0.005741876840270475
character portrait,0.005679182552591824
frazetta,0.005471842648808925
skyrim elegant,0.005464244489353299
matte,0.005419473972413275
concept art,0.005281399694338725
elf,0.0051201234818058
artwork,0.004956337232567101
deviantart,0.00418972438782275
azores,0.004159504811722825
portrait photograph,0.0041351140068166745
fantasy art,0.00400711703135865
frazetta giger,0.0038659554171781756
comprehensive art,0.0037400887785279
painting beautiful,0.0036470005502799497
painting deviantart,0.0034044753995749752
digital painting,0.003355548312411775
fluffy,0.003276220588162825
lighting,0.003267716964920875
modern art,0.00324981164514575
punk art,0.0032003611050326498
intricate details,0.003095108608789325
oil,0.0030912416202736
gordon,0.003044795630548175
world photography,0.002992346582543575
castle,0.002884352349573225
landscape,0.0028456558967615
surrealism,0.002840547572469125
illustration,0.0028084595166407
trending artstation,0.0027423783850983752
forest,0.0026657694551867747
earth,0.0026645826165129
photorealistic,0.00256100963666665
digital,0.0025529628895558
collage canvas,0.0025312801480249
cinematic,0.0024460559315786
clouds,0.002444345106377025
art smooth,0.00243605722307765
natural scene,0.0024107179390653252
mid century,0.002394411197680125
art punk,0.0023771739947643753
uncanny,0.0023613296621265
style portrait,0.0023534464220679747
picasso hair,0.0023356964761191245
length portrait,0.0023236807715410123
cinematic composition,0.002306813075196175
century modern,0.002287362685348725
sitting snowy,0.0022787964928448
surrealism surreal,0.00225887264809875
photography,0.002233957343530213
photorealistic highly,0.0022230363376653
realistic photo,0.0022085683320957
starmaker,0.002204953094699075
snowy,0.0021529389845067
cat,0.0021303170352043733
scene,0.0020849038880545
cyberpunk art,0.0020711878824286
cinematic deviantart,0.0020629955595797746
lighting hd,0.0020610432860928
faroe azores,0.002044714599335775
portrait scifi,0.002039780143783075
bosch,0.0020284615145513
sony,0.0020185886103327
contemporary art,0.002011396077882575
peter,0.00199324379633175
houses,0.001982457300882925
painting artstation,0.001967091285440825
goths,0.00195577867657515
