keyphrase,mean_abs_shap
abandoned,0.0
alien,3.360501406030621e-07
alien planet,0.0
android cyborg,0.0
anime,0.00033588975995289073
anime colors,0.00017951892207273822
anime epic,0.0
armor daedric,0.0
art,0.004858612613657125
art artgerm,0.0017832137432272754
art city,0.0015776101467163963
art hyperrealistic,1.0187223539503593e-06
art josan,3.198860252688457e-06
art lifelike,0.0001939945226551703
art punk,0.00022659698275509827
art realistic,6.725050858886707e-05
art sharp,0.0033855394156273796
art smooth,0.004371016858311333
art style,0.0016045250087330972
art thorough,0.0008467843154818578
art trending,0.001300094565087542
artistic,0.0
artistic painting,0.0
artstation,0.0023559160273994777
artstation cinematic,0.0
artstation galaxy,0.00021826865923982975
artstation hyperrealism,0.0002688612776017394
artwork,2.1586447537572026e-06
atmospheric lighting,0.00022069456234001097
avant garde,0.0
azores,0.0001780817996842766
azores islands,1.1731072668675823e-06
beautiful landscape,1.694098921600882e-06
beneath cherry,0.00019949205931410683
bjork,0.0
black,0.0019838260015494773
body manga,0.002931813234155594
body portrait,0.00028162863487363876
body shot,0.0
bonsai,1.5132760656613714e-05
bonsai tree,0.0004899183738623175
bull looking,0.0
bull modeled,5.98803508571643e-06
butterfly volumetric,6.274182487414917e-05
camera,0.0004318932641080662
candle butterfly,1.1709338121923188e-05
candle volumetric,0.00011741399975957543
canvas,0.00023891873909042153
castle,0.0015678386525509714
castle enclosed,0.0
cat,0.0006467537586434094
century,0.0
century modern,0.0002904142393200474
character portrait,0.0001967660416234903
chris foss,0.00021592323977138062
churches domes,0.0
cinematic,6.044073483831045e-06
cinematic composition,2.6750819004593273e-05
cinematic deviantart,0.0
city,0.001088343231850606
cloud fashion,0.00010445853654135043
clouds,0.00021913431820774675
clouds covered,6.2159968200646136e-06
clouds girl,1.330001474090506e-06
clouds madeira,0.00011485349456706867
collage canvas,0.00020331722795882535
colors,1.0508594627516813e-06
colossal,0.0
colossal goddess,1.8086620976170966e-05
comprehensive art,0.002413663378506505
concept art,0.0003000288271826342
contemporary art,0.00020011466846266897
cute fluffy,0.0
cyberpunk,0.00037733680112829595
cyborg,0.00032932349807449833
cyborg body,0.0
cyborg bull,6.086842557611517e-06
daedric armor,0.0
dark,0.0004625291980910792
dark uncanny,0.0
detailed painting,0.00022809388084666895
detailed portrait,0.000249920024173008
detailed ultra,0.0031918445229087503
details intricate,1.9592069293050943e-06
detective pikachu,5.090811327611857e-05
deviantart,0.0013643257163283653
deviantart hyperrealistic,0.00035447397572274734
deviantart realistic,2.165715749620442e-06
digital art,0.0006551235874142696
digital painting,0.00036876109578928845
digital render,0.0
divine,0.0001984109028437553
dog,6.968733943458492e-07
donald,5.2989959163386286e-08
dragon,0.001435866555768999
dramatic lighting,4.37929003279811e-05
drawing,0.00018086923781195424
dunmer nerevarine,0.00019256945454550347
einstein,0.0
elf,0.004152329017022084
elson,0.000198674782305047
emo,0.0
emo punk,0.0001779938793749786
engine,3.4641792044232087e-06
entries sony,0.00020566996930056113
fantasy art,0.001810704011548902
fantasy painting,2.0922876728147407e-06
fantasy style,1.1289647645346184e-06
faroe azores,0.0002188234368415957
fashion clouds,0.0
fiction,0.0
fiction film,0.00016865830226847378
fifth element,0.0
film,0.0003401897713097258
film neuromancer,0.00015743795202294273
flamingos,3.112402730814906e-06
flowers,0.00018426105411141133
fluffy,0.0014243393837153763
footage,0.0016922055658852085
forest,0.00017366445832153423
frazetta,0.0027503375619048025
frazetta fantasy,0.00022017359102051667
frazetta giger,0.0003262070435312263
futuristic,1363002259.0407548
garden,0.00023867310275323277
garden intricate,1.1280215350111547e-05
giant,9.251770291117492e-06
giant digital,0.002637954101360448
girl clouds,2.746028748443476e-06
glamorous sophisticated,3.06033582873654e-06
glimpse universe,0.0
goddess,0.0002610746452656534
goddess creative,0.0002890166998257981
goddess wearing,0.0
gordon,0.002259747326932151
goth,0.008164782743447238
goth emo,0.00015642860337025327
goths,0.0002491930211395525
goths loitering,0.00020242748699257667
gundam,0.00022006637409453938
gundam unreal,0.0002256851774376477
gustav klimt,0.00139066282227517
hd,0.00022292202851474825
hd goth,0.00019081020989404106
hd painting,0.00015493521920808932
hd unreal,0.00019556162907735024
heavy detailed,2.0793152102707605e-06
high quality,4.484025777994591e-06
hills slavic,0.0
himalayan,0.0
himalayan rocksalt,0.0
houses,1.065105564631727e-06
houses built,0.0
hyper detailed,0.00017438617157987643
illustrated,0.0
illustration,2.288372243851146e-06
illustration art,0.0017924935948953737
imposing cyborg,0.0
intricate details,0.0
intricate hyper,4.922745908878635e-05
