keyphrase,mean_abs_shap
abandoned,0.0033996279000786944
alchemical creatures,3.11154875199774e-05
alien,0.0015461210021282636
alien planet,5.112738567570834e-05
android cyborg,0.00019069347611585434
anime,0.0024451666889144397
anime colors,0.0019589238396803877
anime epic,0.0019503459744120062
armor daedric,0.0026338083781639126
art,0.022077467301285014
art artgerm,0.003162969233727746
art city,0.0009632681343550403
art hyperrealistic,0.0005897752530922893
art josan,0.002444099659193211
art lifelike,0.0009167536575059679
art punk,2.6064380218221287e-05
art realistic,0.002186746444905916
art sharp,0.002376151341927055
art smooth,0.014246232092995446
art style,0.0015275236481610097
art thorough,0.005602516134433025
art trending,0.004637612496294879
artistic,0.00357729485075109
artistic painting,8.354260167973958e-05
artstation,0.017267505531674464
artstation cinematic,0.0027844258015609817
artstation galaxy,0.00012043738923723747
artstation hyperrealism,8.374010363764439e-05
artwork,0.004545593938533273
atmospheric lighting,0.006667910422606695
avant garde,0.0027255288240664124
azores,0.00279810322285315
azores islands,0.0010562684152613264
beautiful landscape,0.002572069175300325
beneath cherry,0.0004929650136272546
bjork,0.0021333990922836436
black,0.00335682172915171
blinders photography,0.0015290181582046948
body manga,0.005443876751314258
body portrait,0.005612607963074878
body shot,3.528830027812715e-05
bonsai,0.00015981547387088603
bonsai tree,0.0017884565752335536
bosch,0.0008476711650731772
bull looking,0.0005479947327156505
bull modeled,0.0007715690781487927
butterfly volumetric,0.002481833450153819
camera,0.010467031928490689
candle butterfly,0.00022207894411898108
candle volumetric,0.001887569650604179
canvas,0.002182735114996367
castle,0.0045160573869762605
cat,0.002608653659478407
century modern,0.0011145720442011689
character portrait,0.005914964959658514
cinematic,0.005783347924461966
cinematic composition,0.0013295379288587063
cinematic deviantart,0.004346299207673514
city,0.0024823212465330175
clouds,0.002345469428019692
clouds madeira,0.001857721278975578
collage canvas,0.0004999371932449499
colossal,0.00024971985925682403
colossal goddess,0.002512500461369116
comic book,0.00041758477609961267
comprehensive art,0.005660470283281609
concept art,0.009362274733107735
contemporary art,9.054124341318039e-05
creatures surreal,0.00018541324120567194
cute fluffy,0.0027472992713913806
cyberpunk,0.004375721039022768
cyberpunk art,0.0017850829945547226
cyborg,0.0031235750388846173
cyborg body,0.000539785485264747
cyborg bull,0.00011771949490684653
daedric armor,0.001535453416545923
dark,32206075851.655613
dark uncanny,0.00311950773153201
design,0.002981145696233221
detailed painting,0.0028177148302193145
detailed portrait,0.0031835369705877914
detailed ultra,0.006925105464251485
details intricate,0.0013411539060936603
detective pikachu,0.002071356289766378
deviantart,0.00503603355599629
deviantart hyperrealistic,0.0015180773720358397
deviantart realistic,0.004552642619353852
digital,0.0017588559836798042
digital art,0.0043992447337282276
digital painting,0.006867529136589367
digital render,0.0002553531009205526
divine,0.00034275617561680386
divine pink,0.0004160949137176246
donald,0.0006127173895398145
dragon,0.0033491293614473154
dramatic lighting,0.002997366141756972
drawing,0.0006792257302605236
dunmer nerevarine,0.0018329075038530998
earth,0.003177099199193886
einstein,0.0032691571832315753
einstein portrait,0.0004223783283239294
elf,0.012228561577996445
elson,0.008841848651555956
emo punk,0.001952210994710216
engine,0.0017197505522700044
entries sony,0.002268010011036168
fantasy art,0.007824288950829412
fantasy painting,0.003988256170025399
fantasy style,0.0014542459258441286
faroe azores,0.004762328631500605
fashion clouds,0.001013498923226422
fiction,0.00025877302266605367
fiction film,0.005674909561493144
fiery alchemical,3.807208218091035e-05
fifth element,0.002437801187558454
film,0.0027975829265196443
film neuromancer,0.00045760398402416554
fine artistic,0.0
flamingos,0.00038453817654843556
fluffy,0.007316485896493855
forest,0.002417745814378144
frazetta,0.0036856438031850442
frazetta giger,0.0007573811367921462
futuristic,0.0014485243348461366
garden,0.0010424534294237928
garden intricate,0.0021899293405828416
giant digital,0.0033049026927364417
glamorous sophisticated,0.004069070802614451
goddess,0.0006668949661190775
goddess wearing,0.0
gonzalez,0.0003473956492875902
gordon,0.003034157970188923
goth,0.007531629963924496
goth emo,0.0028603454603423678
goths,0.004511465922248063
goths loitering,0.0001833787251790575
greek man,0.0003177111941912661
gundam,0.002364619110889182
gundam unreal,0.00010780693822535765
gustav klimt,0.0021544102106444505
hd,0.002677025335705063
hd goth,0.0026437753404509913
hd painting,0.0024954179948815125
hd unreal,0.0006300140283031176
headshot edwardian,0.0019467062975855264
heavy detailed,0.005183348561984358
high quality,0.004190009290540394
himalayan,0.0004816815144496106
himalayan rocksalt,8.401306347694149e-05
houses,0.0006372597368153841
houses built,0.00033746511480976283
hyper detailed,0.007732014481803931
illustration,0.004144804442806146
illustration art,0.007261485988209444
imposing cyborg,5.556976000321744e-05
intricate details,0.0005382735087131004
intricate hyper,0.001960071375418592
intricate royo,0.0022459356427855293
intricate volumetric,0.0022213904696786924
josan,0.0005923988475370115
josan gonzalez,0.00025558584753680003
klimt,0.0010874914397985959
lamp,0.0005065453082455009
landscape,0.0017574883569659128
landscape colourful,1.3799922580268587e-05
lantern candle,0.001032999579262044
length portrait,0.003135788353077891
lifelike photorealistic,0.002445417638640029
lighting,0.005875973963034384
lightning intricate,0.0030199887003030165
log houses,5.942705149774858e-05
looking camera,0.0007561753991073754
low clouds,0.0012871773672331673
madeira faroe,0.004595177658803094
male dunmer,0.0015622900203941068
manga,0.003779838167457601
manga illustration,0.0019831083827061106
marble hourglass,0.002047400397786646
matte,0.003617570027899746
matte painting,0.005248269087751368
media collage,0.0004462419750385272
mid century,0.002518689927874969
modern art,32206075851.65561
movie,0.002005626179771514
movie poster,0.002022662242719441
mysterious,0.0002571366105439463
mysterious ufo,0.0
natural scene,0.0055731131356380375
nerevarine,0.0024146688399752014
neuromancer,0.0006701175308445693
oblivion skyrim,0.001696749230079092
octane render,0.0005998125841269844
oil,0.003823069312923523
oil painting,0.010877484324308597
overcast thunder,0.0045007795532767325
pablo picasso,0.0007305700993808324
painted pablo,0.0007007157922421594
painting,0.024605293759581304
painting aesthetic,0.0026950288023435878
painting artstation,0.0044248430196526705
painting beautiful,0.010473644494251446
painting character,0.0028373164303202377
painting deviantart,0.0028841289877649325
painting lurid,3.104902378320439e-05
painting lush,0.002802228454592643
painting peter,0.0016462376422801996
painting ronny,0.000653706664983253
painting sargent,0.007339744385851449
painting stalenhag,0.001035450729747307
painting unreal,0.001169070654023672
peter,0.004777672668219065
peter elson,0.0025493037620533078
photo,0.005248397226363348
photo realistic,0.0029786168047389685
photograph,0.0012238123989232544
photograph divine,0.00046674553058465425
photography,0.011419413455563857
photography awards,0.004413782979670391
photorealistic,0.010420868195265574
photorealistic digital,0.0006272646980183403
photorealistic highly,0.0003734633847160847
phyics entries,0.0013596062759786605
picasso,0.0005492259237416264
picasso hair,0.0012958965083575726
pikachu hannah,0.0027040501668536936
pink bonsai,0.002366288971892472
pink flamingos,0.0006166535094945425
pixar,0.0005340701036974957
portrait,0.03263503547968446
portrait ancient,0.0006595795829682498
portrait extremely,0.003457636742713569
portrait intricate,0.005139993871809264
portrait male,0.00457284432593237
portrait painted,0.001858547062688207
portrait painting,0.0035652766125822666
portrait photograph,0.0015301383075738847
portrait sabouts,0.005497895397528621
portrait scifi,0.0038832030063010842
punk art,0.0005981400524597045
punk portrait,0.0027807491121961685
puppy,0.0007960713652004783
puppy sitting,1.370068167256784e-05
realistic photo,0.005097578598268564
realistic render,0.0038778209299388357
render hyperrealist,0.006006614349764721
robot,0.0018735805773175459
rocksalt lamp,0.000110365529213307
room,0.0026735906433374783
rpg portrait,0.002438277596545162
runway,0.003993416930251363
saitama,0.002464243040408847
saitama anime,0.0033715158251861168
salvador dali,0.0013857225998895877
scariest looking,0.0024983505242704806
scene,0.00335902873767837
scene science,0.006788264617080756
science,0.00033483019131090596
science fiction,0.002195042639553768
screenshot,0.0045213587348859555
shade talking,0.001372171412224003
sitting snowy,0.0012949228529168725
sky,0.0036535002845023003
skyrim elegant,0.002890750068384817
snowy,0.000958124508364622
sony,0.005816878246310513
sony world,0.0021958502270977864
space,0.0043703590396312
starmaker,0.0008736490097852331
starmaker matte,0.0007030411429474855
stars,0.0009609863878184513
statue,0.0022320236035514676
steampunk,0.002027723057300477
steampunk butterfly,0.003007565974641422
studio ghibli,7.125484999602844e-05
style contemporary,0.0015989565563536592
style portrait,0.006027607833834583
surreal,0.0022240355614099013
surreal concept,0.00011563026621657583
surreal dark,0.00014583158175148254
surrealism,0.007461319395059364
surrealism surreal,0.0007722766542458858
thanos style,3.4096028510805316e-05
tracing artstation,0.0026399944239813376
traits painting,0.0027871468838889394
trending artstation,0.0037938628942315797
ufo,0.004022253280839566
ufo ignoring,0.0032711322064556724
ultra realistic,0.003547612775898678
uncanny,0.0011354784013783636
uncanny painting,0.000412944684888383
unreal engine,0.013840460334185274
vallejo frazetta,0.0009434969830942279
vivec portrait,0.001967760130299467
volumetric lighting,0.0022393985219095903
wallpaper,0.005516060384770399
wallpaper illustration,0.0021005900652393207
wizard,0.001450117469384769
woman,0.0028201686908485217
world photography,0.004435598803876834
zdzislaw beksinski,0.004356521724331974
