keyphrase,mean_abs_shap
abandoned,0.0011819771798944453
alien,0.0012850147783611213
alien planet,8.631938354080106e-06
android cyborg,1.5547045753001582e-05
anime,0.002468106653308686
anime colors,0.0007913221316322997
anime epic,0.0009309774618750014
armor daedric,0.0007922746698428275
art,0.012356078933517558
art artgerm,0.0018011799411087744
art city,0.0013334203939610533
art hyperrealistic,0.0007259097455507806
art josan,0.00038945138825399695
art lifelike,0.0006412219776870072
art punk,0.000731115825791497
art realistic,0.0017994592609418022
art sharp,0.0040315837864572865
art smooth,0.003917758562750978
art style,0.0028970712300513566
art thorough,0.002703136555348656
art trending,0.002664177709673252
artistic,0.0003647440675199283
artistic painting,3.236852069683049e-05
artstation,0.006029111389819119
artstation cinematic,0.0006911326575820438
artstation galaxy,2.9059568177945045e-05
artstation hyperrealism,0.0008256343373026198
artwork,0.0022776753988873657
atmospheric lighting,0.0009376597720100065
avant garde,0.00027615718111209214
azores,0.0008934095131155017
azores islands,0.0010392487620603063
beautiful landscape,6.845523886231586e-06
beneath cherry,0.0007189336916961217
bjork,0.0008453318190382418
black,0.003230632717526981
body manga,0.0029426557999773805
body portrait,0.001746473524506988
body shot,9.269776469442783e-06
bonsai,0.0008453076590114008
bonsai tree,0.0022157916602192026
bull looking,0.0
bull modeled,1.9001576833085607e-05
butterfly volumetric,0.0009994788106375387
camera,0.0017995200749537183
candle butterfly,0.0008731909039449889
candle volumetric,0.0005587280428288535
canvas,0.0017231736653852117
castle,0.005849020402992401
castle enclosed,0.0009668155674038018
cat,0.0014720643682692867
century,0.0012679242354069757
century modern,0.0011099177445966291
character portrait,0.003140549635168726
chris foss,1.5376871355333356e-05
churches domes,0.0006471670532232901
cinematic,0.0007740574017491248
cinematic composition,0.0005854676447687345
cinematic deviantart,0.0010959365807216
city,0.0019401875932777025
cloud fashion,0.0006501283821985698
clouds,0.0011759989970493473
clouds covered,8.39966369350431e-05
clouds girl,0.0002779831407763621
clouds madeira,0.000832397034576074
collage canvas,0.0010010361208684674
colors,0.00027440298381122593
colossal,0.00026972334364769546
colossal goddess,0.0011550106318255313
comprehensive art,0.0019459902814367063
concept art,0.00406610766422427
contemporary art,0.0005698890409370872
cute fluffy,0.0010361925043550827
cyberpunk,0.002384745854319669
cyborg,0.001787603721577005
cyborg body,0.0
cyborg bull,6.641328790237965e-06
daedric armor,0.0006567679629313839
dark,0.002072663619163657
dark uncanny,0.0008425570240164525
detailed painting,0.0016464777477297526
detailed portrait,0.00034846982954878835
detailed ultra,0.005843773591630937
details intricate,0.00010736715181373574
detective pikachu,0.0012612636675325653
deviantart,0.006466760443832487
deviantart hyperrealistic,0.0008394288516132485
deviantart realistic,0.0013534655860697735
digital art,0.004138455518367303
digital painting,0.007277532333453087
digital render,0.0
divine,0.0001561507904784208
dog,0.0018815798886634826
donald,0.0007969331726646227
dragon,0.003920413187878372
dramatic lighting,0.00023666870109654182
drawing,0.0012112743876154185
dunmer nerevarine,0.001104280041855696
einstein,0.0005929368602510625
elf,0.012924267014944636
elson,0.0006286983277249014
