keyphrase,mean_abs_shap
abandoned,0.0012966346771759573
alien,0.0016620377050304467
alien planet,0.0006904256056997143
android cyborg,6.958636003642012e-06
anime,0.005308351867961473
anime colors,0.0008521377873124057
anime epic,0.0011432518865144357
armor daedric,0.0010177148537304497
art,0.012813190826880524
art artgerm,0.0013461272889147894
art city,0.0013875706619662482
art hyperrealistic,0.0009375358258879293
art josan,0.00012763691556206245
art lifelike,0.0007103087002605108
art punk,0.0005924324064661188
art realistic,0.001971173486425656
art sharp,0.002328087428799612
art smooth,0.004866510569584597
art style,0.002285730421750043
art thorough,0.0025318987804059706
art trending,0.0044870783647212075
artistic,0.0010382896307327386
artistic painting,0.0007550828760951275
artstation,1354403120260.181
artstation cinematic,0.00046561406441227845
artstation galaxy,0.0002704566368218477
artstation hyperrealism,1.984232477658694e-05
artwork,0.0004626867868370819
atmospheric lighting,0.0015250021198120556
avant garde,0.0018714371581450226
azores,0.0005884016529560192
azores islands,2.0094304941806226e-05
beautiful landscape,0.0012968233983067412
beneath cherry,0.000561702640011266
bjork,0.0010387176085857566
black,0.0027665983421905943
body manga,0.002245099921878958
body portrait,0.0012147839186461172
body shot,2.1592385662236066e-05
bonsai,0.0017284584391387646
bonsai tree,0.0016813626628881392
bull looking,5.290263804221961e-06
bull modeled,0.0
butterfly volumetric,0.0010206085885659348
camera,0.0014380408798786738
candle butterfly,0.0009645679409487335
candle volumetric,0.00020655053558260277
canvas,0.0019174642829120393
castle,0.008364154935265771
castle enclosed,0.000588734321441796
cat,0.0005353821358682697
century,0.0014567001395282436
century modern,0.0017762184779342748
character portrait,0.0028185415328401135
chris foss,0.0002480523050900929
churches domes,0.0008391825831555102
cinematic,0.0015407209051483443
cinematic composition,0.0011259297103502713
cinematic deviantart,0.0012901642824010345
city,0.0010232712870033023
cloud fashion,0.001378982867418611
clouds,0.0012692694336605822
clouds covered,0.0
clouds girl,0.0006635816045959348
clouds madeira,0.0005980712882808191
collage canvas,0.0007383184283466585
colors,0.00031801274695847365
colossal,0.0007219984842547033
colossal goddess,0.0010549352747712074
comprehensive art,0.0025037667793107667
concept art,0.003694332353949216
contemporary art,0.0006925272523609618
cute fluffy,0.0009005400006454763
cyberpunk,0.003114598034425362
cyborg,0.0019697604907019254
cyborg body,0.0
cyborg bull,6.898839380789312e-06
daedric armor,0.0011755684542040599
dark,0.003627601741646824
dark uncanny,0.0015159086319443769
detailed painting,0.001174434115061708
detailed portrait,29436704320.273106
detailed ultra,0.0015807564362022178
details intricate,0.0007529139624528656
detective pikachu,0.00025651144434547205
deviantart,0.0032740295730063064
deviantart hyperrealistic,0.0005490158448986895
deviantart realistic,0.001281965781523708
digital art,0.002651503447231707
digital painting,0.003310051986065693
digital render,0.0008567964963049877
divine,0.00022382340008235088
dog,0.0005630641560826641
donald,0.0012446501997180443
dragon,0.002690841830580004
dramatic lighting,0.0012211224980493397
drawing,0.0008233903824490854
dunmer nerevarine,0.0007934564911303609
einstein,0.0022320906724162034
elf,0.0046825515528586764
elson,0.0035093811916362305
emo,0.0006472146431206987
emo punk,0.0009642873908576615
engine,0.0011213969097152118
entries sony,0.0008875945398726826
fantasy art,0.003681384285319362
fantasy painting,0.0013562046334361236
fantasy style,7.814854201079875e-05
faroe azores,0.0017492358440506133
fashion clouds,0.0009433905300682285
fiction,0.00016379616941074294
fiction film,0.002798476299102056
fifth element,0.0014762634084645584
film,0.0026550495862223116
film neuromancer,0.00031288022293631223
flamingos,0.0006852420179957453
flowers,0.0015447419034248097
fluffy,0.003502629659084694
footage,0.0031119823708034
forest,0.0005182383344115286
frazetta,0.0029434721832858075
frazetta fantasy,0.0009922332139539057
frazetta giger,0.001959272613263226
futuristic,0.0018597327605862745
garden,0.00023985328251003606
garden intricate,0.001082473641563407
giant,0.00039515388482550136
giant digital,0.0011384078968178558
girl clouds,0.0006462448580729217
glamorous sophisticated,0.00038341683798231237
glimpse universe,0.00010959358729817103
goddess,0.0007868843556338117
goddess creative,0.0002236402614812876
goddess wearing,0.0007998401121521323
gordon,0.005923445984682778
goth,0.002050154282862608
goth emo,0.0011375703536940826
goths,0.0014954517239333025
goths loitering,0.0006834589382208736
gundam,0.00021033141745724777
gundam unreal,7.578483873725604e-05
gustav klimt,0.001257145751147561
hd,0.00040437279714816514
hd goth,0.0008116546124121289
hd painting,0.00022680052723111633
hd unreal,0.0012563428294615638
heavy detailed,0.000850691719132633
high quality,0.0023295154518181986
hills slavic,0.0007841217084940913
himalayan,0.0007153742023770257
himalayan rocksalt,0.0007857898625580822
houses,0.0009779069990560275
houses built,29436704320.27347
hyper detailed,0.0019024288859711865
illustrated,0.0016995537367941902
illustration,0.0019597031619313643
illustration art,0.005505109909644978
imposing cyborg,4.861235108713738e-06
intricate details,0.001194916039767334
intricate hyper,0.0014952579897189666
intricate royo,0.0008085524731430367
intricate volumetric,0.0007877858370313571
josan,0.00015055886098106315
josan gonzalez,0.00099331868528981
knight,0.0015172583475011566
kylie,0.0006111009451928924
kylie minogue,0.0006522233773544481
lamp,0.0006309693177143597
landscape,0.0014837920910460507
landscape colourful,0.0014013102966198582
lantern candle,0.0007634443555569246
length portrait,0.0014937111418999592
lifelike photorealistic,0.0009513934980080653
