keyphrase,adjusted_mean_shap
artstation,338600780065.05164
matte,338600780065.0459
steampunk himalayan,40769656859.114555
photography,30577242644.346733
dark,8051518962.915443
modern art,8051518962.914749
detailed portrait,7359176080.0692215
houses built,7359176080.068613
madeira faroe,340750564.7630978
futuristic,340750564.76139945
portrait,0.02909812484595668
painting,0.028830986873046825
art,0.013026337418835025
elf,0.0084969272907054
unreal engine,0.008260933812370249
saitama anime,0.007145675323283149
art smooth,0.006850379520910525
photorealistic,0.00664641994721845
goth,0.006234721193789025
surrealism,0.0057445616603383
painting beautiful,0.0055584414510779
painting sargent,0.0054633599184976
portrait male,0.005376522333077199
realistic photo,0.0050975785982685
castle,0.0050742678444463
oil painting,0.0049365387604166505
illustration art,0.00490391134693555
digital painting,0.004455968637974274
detailed ultra,0.0043853700037483
concept art,0.004355685894615925
lighting,0.004317693860327725
fantasy art,0.004302928429845575
fluffy,0.00416070602823275
deviantart,0.0040352873222908
realistic render,0.0038778209299388
screenshot,0.00386135911950265
oil,0.0038230693129235
gordon,0.0038113222280369502
photo,0.003771870728957975
sky,0.0036535002845023
camera,0.0035341215368577253
body manga,0.0033908614268314753
elson,0.0032946507383055
art trending,0.003272240783944175
frazetta,0.003242721805367125
earth,0.0031770991991938
comprehensive art,0.0031309726806338753
art sharp,0.003030340493202775
character portrait,0.0030177055423226753
design,0.0029811456962332
digital art,0.00296108182168535
art thorough,0.0029210839464173253
dragon,0.002849062733918625
black,0.002834469697604625
hyper detailed,0.002741739886590025
giant digital,0.00269917499293935
room,0.0026735906433374
painting artstation,0.0026544739015170998
anime,0.0026393787425343
fiction film,0.00258124735958
cyberpunk,0.00256310043222395
footage,0.0025217326362770333
scene,0.002518733473283825
scariest looking,0.0024983505242704
space,0.0024934725258214966
style portrait,0.0024562412849416246
world photography,0.002438489526209075
wallpaper,0.0023844508506316257
trending artstation,0.0023428709032107
atmospheric lighting,0.00233781671919215
matte painting,0.0023339908665346
high quality,0.0022914275737953987
gustav klimt,0.002240442417346475
portrait sabouts,0.0022326872367170567
body portrait,0.00221387351027535
natural scene,0.0022062763307945247
scene science,0.0021798608380527
render hyperrealist,0.002156591092495372
steampunk butterfly,0.0021379902188837503
ultra realistic,0.002136870545916875
sony,0.002103010107916425
portrait intricate,0.002095331371769575
art style,0.002078712577173825
cinematic,0.0020260425762107827
art artgerm,0.002023372551744575
science fiction,0.001985531150127025
faroe azores,0.0019700526017976
headshot edwardian,0.0019467062975855
film,0.0019465877695405498
fantasy painting,0.0019047335912418038
woman,0.00185795915155195
artwork,0.0018220286922528144
goths,0.001812066893692925
cyborg,0.001802565687309475
deviantart realistic,0.0017975599256742053
cyberpunk art,0.0017850829945547
statue,0.001777135319225725
intricate volumetric,0.00176242365671015
digital,0.0017588559836798
heavy detailed,0.0017522320306842176
illustration,0.0017311900124313629
manga,0.001725094547539975
cinematic deviantart,0.0016831000176990248
peter,0.001653433749538325
ufo,0.0016502923180417252
length portrait,0.0016403041253695999
city,0.0016335308396661502
photograph,0.0016249447401636748
photography awards,0.001609674491391175
knight,0.0016003231177695
portrait extremely,0.001577069632104725
bonsai tree,0.001543882318050775
rpg portrait,0.00152920754399435
blinders photography,0.0015290181582046
einstein,0.001523546178974675
canvas,0.001515572950595975
art realistic,0.001506157425215542
abandoned,0.0014695599392872249
detailed painting,0.001466680143464325
overcast thunder,0.00143871352927932
portrait painting,0.001431821420949825
manga illustration,0.001423515645798825
salvador dali,0.0013857225998895
dark uncanny,0.001369493346873175
movie poster,0.0013260512128174084
photo realistic,0.0013198387279853999
cat,0.0013157134805648002
art city,0.001315467334249625
sitting snowy,0.0012949228529168
movie,0.0012899405300653734
mid century,0.00128681935315455
portrait scifi,0.00127326174749835
ufo ignoring,0.00126581644748815
steampunk,0.0012559672404885498
clouds,0.001252468044234275
frazetta giger,0.0012523580528415248
traits painting,0.00125010580983665
artistic,0.0012450821372509
avant garde,0.00121828079083085
zdzislaw beksinski,0.0012141338143612252
painting character,0.001197102115626725
lightning intricate,0.0011955044186847561
colossal goddess,0.0011851332472354928
cute fluffy,0.001171007944097925
josan gonzalez,0.001156157247403625
skyrim elegant,0.001150419316031
butterfly volumetric,0.0011411656685578373
runway,0.001138597426905475
uncanny,0.0011354784013783
glamorous sophisticated,0.0011342940585044343
painting aesthetic,0.0011329998579766
painted,0.0011261651899148295
shade talking,0.0011261140240659872
dramatic lighting,0.0011247375603076703
alien,0.0011233773839150758
entries sony,0.0011182520341193
azores,0.0011144990471522
armor daedric,0.001110949475434275
garden intricate,0.001097014672060853
pikachu hannah,0.001094890046962475
flowers,0.0010892315869153668
lifelike photorealistic,0.0010891776004205
klimt,0.0010874914397985
intricate hyper,0.0010771606413135216
goth emo,0.0010750338504094
tracing artstation,0.0010736170518884749
century modern,0.001072780626512975
surreal,0.001071128928158275
fifth element,0.0010707947500535752
robot,0.00106171123144255
forest,0.00106005500879485
sony world,0.001056776668834475
wizard,0.00102711592927715
hd,0.0010198663842526999
anime epic,0.00100614383070035
bjork,0.001004362129976875
pink bonsai,0.0009952330284254546
hd goth,0.0009918585100554748
nerevarine,0.000987013652272925
artstation cinematic,0.000985293130888775
dunmer nerevarine,0.0009808033728461
peter elson,0.000980262232915
volumetric lighting,0.000980190588740325
intricate royo,0.00097756698554815
beautiful landscape,0.0009693580491037081
snowy,0.0009581245083646
hd painting,0.0009535950821167499
saitama,0.0009508509390156456
vallejo frazetta,0.0009463882975284
modern,0.0009455894926662999
anime colors,0.0009454756701744
male dunmer,0.00094388767604755
wallpaper illustration,0.0009296110951672
engine,0.0009280712383436809
oblivion skyrim,0.0009186326256297
vivec portrait,0.0009141348906312
detective pikachu,0.0009100098787300796
century,0.0009082081249783667
painting lush,0.0009066816749308356
landscape,0.000905591538848034
painting deviantart,0.00090287512697955
gundam,0.0008835204853251
wearing cloud,0.0008741227353437001
portrait painted,0.000850835605160325
clouds madeira,0.0008507607740998249
puppy,0.000849231908383525
bosch,0.0008476711650731
daedric armor,0.0008419474584203
octane render,0.000839804539049875
surreal concept,0.0008240525802178751
deviantart hyperrealistic,0.0008152490110675749
dog,0.0008151136393801153
frazetta fantasy,0.0007974610561058667
portrait photograph,0.00079152274243415
emo punk,0.0007871608010287665
punk portrait,0.0007707634817279627
cinematic composition,0.0007669215257455483
painting ronny,0.0007649630432366999
illustrated,0.0007582036007390667
painting peter,0.0007550383772334927
style contemporary,0.00075462057492725
uncanny painting,0.000748077607050946
art josan,0.000741096705815447
drawing,0.0007236899345342
marble hourglass,0.0007176029172552145
cloud fashion,0.0007111899287194665
photorealistic digital,0.000701479788744575
hd unreal,0.00070098525228575
lantern candle,0.0007005000052140999
low clouds,0.0007003802995008251
candle volumetric,0.00069256555719375
bonsai,0.0006871785831693784
fantasy style,0.0006728533791796834
picasso hair,0.000668520003636875
donald,0.0006635884379703909
portrait ancient,0.0006595795829682
emo,0.0006457460946768333
painting unreal,0.0006294561577563
houses,0.000626960818601633
stars,0.0006198574586431119
art lifelike,0.000615569714527125
surrealism surreal,0.0006155565648731
garden,0.000615505397547325
collage canvas,0.000610652242604675
phyics entries,0.0006069013386841754
pixar,0.0005972851844925
punk art,0.0005900143234051
picasso,0.0005878065546136
photograph divine,0.0005738435781424175
lighting hd,0.0005708723775871655
art hyperrealistic,0.0005635598867211876
goddess,0.0005571092329056
details intricate,0.0005508485568223513
azores islands,0.0005291961473825684
goths loitering,0.0005242537205829251
starmaker,0.0005238016612497749
castle enclosed,0.0005185166296151667
candle butterfly,0.0005178867817836058
intricate details,0.000516011862986325
wooden churches,0.0005018840333432757
churches domes,0.0004954498787928999
fashion clouds,0.0004944212691234438
beneath cherry,0.00049327335116215
landscape colourful,0.0004850601971119671
hills slavic,0.00043855932015933333
studio ghibli,0.0004249107747882071
einstein portrait,0.0004223783283239
comic book,0.0004175847760996
divine pink,0.0004160949137176
pablo picasso,0.000414565643798575
starmaker matte,0.0004131446917738245
kylie,0.00039969640308526667
tall castle,0.0003968727077569667
pink flamingos,0.0003943331548433281
art punk,0.00039405239880768033
contemporary art,0.00038826805129342013
photorealistic highly,0.000373463384716
neuromancer,0.000370305961089
log houses,0.0003575208978958621
kylie minogue,0.0003486122755626502
gonzalez,0.0003473956492875
himalayan,0.00034528367323242504
minogue,0.0003415276176849333
painted pablo,0.00033841918617273723
science,0.000336981187582325
