keyphrase,mean_abs_shap
abandoned,0.0003216615199263459
alien,0.00024871361073354324
alien planet,0.0
android cyborg,0.0002776210823976085
anime,0.009957551100183407
anime colors,1.5923910821654112e-06
anime epic,1.9951850890165023e-06
armor daedric,0.0
art,0.0012132036152064343
art artgerm,0.0015524864301391687
art city,0.0
art hyperrealistic,1.6569027522455676e-06
art josan,0.00032758564531130117
art lifelike,0.000256946059322675
art punk,8.497787449738474e-06
art realistic,0.00034848640011080724
art sharp,0.0002316754373090044
art smooth,1.3744775083238118e-05
art style,0.0002421557508522142
art thorough,0.0
art trending,0.0003369247888036082
artistic,0.00030056465976274933
artistic painting,0.0007177387794212399
artstation,0.0004326981441040297
artstation cinematic,0.00027146700072901587
artstation galaxy,1.9115090026867363e-06
artstation hyperrealism,0.005172345332978474
artwork,0.00036006537628917773
atmospheric lighting,0.0
avant garde,0.00028328360016498596
azores,3.338679320774095e-05
azores islands,2.849032517453557e-05
beautiful landscape,3.239166227519955e-06
beneath cherry,0.0003339083500465659
bjork,2.1971177940704418e-05
black,0.00023260825790521976
body manga,0.0
body portrait,0.00029350033484138984
body shot,0.00031547304467193887
bonsai,0.0015480550949223254
bonsai tree,0.00030241934310452104
bull looking,0.0003071273400502848
bull modeled,0.00036008068088660104
butterfly volumetric,0.00022504800388487394
camera,0.000314106403359602
candle butterfly,0.000684486120937563
candle volumetric,0.0
canvas,0.002363846937004512
castle,0.0016349292926603903
castle enclosed,0.00032463516363271267
cat,0.0029752397967940402
century,0.0007556806644397339
century modern,2.6047226908418616e-05
character portrait,0.0003274677741649099
chris,3.0016592384912924e-06
chris foss,4.923855058934526e-06
churches domes,0.00023377081264336732
cinematic,0.00021804107917823735
cinematic composition,0.003592756925132664
cinematic deviantart,0.002905720052612281
city,0.0007852798387039
cloud fashion,0.00030675913360656514
clouds,0.0016629121165911602
clouds covered,0.00029663034427716096
clouds girl,0.0002626346728807403
clouds madeira,0.0015440660675923883
collage canvas,9.232603000032567e-07
colors,0.0
colossal,2.844016937383546e-06
colossal goddess,2.1531795542511628e-06
comprehensive art,0.000357050909619483
concept art,0.0003309987552982905
contemporary art,0.00011116493077407596
cute fluffy,0.0008044643885713988
cyberpunk,0.00790354590927682
cyborg,0.001333951317991132
cyborg body,0.000331719693929766
cyborg bull,0.00038665586391253696
daedric armor,0.0002932672162147732
dark,0.0016173159841342572
dark uncanny,0.0003041184619923682
detailed painting,0.0020575880473612004
detailed portrait,5.55895804038428e-07
detailed ultra,0.0027673125841757213
details intricate,3.2004567734687187e-06
detective pikachu,0.000898028301763136
deviantart,0.006973239360728903
deviantart hyperrealistic,0.0
deviantart realistic,0.001537186857891255
digital art,0.0003390921281385118
digital painting,0.00043832694965009966
digital render,0.0
divine,0.0002822697545783826
divine pink,0.00030042020498637854
dog,0.0017880109656034442
donald,0.001411946651037862
dragon,0.0023265586421767656
dramatic lighting,0.00043904032823762
drawing,4.547536772388284e-05
dunmer nerevarine,0.00030825644282681344
