keyphrase,mean_abs_shap
abandoned,0.0011834274795388816
alchemical creatures,0.0005424476371109844
alien,0.0017376410602294402
alien planet,0.0005390731270982882
android cyborg,0.0
anime,0.012976606252700846
anime colors,0.001170376530547708
anime epic,0.004056979657643644
armor daedric,0.002916462406268781
art,0.011561302709868607
art artgerm,0.003964316389124099
art hyperrealistic,0.0001027434846742367
art lifelike,0.0024197335161272003
art punk,0.0018573211806795814
art realistic,0.0005258638841320315
art sharp,0.0024545611064277053
art smooth,0.0029575692339255575
art style,0.0024272444719809962
art thorough,0.0027912858835509474
art trending,0.0027369271760688606
artistic,0.0009964007657866534
artistic painting,0.005034334297512741
artstation,0.012268906999242732
artstation cinematic,0.002542346659668061
artstation concept,0.00043900439661831116
artstation galaxy,0.0015197408590734342
artstation hyperrealism,0.008980449546244308
artwork,0.0033282664806086257
atmospheric lighting,0.0014632237063896
azores,0.0
barbarella,0.0006679511011029794
beautiful,0.0004982497956865476
beautiful landscape,0.0004799251849244636
beksinski,0.0031343184669821843
beneath cherry,0.0009819544224000268
bernard simunovic,0.0020111916051680483
bjork,0.002298531859621362
black,0.0031390036676915193
blinders photography,0.0009998544065033903
body manga,0.001599495221921078
body portrait,0.004287246778077934
body shot,3.5344086042661933e-05
bonsai,0.0031318656738875887
bonsai tree,0.0017520282358208775
bull looking,0.0
bull modeled,0.0010715387837563766
butterfly volumetric,0.002538198936940444
camera,0.0002753340770743232
candle butterfly,0.000302104033188054
candle volumetric,0.0022859860272190858
canvas,0.007481561040872097
castle,0.004258374078094979
cat,0.005017003006115323
century,0.00030801782109882565
century modern,0.0031501409081551657
character portrait,0.0034014366265048153
cinematic,0.0034148643478986275
cinematic composition,0.004838901852344275
cinematic deviantart,0.0039362983053350085
city,0.0024257089192948737
clouds,0.0056531648106083075
clouds madeira,0.0018855543295132537
collage canvas,1.2347815818700825e-05
colors,0.0018784949260089465
colossal,0.00018007521103535876
colossal goddess,0.00047507763979470286
comprehensive art,0.007142484244318834
concept art,0.0164419692538151
contemporary art,0.0012433398215839356
cosmic,0.002309065537331934
creatures surreal,6.72603755927517e-05
cute fluffy,0.002847829280538627
cyberpunk,0.009288474838178951
cyborg,0.0032585534931612514
cyborg body,6.633078694129319e-05
cyborg bull,0.0
daedric armor,0.001967477208695226
dark,0.004136357972308472
dark uncanny,0.0014217345439232116
detailed painting,0.002294233390943512
detailed portrait,0.0024585911670889434
detailed ultra,0.006581138565754396
detective pikachu,0.0010214104669469476
deviantart,0.004865763706708725
deviantart cinematic,0.0009803837323271473
deviantart hyperrealistic,0.0016460148817481319
deviantart realistic,0.002962469106013106
digital art,0.004348093601192613
digital painting,0.005926923381469845
digital render,0.0004216466809108776
divine,0.0003271055265348944
divine pink,0.0014584742559023002
dog,0.004053160378348847
donald,0.0021508106432788633
dragon,0.004081741623011173
dramatic lighting,0.002748739262568999
drawing,0.0004483712467159163
dunmer nerevarine,0.001250665064239152
edwardian photograph,0.0008078729643117662
einstein,0.002240684240066995
elf,0.0024625517711010497
elson,0.0014337400874234103
emo,0.0005816675792948167
emo punk,5.571829886418096e-07
engine,0.0027841234275439693
entries sony,0.002192909079602717
fantasy art,0.002954592807009367
