keyphrase,mean_abs_shap
abandoned,29551136339.064487
alien,0.0005096665605596572
alien planet,0.000553602455478503
android cyborg,4.6160889434434095e-05
anime,0.020388630169540088
anime colors,5.425440750728997e-05
anime epic,0.0006199379729228533
armor daedric,0.0005208428531517524
art,0.009799389321073127
art artgerm,0.0023566749082038433
art city,6.089872869843878e-06
art hyperrealistic,0.0006510207000257627
art josan,0.00033678866996162527
art lifelike,2.5335796046790745e-05
art punk,0.0009347002626900324
art realistic,0.00041623463568980925
art sharp,0.0008123718332920508
art smooth,0.0009965623257251815
art style,0.000854492008870841
art thorough,0.0007561439886092307
art trending,0.0009106471950490725
artistic,0.0009687073317604844
artistic painting,29551136339.064342
artstation,0.004930964130155965
artstation cinematic,0.0011528551464671261
artstation galaxy,0.000748591402773167
artstation hyperrealism,0.005775739363026307
artwork,0.002310536924427794
atmospheric lighting,0.0006084620054771021
avant garde,1.6151830193459878e-05
azores,0.00029113536191715937
azores islands,0.00045063168484375967
beautiful landscape,0.0005745193107816014
beneath cherry,0.0007883727005059353
bjork,0.0007200016149285669
black,0.00177525667494472
body manga,5.659378020698907e-05
body portrait,0.0007638288116951916
body shot,2.102368423092119e-05
bonsai,0.0028323527836257253
bonsai tree,0.0013230005845188517
bull looking,7.189889308874388e-05
bull modeled,0.0001095006199826967
butterfly volumetric,2.336767088864481e-05
camera,0.00046425722099451087
candle butterfly,0.0008593157765725488
candle volumetric,0.0007479105179413891
canvas,0.005983796619904026
castle,0.0030108636757345307
castle enclosed,8.356302121913533e-05
cat,0.005022844828033191
century,0.0012327350299528757
century modern,0.0012616539252465141
character portrait,0.0010245277044395589
chris,0.0003089839223610444
chris foss,0.00010577756747990102
churches domes,9.449523597462326e-05
cinematic,0.0012150386075287201
cinematic composition,0.006724487455061194
cinematic deviantart,0.003286734316475524
city,0.0012362948119207762
cloud fashion,0.0005534679089154629
clouds,0.004568327477536187
clouds covered,0.0006552484281049451
clouds girl,0.0007034297787234827
clouds madeira,0.00042848238475526757
collage canvas,0.0009380633677745043
colors,0.0007062716934071854
colossal,0.0005896128136019694
colossal goddess,0.0006211107500936631
comprehensive art,0.0014438919467736108
concept art,0.0038543298681515616
