keyphrase,mean_abs_shap
abandoned,0.0009541103055139725
alien,0.0008084541772126545
alien planet,2.6335609104097754e-06
android cyborg,0.0010830853979126708
anime,0.009448918885604802
anime colors,0.000732180999731029
anime epic,0.001826052849096719
armor daedric,0.0014252082808182756
art,0.006125159485512166
art artgerm,0.0018095717840980918
art city,0.0008145380976145778
art hyperrealistic,0.0
art josan,0.0015265719831899368
art lifelike,0.00021541744182424565
art punk,0.0005446283263126072
art realistic,0.00037707635256303715
art sharp,0.0012432633004435252
art smooth,0.0015570385041987838
art style,0.001274651557791117
art thorough,0.0009475329816575841
art trending,0.002447335154198831
artistic,0.00011072104176532908
artistic painting,0.00011589590093797578
artstation,0.00560482072029097
artstation cinematic,0.0019783385188585296
artstation galaxy,0.0012882115422135952
artstation hyperrealism,0.002962196707303034
artwork,0.004833231920889243
atmospheric lighting,8.03412456033002e-06
avant garde,6.343212106469908e-05
azores,0.0014591804151642491
azores islands,0.0005619144697705358
beautiful landscape,6.147452959482e-06
beneath cherry,0.001673083334882746
bjork,0.000809275940584789
black,0.0016703129796138397
body manga,0.0014173137389470222
body portrait,0.0011776603230805424
body shot,0.0009098217506921863
bonsai,0.00044337035747885956
bonsai tree,2.4820690747809065e-05
bull looking,0.0011057659732785837
bull modeled,0.001130016581294472
butterfly volumetric,0.0003521459152849835
camera,0.0012943814422943145
candle butterfly,3.7515439296774815e-05
candle volumetric,0.00012839658543232804
canvas,0.002922670688181428
castle,0.0034319911826038454
castle enclosed,0.00021191682587215252
cat,0.005294319878242278
century,0.0014378921971680866
century modern,0.0013373847745626471
character portrait,0.001305176149408475
chris,0.00030971208341839347
chris foss,0.0004293357121200209
churches domes,0.0001459032943293354
cinematic,0.002037556844751943
cinematic composition,0.008602352171213436
cinematic deviantart,0.001362608140749605
city,0.0036135062359370215
cloud fashion,2.4546438212317414e-05
clouds,0.0023606701167966045
clouds covered,0.00011634665304042133
clouds girl,9.652571517609312e-06
clouds madeira,0.0025747227513531912
collage canvas,0.00050969642997372
colors,0.001180361387981654
colossal,0.0008452750454012228
colossal goddess,0.0009170326993785389
comprehensive art,0.0024701907763264785
concept art,0.006522268938290817
contemporary art,0.0004354975016512628
cute fluffy,0.0019868759829996434
cyberpunk,0.009358367064990028
cyborg,0.003094802183250803
cyborg body,0.0012993733764036363
cyborg bull,0.0010482019268896153
daedric armor,0.0006515871896843844
dark,0.0020005399795943657
dark uncanny,0.0019386898252658751
detailed painting,0.002346313259818659
detailed portrait,3.419780797952061e-05
detailed ultra,0.005186104062367219
details intricate,0.0004580684613580139
detective pikachu,0.001288727194211398
deviantart,0.001639638949862231
deviantart hyperrealistic,0.0014941898804939691
deviantart realistic,0.0014533298010516243
digital art,0.004401869816518132
digital painting,0.003394068466572884
digital render,1.425337231239931e-05
divine,0.0008919154354004022
divine pink,0.0008241993009493452
dog,0.00295546410923487
donald,0.001509341015092536
