keyphrase,adjusted_mean_shap
artistic painting,7387784084.767552
abandoned,7387784084.766737
film,3201477813.6454086
male dunmer,3201477813.6127386
portrait,0.044718497073244476
painting,0.015855594012719874
matte painting,0.0135930976765051
anime,0.01319292660200725
painting sargent,0.012597427810281324
cyberpunk,0.009038558944540025
art,0.00717476378291505
steampunk,0.006945259380332324
saitama anime,0.006935857008213276
concept art,0.0067873917038889005
high quality,0.005941828678059975
cinematic composition,0.005939624600937825
artstation,0.005809347498448375
fiction film,0.005747840873218149
artstation hyperrealism,0.005722682737388
manga,0.005046281286589175
illustration art,0.004835952729658075
photorealistic,0.004792960301103899
canvas,0.004687968821490474
cat,0.00457735187729615
deviantart,0.0045010332549503505
food photography,0.0044336425908986
detailed ultra,0.004294445358811425
scene,0.0040762355040739
knight,0.003960205235625267
gustav klimt,0.0037448735541259002
landscape,0.003661018435845125
clouds,0.003561268630383025
dragon,0.00353752712132275
mid century,0.003503278349496525
footage,0.00348087587306385
portrait painting,0.0033752160467702243
lighting,0.003288665569572575
trending artstation,0.0032503640521183
photograph,0.003154838587429275
beksinski,0.0031343184669821
goddess,0.0030978324245873
castle,0.0030840395572733752
detailed painting,0.003037272160481825
digital painting,0.00302936179459
digital art,0.0029320457186681748
dog,0.00291520929091845
cinematic deviantart,0.002872840203793075
comprehensive art,0.00285340446925955
statue,0.00278795038970615
intricate details,0.002733910679306775
artwork,0.00270802517555365
cyborg,0.002676563128393075
photography,0.00267098261786875
ultra realistic,0.00261261842207125
dark,0.002544694300435725
neuromancer,0.00247211244900535
fantasy art,0.002445025384072325
art artgerm,0.0024207623778912247
film neuromancer,0.00236545847619455
oil painting,0.002348969041201275
natural scene,0.002340312223752275
painting beautiful,0.0023300437505095004
cosmic,0.0023090655373319
unreal engine,0.002307297689021383
zdzislaw beksinski,0.0022966686637404
movie,0.00226068959702275
world photography,0.002256901638576975
painting peter,0.0022422999397269
realistic cinematic,0.0022013343491016
spaceship,0.0022008581612687
goth,0.002168164117922975
puppy sitting,0.0021437886313647
peter elson,0.002140981552917875
donald,0.0020762460573341
city,0.0020151974514641
bernard simunovic,0.002011191605168
deviantart realistic,0.0019975300432035
bonsai,0.001988910977478575
nerevarine,0.001978117724759275
