keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0001249524230529332
alien planet,0.00018186708504468765
android cyborg,0.000254174755162745
anime,0.00044432119669457866
anime colors,1.0140751052733718e-06
anime epic,0.0002426021235253497
armor daedric,0.0
art,0.00037482849057723135
art artgerm,0.0025644121218673602
art city,0.0001447276434772373
art hyperrealistic,0.0001901694740565303
art josan,2.3643774225798388e-06
art lifelike,0.0001876037502536346
art punk,0.0002335246543250463
art realistic,3.05874826275547e-06
art sharp,1.2761023773827187e-06
art smooth,0.0006615867614775986
art style,0.0002105126992502027
art thorough,0.000169209897138021
art trending,0.00028607945485325945
artistic,0.00017425340590554645
artistic painting,0.0002608753358414069
artstation,0.0007237077119433966
artstation cinematic,0.0
artstation galaxy,0.0
artstation hyperrealism,0.0034981379681849234
artwork,3.85631924421424e-06
atmospheric lighting,0.00024625739192390354
avant garde,0.0
azores,3.0902620338466705e-06
azores islands,0.0
beautiful landscape,0.00018563606666172647
beneath cherry,0.000468367929660447
bjork,0.0002331766525957158
black,0.0
body manga,0.00014057498376475054
body portrait,0.00020628671451677994
body shot,8.780413861254204e-06
bonsai,0.0018687141919815876
bonsai tree,0.0001708954717928836
bull looking,0.00027577208174913044
bull modeled,0.0001403101801233228
butterfly volumetric,0.00015605601415231423
camera,0.0
candle butterfly,0.00018087187735261302
candle volumetric,0.0
canvas,0.00018991440110939224
castle,0.0004440400987919232
castle enclosed,0.0002106506947302317
cat,0.0009969449005684384
century,0.0005013246088097168
century modern,0.0002554598122120649
character portrait,0.00020412111523700007
chris,0.0001438743216869051
chris foss,0.0
churches domes,0.00017306637501970015
cinematic,0.00020894170742311656
cinematic composition,0.003714115845003931
cinematic deviantart,0.0006764225846072407
city,0.0011792305098468514
cloud fashion,0.00015531323635623422
clouds,0.0015693542357168697
clouds covered,9.908008066435912e-05
clouds girl,0.00020717034578235266
clouds madeira,0.002553518266012444
collage canvas,0.00017318422037146435
colors,0.0
colossal,5.226462884428487e-07
colossal goddess,0.0
comprehensive art,0.00020027895294717562
concept art,0.0016296935140278064
contemporary art,0.0002058240832604062
cute fluffy,0.00021568509533315174
cyberpunk,0.001211267897032784
cyborg,0.0011720386716642754
cyborg body,0.0
cyborg bull,0.0
