keyphrase,mean_abs_shap
abandoned,0.002668179273206737
alchemical creatures,0.00018240754401285193
alien,0.0016430496501217914
alien planet,3.820462239078469e-05
android cyborg,3.017815992360034e-05
anime,0.0034291546118074894
anime colors,0.0010334181681009797
anime epic,0.001101418676033619
armor daedric,0.001949834698873271
art,0.014461951787720232
art artgerm,0.00242576858329259
art hyperrealistic,0.0010608403031407306
art lifelike,0.002127513074018299
art punk,0.0019813357385214453
art realistic,0.000580061898976857
art sharp,0.0035399054403491667
art smooth,0.0038570394913624412
art style,0.0016987887597918533
art thorough,0.0004362361271248003
art trending,0.0031182317190230828
artistic,0.0002495194634093197
artistic painting,0.0016611330437605266
artstation,0.006198909111156613
artstation cinematic,0.0020410582660958785
artstation concept,0.0011920183604830408
artstation galaxy,0.00011818995309879729
artstation hyperrealism,0.007808052049429187
artwork,0.003170490913091338
atmospheric lighting,0.0009221813880658273
azores,0.0010194922442674193
barbarella,4.405326581935389e-05
beautiful,0.0006891195042449206
beautiful landscape,0.00019230652571049778
beksinski,0.002492237189640173
beneath cherry,6.359738589999549e-05
bernard simunovic,0.0012511748394706279
bjork,0.0012893761738457298
black,0.004606715095954608
blinders photography,0.0026855414392846014
body manga,0.00017048291410195874
body portrait,0.0003921416875955369
body shot,7.790962050809083e-05
bonsai,0.003888820719966438
bonsai tree,0.0011848515627278671
bull looking,0.0
bull modeled,0.0011990019022381554
butterfly volumetric,0.0027588314807427436
camera,0.00044843729812894193
candle butterfly,0.002199401518870209
candle volumetric,0.0015310513042720727
canvas,0.006419136034553871
castle,0.0046114263842382056
cat,0.0037588639501291736
century,0.0014118103973622092
century modern,0.0053588364398061035
character portrait,0.0025641942331605413
cinematic,0.004222139061428239
cinematic composition,0.010471833396562621
cinematic deviantart,0.002013442786434949
city,0.0031456714899617652
clouds,0.00773525592069324
clouds madeira,0.00444727056536545
collage canvas,0.0012264464021640403
colors,0.0021406601311781902
colossal,8.444050765787133e-05
colossal goddess,0.0005675002985816595
comprehensive art,0.0033179157271491294
concept art,0.010930104378189425
contemporary art,0.0016219998239042825
cosmic,0.00034723863460084213
creatures surreal,0.0001260032833141525
cute fluffy,0.0009874146747487346
cyberpunk,0.006025435159639253
cyborg,0.002336203207418841
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0008960408953600467
dark,0.0053514385557489755
dark uncanny,0.0005892643124502621
detailed painting,0.0017172831179959641
detailed portrait,0.001599470401616694
detailed ultra,0.00602290807519644
detective pikachu,0.0011380115297246164
deviantart,0.004165851438121244
deviantart cinematic,0.0006041312952207843
deviantart hyperrealistic,0.0004056801327098214
deviantart realistic,0.006057660694889714
digital art,0.006470300859178601
digital painting,0.0069369785759276995
digital render,0.001349605552669087
divine,0.0017440716441934677
divine pink,0.0017139568962071172
dog,0.0038262467245776715
donald,0.002847269498419417
dragon,0.0032642656186566816
dramatic lighting,0.001777917712982885
drawing,0.0006605522401169806
dunmer nerevarine,0.00018042190423231454
edwardian photograph,0.002954220882347613
einstein,0.0040356094141829725
elf,0.0034189631327963964
elson,0.0016935559505350814
emo,0.0007194618308561245
emo punk,0.0012855276176290064
engine,0.0010748863000638734
entries sony,0.0010265564064643208
fantasy art,0.0050974741263289484
fantasy painting,0.0010941274689232686
fantasy style,0.001306643928284164
faroe azores,0.001826815038316566
fiction,0.001462052219518659
fiction film,0.004214237917911802
fiery alchemical,0.0
fifth element,0.004779414813151767
film,0.013206124317052018
film neuromancer,0.0017990733828707117
flamingos,0.00204687415326476
flowers,0.0010210640802573803
fluffy,0.0014093075143361124
food photography,0.007817156437761607
footage,0.00543505948557936
forest,0.0034654423513557197
frazetta,0.0007460324300530815
frazetta giger,0.0007657955539519945
futuristic,0.0021878394393223116
garden,0.002030790074518339
garden intricate,0.002015280952886715
giant digital,0.0006068153819187541
glamorous sophisticated,0.0011281257908898061
goddess,0.011145749504496308
goddess creative,0.00027161749568814926
gordon,0.004115445878814131
goth,0.0011200003772542683
goth emo,0.0019348095266007164
goths,1.8421940742762758e-05
goths loitering,0.0005057020957263117
gundam,0.004530341477651677
gundam unreal,0.0007885448771107967
hd,0.0010759120492009522
hd goth,0.0018582798503873601
hd painting,0.000327586071762665
hd unreal,0.0002712593506089842
headshot edwardian,0.002405344195602141
heavy detailed,0.0017184395503257604
high quality,0.006997513527729929
himalayan,0.002060159507938792
himalayan rocksalt,0.0007085435309305019
houses,0.001507890108017754
houses built,0.0008523909143881985
hyper detailed,0.001199279287567483
illustration art,0.004858395339058417
imposing cyborg,3.909202660099943e-05
intricate details,0.0023917189262640365
intricate hyper,0.0006378498795828021
intricate royo,0.0011042225061255728
intricate volumetric,0.0007216768736777174
jacket black,0.0011997715290095197
josan,0.00240677455382534
josan gonzalez,0.00338560556046954
kylie,5.884268642102097e-06
kylie minogue,0.0004051018447861074
lamp,9.498824673591212e-05
landscape,0.003676189201484238
landscape colourful,0.0008305129361581126
lantern candle,0.00341933740038307
length portrait,0.001492561845136681
lifelike photorealistic,0.0013030952449418565
lighting,0.00384772398659147
lightning intricate,0.00203998793718501
log houses,0.0014627827589780598
looking camera,0.0002174961747346937
low clouds,0.0010220669359628717
madeira faroe,0.005705741983545645
male dunmer,3.434808142498366e-05
manga,0.0065018113900787685
manga illustration,0.0009202416082057466
marble hourglass,0.0015166966472349903
matte,0.0023431426956042113
matte painting,0.004665432526181973
media collage,0.0014288356057124553
mid century,0.0039003805949298755
mila kunis,0.00019374209812951057
minogue,2.2544099482940172e-05
minogue barbarella,0.0006162831780866506
mixed media,0.001423812594532671
modern,0.00045525346429311196
modern art,0.00105857616809536
movie,0.005794092492197391
movie poster,0.0017071440520562134
natural scene,0.003268306868755218
nerevarine,0.0027041479520797285
neuromancer,0.003492728469932017
oblivion skyrim,0.0001096287362883687
octane render,0.004175016927162539
oil painting,0.005359190516224791
overcast thunder,0.004297257767142022
pablo picasso,0.0013053111564553198
painted,0.002496739805518247
painted pablo,0.0017148351652261954
painting,0.019610472998752067
painting aesthetic,0.0024708603955160796
painting artstation,0.0043498259940593365
painting beautiful,0.0020630525572752248
painting character,0.003081360116472311
painting deviantart,7.260942116557065e-05
painting lurid,0.0007033891303869263
painting lush,0.00256552162148598
painting peter,0.008829688489034796
painting ronny,0.00208576343830044
painting sargent,0.01437694023063824
painting stalenhag,0.005516310960497443
painting unreal,0.0010674536484509194
peter,0.0014591683921554664
peter elson,0.002971067848247866
photo,0.0029046989982898577
photo realistic,0.001450271626609001
photograph,0.004959781082935552
photograph divine,0.004819280319832696
photography,0.00460730520398648
photography awards,0.0018350138843890498
photorealistic,0.007550887829385484
photorealistic digital,0.0032475977158730493
phyics entries,0.004637278077290472
picasso,0.0021092176333987064
picasso hair,0.001056767335250392
pikachu hannah,0.0023795717953527203
pink bonsai,0.0016422706532804674
pink flamingos,0.0009968446564100157
pixar,0.0006852442770379524
pixie cut,0.00013381811865612178
portrait,0.04875326674941103
portrait extremely,0.004484932483750885
portrait intricate,0.00319997711680705
portrait male,0.0011473684737615321
portrait painted,0.006657719192342195
portrait painting,0.010231317766392908
portrait photograph,0.0019478894178586077
portrait sabouts,0.0026645985680680646
portrait scifi,0.006385488521095944
punk art,0.0012731996997942053
punk portrait,0.0012246224707761137
puppy,0.00046917555870844654
puppy sitting,0.002014287244860947
realistic cinematic,0.0016517179439351562
render hyperrealist,0.0008004302589729356
robot,0.004227022238372665
rocksalt lamp,0.00026000682325726294
room,0.0005261162736998678
rpg portrait,0.0033934956927377936
ruins,0.001777898624954361
runway,0.0020915365292494704
saitama,0.00042773516581535537
saitama anime,0.0005171015349765072
scariest looking,0.0015593078925904354
scene,0.006863000718678655
scene science,0.0014039054115647653
science,0.0006621383391684781
science fiction,2.472331252411862e-06
screenshot,0.0007663723820886087
shade talking,0.001534624380514678
sitting snowy,0.00024101447203232933
sky,0.002534411031610309
skyrim elegant,0.0016321599047473992
snowy,0.0005500604478426417
sony,0.004280286885143828
sony world,0.001745745378689832
space,0.0026781873943719035
spaceship,0.0005113379275721787
starmaker,0.0006919889077023257
starmaker matte,0.0008022010175492484
stars,0.0006484382012551765
statue,0.0038364478537509417
steampunk,0.01024285991868678
steampunk himalayan,0.002140968147506998
studio ghibli,0.0014074933302406234
style contemporary,0.002660798313294825
style portrait,0.0017792733128893703
surreal,0.0021067958204601957
surreal concept,0.0039696356463782
surreal dark,2.5813677648789664e-05
surrealism,0.0018878910069178843
surrealism surreal,0.0016608261906083878
tracing artstation,0.0006241748084063583
traits painting,0.0012591570394756702
trending artstation,0.0032401219301394276
ufo,0.0015413562568776947
ufo ignoring,0.0016467772829956468
ultra realistic,0.001975469137548688
uncanny,0.0019048530386903434
uncanny painting,0.0005423768473636131
unreal engine,0.003666726709354368
vallejo frazetta,0.0018573021642669073
vivec portrait,0.0
volumetric lighting,0.0006970085120313118
wallpaper,0.0025051587425852424
wallpaper illustration,0.0018220689226679943
wizard,0.0010075408375495607
woman,0.0017339073496008563
world photography,0.003831051162729588
zdzislaw beksinski,0.0024967467950854274
