keyphrase,mean_abs_shap
abandoned,0.0008759858437597788
alien,0.0012308404545798679
alien planet,6.003624249411483e-05
android cyborg,5.583751384728288e-05
anime,0.0037479305673689227
anime colors,1.9937269959008455e-05
anime epic,6.9445708910085025e-06
armor daedric,8.907512867292687e-05
art,0.006498850584365062
art artgerm,0.004668813967137971
art city,0.0006219756589658383
art hyperrealistic,9.142594282117902e-05
art josan,0.00043856366245143826
art lifelike,0.0005460458118121709
art punk,1.5454394126764494e-05
art realistic,0.0004633036106882001
art sharp,0.000744295679563789
art smooth,0.003522938914841315
art style,0.0009957494567718788
art thorough,0.0001589629818644869
art trending,0.0013335508805193922
artistic,0.00017577621220623286
artistic painting,0.0002860373047411833
artstation,0.006158384773701957
artstation cinematic,0.001313054363717222
artstation galaxy,1.4776245304976041e-05
artstation hyperrealism,0.0060426847731153595
artwork,0.0029130248697005223
atmospheric lighting,9.839159980402192e-05
avant garde,0.0004076837598407683
azores,58679151838.64106
azores islands,6.430551979352365e-05
beautiful landscape,0.0007583141855606058
beneath cherry,0.0008310875989653223
bjork,4.946484959330884e-05
black,0.0012581921668434193
body manga,2.5875716172573436e-05
body portrait,0.000775010613462198
body shot,0.0001287363677365096
bonsai,0.003864225583237624
bonsai tree,0.0015261316238832448
bull looking,6.457208205161266e-05
bull modeled,7.385817573528644e-05
butterfly volumetric,0.0006040849112696763
camera,0.0009662752229352437
candle butterfly,0.0005164929579293275
candle volumetric,0.0006449480619083924
canvas,0.00283876340511339
castle,0.0018360950449379083
castle enclosed,1.0439371651175072e-05
cat,0.0019419443083837989
century,0.001602482852659977
century modern,0.00048074164888658257
character portrait,0.0018316424639673516
chris,0.00025855788849838486
chris foss,3.861180816462491e-05
churches domes,8.099673869863015e-05
cinematic,0.0016321491202915838
cinematic composition,0.008241534948197623
cinematic deviantart,0.0013204623326236351
city,0.002953031467462711
cloud fashion,0.0
clouds,0.0033152143942293275
clouds covered,0.0009542804935043773
clouds girl,0.0
clouds madeira,0.0010892974509379846
collage canvas,8.390265677019515e-06
colors,0.0011585261504190266
colossal,0.0006089858852393456
colossal goddess,0.0005142276911225832
comprehensive art,39842261990.47354
concept art,0.007279394651870388
contemporary art,0.0
cute fluffy,0.0013056225664062782
cyberpunk,0.004071800119134099
cyborg,0.003818433597092668
cyborg body,6.447478055389239e-05
cyborg bull,0.00017285334613307285
daedric armor,0.000553760459637569
dark,0.0037926589220859275
dark uncanny,0.0007554905389377976
detailed painting,0.005486808398251712
detailed portrait,0.0008101734099605612
detailed ultra,0.0037714043567370166
details intricate,0.0019528948119131456
detective pikachu,0.0015345467764489086
deviantart,0.0012912411929607399
deviantart hyperrealistic,8.477987985804558e-06
deviantart realistic,0.00433439629135145
digital art,0.006184936111951868
digital painting,0.003049018385712839
digital render,8.977966623777924e-06
divine,0.00017580649899367595
divine pink,0.00010826727433378349
dog,0.002449501383467589
donald,0.0023548427104528595
dragon,0.0013874812754221119
dramatic lighting,0.0017326685114655437
drawing,0.001015404045314886
dunmer nerevarine,3.240911870063719e-06
einstein,0.0009219857712277004
elf,0.0012879757298340608
elson,0.0002646356967138677
emo,0.001197202715806123
emo punk,0.0005659203972111506
engine,0.00022097982528779283
entries sony,0.0005474629778679593
fantasy art,0.005395156223284358
fantasy painting,0.0014073327140817567
fantasy style,1.1968677477405596e-05
faroe azores,0.0008907553793420801
fashion clouds,0.0007679956542104375
fiction,0.00035611447220750827
fiction film,0.002826706598173834
fifth element,0.0010900548436453077
film,0.04704434959026577
film neuromancer,0.0008736872647053688
flamingos,0.00015389782427624397
flowers,0.0024543865174292676
fluffy,0.0007713963860038708
footage,0.003499179061612248
forest,0.002870138124364363
frazetta,0.00041842826475550543
frazetta fantasy,0.0010007879296320724
frazetta giger,0.0012045973548888654
futuristic,0.0006354599829215818
garden,0.0007001098343859149
garden intricate,0.0006162850955907704
giant digital,0.0006741225480376735
girl clouds,7.759400140684418e-06
glamorous sophisticated,0.0005658455864842835
glimpse universe,0.0007076477522733456
goddess,58679151838.6456
goddess creative,0.0006334080402543628
goddess wearing,1.9744665680616663e-06
gordon,0.0010017971846033647
goth,0.0005263472845676931
goth emo,0.0006503511813105389
goths,0.00022494677691038258
goths loitering,0.0007748057007815731
gundam,0.004763639473064795
gundam unreal,1.5482953475235616e-05
gustav klimt,0.003829042014732355
hd,0.0010600232540720156
hd goth,0.0005560154700687083
hd painting,7.9335134409294e-05
hd unreal,0.0006917008973995249
heavy detailed,0.00016382777099512366
high quality,0.011427002408771378
hills slavic,1.725508457790586e-05
himalayan,0.005044481717741128
himalayan rocksalt,4.932042027053278e-05
houses,0.00011335287598549749
houses built,0.0005926665843598177
hyper detailed,0.0013454380121655793
illustrated,0.0005695547405834179
illustration,0.001714949233749116
illustration art,0.002550838812174754
imposing cyborg,9.998554533238141e-05
intricate details,0.0018284756481630935
intricate hyper,6.504591658463264e-05
intricate royo,0.0016500397121342624
intricate volumetric,0.0009084168595861845
josan,0.000732340153830682
josan gonzalez,0.000668239904091039
knight,0.0031412254382624065
kylie,0.0005686892800292856
kylie minogue,0.0006155088532130326
lamp,2.5002242991765973e-05
landscape,0.003418478536240823
landscape colourful,2.9264712510781593e-05
lantern candle,0.0007677800081054705
length portrait,0.0009282797027787353
lifelike photorealistic,0.000993553070633928
lighting,0.0032397982046121075
lighting hd,0.00038279291997061837
lightning intricate,0.0004918582151932568
log houses,0.0007025969163733415
looking camera,0.00018147651740285298
low clouds,1.256705742164137e-05
madeira faroe,0.00014459463916149443
male dunmer,0.0
manga,0.004957642491630717
manga illustration,8.327473917707165e-05
marble hourglass,0.001070859310378848
matte,0.0006960315451771542
matte painting,0.009511681284019472
media collage,4.7533890134414295e-06
mid century,0.00038931437576806974
minogue,0.0005938794134207922
mixed media,0.00047724211988636885
modern,0.00025757049373612695
modern art,0.0017151721095162613
movie,0.0038309668323884133
movie poster,0.0010477778958870496
natural scene,0.002930110885227901
nerevarine,0.0004604177582773868
neuromancer,0.0009566573905373573
oblivion skyrim,0.0
octane render,0.005292358574262293
oil painting,0.001624881282352244
overcast thunder,0.0
pablo picasso,0.0015256350494185658
painted,0.0020631879110770885
painted pablo,0.0007515445257330588
painting,0.013468660074397905
painting aesthetic,0.0013613857357303027
painting artstation,0.0018906190651874436
painting beautiful,0.00085013138721174
painting character,0.0005316324435681201
painting chris,0.00016030708131816617
painting deviantart,39842261990.47392
painting lurid,0.0001749280912062582
painting lush,0.0007658175517359166
painting peter,0.0028922483569062663
painting ronny,0.0005776083601170141
painting sargent,0.025964404305509444
painting stalenhag,0.00015088310487638987
painting unreal,3.653244705633543e-05
peter,0.0002459463147000284
peter elson,8.542763756571167e-05
photo,0.001594513422049676
photo realistic,0.0005256691204859719
photograph,0.0031733474520988813
photograph divine,0.003690547404999654
photography,0.007225919875196969
photography awards,0.0005291421407390347
photorealistic,0.003812848840959609
photorealistic digital,0.0006244408038461411
phyics entries,0.0012570032523067855
picasso,0.001741226671977859
picasso hair,0.0005405460709311888
pikachu hannah,0.0016484196231775898
pink bonsai,0.0005083439649752354
pink flamingos,0.00011806936184862528
pixar,0.00020498178406704143
pixie cut,0.0009246589422534968
portrait,0.05153722532222335
portrait extremely,0.000608437008133769
portrait intricate,0.0019016077007077865
portrait male,2.0188599917816688e-05
portrait painted,0.002173965960565782
portrait painting,0.0012938851592162262
portrait photograph,0.002518194148432232
portrait sabouts,0.0014983794298513362
portrait scifi,0.000925611871925866
punk art,1.9618847393087114e-05
punk portrait,0.0006842743033164705
puppy,0.0004036647557036693
render hyperrealist,0.0001877344273814327
