keyphrase,mean_abs_shap
abandoned,0.0008296744602179711
alien,0.0009272736414236275
alien planet,0.00012249867790162
android cyborg,0.00119401915063363
anime,0.003949542772103663
anime colors,5.7553692337340584e-05
anime epic,2.635044486296858e-05
armor daedric,35533153030.680016
art,0.004205235404247204
art artgerm,0.0014340092965898527
art city,0.0008828890226073443
art hyperrealistic,0.0001858279635103792
art josan,0.0014383481123688888
art lifelike,7.723730118529099e-05
art punk,3.6703157011742865e-05
art realistic,0.0004848746876327636
art sharp,0.0023899995474373865
art smooth,0.004288092749438258
art style,0.0005501393128144122
art thorough,0.0002986248939715817
art trending,0.002103775588434145
artistic,0.0010300741928191406
artistic painting,0.0010128142263904694
artstation,0.005041430893713146
artstation cinematic,0.0009070873796511034
artstation galaxy,2.2007779297475964e-05
artstation hyperrealism,0.003719199879050829
artwork,0.004509596601149108
atmospheric lighting,2.9967432441485293e-05
avant garde,0.00035505324377058583
azores,0.0016714157857544722
azores islands,0.0003911172859834773
beautiful landscape,0.0004577770294564298
beneath cherry,0.002090535618157604
bjork,0.0014921661220618251
black,0.0014465662541420998
body manga,0.0002438494247954823
body portrait,35533153030.68016
body shot,0.00107730508767412
bonsai,0.00289900734130697
bonsai tree,0.0010472857373948021
bull looking,0.0014433072451190691
bull modeled,0.0011148846750703028
butterfly volumetric,0.0011057450378544815
camera,0.001009364114697547
candle butterfly,0.0005990621686056601
candle volumetric,0.001335313645163501
canvas,0.002858333727295736
castle,0.0026893567835189983
castle enclosed,0.0002317626669109098
cat,0.0019939866836514854
century,0.001378937042647872
century modern,0.002277548649444833
character portrait,0.001452329196547244
chris,0.00025846170238312175
chris foss,0.0001376210570165786
churches domes,0.00021940631401228574
cinematic,0.00323349921214786
cinematic composition,0.005397808530354759
cinematic deviantart,0.0008452902440582527
city,0.003320495072053597
cloud fashion,0.0009080196024063136
clouds,0.008290254720936696
clouds covered,0.001134740980457658
clouds girl,0.0007738257637150838
clouds madeira,0.0030841360825060535
collage canvas,2.3777268553669533e-05
colors,0.0016563015323517237
colossal,0.0012518367096565164
colossal goddess,0.0010526432157355193
comprehensive art,0.0004657931871656881
concept art,0.003534285840303008
contemporary art,3.135074680990533e-05
cute fluffy,0.001970653440929025
cyberpunk,0.004278101689199715
cyborg,0.003238088064203464
cyborg body,0.0014581648759434706
cyborg bull,0.001440423135645899
daedric armor,0.0014028099260786921
dark,0.0019079199459818173
dark uncanny,0.00034340987356168266
detailed painting,0.0027490731415451553
detailed portrait,0.0010498330611736304
detailed ultra,0.005021196329254192
details intricate,0.0008207140580028502
detective pikachu,0.002468159926771574
deviantart,0.001379617402938113
deviantart hyperrealistic,0.0001777535572630302
deviantart realistic,0.0038697681133361504
digital art,0.007469606298717195
digital painting,0.0032038807199861723
digital render,0.00024897031357340584
divine,0.0005297861258971268
divine pink,0.001429722434634988
dog,0.002093177620579129
donald,0.0017752048889717927
dragon,0.0033071923864382295
dramatic lighting,0.0022104720987415867
drawing,0.0002956600970859433
dunmer nerevarine,0.0008052770196483058
einstein,0.0015990100746265344
elf,0.0019547955242892917
elson,0.0005702641331534167
emo,0.0007454116781683742
emo punk,5.8373968562840904e-05
engine,0.0002545116438910719
entries sony,0.0008598251860265026
fantasy art,0.005373363286935117
fantasy painting,0.0003872023619184376
fantasy style,0.0007649057996643619
faroe azores,0.0018213316527245617
fashion clouds,0.001428162864259556
fiction,0.001075872272801309
fiction film,0.004109761201250296
fifth element,0.001153178021493315
film,0.01664575278067274
film neuromancer,0.0020244238985050165
flamingos,0.001505936668200527
flowers,0.0006851299358875008
fluffy,0.0006609190352272748
footage,0.003935379896233607
forest,0.0015690533414363648
frazetta,0.001486281313868198
frazetta fantasy,0.0013637036209333913
frazetta giger,0.0018198858262563641
futuristic,0.0002320602726692617
garden,0.0003016173790047568
garden intricate,0.0012223999076061024
giant digital,0.0007884234343435652
girl clouds,0.000753089112541656
glamorous sophisticated,0.00016257425544068918
glimpse universe,0.00020782083091349578
goddess,0.0035318692811495216
goddess creative,0.0009848560117509929
goddess wearing,0.0015144995361612097
gordon,0.002175919221818766
goth,0.00044842054823894225
goth emo,4.7826334074088074e-05
goths,0.0015928410204525218
goths loitering,0.0012165808417192617
gundam,0.003593870643316316
gundam unreal,0.00016832405129184636
gustav klimt,0.0026129037591275267
hd,0.00031139119283561304
hd goth,0.00019495551926881858
hd painting,0.0004824677510084862
hd unreal,0.0010401284497571965
heavy detailed,0.0008752327085637099
high quality,0.006785820582793303
hills slavic,0.00014497060709510367
himalayan,0.0013225869392903644
himalayan rocksalt,0.0005830872757500111
houses,0.00017645706185772398
houses built,0.00036069756916406944
hyper detailed,0.0009940598798557157
illustrated,0.0020673622258250736
illustration,0.0012109680594479168
illustration art,0.0034393649247103177
imposing cyborg,0.0010444309993758924
intricate details,0.0030843763997986068
intricate hyper,0.000142095909030806
intricate royo,0.0018608499827745288
intricate volumetric,0.0012067043721892625
josan,0.001171154820261685
josan gonzalez,0.0014120782233505015
knight,0.0025861758687696092
kylie,0.00021784836619538817
kylie minogue,0.00012887248103564056
lamp,0.0003948956202675667
landscape,0.0032102963658629177
landscape colourful,0.0003510487002215966
lantern candle,0.0015114123858925557
length portrait,0.0014628975141729467
lifelike photorealistic,0.0008391224699892092
lighting,0.002858988759875876
lighting hd,0.0009900485187787382
lightning intricate,0.0017771468665531446
log houses,0.00022438311863349906
looking camera,0.0010038242664364774
low clouds,0.0012982227708671938
madeira faroe,0.0008807233235038106
male dunmer,0.0008111471341943794
manga,0.00300976727815809
manga illustration,3.3236892179617414e-05
marble hourglass,0.0012159640265343263
matte,0.0005538957328003203
matte painting,0.004228383997129123
media collage,3.905191465405632e-06
mid century,0.0015478874394310048
minogue,0.00015280919502734029
mixed media,0.0004720106443242273
modern,0.0013146059901720684
modern art,0.0017828755313036159
movie,0.0066711798948874135
movie poster,0.0014952201971365426
natural scene,0.0020533208261465825
nerevarine,0.0024505553462012292
neuromancer,0.0022151315735723627
oblivion skyrim,0.0009305403666883133
octane render,0.0026490076613582708
oil painting,0.0026435111673075605
overcast thunder,0.0014397337932125756
pablo picasso,0.00028723500233211215
painted,0.0008449686867978457
painted pablo,0.00036193153459477336
painting,0.0067773877195469925
painting aesthetic,0.0002699539278554532
painting artstation,0.0011678083356959372
painting beautiful,0.0021431742445905243
painting character,0.0015871173783392944
painting chris,0.00018077132841956068
painting deviantart,0.0006449500432258961
painting lurid,0.0022329358700493448
painting lush,0.0009803144496385592
painting peter,0.0031969047065787868
painting ronny,0.00014294607561730468
painting sargent,0.012448825838686435
painting stalenhag,0.0007500760355678128
painting unreal,0.0012088374323065171
peter,0.0008187054522220461
peter elson,0.0021945501547076173
photo,0.0022431973360283763
photo realistic,0.0010237469187528553
photograph,0.003010002800603634
photograph divine,0.0029441445525228553
photography,0.004926903711591376
photography awards,0.00012197703160144675
photorealistic,0.0045660992155378685
photorealistic digital,0.0009327202371131228
phyics entries,0.00014384367080885275
picasso,0.0015789132721219414
picasso hair,1.1081398096053004e-05
pikachu hannah,0.0023879834669175773
pink bonsai,0.0011403688918999275
pink flamingos,0.0015480181704549901
pixar,0.0011444365659329593
pixie cut,2.5441994948742432e-05
portrait,0.04885851559073545
portrait extremely,0.0014407316515924822
portrait intricate,0.0007795616689376771
portrait male,0.001455383315996553
portrait painted,0.0015139423063300235
portrait painting,0.002663687635947789
portrait photograph,0.001384443717087992
portrait sabouts,0.002248273416845523
portrait scifi,0.0012795968443988458
punk art,2.8397560332644507e-05
punk portrait,0.00014538447034101077
puppy,0.001501988675116613
render hyperrealist,0.0009199154072838583
robot,0.0009619526597477664
rocksalt lamp,0.000537707714185438
rpg portrait,0.0020126745601935342
runway,0.0001762858065373598
saitama,0.00020434487477443032
saitama anime,0.0013651162604324295
scene,0.0065118316250455865
scene science,0.0025553909378840684
science,0.00054657468600729
science fiction,0.0017174796960709889
screenshot,0.0008636298496496749
shade talking,0.0013319654120525887
skyrim elegant,0.0014970163416029396
sony,0.0009370293545742099
sony world,0.000981555920966219
space,0.0006140261115063239
starmaker,0.0002509560089714036
starmaker matte,0.0008663608559490296
stars,0.00023852289980158862
statue,0.0019454655022361276
steampunk,0.008843068473068696
steampunk butterfly,0.0011798320689337808
steampunk himalayan,0.001309605342854447
studio ghibli,0.0017184153648091107
style contemporary,0.0007232668556193985
style portrait,0.0010141390450938337
surreal,0.00189643668883196
surreal concept,0.0019548021886858264
surreal glimpse,0.00015790608923194798
surrealism,0.0009912603063234487
surrealism surreal,0.000946780422636111
tall castle,0.00013364416044757342
tracing artstation,0.0010748376002023517
traits painting,0.0015888935571169308
trending artstation,0.0023565877404081747
ufo,0.001144638553545582
ufo ignoring,0.0008242636648614624
ultra realistic,0.003709426694308536
uncanny painting,0.0013492026332077686
unreal engine,0.0034159615459828747
vallejo frazetta,0.001994943184834338
vivec portrait,0.0
volumetric lighting,0.0003510759554221181
wallpaper,0.0015263478380508216
wallpaper illustration,0.0015028402673608063
wearing cloud,0.0009090325714196961
wizard,0.00042655279531116335
woman,0.0029011211141170778
wooden churches,9.160440549730141e-05
world photography,0.002384827416801884
