keyphrase,adjusted_mean_shap
goddess,14669787959.665667
azores,14669787959.660938
comprehensive art,9960565497.61938
painting deviantart,9960565497.618662
armor daedric,8883288257.670513
body portrait,8883288257.670383
portrait,1419758691.382741
pablo picasso,1419758691.336586
film,0.0304678617638418
painting sargent,0.0173564621377994
painting,0.0100161856756638
steampunk,0.009974450646338225
high quality,0.007891869167464075
food photography,0.0078171564377616
scene,0.007046567723810151
cinematic composition,0.0069563231800297
art,0.0063852165667274
matte painting,0.0063527894660872
concept art,0.0058433695960976246
artstation hyperrealism,0.005267018667445025
digital art,0.005239851636746825
clouds,0.0052275198178939756
deviantart realistic,0.0047419619496362996
detailed ultra,0.00472132269750155
photography,0.00461911168928195
artstation,0.004530608122628725
fantasy art,0.004464737584093225
manga,0.004422113494775275
movie,0.004273773440582775
photorealistic,0.0041227605604023995
painting peter,0.0040428847967584995
photograph divine,0.003964107599538575
gundam,0.00395614880566915
cyberpunk,0.0038966512162514
footage,0.0038091441285055495
dark,0.0036782458670346248
portrait painting,0.00357719862920805
fiction film,0.0033580360992243753
digital painting,0.0033416248870730496
landscape,0.003204737188736375
illustration art,0.003194652436685225
photograph,0.0031722442785328
octane render,0.0031579709179503247
bonsai,0.0031301919591231
art smooth,0.0030824144792798496
canvas,0.003076536892018025
himalayan,0.0029792763207107252
edwardian photograph,0.0029542208823476
portrait painted,0.002926935830787675
statue,0.0029175744035759
anime,0.0028927372869936
ultra realistic,0.0028794322249713
detailed painting,0.002846756791714775
clouds madeira,0.002793555591205425
art artgerm,0.002773250992221875
gustav klimt,0.0027601634434315
blinders photography,0.0026855414392846
city,0.0026496071348311753
artwork,0.0026492421757962786
lighting,0.002647533083684925
cyborg,0.00264119088509475
unreal engine,0.0025387147606139252
sky,0.0025344110316103
oil painting,0.002497820062590125
zdzislaw beksinski,0.0024967467950854
beksinski,0.0024922371896401
headshot edwardian,0.0024053441956021
castle,0.002395229577871725
natural scene,0.0023861616933289
cinematic,0.0023241822753226503
knight,0.0023225453945748
robot,0.0022984590575981997
painting artstation,0.00221400214679125
portrait scifi,0.002185534675139225
cat,0.00217293496068315
sony,0.00215341263970705
dog,0.0021076650029003777
century modern,0.00209314663758735
forest,0.002078511328438975
portrait sabouts,0.0020743512363930747
surreal concept,0.00206673602811965
intricate details,0.002049594184932325
donald,0.0020175535808472497
puppy sitting,0.0020142872448609
dragon,0.002006738831543644
madeira faroe,0.0019729377519126998
skyrim elegant,0.0019659947357370247
fifth element,0.0019626415312503248
uncanny,0.0019048530386903
trending artstation,0.00186713465471846
gordon,0.001863709911196875
black,0.001827868379235
deviantart,0.001820116268887025
world photography,0.00180101073875603
neuromancer,0.001793119095245575
ruins,0.0017778986249543
rpg portrait,0.0017613095678293
pikachu hannah,0.00175503744496635
art trending,0.0017104094107074
photo,0.001686372243578935
portrait extremely,0.0016799863548662502
art sharp,0.0016688691924318707
elf,0.0016656185136022573
realistic cinematic,0.0016517179439351
lantern candle,0.0016392096126836998
einstein,0.0016391513150092749
overcast thunder,0.0016207809289973999
painting stalenhag,0.001604317525235375
dramatic lighting,0.001601489799945625
film neuromancer,0.0015975043439875498
wallpaper,0.0015873357822779248
scariest looking,0.0015593078925904
portrait intricate,0.001548789729159825
detective pikachu,0.001541517005400025
character portrait,0.001513071752228
portrait photograph,0.00150981360525115
phyics entries,0.001509531250101475
mid century,0.0015088466803054499
nerevarine,0.00148302718145755
wallpaper illustration,0.0014213741985723502
picasso,0.0014088433414011
josan gonzalez,0.00136648092197775
peter elson,0.0013594712605256279
painted,0.00135122410084825
painting character,0.001347422224315175
woman,0.0013088571033776251
surreal,0.001272185930266575
vallejo frazetta,0.001269034156301825
painting beautiful,0.00126408954726935
bernard simunovic,0.0012511748394706
colors,0.0012388719534872
photorealistic digital,0.00123834580872
century,0.0012236387253699
intricate royo,0.001222127082054875
cinematic deviantart,0.0012139044869309752
flowers,0.001210559357273225
jacket black,0.0011997715290095
artstation concept,0.001192018360483
modern art,0.00118357609195615
details intricate,0.0011733282338572666
lightning intricate,0.00116134389749845
space,0.00115678724078425
butterfly volumetric,0.00115617936100475
faroe azores,0.00113472551759575
cute fluffy,0.0011198439443542499
painting lush,0.0011190230151325248
movie poster,0.001098989667145725
saitama anime,0.0010944753842482
abandoned,0.001093459894296075
josan,0.001077567381979375
artstation cinematic,0.0010653000023660248
studio ghibli,0.001063139058376775
surrealism,0.001059655463684875
scene science,0.0010443004002694289
painting aesthetic,0.0010255500147754249
length portrait,0.00101697821337515
steampunk himalayan,0.001015442195493475
garden intricate,0.001007055431762425
bonsai tree,0.00098229109894965
alien,0.0009815290422945
