keyphrase,mean_abs_shap
abandoned,0.00022189295862194456
alien,0.0
alien planet,0.00021198336091716042
android cyborg,0.0002773024328358849
anime,0.005391790261132426
anime colors,3.087919313340721e-05
anime epic,0.00021343646863678108
armor daedric,0.00022076285819283624
art,0.0005750704125130533
art artgerm,0.0037533969171659755
art city,0.0
art hyperrealistic,0.00025636533180811244
art josan,0.0002686332282371263
art lifelike,0.0
art punk,0.00023410148554232451
art realistic,0.0002110874976047179
art sharp,0.0003808831449224816
art smooth,0.0016707106681853462
art style,1.60916202095977e-06
art thorough,0.0
art trending,0.0005204802675138527
artistic,0.0
artistic painting,0.0
artstation,0.005006288153712397
artstation cinematic,0.0002708612940789643
artstation galaxy,0.0
artstation hyperrealism,0.004667850109542779
artwork,3.267796775593096e-06
atmospheric lighting,0.0
avant garde,0.0
azores,0.00011255268381490553
azores islands,0.0
beautiful landscape,0.0002029768194575447
beneath cherry,2.405328370763597e-06
bjork,0.0005861854687742058
black,0.00022077952394538824
body manga,4.683382826076172e-06
body portrait,0.00010819581958098444
body shot,0.00036093461283372445
bonsai,0.003908072774948894
bonsai tree,0.00021610428515388453
bull looking,0.00020550091399589615
bull modeled,0.0005151226417788675
butterfly volumetric,0.00023440841623712696
camera,0.00021679114434901829
candle butterfly,0.00047635758857445063
candle volumetric,0.0
canvas,0.0002248528677845208
castle,0.0003115092442420932
castle enclosed,0.0
cat,0.0004033881983195012
century,0.000362810488829112
century modern,0.0008798113374701443
character portrait,0.0002686870507517626
chris,0.00023662031780206415
chris foss,0.00027269943625271126
churches domes,0.0
cinematic,0.000329603515127547
cinematic composition,0.00525624759838714
cinematic deviantart,0.004130663149394748
city,0.0005550971382513525
cloud fashion,0.0
clouds,0.0013274863762723409
clouds covered,0.0002950526584492552
clouds girl,8.43039773606669e-06
clouds madeira,0.0
collage canvas,0.00022739239119206817
colors,0.0
colossal,0.00034083018439604935
colossal goddess,0.0002328174782751045
comprehensive art,0.000286195063733464
concept art,0.0015319982726897904
contemporary art,0.00028963341023056883
cute fluffy,0.0004915650628451158
cyberpunk,0.0017843749785462011
cyborg,0.0018152161834516561
cyborg body,0.00019662205423585743
cyborg bull,0.0002147289652874293
daedric armor,0.0002834806761237972
dark,0.002733113073539764
dark uncanny,0.00029245317943757783
detailed painting,3.5794489417500663e-06
detailed portrait,0.00020579972040222217
detailed ultra,0.003456235394197163
details intricate,0.0006670524581056227
detective pikachu,0.0016395757081406953
deviantart,0.010693361594783214
deviantart hyperrealistic,0.00020844878835876707
deviantart realistic,0.0006341582270820235
digital art,0.00099031762167171
digital painting,0.00023541554389722177
digital render,0.00026789792004575216
divine,1.3950306884741288e-05
divine pink,0.0
dog,0.0
donald,0.005091144850473293
dragon,0.0
dramatic lighting,0.0
drawing,0.0
dunmer nerevarine,0.0
einstein,0.0016401611401743294
elf,0.0
elson,0.00031770651953211997
emo,3.080393411577352e-06
emo punk,0.0002530010980354155
engine,1.824689118234432e-06
entries sony,0.00021112970412099524
fantasy art,0.0012335849128384151
fantasy painting,0.0
fantasy style,0.00024158230463877073
faroe azores,0.0002210921047126421
fashion clouds,3.263483640966272e-06
fiction,0.0002636227276004221
fiction film,0.0007480160800067588
fifth element,0.0002847757363770924
film,0.02681750172958571
film neuromancer,0.0004760289223528446
flamingos,0.0001913868799656631
flowers,0.000603434965586078
fluffy,4.8653971960126475e-06
footage,0.0026933989022811067
forest,0.0005996029546756531
frazetta,0.0
frazetta fantasy,0.00010814089364702498
frazetta giger,0.0
futuristic,0.0
garden,0.0
garden intricate,0.00023911323740901443
giant digital,0.00025126334365047857
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,0.0
goddess,0.0033004192979102093
goddess creative,0.0002748311590782351
goddess wearing,0.0
gordon,0.00023103076026254285
goth,0.00023292617362779001
goth emo,0.0002780497450364007
goths,0.0
goths loitering,0.0
gundam,6.117946498876256e-05
gundam unreal,0.0
gustav klimt,0.0002468837623632753
hd,0.0
hd goth,0.0004048562289196739
hd painting,3.0411769439027284e-06
hd unreal,0.0
heavy detailed,0.00021300245839347406
high quality,0.007827629702586724
hills slavic,0.0
himalayan,0.004636288737781602
himalayan rocksalt,0.000231831430230748
houses,3.0416190646500677e-07
houses built,2.2126961431588065e-06
hyper detailed,0.00038865271170472843
illustrated,0.00019200292668401865
illustration,0.000169134815203214
illustration art,0.0004615908146547152
imposing cyborg,0.0003124739749929162
intricate details,0.0008419316690057664
intricate hyper,0.0002285627168940337
intricate royo,2.7677120236155806e-06
intricate volumetric,0.0002715143986721723
josan,0.00024556578437522227
josan gonzalez,0.00022903002472254074
knight,0.0001437803176792448
kylie,1.6933149365551923e-06
kylie minogue,0.0
lamp,0.00023382777251521785
landscape,0.0002236096577013748
landscape colourful,0.0002924975723152024
lantern candle,0.0002743339574560263
length portrait,0.00021177498627269017
lifelike photorealistic,0.00018643211298621735
lighting,7.912798408649867e-06
lighting hd,0.0
lightning intricate,2.2846858830666375e-05
log houses,0.0
looking camera,0.00021744187182935257
low clouds,0.0
madeira faroe,0.0
male dunmer,1.0282706161651095e-06
manga,0.00026791307101756135
manga illustration,0.0
marble hourglass,1.4967068331382591e-05
matte,0.0002267017148963285
matte painting,0.0005940224071870977
media collage,0.00021735942208952477
mid century,0.0002625321449792097
minogue,0.0
mixed media,0.0003474341786638943
modern,0.0
modern art,0.00036561031113591916
movie,0.0010668730309859346
movie poster,0.00045368737914615385
natural scene,0.0002534930687123505
nerevarine,0.00026548174999810467
neuromancer,0.0021132061933006097
oblivion skyrim,0.0
octane render,7.120354519989878e-05
oil painting,0.00048239192932913376
overcast thunder,2.8457691396657483e-06
pablo picasso,0.00023316079338169197
painted,1.2972431245746818e-06
painted pablo,0.00026191409731888903
painting,0.014634252478903662
painting aesthetic,0.00017873255399535794
painting artstation,0.00041112844653799335
painting beautiful,0.0001652524993251586
painting character,0.00017599425403139142
painting chris,0.00019160520612987155
painting deviantart,0.0007061814001180639
painting lurid,5.2553482902162766e-05
painting lush,0.00029646753804491387
painting peter,0.0002545875228836179
painting ronny,0.0
painting sargent,0.012098567685464847
painting stalenhag,0.0
painting unreal,2.696462087269658e-06
peter,0.0002485087258557956
peter elson,0.0036303155550204895
photo,0.000245085761527045
photo realistic,0.000243998420263237
photograph,0.0028804615581910927
photograph divine,3.4503158095471035e-06
photography,0.0011876113286170215
photography awards,0.00037991960128638455
photorealistic,0.0008186698583492976
photorealistic digital,0.0001920779037477499
phyics entries,0.0008267904353093257
picasso,0.003743642636489863
picasso hair,0.00024164619183944676
pikachu hannah,0.0024190393478116115
pink bonsai,0.0002302816202478978
pink flamingos,0.00027829074839173286
pixar,0.0
pixie cut,0.00020306268194836882
portrait,0.028326992508310167
portrait extremely,0.00022399502437659433
portrait intricate,0.0006170253026391493
portrait male,3.7595213647996243e-06
portrait painted,0.011463093256018811
portrait painting,0.0002332401097715664
portrait photograph,4.687430935792297e-06
portrait sabouts,0.0030447513315806454
portrait scifi,0.0001995033393730303
punk art,0.00026363825527306686
punk portrait,0.00017141418525717277
puppy,0.0
render hyperrealist,0.0
robot,0.0003237244700823625
rocksalt lamp,0.00024756148605529745
rpg portrait,0.00020131091393973057
runway,0.0002242198906996542
saitama,0.0
saitama anime,5.269241183331197e-05
scene,0.006141341236583442
scene science,0.00019340468419445776
science,0.00019977968735541743
science fiction,0.0002660218930908621
screenshot,4.322180055933184e-06
shade talking,0.0
skyrim elegant,0.00025254706096435926
sony,0.0019419363642294476
sony world,0.00019709466957523855
space,1.2405537069817608e-05
starmaker,4.7342210006221096e-06
starmaker matte,7.513998522100493e-06
stars,0.0
statue,0.0009283790541673936
steampunk,0.006274676022439594
steampunk butterfly,0.0004701361984137423
steampunk himalayan,0.000277440563095231
studio ghibli,7.366351343008206e-05
style contemporary,0.0002482220674105458
style portrait,0.0002203593114806545
surreal,0.0002081048884873333
surreal concept,0.00022245049867884552
surreal glimpse,0.0
surrealism,0.0002888870842667319
surrealism surreal,0.00020539462609630514
tall castle,0.0
tracing artstation,0.0
traits painting,0.00016397914149930852
trending artstation,0.0
ufo,0.00021404092901239441
ufo ignoring,0.0
ultra realistic,0.0012643043790549141
uncanny painting,0.0002741877125866499
unreal engine,0.0002942807734911033
vallejo frazetta,0.0
vivec portrait,0.0
volumetric lighting,2.2801476028660633e-06
wallpaper,0.0
wallpaper illustration,0.0
wearing cloud,1.2549142301303698e-06
wizard,3.5190756142304096e-06
woman,2.3384869764647188e-07
wooden churches,2.0747481233028537e-06
world photography,0.0002133028054920507
