keyphrase,mean_abs_shap
abandoned,0.0018672120130985015
alchemical creatures,7.890040181106968e-05
alien,0.0016884375688855059
alien planet,0.002293561823840775
android cyborg,0.0
anime,0.00963224955090992
anime colors,0.0022617254308271257
anime epic,0.0016325209539715872
armor daedric,0.0
art,0.016531978471150746
art artgerm,0.0021884337195101503
art hyperrealistic,0.0002322315252165585
art lifelike,0.002811615225392751
art punk,0.00011303839326011195
art realistic,0.002747002121773724
art sharp,0.002834737821508969
art smooth,0.002997638124617264
art style,0.0046262276908813765
art thorough,0.002075226232459649
art trending,0.0024115582297161917
artistic,0.001511256186811199
artistic painting,0.00273573751561192
artstation,0.009060581062524702
artstation cinematic,0.002953351317833402
artstation concept,0.0017967711771927346
artstation galaxy,0.0017721185569406033
artstation hyperrealism,0.00569815666312379
artwork,0.002380247698336361
atmospheric lighting,0.0008681882617589256
azores,0.0014422635550525851
barbarella,4.048079111959524e-05
beautiful,0.0007963258750431097
beautiful landscape,0.0004895133378949858
beksinski,0.0008206202939222284
beneath cherry,0.0014105915469023666
bernard simunovic,0.000560025169339868
bjork,0.002747916479195092
black,0.0011279708472700545
blinders photography,0.0014885998703623921
body manga,0.0028768323254092128
body portrait,0.00040308709606751196
body shot,0.0
bonsai,0.006659638341475348
bonsai tree,0.0012763933301459976
bull looking,6.813767422367734e-05
bull modeled,0.0011687852752057973
butterfly volumetric,0.003188963031059449
camera,0.0015346079763514798
candle butterfly,0.0015829302124923646
candle volumetric,0.0008486804874373899
canvas,0.004552516549097263
castle,0.002270249299944533
cat,0.0031284514796662663
century,0.0009012137143422135
century modern,0.00512606327343738
character portrait,0.001217858633976601
cinematic,0.004417143395815325
cinematic composition,0.005175193102805812
cinematic deviantart,0.0049383343145662385
city,0.0038349627205316
clouds,0.005430965179773202
clouds madeira,0.000706828797351002
collage canvas,0.0006196262159049566
colors,0.0008269653753634897
colossal,0.0016830109110800506
colossal goddess,0.00153746639779535
comprehensive art,0.0035573659487408956
concept art,0.00830829366305916
contemporary art,0.0
cosmic,0.00018157199781311076
creatures surreal,2.948582373644164e-05
cute fluffy,0.004474668154402833
cyberpunk,0.006170016719186055
cyborg,0.0024554232046243418
cyborg body,5.016694198769969e-07
cyborg bull,0.0
daedric armor,0.001954710357575787
dark,0.008331075799500856
dark uncanny,0.001367706290323163
detailed painting,0.0041312255095275
detailed portrait,0.0022499866476392107
detailed ultra,0.009081545971909376
detective pikachu,0.0023698409921618074
deviantart,0.0032855439203023553
deviantart cinematic,0.001378179636323682
deviantart hyperrealistic,0.0012112902498042663
deviantart realistic,0.0009191354985022525
digital art,0.0074297512331002085
digital painting,0.00566582018564686
digital render,6.947605923448773e-05
divine,0.0016317169068017924
divine pink,0.002575563820450617
dog,0.0026307346588965576
donald,0.0026883337570172148
dragon,0.0008677530749271287
dramatic lighting,0.0012232795620170942
drawing,0.0017620863803888898
dunmer nerevarine,7.643303257852094e-05
edwardian photograph,0.0014990746206280103
einstein,0.004015155556468853
elf,0.0017049070332445376
elson,0.004256696173890604
emo,6.555787461282529e-05
emo punk,0.002454209719676198
engine,0.002560920793837398
entries sony,0.000588891685705145
fantasy art,0.004637786927887031
fantasy painting,0.0018942702397634935
fantasy style,0.001973614824517123
faroe azores,0.00032086997199678796
fiction,0.00023027079739353646
fiction film,0.0062925106773449955
fiery alchemical,0.0001650826741744179
fifth element,0.003868707639808872
film,0.02219629502831856
film neuromancer,0.004654113641821222
flamingos,0.0016148248280071045
flowers,0.0022030683151114993
fluffy,0.0029365103448122545
food photography,0.0012178202276870286
footage,0.009010686517597701
forest,0.0026269842265953264
frazetta,0.004251071839363557
frazetta giger,0.0005773776735882863
futuristic,0.0016304338027266145
garden,0.00010867154146589605
garden intricate,0.004518032925347428
giant digital,0.0016308182246570224
glamorous sophisticated,0.000997617284389187
goddess,0.007310947818516071
goddess creative,0.0014976719438702067
gordon,0.002501532325281029
goth,0.002088540777835129
goth emo,0.0043265598826103
goths,0.0021144644210768716
goths loitering,0.0014110427371915692
gundam,0.00023250026490326663
gundam unreal,0.0002944089957010737
hd,0.0018241882758844093
hd goth,0.001292380831159507
hd painting,0.001193644992968273
hd unreal,0.000395805900297422
headshot edwardian,0.0014491903888584636
heavy detailed,0.002567025127052784
high quality,0.00865885844949428
himalayan,0.0013427302384565072
himalayan rocksalt,0.000509568272393777
houses,0.0007438185201789634
houses built,5.962317515999743e-05
hyper detailed,0.003392842674253034
illustration art,0.0043492454970113555
imposing cyborg,2.6298045802512304e-05
intricate details,0.0031725023850218185
intricate hyper,0.002795728165559819
intricate royo,0.0017618741847810389
intricate volumetric,0.0016619563043874415
jacket black,0.0005337240340060053
josan,0.0023210993714289176
josan gonzalez,0.005944095644915441
kylie,0.00037624861239330185
kylie minogue,0.00015642897762001363
lamp,9.576099139351266e-05
landscape,0.0026932053490430507
landscape colourful,0.0007407914649352221
lantern candle,0.0015229426795182292
length portrait,0.002193741400505963
lifelike photorealistic,0.003793750887379904
lighting,0.004908302992846144
lightning intricate,0.001468390329176562
log houses,0.00047011577416186705
looking camera,0.000463517953761789
low clouds,0.001529045912384351
madeira faroe,0.0032789685108150584
male dunmer,3.466567011986775e-05
manga,0.00367782972909649
manga illustration,0.0015011737687106892
marble hourglass,0.000519524108729017
matte,0.003569090213340883
matte painting,0.003211491791859315
media collage,0.00037556247451730313
mid century,0.002734252720658302
mila kunis,0.0016312727347119564
minogue,0.00038524968352615847
minogue barbarella,0.0006400512982037342
mixed media,0.0006071797745466037
modern,0.0007155221469502751
modern art,0.0022372010948826376
movie,0.005629537417870835
movie poster,0.0012676239547035268
natural scene,0.0004890285008743591
nerevarine,0.0009969785636376133
neuromancer,0.0077197108219123406
oblivion skyrim,0.0010681231255389987
octane render,0.0013354063263401196
oil painting,0.005939749113112071
overcast thunder,0.0022804752297880893
pablo picasso,0.0017748288683881008
painted,0.0012562208388094387
painted pablo,0.0019527446205964468
painting,0.022043801450768324
painting aesthetic,8.403897815427795e-05
painting artstation,0.0028470107700330634
painting beautiful,0.005571738252200287
painting character,0.0029705454932138285
painting deviantart,0.0006399067092271486
painting lurid,0.0010508257346091212
painting lush,0.0009822933618210956
painting peter,0.001552538739734062
painting ronny,0.0016904650078869374
