keyphrase,mean_abs_shap
abandoned,0.0021021157058412495
alien,0.0016551870645151964
alien planet,7.1737620427729286e-06
android cyborg,0.0
anime,0.004702570559525659
anime colors,3.4066922397616e-05
anime epic,0.0006186318164825076
armor daedric,0.0009391617280364503
art,0.003302436766999025
art artgerm,0.004404896407526491
art city,2.5862164388866483e-05
art hyperrealistic,9.24477080697551e-05
art josan,0.00012174408340930876
art lifelike,0.0010075657542830596
art punk,7.745366867457318e-05
art realistic,0.0010606766843013122
art sharp,0.001248563120375222
art smooth,0.002364728936290299
art style,0.002281086968619731
art thorough,0.0010887592665613783
art trending,0.0017478083413442203
artistic,0.00013590358761856128
artistic painting,0.00010782453915007008
artstation,0.008461347646748989
artstation cinematic,0.0019454126215604356
artstation galaxy,0.0009202695497780022
artstation hyperrealism,0.0054581558489798995
artwork,0.0014941032086226793
atmospheric lighting,0.00014134872245560038
avant garde,6.73756806829881e-05
azores,0.0010939888503567802
azores islands,0.0007863392410586898
beautiful landscape,8.586862237328413e-05
beneath cherry,0.0
bjork,0.0012228290883772083
black,0.0006429944206417539
body manga,0.0008008240241954429
body portrait,0.001048287637578386
body shot,0.00014852900150654906
bonsai,0.0046273590618181116
bonsai tree,0.000676897312950958
bull looking,0.0005342159728399815
bull modeled,0.00015486484622166978
butterfly volumetric,0.00040938106560853255
camera,0.00022717018043014956
candle butterfly,0.0008975632811828123
candle volumetric,0.00023827550530731908
canvas,0.0015193738704216665
castle,0.0008018264895443175
castle enclosed,1.801990626695258e-05
cat,0.001915260871217379
century,0.0008817670433222723
century modern,0.0017975714190612774
character portrait,0.0009971429753081588
chris,0.0010378174747503294
chris foss,0.0008054946149854409
churches domes,4.9903945864978185e-05
cinematic,0.0023845060296272817
cinematic composition,0.016018712928713676
cinematic deviantart,0.0030274783430715465
city,0.0020185433166876807
cloud fashion,0.00093795435807351
clouds,0.0029717780134849445
clouds covered,0.0008363382044353991
clouds girl,0.0005461838366978058
clouds madeira,0.0007574828593760174
collage canvas,7.354350416082749e-05
colors,0.0010595873425368703
colossal,0.0
colossal goddess,2.1162401774512218e-05
comprehensive art,0.0019765240193137345
concept art,0.004607583709252424
contemporary art,9.677029403956528e-06
cute fluffy,0.00044587109382428317
cyberpunk,0.003112849282865966
cyborg,0.0018839123425760768
cyborg body,0.00012044162731992339
cyborg bull,6.605948778776462e-05
daedric armor,0.0009783388355275471
dark,0.006427478423981406
dark uncanny,2.2898225121206554e-05
detailed painting,0.0020151557201470126
detailed portrait,0.0007306063199650084
detailed ultra,0.004810858398418918
details intricate,0.0010301661192197021
detective pikachu,0.002710468403992086
deviantart,0.02316358934500227
deviantart hyperrealistic,0.0010259006135200032
deviantart realistic,0.002163659497519507
digital art,0.0036617936752406984
digital painting,0.002718482638886762
digital render,3.26344310495442e-05
divine,1.2411165155649875e-05
divine pink,0.0004545477687426626
dog,0.0006851248513575633
donald,0.0036578031294415116
dragon,0.0014458411182996162
dramatic lighting,0.0010079927776091725
drawing,5.5584786279028474e-05
dunmer nerevarine,0.000686375409659308
einstein,0.0024232828882049876
elf,0.0013646696453756852
elson,0.00194233943693831
emo,0.00025825456692340305
emo punk,0.0011113513110308883
engine,0.00043153415751772664
entries sony,0.0009112558013468267
fantasy art,0.003354325134341187
fantasy painting,0.0004849176856948024
fantasy style,0.0
faroe azores,0.0006959969573793048
fashion clouds,0.0009424130017446267
fiction,0.0009355311627989875
fiction film,0.001124506150563506
fifth element,0.0007279173115798769
film,0.08369400784720867
film neuromancer,0.0006983815618119069
flamingos,0.0004800044769130864
flowers,0.001517916299513217
fluffy,0.0009298038190601364
footage,0.0036743435776358776
forest,0.0016956008868954343
frazetta,0.0007272014285940515
frazetta fantasy,0.0013650028373946334
frazetta giger,3.1470559541388966e-05
futuristic,0.0007393354156888422
garden,8.625900906634075e-05
garden intricate,0.0007026464529945501
giant digital,0.00011638373186047336
girl clouds,0.000664872068308806
glamorous sophisticated,0.0008802549631198601
glimpse universe,7.770023242213927e-05
goddess,0.004600199376262981
goddess creative,0.00014265330169273602
goddess wearing,0.0008457770744709742
gordon,0.0006062541254098629
goth,0.0007380877910850424
goth emo,0.0006600163153944671
goths,4.9555648261777696e-05
goths loitering,2.1477644889637098e-05
gundam,0.0016044025183278511
gundam unreal,0.0006280835131684948
gustav klimt,0.0005446298478007033
hd,0.000764376189264904
hd goth,0.0032382457251426766
hd painting,0.00015779886172178053
hd unreal,0.00020989164235059386
heavy detailed,0.00017493734422779455
high quality,0.008203515137085962
hills slavic,7.881423565082052e-05
himalayan,0.004153354661862148
himalayan rocksalt,0.0008799241725112217
houses,5.853455104100153e-05
houses built,0.0
hyper detailed,0.0011941981045247468
illustrated,0.002085305772083326
illustration,0.00037023240694483304
illustration art,0.0016501335579099344
imposing cyborg,0.0002090024394496775
intricate details,0.003906858504962203
intricate hyper,0.0017480201502392163
intricate royo,0.0009348342474005713
intricate volumetric,0.0007232183536238344
josan,0.00033524883755472703
josan gonzalez,0.0003590395041983731
knight,0.002392514673980864
kylie,0.0007574852700434656
kylie minogue,0.0008517841295366605
lamp,0.000843634603903404
landscape,0.0014898838204381699
landscape colourful,0.0
lantern candle,0.0006809844616946696
length portrait,0.0012291743622359263
lifelike photorealistic,0.00038733118777290403
lighting,0.002147464079810816
lighting hd,0.0002510964045854103
lightning intricate,9.304571049607535e-05
log houses,0.0
looking camera,0.00032463758087030294
low clouds,0.0006647935147766791
madeira faroe,0.0010351757063840417
male dunmer,0.000642089773452157
manga,0.002005406421031842
manga illustration,0.0006231335507344217
marble hourglass,7.434113788036893e-05
matte,0.0008484683746926903
matte painting,0.0020678964602187534
media collage,0.0
mid century,0.0013746037715290094
minogue,0.0005906999265044538
mixed media,7.350808974613153e-05
modern,0.0006920601782678367
