keyphrase,mean_abs_shap
abandoned,0.0023137448477515547
alien,0.0016852327227880237
alien planet,0.00015084823861610388
android cyborg,0.00044596105908151554
anime,0.01052023679131726
anime colors,0.00014158168512564708
anime epic,0.001232766965896804
armor daedric,3.3021928035880586e-05
art,0.0037752573858580367
art artgerm,0.0028714580762432234
art city,0.000901966564619821
art hyperrealistic,0.0007335552146074086
art josan,0.0009969461444347754
art lifelike,0.001657403872844194
art punk,0.0011375220611743182
art realistic,0.0011834023986637375
art sharp,0.004038388768811604
art smooth,0.0028494774221408375
art style,0.0007908200091881293
art thorough,0.0005422187537078747
art trending,0.0020962119433052717
artistic,0.0002298151995330558
artistic painting,4.48681420333498e-05
artstation,0.008100771095124604
artstation cinematic,0.001459520956616406
artstation galaxy,0.00017315613324877244
artstation hyperrealism,0.004598599999422293
artwork,0.0008022436811070529
atmospheric lighting,0.00021402079003836973
avant garde,0.0006505275167147861
azores,0.0012439452169543037
azores islands,5.432790249046512e-05
beautiful landscape,0.00012365464100262607
beneath cherry,0.00014528179137884715
bjork,0.001564702742820489
black,0.000590663708818086
body manga,0.001263171743819104
body portrait,0.0015982610309277301
body shot,0.00046555632558743516
bonsai,0.002573082878691106
bonsai tree,0.00046907779455647317
bull looking,0.00037075393989567646
bull modeled,0.0005318657421975789
butterfly volumetric,0.000646799732928091
camera,0.00048735920980410566
candle butterfly,0.0
candle volumetric,0.0014440745242716398
canvas,0.0024109954078124023
castle,0.0020497477068352117
castle enclosed,0.00038349007794667716
cat,0.002300108937343606
century,0.001570735458719952
century modern,0.0034987344194261296
character portrait,0.0029056851348840764
chris,0.0009188236694122661
chris foss,0.001542573267818674
churches domes,0.0002841159686845691
cinematic,0.0029475636535033637
cinematic composition,0.0055011041504020326
cinematic deviantart,0.0036224534946753544
city,0.003117639497151191
cloud fashion,0.0009684927763957405
clouds,0.002473852464649138
clouds covered,0.00094124415507848
clouds girl,0.000741621988877739
clouds madeira,0.0021756018179312983
collage canvas,0.001275972810776492
colors,0.0014388298052433405
colossal,0.0015765334680138876
colossal goddess,0.001129308334668445
comprehensive art,0.002544546829396322
concept art,0.003353216849597826
contemporary art,0.0010409705442519681
cute fluffy,0.001333519505966927
cyberpunk,0.005197953980563046
cyborg,0.0018709144305682367
cyborg body,0.0005461911182639749
cyborg bull,0.0005385443168298695
daedric armor,0.0004643148261834428
dark,0.004034992036755312
dark uncanny,0.0008841751889004808
detailed painting,0.002430428645246067
detailed portrait,0.001058211431439499
detailed ultra,0.005815059659015077
details intricate,0.0021600645323427746
detective pikachu,0.0022892801981312947
deviantart,0.0027755206655023764
deviantart hyperrealistic,0.0017708351354225808
deviantart realistic,0.004586840781385301
digital art,0.003855122185474697
digital painting,0.002653104940315327
digital render,0.00015127220933915713
divine,0.00014042095279008965
divine pink,0.00042785026247310734
dog,0.00045955093625721984
donald,0.005282479297321007
dragon,0.0017321884939492857
dramatic lighting,0.0008025103592677804
drawing,0.0008851458964894563
dunmer nerevarine,0.0009487317650623173
einstein,0.0019691766183512057
elf,0.0023334453882872955
elson,0.0025887070923493382
emo,0.0003760036437222774
emo punk,0.0009154427082575298
engine,0.0009998890799516674
entries sony,9.582005816759781e-05
fantasy art,0.0036594515465278505
fantasy painting,0.00013770164723105402
fantasy style,0.000846282933152982
faroe azores,0.001048606325050247
fashion clouds,0.001954476476733505
fiction,0.0006243935010945117
fiction film,0.003321594280191608
fifth element,0.00198340312018067
film,0.021877242964232057
film neuromancer,0.0011146540002800929
flamingos,0.0004393176891828213
flowers,0.0028375978975275543
fluffy,0.002041188514004311
footage,0.0020963903074140253
forest,0.0014031517243406333
frazetta,0.0008582139543915951
frazetta fantasy,0.001243765232133135
frazetta giger,0.0003630360119513956
futuristic,0.0013131514402539217
garden,0.0007065149884780516
garden intricate,0.00012805804875174606
giant digital,0.0012925707252874317
girl clouds,0.0008948047140752565
glamorous sophisticated,0.0019551801620875512
glimpse universe,0.00022822440805662767
goddess,0.0018204874182554825
goddess creative,0.0008324650426441808
goddess wearing,0.0011337321433352893
gordon,0.0022919611347981517
goth,0.001224742486237436
goth emo,0.0007988007025101516
goths,0.00019385986139609345
goths loitering,6.378074613657608e-05
gundam,0.0017149206159644249
gundam unreal,0.0001440676809191844
gustav klimt,0.0012838479429501447
hd,0.0003271331193430015
hd goth,0.0021319659566522106
hd painting,0.0008537178097533844
hd unreal,0.0003919141194987624
heavy detailed,0.0013217884413728462
high quality,0.007867872584991347
hills slavic,0.00035339236536389567
himalayan,0.0008715630230029831
himalayan rocksalt,0.0004771999458769899
houses,0.00012327479061804227
houses built,9.85646243070536e-06
hyper detailed,0.0009147085677567247
illustrated,0.0033302399110189465
illustration,0.0007873962684291947
illustration art,0.004949232805631377
imposing cyborg,0.0003375404014201593
intricate details,0.0036622273716464433
intricate hyper,0.000976661744653855
intricate royo,0.0011465039748943728
intricate volumetric,0.0008852390996647674
josan,0.0012323109297313075
josan gonzalez,0.0019962751648846685
knight,0.0017493643068337654
kylie,0.0010641506950668624
kylie minogue,0.0009733439288881536
lamp,0.000183867627161059
landscape,0.0003819746671121832
landscape colourful,0.000530570189544602
lantern candle,0.0
length portrait,0.00014483032089184766
lifelike photorealistic,0.0016687836597710404
lighting,0.0024635853026376015
lighting hd,0.0009488442696995081
lightning intricate,0.0014004144536493752
log houses,1.0715639361402876e-05
looking camera,0.0005890388728508217
low clouds,0.0008256649173538599
madeira faroe,0.0015854617450836845
male dunmer,0.0009693197411756001
manga,0.0021100149713683698
manga illustration,0.0010659582680670697
marble hourglass,0.0008987842573124631
matte,0.002176749381800315
matte painting,0.0025477153384011264
media collage,0.0008692172180567991
mid century,0.0033031614129873797
minogue,0.0006902464413110302
mixed media,0.0012333835391372969
modern,0.001051509268095717
modern art,0.002144388254953548
movie,0.004073801918049743
movie poster,0.0023432162306994894
natural scene,0.00023238249112231667
nerevarine,0.0014127586598213946
neuromancer,0.0013206662121900575
oblivion skyrim,0.0
octane render,0.002216296470386539
oil painting,0.002975733561878074
overcast thunder,0.00023866386289019982
pablo picasso,0.00018155806615827172
painted,0.0010073305058737945
painted pablo,0.0006135799402338302
painting,0.024621838790126634
painting aesthetic,0.0004312245898809254
painting artstation,0.002394288366590998
painting beautiful,0.002739663748904735
painting character,0.0010702874390308003
painting chris,0.0013751189891636783
painting deviantart,0.0018994080443117663
painting lurid,0.0003026088211976817
painting lush,0.00035373475416949424
painting peter,0.001521502194657806
painting ronny,0.0011743785588245006
painting sargent,0.00676341678555364
painting stalenhag,0.00020320825932988623
painting unreal,1.826826522217622e-05
peter,0.003917025200500045
peter elson,0.003669967336083636
photo,0.0023672738793837898
photo realistic,0.0016377204333478574
photograph,0.0010638608009461508
photograph divine,0.0008250957037240406
photography,0.0036870074573069557
photography awards,0.00013003505652208085
photorealistic,0.004629977472792591
photorealistic digital,0.0012883628530259037
phyics entries,0.001673636965039335
picasso,0.00168062789917754
picasso hair,6.104798251544722e-05
pikachu hannah,0.002317659552891579
pink bonsai,0.001047077071496409
pink flamingos,0.0003207180732971074
pixar,0.0004251489900759844
pixie cut,0.0002485418336091918
portrait,0.02354416327067767
portrait extremely,0.002923831632635505
portrait intricate,0.0016188051494380876
portrait male,0.0016854471485809417
portrait painted,0.003316419497018985
portrait painting,0.0009306749635589133
portrait photograph,0.0013435492409362211
portrait sabouts,0.0023850136926114778
portrait scifi,0.0015508339646904711
punk art,0.001120675257075502
punk portrait,1.544352135127218e-05
puppy,0.0029748969174276507
render hyperrealist,0.0006727298178448647
robot,0.002402052838662179
rocksalt lamp,0.0005467266438547879
rpg portrait,0.0013621755476498421
runway,0.0009426515448828939
saitama,0.0009758414676454904
saitama anime,0.0025351772245859635
scene,0.007114515632795236
scene science,0.0017399598745877819
science,0.0016453235163638288
science fiction,0.0033531257137881633
screenshot,0.0012354112746252892
shade talking,0.0
skyrim elegant,0.0008438250878467596
sony,0.001767453890808069
sony world,0.00010148927867684834
space,0.0008851885082015931
starmaker,0.0013385796489138516
starmaker matte,0.0009460256176249505
stars,0.0012304695128054675
statue,0.001372615148326643
steampunk,0.006000788463067372
steampunk butterfly,0.0013313486325622888
steampunk himalayan,0.0014756920177631857
studio ghibli,0.002056121681318979
style contemporary,0.0009369419625196452
style portrait,0.0013236564162465347
surreal,0.0008547121570103842
surreal concept,0.0010767030494592301
surreal glimpse,0.0002227597728526408
surrealism,0.0012457598313435235
surrealism surreal,0.0009880261529657602
tall castle,0.00033450847218283625
tracing artstation,0.0013668209405097063
traits painting,0.0009947883535767602
trending artstation,0.0020287565231396154
ufo,0.0015553577125836512
ufo ignoring,0.0
ultra realistic,0.0023132293615756253
uncanny painting,0.0005857352536532049
unreal engine,0.004342481037835689
vallejo frazetta,0.0003135090727054373
vivec portrait,0.0009949467079109942
volumetric lighting,0.0012832760037858866
wallpaper,0.0019371488406755978
wallpaper illustration,0.00021273186251425367
wearing cloud,0.0009395347577852622
wizard,0.0027442007245208357
woman,0.0018304539361909031
wooden churches,0.00026983074019551175
world photography,0.00014578262359979694
